x11,x12,x21,x22
0.005814,-0.047447,0.993988,0.105892
0.301384,0.311198,1.164276,-0.194190
0.080362,0.260094,1.068448,0.106189
-0.084041,-0.081801,0.900873,0.091245
0.073928,0.059498,1.071330,0.131541
0.088191,-0.072644,1.067315,0.130622
-0.031174,-0.042018,0.968789,-0.033350
-0.178452,0.025954,0.806510,-0.146818
0.082525,-0.016140,1.082433,-0.002603
-0.138743,-0.023299,0.860893,-0.050292
-0.082576,0.081142,0.913488,-0.007496
0.106950,0.156084,1.087095,-0.042201
-0.152386,-0.012618,0.845566,0.051353
0.123618,0.239378,1.076155,-0.065045
0.115314,-0.121373,1.096934,0.069470
-0.075646,0.064252,0.916683,0.187877
-0.204661,0.205040,0.752538,-0.084388
0.113797,0.233085,1.099614,0.065264
-0.016994,0.397163,0.978682,0.304270
0.089375,0.310678,1.046497,0.020990
0.083564,-0.026321,1.075970,0.096690
-0.151000,0.158627,0.768283,-0.234970
-0.044035,-0.165802,0.954917,-0.120019
-0.019879,0.272755,0.961673,0.081564
-0.075767,-0.395561,0.858169,-0.038121
0.008076,0.050309,1.004966,-0.028493
-0.030902,0.114933,0.961815,-0.005542
0.053672,-0.205146,1.050419,-0.124542
0.008023,-0.190735,0.968472,0.087723
0.081630,0.087790,1.057642,-0.129929
-0.076854,-0.055977,0.906473,0.125868
0.087167,-0.196505,1.077977,-0.061245
0.114605,-0.106120,1.081110,0.150528
0.098327,-0.178600,1.072263,0.048226
0.041867,-0.082412,1.041847,-0.076105
-0.010952,0.370200,0.851326,-0.136236
0.094139,-0.108593,1.091989,-0.043059
0.071965,-0.251130,1.022854,0.058400
0.205220,0.060104,1.204620,0.094749
-0.008093,0.268371,0.928679,-0.081569
0.057436,-0.069754,1.057318,-0.085116
-0.142071,0.167785,0.827402,-0.077413
-0.120270,-0.224978,0.825099,0.101027
0.171217,-0.068113,1.166757,0.026224
-0.044377,-0.125927,0.955601,-0.119337
0.089851,-0.046085,1.089763,-0.032775
-0.113450,0.072626,0.881516,-0.027589
-0.067145,0.139865,0.932435,0.168838
0.088007,-0.019579,1.073908,0.147756
-0.101256,-0.254850,0.895549,-0.174978
0.043515,0.249981,0.969056,-0.128667
0.016233,-0.109254,0.992792,0.105996
0.080098,0.106637,1.068287,-0.046600
-0.051966,0.125453,0.945556,0.055108
