x11,x12,x21,x22
-0.095330,-0.009762,0.904630,-0.018793
0.067735,0.208880,1.051295,0.028298
0.054164,0.269146,1.044866,0.133095
0.151188,-0.032730,1.132641,0.158974
-0.055019,-0.031635,0.942862,-0.096691
-0.048244,0.222233,0.864245,-0.186868
-0.162809,0.162003,0.822834,-0.006834
-0.144405,0.047682,0.854838,0.008792
-0.035410,-0.159317,0.947377,0.025427
-0.061529,-0.100722,0.938451,-0.107038
-0.075204,0.163144,0.902408,-0.047274
-0.124060,-0.498414,0.713966,0.047216
-0.037878,0.100700,0.961739,0.128374
-0.005572,-0.092970,0.983529,0.054264
-0.042192,-0.259866,0.920362,0.011221
0.023322,0.021626,1.021176,-0.043858
-0.075106,0.301638,0.892697,0.049931
-0.045550,-0.108007,0.954402,-0.098195
0.102130,0.281884,1.098625,0.198233
-0.042260,0.218940,0.957039,0.181487
0.147363,0.015220,1.144335,-0.062549
0.188131,0.126500,1.178575,-0.011414
-0.129210,-0.147585,0.829317,0.137414
-0.090343,-0.146358,0.908862,-0.106474
-0.028517,0.077974,0.932384,-0.198920
-0.077878,-0.147637,0.851711,0.220963
-0.050298,0.240089,0.916978,-0.013639
0.232220,-0.156518,1.184205,0.149626
0.016045,0.183443,0.967625,-0.123959
0.047589,0.136308,1.047122,0.105738
-0.250917,-0.159059,0.748566,-0.126910
-0.067214,0.060660,0.929106,0.146369
0.018513,0.216778,1.004709,0.051195
0.018998,-0.293695,0.965944,0.027700
-0.047315,0.047766,0.948674,-0.041716
0.125714,-0.075968,1.125419,-0.051689
-0.161753,0.073960,0.831817,0.187181
-0.065237,0.162482,0.918150,-0.019043
-0.044076,0.117089,0.939130,-0.065410
0.124397,-0.350679,1.045336,0.039028
0.030347,-0.161695,1.012582,0.025959
-0.277739,-0.187588,0.710877,-0.037125
-0.089612,-0.141420,0.900148,0.001327
-0.018240,0.209431,0.959328,-0.001192
-0.128260,-0.153893,0.864275,-0.031931
-0.087352,-0.170344,0.811875,0.267138
0.052767,-0.085661,1.041346,0.065042
-0.175852,-0.041539,0.821555,0.030422
0.049603,-0.228997,1.017105,0.023869
-0.000282,-0.149575,0.987640,0.005377
-0.042751,0.292443,0.915739,0.007317
0.088213,0.013825,1.086381,-0.046673
0.252132,-0.023734,1.249267,0.051914
-0.085383,-0.243811,0.907654,-0.126005
-0.122717,0.233721,0.836484,-0.049004
0.010821,0.023451,1.009989,-0.017353
-0.001288,0.290150,0.947036,-0.027156
0.068762,0.322588,1.028653,0.042215
-0.111163,0.192630,0.851907,-0.076620
-0.112389,0.243298,0.867018,0.041402
-0.090787,0.054547,0.907966,0.104477
0.020078,0.453682,0.819257,-0.147410
-0.067570,0.080458,0.925816,-0.034360
0.067562,0.014632,1.066040,-0.040521
-0.079363,0.036155,0.920388,0.013875
0.018296,-0.171231,0.997795,0.030219
-0.157190,0.221291,0.814137,-0.016458
-0.045035,-0.144359,0.939020,0.033506
0.114266,-0.161916,1.114224,-0.152829
0.074975,0.000286,1.072491,-0.070164
-0.034274,-0.471881,0.801885,0.076605
0.089440,0.181627,1.087919,0.126484
-0.061270,0.130487,0.935549,0.050791
0.061688,0.027183,1.056891,-0.070647
0.017940,0.052888,1.016710,0.003324
0.037738,0.258765,1.013187,0.038536
-0.033935,0.153491,0.917199,-0.155287
0.114845,-0.214856,1.099645,-0.041165
0.165675,-0.024299,1.162786,-0.100249
0.008168,0.100472,0.999631,-0.029922
0.170291,0.063210,1.170029,0.086081
0.023335,0.038672,1.022396,-0.004666
-0.105683,-0.053908,0.887296,-0.172198
-0.167051,0.179144,0.827271,0.072723
-0.019595,0.363113,0.904524,-0.018991
-0.022181,-0.106665,0.977432,-0.078858
-0.067837,-0.307266,0.845851,0.099151
0.103645,0.125444,1.098441,0.227336
0.080848,-0.272853,1.027987,0.047970
0.035563,-0.153960,0.995571,0.126012
-0.033056,0.401559,0.894532,0.027955
0.141266,0.299764,1.039922,-0.138889
0.012791,0.016018,1.005845,-0.101646
0.058229,-0.021110,1.054129,0.069344
-0.289107,0.120176,0.690766,-0.079443
0.011747,-0.177533,1.001968,-0.038022
-0.028119,0.271182,0.816249,-0.264581
-0.123642,0.193622,0.812748,-0.157340
-0.063758,-0.059197,0.935570,-0.095836
-0.133539,0.063920,0.862904,-0.020343
0.074495,0.295886,0.955754,-0.176748
-0.118060,0.154547,0.875308,0.039570
0.141588,0.017501,1.141569,0.011377
-0.031939,-0.089063,0.931686,0.178192
-0.124470,-0.108977,0.832415,0.181488
0.025228,0.274916,1.002053,0.060875
-0.022169,-0.231478,0.977404,-0.202253
-0.044635,-0.060350,0.948398,0.057482
0.060962,-0.282199,1.058631,-0.213960
0.086716,0.277437,1.052944,0.019749
-0.007173,-0.309127,0.914639,0.078511
0.104962,-0.231966,1.092102,-0.072109
0.031311,-0.050093,1.028572,0.023869
-0.007121,-0.095417,0.975844,0.088373
-0.036040,-0.040236,0.936863,0.190975
-0.048930,0.421716,0.812230,-0.086618
-0.143224,-0.151916,0.856767,-0.147613
0.061101,-0.254774,0.999785,0.090005
0.014497,-0.041555,1.011565,0.034959
-0.051012,0.033941,0.935408,-0.130297
-0.139851,-0.062435,0.858888,-0.012222
-0.046369,0.152426,0.953586,0.161857
0.111382,0.153733,1.077311,-0.105077
-0.095411,0.099672,0.887315,-0.085396
-0.056156,0.210300,0.937399,0.096944
-0.085080,-0.029222,0.912179,-0.103211
-0.136316,0.425638,0.763361,-0.010919
0.009397,0.131155,0.984492,-0.090637
0.070272,0.048762,1.065600,-0.047787
0.050583,0.088918,1.048545,0.025113
0.083098,0.253279,1.038395,-0.042369
0.050943,0.296563,0.962786,-0.113975
0.045923,0.006843,1.042164,-0.079774
0.086234,0.014557,1.085736,0.046123
-0.026276,-0.274556,0.923593,0.038094
-0.005059,0.128684,0.962187,-0.125158
-0.023538,0.200198,0.955529,-0.003340
-0.053472,-0.007963,0.943410,-0.086869
-0.002404,0.097571,0.992358,-0.004638
0.005747,-0.336779,0.882785,0.143643
0.253557,0.132422,1.239299,-0.035846
-0.078139,0.051651,0.914379,-0.070444
0.037277,-0.112670,1.036585,-0.075491
-0.066302,0.403305,0.826319,-0.047503
0.215889,-0.044652,1.175269,0.237466
-0.019077,0.352894,0.920064,0.009362
0.028073,0.313557,0.981781,0.012822
-0.141613,-0.346752,0.788862,0.019606
-0.029549,0.017860,0.943340,0.249131
0.051543,0.032611,1.047468,-0.057577
-0.009733,0.237723,0.978822,0.086859
0.143567,0.090444,1.142597,0.134463
0.017861,0.073886,1.012816,-0.026434
0.025188,0.316743,0.951067,-0.061076
