time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,heinz,20,-0.00691292023985,-0.00637200601632,-0.000412225704349,3.97442093575e-05,3.97904665534e-05,-0.999999967217,-0.307322263718,0.255734920502,9.57707351446,8.00095930701e-05,3.90704004455e-05,0.00145138004158
0.02,floor,heinz,20,-0.00710055729724,-0.0034181890398,-0.000386239654472,5.18506126411e-05,5.1691186099e-05,-0.999999946356,-0.0542756915092,-0.0784952491522,9.89829826355,6.52508465525e-06,1.07882814794e-05,0.000272133328254
0.03,floor,heinz,20,-0.00994242845336,-0.00386023830506,-0.000364391740004,5.12136219885e-05,5.09778381708e-05,-0.999999946356,0.236818071455,-0.150588206947,9.55443167686,-2.47930946953e-07,3.4679655779e-08,-0.0012417694269
0.04,floor,heinz,20,-0.00766897615977,-0.00404955883278,-0.000335306894704,3.77448101991e-05,3.76125512826e-05,-0.999999970198,0.0455897301435,-0.0079872906208,9.27245599031,5.87338073987e-05,1.04379265945e-05,-0.000196370603968
0.05,floor,heinz,20,-0.00779911112622,-0.00488185906142,-0.000322795710235,3.67637278588e-05,3.65455512649e-05,-0.999999973178,-0.370169013739,0.0789723396301,9.43333351612,7.32201117762e-05,6.01189074577e-05,0.0015553364586
0.06,floor,heinz,20,-0.00678580111125,-0.00172572007868,-0.000286948400026,3.56856054399e-05,3.55588077307e-05,-0.999999976158,-0.0313921784982,0.0835107043386,8.65941822529,3.1180720634e-05,-2.98164853079e-06,-0.000361278506853
0.07,floor,heinz,20,-0.00923009818653,-0.000785017816816,-0.000272976586712,6.91965524784e-05,6.87997736069e-05,-0.999999904633,-0.0167579895351,-0.22874507308,9.49907779694,1.71340858322e-06,-2.08085021427e-08,-0.000117046998362
0.08,floor,heinz,20,-0.00737005568226,-0.000448994198814,-0.000258093354932,3.42508804234e-05,3.39354823595e-05,-0.999999976158,-0.0126536847092,-0.0467457686318,9.04728370905,2.23514805063e-05,6.82254719597e-06,0.000150406168257
0.09,floor,heinz,20,-0.00870933103142,-0.00325305781153,-0.00024645923404,3.39122136801e-05,3.34743490852e-05,-0.999999976158,-0.0149739994667,-0.181422596332,9.29257082939,6.87808282135e-07,-3.55851463314e-08,2.8325676524e-05
0.1,floor,heinz,20,-0.00888835886726,-0.00353586909769,-0.00023257434259,6.53344976989e-05,6.54428630124e-05,-0.999999913573,-0.0410401131958,0.198739161715,8.96286159754,2.67163452818e-05,-9.615263919e-06,0.000552570435989
