time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],hammer_comx,hammer_comy,hammer_comz,hammer_x,hammer_y,hammer_z,hammer_rx,hammer_ry,hammer_rz,hammer_dx,hammer_dy,hammer_dz,hammer_wx,hammer_wy,hammer_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0497240335686,0.00627636519769,0.163530229873,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07925,0.0,0.07925,0.0,0.07925,0.0,0.185000002384,0.0,0.01600000076,2.38418579324e-09,0.0,7.59959220553e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887744479495,0.887744479495,0.887744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0497245177806,0.00627633338823,0.163225662389,1.90221660491e-18,-2.37323761367e-11,0.00034929856636,6.28318530692,6.28318530594,6.28318530701,0.0,0.0,1.74961968448e-07,0.000162886881952,1.74961968448e-07,0.0,0.0,-1.16415321827e-10,5.45324298571e-05,1.74961968455e-07,0.0,0.0,5.45290574507e-05,1.75105865724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96392610247e-08,2.52106664419e-06,-6.96648642904,1.33536814916e-07,2.32287835052e-06,1.02817778482e-07,-2.78645250461e-07,0.15768556559,-8.7480984224e-08,0.158227337851,-8.74809842275e-08,0.158227354713,-8.7552932862e-08,0.185000300407,2.06076194331e-07,0.0157265905291,-7.98393740009e-09,-1.83247040697e-09,-0.000269843695965,-1.3063510778e-05,1.92744591914e-05,-5.86063197971e-09,2.21469217649e-05,0.000150936233695,-0.00013727946498,-0.00958858430386,0.00140623073094,-3.47312607119e-07,0.882744479495,0.882744479495,0.882744479495,0.0,0.02124441875,0.02124441875,0.02124441875
0.02,0.0497253180325,0.00627592232653,0.162722997052,4.35548499564e-18,-2.37323761367e-11,0.000906885837153,6.28318530701,6.28318530306,6.28318530683,0.0,0.0,1.75265294555e-07,0.00224452115501,1.75314838147e-07,0.0,0.0,-1.16415321827e-10,0.00188327381758,-0.0,0.0,0.0,0.00188328324722,1.75145548426e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96974927666e-07,2.45976994274e-06,-10.130115287,8.77943940787e-08,5.04427541082e-06,2.24499002451e-07,-2.79128007826e-07,0.226527394225,-8.76574190734e-08,0.228333630912,0.0,0.228333583764,-8.75727742128e-08,0.185000449419,1.87829255083e-06,0.0157253853977,-4.12054941834e-08,-2.8252448411e-08,-0.000268941756363,-0.000119290285511,3.06640322378e-05,-9.52006029564e-09,1.77746042027e-05,0.000167183476151,-0.000120054966828,-0.010620537214,0.00112893397454,-2.51720649658e-07,0.877744479495,0.877744479495,0.877744479495,0.0,0.0209907563236,0.0209893994406,0.0209893994791
0.03,0.0497260565293,0.00627517442064,0.162258938469,4.35548499564e-18,-2.37323761367e-11,0.0014042425296,6.28318530685,6.28318530133,6.2831853066,0.0,0.0,1.74961968448e-07,0.00583424348289,1.75366175914e-07,0.0,0.0,-1.16415321827e-10,0.00517415836359,1.75504095479e-07,0.0,0.0,0.00517416348586,6.28318530695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.62538401769e-07,2.56066606557e-06,-11.5068040554,1.72514991349e-07,4.70946903243e-06,3.42046282126e-07,-2.78645250461e-07,0.287828782586,-8.7683087957e-08,0.291129208182,-8.77520477394e-08,0.291129182571,1.16415321827e-10,0.185000598431,3.52074857801e-06,0.0157242063433,-6.96307397297e-08,-5.41594927199e-08,-0.000268069197078,-0.000223632989218,4.17538358306e-05,-1.27353234625e-08,1.72035033756e-05,0.00016184496053,-0.000116236245958,-0.0102820554748,0.00109276210424,-2.08647804811e-07,0.872744479495,0.872744479495,0.872744479495,0.0,0.0207659043786,0.0207606385123,0.0207606385423
0.04,0.0497266346761,0.00627409664574,0.161895396897,4.35548499564e-18,-2.37323761367e-11,0.00177300204152,6.28318530692,6.28318529796,6.2831853064,0.0,0.0,1.74961968448e-07,0.0106321067912,1.75886788911e-07,0.0,0.0,-2.60312660316e-10,0.00968510260711,1.75776871947e-07,0.0,0.0,0.00968511657695,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63346294798e-08,2.56168749527e-06,-12.0316331258,1.37641998438e-07,8.25918772377e-06,4.4088244877e-07,-2.78874269653e-07,0.343089466044,-8.79433944556e-08,0.347824486964,-8.78884359734e-08,0.347824417115,0.0,0.185000747442,5.11045709572e-06,0.0157230645418,-9.235733886e-08,-7.9193745977e-08,-0.000267224323161,-0.000324630999868,5.24874714271e-05,-1.55077838099e-08,1.66494355653e-05,0.000156644819072,-0.000112520137918,-0.00995229929686,0.00105766137131,-1.68890139207e-07,0.867744479495,0.867744479495,0.867744479495,0.0,0.020566043252,0.0205559754161,0.0205559755062
0.05,0.0497270614843,0.00627266506661,0.161627206972,4.35548499564e-18,-2.37323761367e-11,0.00202082357204,6.28318530685,6.28318529508,6.28318530644,0.0,0.0,-6.58544330179e-10,0.0164678261978,-0.0,0.0,0.0,-4.19741574831e-10,0.0152640358908,1.76162603838e-07,0.0,0.0,0.0152640172643,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.01244806836e-08,2.40018112141e-06,-12.1817692884,1.72004011164e-07,8.89385166509e-06,4.25206807823e-07,3.80065500617e-10,0.393160869011,0.0,0.399179820546,-8.80813019188e-08,0.399179913678,0.0,0.185000896454,6.64908793624e-06,0.0157219599932,-1.09566841267e-07,-1.03387223366e-07,-0.000266405987772,-0.0004223899285,6.28762882664e-05,-1.78748732258e-08,1.61131865752e-05,0.000151611806359,-0.000108922737127,-0.00963310524821,0.00102368346415,-1.32850829004e-07,0.862744479495,0.862744479495,0.862744479495,0.0,0.0203860246352,0.0203712917919,0.0203712915516
0.06,0.049727374159,0.00627084033038,0.161429971858,1.90221660491e-18,-2.37323761367e-11,0.00217695814112,6.28318530701,6.2831852922,6.28318530648,0.0,0.0,-1.16415321827e-10,0.0232305356664,1.75776848466e-07,0.0,0.0,-8.23180634768e-10,0.0218018775238,-0.0,0.0,0.0,0.021801881249,1.76708134569e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.58688835505e-08,2.70875362573e-06,-12.1859390647,9.06469206474e-08,9.67338893176e-06,3.98289153046e-07,-1.12484930122e-09,0.438597321668,-8.78884242328e-08,0.445740612381,0.0,0.445740593755,-8.83540672847e-08,0.185001045465,8.13828683022e-06,0.0157208889723,-1.21436081829e-07,-1.26765473659e-07,-0.000265616822529,-0.000517013503294,7.29313462092e-05,-1.98679434694e-08,1.55942234414e-05,0.000146741294884,-0.000105441024061,-0.00932417809963,0.000990797067061,-9.95555424765e-08,0.857744479495,0.857744479495,0.857744479495,0.0,0.0202229617633,0.0202040357124,0.0202040355622
0.07,0.0497276128064,0.0062685757227,0.161278995393,4.35548499564e-18,-2.37323761367e-11,0.00227076107074,6.28318530669,6.28318528965,6.2831853064,0.0,0.0,-4.19741574831e-10,0.0308355109198,1.77479418273e-07,0.0,0.0,-3.29272609179e-10,0.0292100792182,1.76708109478e-07,0.0,0.0,0.0292100531412,1.77479450469e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.37261213902e-10,2.32086853839e-06,-12.1466944603,2.53471571847e-07,1.1716691028e-05,4.38770999511e-07,1.43985494099e-10,0.479822445401,-8.87397091365e-08,0.487949603909,-8.83540547392e-08,0.487949734294,-8.87397252347e-08,0.185001194477,9.57964130066e-06,0.0157198533416,-1.28137064154e-07,-1.49360801494e-07,-0.000264851074033,-0.00060860234215,8.26633817427e-05,-2.1519986854e-08,1.50920132e-05,0.000142026983667,-0.000102065932879,-0.00902512669563,0.000958965625614,-6.9396037361e-08,0.852744479495,0.852744479495,0.852744479495,0.0,0.0200750004613,0.020052398408,0.0200523985582
0.08,0.0497278070913,0.00626582171878,0.16115512549,1.90221660491e-18,-2.37323761367e-11,0.00232509077291,6.28318530692,6.28318528775,6.28318530622,0.0,0.0,1.75524365265e-07,0.0392099616481,1.77479224872e-07,0.0,0.0,-9.09232689139e-10,0.0374109593583,1.80112987636e-07,0.0,0.0,0.0374109779848,1.77479270613e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28147294904e-08,2.10166196086e-06,-12.1049561319,1.31635599543e-07,1.20023261371e-05,5.3344908017e-07,-2.80802135781e-07,0.51720019176,-8.87396124361e-08,0.526195203208,-9.00564938178e-08,0.526195110076,-8.87396353066e-08,0.185001343489,1.03126803879e-05,0.0157190561295,-1.13332876944e-07,-1.60842509647e-07,-0.000264095559134,-0.00065518303859,9.1051348096e-05,-2.10095775265e-08,1.1640966477e-05,-5.72079670746e-06,-6.07350120845e-05,0.00036366833956,0.000739843642805,1.37226887631e-08,0.847744479495,0.847744479495,0.847744479495,0.0,0.0199407466325,0.0199149298266,0.0199149300969
0.09,0.0497279795556,0.00626252847886,0.161045329666,4.35548499564e-18,-2.37323761367e-11,0.00235569779682,6.2831853066,6.28318528504,6.28318530636,0.0,0.0,-3.29272609179e-10,0.0482874920023,1.80112373904e-07,0.0,0.0,1.76491914416e-07,0.0463337486042,1.80112495585e-07,0.0,0.0,0.046333733703,1.80112496029e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04735696695e-08,2.41843870303e-06,-12.074121789,2.94571600876e-07,1.26008974653e-05,4.49339883087e-07,2.81419001505e-07,0.551062539988,-9.00561869521e-08,0.560831256979,-9.00562477923e-08,0.560831331485,-9.00562480144e-08,0.1850014925,1.04992714114e-05,0.0157186631113,-5.88303664673e-08,-1.63757490292e-07,-0.000263395815775,-0.000667043490727,9.69581674074e-05,-1.99115419989e-08,8.60533873492e-06,2.6238261853e-05,-3.35140466632e-05,-0.00166778906714,0.000546930823475,-3.57390668171e-08,0.842744479495,0.842744479495,0.842744479495,0.0,0.0198190115455,0.0197903622745,0.0197903623346
