time,reflex_col_cmx,reflex_col_cmy,reflex_col_cmz,reflex_col_q[base],reflex_col_q[pad],reflex_col_q[swivel_1],reflex_col_q[proximal_1],reflex_col_q[distal_1],reflex_col_q[distal_pad_1],reflex_col_q[proximal_pad_1],reflex_col_q[swivel_2],reflex_col_q[proximal_2],reflex_col_q[distal_2],reflex_col_q[distal_pad_2],reflex_col_q[proximal_pad_2],reflex_col_q[proximal_3],reflex_col_q[distal_3],reflex_col_q[distal_pad_3],reflex_col_q[proximal_pad_3],reflex_col_dq[base],reflex_col_dq[pad],reflex_col_dq[swivel_1],reflex_col_dq[proximal_1],reflex_col_dq[distal_1],reflex_col_dq[distal_pad_1],reflex_col_dq[proximal_pad_1],reflex_col_dq[swivel_2],reflex_col_dq[proximal_2],reflex_col_dq[distal_2],reflex_col_dq[distal_pad_2],reflex_col_dq[proximal_pad_2],reflex_col_dq[proximal_3],reflex_col_dq[distal_3],reflex_col_dq[distal_pad_3],reflex_col_dq[proximal_pad_3],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_t[0],reflex_col_q[q[0]],reflex_col_q[q[1]],reflex_col_q[q[2]],reflex_col_q[q[3]],reflex_col_q[q[4]],reflex_col_q[q[5]],reflex_col_q[q[6]],reflex_col_q[q[7]],reflex_col_q[q[8]],reflex_col_q[q[9]],reflex_col_q[q[10]],reflex_col_q[q[11]],reflex_col_q[q[12]],reflex_col_q[q[13]],reflex_col_q[q[14]],reflex_col_q[q[15]],reflex_col_dq[dq[0]],reflex_col_dq[dq[1]],reflex_col_dq[dq[2]],reflex_col_dq[dq[3]],reflex_col_dq[dq[4]],reflex_col_dq[dq[5]],reflex_col_dq[dq[6]],reflex_col_dq[dq[7]],reflex_col_dq[dq[8]],reflex_col_dq[dq[9]],reflex_col_dq[dq[10]],reflex_col_dq[dq[11]],reflex_col_dq[dq[12]],reflex_col_dq[dq[13]],reflex_col_dq[dq[14]],reflex_col_dq[dq[15]],cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0267768759404,-0.000565648669325,0.0567075025379,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0267768759406,-0.000565648670171,0.0567075025302,0.0,0.0,7.33768601435e-11,-5.84635451162e-10,6.28318530704,0.0,0.0,5.22808463188e-11,-4.03821864836e-10,6.28318530709,0.0,0.0,-4.03821864836e-10,6.28318530709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,2.92317725581e-09,7.19548864936e-11,2.01910932418e-09,4.62279103886e-11,2.01910932418e-09,4.62279103886e-11,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0215,0.0215,0.0215
0.02,0.0267768759408,-0.000565648670171,0.0567075025224,0.0,0.0,7.33768601435e-11,-1.1692717905e-09,6.28318530689,0.0,0.0,5.22808463188e-11,-8.07644617851e-10,6.28318530699,0.0,0.0,-8.07644617851e-10,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,5.84635895251e-09,1.43909772987e-10,4.03822308925e-09,9.24558207771e-11,4.03822308925e-09,9.24558207771e-11,0.0,0.0,7.33768601435e-11,-5.84635451162e-10,6.28318530704,0.0,0.0,5.22808463188e-11,-4.03821864836e-10,6.28318530709,0.0,0.0,-4.03821864836e-10,6.28318530709,0.0,0.0,0.0,0.0,1.30964501408e-15,-5.84635779593e-08,-1.43909607817e-08,0.0,0.0,1.20406735069e-15,-4.03822183427e-08,-9.24560014355e-09,0.0,0.0,-4.03822183267e-08,-9.24560022004e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999937,0.0214999999957,0.0214999999957
0.03,0.0267768759409,-0.000565648670171,0.0567075025147,0.0,0.0,7.33768601435e-11,-1.75390724166e-09,6.28318530675,0.0,0.0,5.22808463188e-11,-1.21146648269e-09,6.2831853069,0.0,0.0,-1.21146648269e-09,6.2831853069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,8.76953620832e-09,2.15864215392e-10,6.05733241343e-09,1.38684175255e-10,6.05733241343e-09,1.38684175255e-10,0.0,0.0,7.33768601435e-11,-1.1692717905e-09,6.28318530689,0.0,0.0,5.22808463188e-11,-8.07644617851e-10,6.28318530699,0.0,0.0,-8.07644617851e-10,6.28318530699,0.0,0.0,0.0,0.0,1.30964411468e-15,-5.84635748976e-08,-1.43909607431e-08,0.0,0.0,1.20404866904e-15,-4.03822163264e-08,-9.2456001778e-09,0.0,0.0,-4.0382216359e-08,-9.24560011064e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999874,0.0214999999913,0.0214999999913
0.04,0.0267768759411,-0.000565648670171,0.0567075025069,0.0,0.0,7.33768601435e-11,-2.33854269283e-09,6.2831853066,0.0,0.0,5.22808463188e-11,-1.61528834752e-09,6.28318530681,0.0,0.0,-1.61528834752e-09,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,1.16927134641e-08,2.87819101885e-10,8.07644173761e-09,1.84912085643e-10,8.07644173761e-09,1.84912085643e-10,0.0,0.0,7.33768601435e-11,-1.75390724166e-09,6.28318530675,0.0,0.0,5.22808463188e-11,-1.21146648269e-09,6.2831853069,0.0,0.0,-1.21146648269e-09,6.2831853069,0.0,0.0,0.0,0.0,1.30965013291e-15,-5.84635720026e-08,-1.43909606028e-08,0.0,0.0,1.20404871945e-15,-4.03822140806e-08,-9.24560014428e-09,0.0,0.0,-4.03822143307e-08,-9.24560008241e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999811,0.021499999987,0.021499999987
0.05,0.0267768759413,-0.000565648670171,0.0567075024992,0.0,0.0,7.33768601435e-11,-2.92317903217e-09,6.28318530646,0.0,0.0,5.22808463188e-11,-2.01911110054e-09,6.28318530672,0.0,0.0,-2.01911110054e-09,6.28318530672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,1.46158951608e-08,3.59773988379e-10,1.00955555027e-08,2.31139996032e-10,1.00955555027e-08,2.31139996032e-10,0.0,0.0,7.33768601435e-11,-2.33854269283e-09,6.2831853066,0.0,0.0,5.22808463188e-11,-1.61528834752e-09,6.28318530681,0.0,0.0,-1.61528834752e-09,6.28318530681,0.0,0.0,0.0,0.0,1.3096836834e-15,-5.84635691608e-08,-1.43909606174e-08,0.0,0.0,1.20405906454e-15,-4.03822123309e-08,-9.24560000361e-09,0.0,0.0,-4.03822123003e-08,-9.24560009713e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999749,0.0214999999826,0.0214999999826
0.06,0.0267768759414,-0.000565648670171,0.0567075024914,0.0,0.0,7.33768601435e-11,-3.50781448333e-09,6.28318530632,0.0,0.0,5.22808463188e-11,-2.42293296537e-09,6.28318530662,0.0,0.0,-2.42293296537e-09,6.28318530662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,1.75390724166e-08,4.31728874872e-10,1.21146648269e-08,2.77367906421e-10,1.21146648269e-08,2.77367906421e-10,0.0,0.0,7.33768601435e-11,-2.92317903217e-09,6.28318530646,0.0,0.0,5.22808463188e-11,-2.01911110054e-09,6.28318530672,0.0,0.0,-2.01911110054e-09,6.28318530672,0.0,0.0,0.0,0.0,1.30965087863e-15,-5.84635662835e-08,-1.43909605344e-08,0.0,0.0,1.20407476016e-15,-4.03822101402e-08,-9.24559999823e-09,0.0,0.0,-4.03822102818e-08,-9.24560000716e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999686,0.0214999999783,0.0214999999783
0.07,0.0267768759416,-0.000565648670171,0.0567075024837,0.0,0.0,7.33768601435e-11,-4.09244993449e-09,6.28318530617,0.0,0.0,5.22808463188e-11,-2.82675483021e-09,6.28318530653,0.0,0.0,-2.82675483021e-09,6.28318530653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,2.04622496724e-08,5.03683761366e-10,1.4133774151e-08,3.23595816809e-10,1.4133774151e-08,3.23595816809e-10,0.0,0.0,7.33768601435e-11,-3.50781448333e-09,6.28318530632,0.0,0.0,5.22808463188e-11,-2.42293296537e-09,6.28318530662,0.0,0.0,-2.42293296537e-09,6.28318530662,0.0,0.0,0.0,0.0,1.30966880357e-15,-5.84635635895e-08,-1.43909604864e-08,0.0,0.0,1.20407248324e-15,-4.03822081971e-08,-9.24559994438e-09,0.0,0.0,-4.03822082817e-08,-9.24559996813e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999623,0.021499999974,0.021499999974
0.08,0.0267768759418,-0.000565648670171,0.0567075024759,0.0,0.0,7.33768601435e-11,-4.67708538565e-09,6.28318530603,0.0,0.0,5.22808463188e-11,-3.23057669505e-09,6.28318530644,0.0,0.0,-3.23057669505e-09,6.28318530644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,2.33854269283e-08,5.7563820377e-10,1.61528834752e-08,3.69824171287e-10,1.61528834752e-08,3.69824171287e-10,0.0,0.0,7.33768601435e-11,-4.09244993449e-09,6.28318530617,0.0,0.0,5.22808463188e-11,-2.82675483021e-09,6.28318530653,0.0,0.0,-2.82675483021e-09,6.28318530653,0.0,0.0,0.0,0.0,1.30965936325e-15,-5.84635604355e-08,-1.4390960326e-08,0.0,0.0,1.20406063304e-15,-4.03822062447e-08,-9.24559990574e-09,0.0,0.0,-4.03822062428e-08,-9.24559993712e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.021499999956,0.0214999999696,0.0214999999696
0.09,0.0267768759419,-0.000565648670171,0.0567075024682,0.0,0.0,7.33768601435e-11,-5.26172083681e-09,6.28318530588,0.0,0.0,5.22808463188e-11,-3.63439855988e-09,6.28318530635,0.0,0.0,-3.63439855988e-09,6.28318530635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35752702838e-11,2.63086041841e-08,6.47593090264e-10,1.81719927994e-08,4.16052081675e-10,1.81719927994e-08,4.16052081675e-10,0.0,0.0,7.33768601435e-11,-4.67708538565e-09,6.28318530603,0.0,0.0,5.22808463188e-11,-3.23057669505e-09,6.28318530644,0.0,0.0,-3.23057669505e-09,6.28318530644,0.0,0.0,0.0,0.0,1.30966159376e-15,-5.84635575772e-08,-1.43909603009e-08,0.0,0.0,1.20406800899e-15,-4.03822042384e-08,-9.24559981851e-09,0.0,0.0,-4.03822041983e-08,-9.24559986026e-09,0.0,0.0,0.892744479495,0.892744479495,0.892744479495,0.0,0.0214999999497,0.0214999999653,0.0214999999653
