time,reflex_col_with_moving_base_cmx,reflex_col_with_moving_base_cmy,reflex_col_with_moving_base_cmz,reflex_col_with_moving_base_q[Link 0],reflex_col_with_moving_base_q[Link 1],reflex_col_with_moving_base_q[Link 2],reflex_col_with_moving_base_q[Link 3],reflex_col_with_moving_base_q[Link 4],reflex_col_with_moving_base_q[Link 5],reflex_col_with_moving_base_q[reflex:base],reflex_col_with_moving_base_q[reflex:pad],reflex_col_with_moving_base_q[reflex:swivel_1],reflex_col_with_moving_base_q[reflex:proximal_1],reflex_col_with_moving_base_q[reflex:distal_1],reflex_col_with_moving_base_q[reflex:distal_pad_1],reflex_col_with_moving_base_q[reflex:proximal_pad_1],reflex_col_with_moving_base_q[reflex:swivel_2],reflex_col_with_moving_base_q[reflex:proximal_2],reflex_col_with_moving_base_q[reflex:distal_2],reflex_col_with_moving_base_q[reflex:distal_pad_2],reflex_col_with_moving_base_q[reflex:proximal_pad_2],reflex_col_with_moving_base_q[reflex:proximal_3],reflex_col_with_moving_base_q[reflex:distal_3],reflex_col_with_moving_base_q[reflex:distal_pad_3],reflex_col_with_moving_base_q[reflex:proximal_pad_3],reflex_col_with_moving_base_dq[Link 0],reflex_col_with_moving_base_dq[Link 1],reflex_col_with_moving_base_dq[Link 2],reflex_col_with_moving_base_dq[Link 3],reflex_col_with_moving_base_dq[Link 4],reflex_col_with_moving_base_dq[Link 5],reflex_col_with_moving_base_dq[reflex:base],reflex_col_with_moving_base_dq[reflex:pad],reflex_col_with_moving_base_dq[reflex:swivel_1],reflex_col_with_moving_base_dq[reflex:proximal_1],reflex_col_with_moving_base_dq[reflex:distal_1],reflex_col_with_moving_base_dq[reflex:distal_pad_1],reflex_col_with_moving_base_dq[reflex:proximal_pad_1],reflex_col_with_moving_base_dq[reflex:swivel_2],reflex_col_with_moving_base_dq[reflex:proximal_2],reflex_col_with_moving_base_dq[reflex:distal_2],reflex_col_with_moving_base_dq[reflex:distal_pad_2],reflex_col_with_moving_base_dq[reflex:proximal_pad_2],reflex_col_with_moving_base_dq[reflex:proximal_3],reflex_col_with_moving_base_dq[reflex:distal_3],reflex_col_with_moving_base_dq[reflex:distal_pad_3],reflex_col_with_moving_base_dq[reflex:proximal_pad_3],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_t[0],reflex_col_with_moving_base_q[q[0]],reflex_col_with_moving_base_q[q[1]],reflex_col_with_moving_base_q[q[2]],reflex_col_with_moving_base_q[q[3]],reflex_col_with_moving_base_q[q[4]],reflex_col_with_moving_base_q[q[5]],reflex_col_with_moving_base_q[q[6]],reflex_col_with_moving_base_q[q[7]],reflex_col_with_moving_base_q[q[8]],reflex_col_with_moving_base_q[q[9]],reflex_col_with_moving_base_q[q[10]],reflex_col_with_moving_base_q[q[11]],reflex_col_with_moving_base_q[q[12]],reflex_col_with_moving_base_q[q[13]],reflex_col_with_moving_base_q[q[14]],reflex_col_with_moving_base_q[q[15]],reflex_col_with_moving_base_q[q[16]],reflex_col_with_moving_base_q[q[17]],reflex_col_with_moving_base_q[q[18]],reflex_col_with_moving_base_q[q[19]],reflex_col_with_moving_base_q[q[20]],reflex_col_with_moving_base_q[q[21]],reflex_col_with_moving_base_dq[dq[0]],reflex_col_with_moving_base_dq[dq[1]],reflex_col_with_moving_base_dq[dq[2]],reflex_col_with_moving_base_dq[dq[3]],reflex_col_with_moving_base_dq[dq[4]],reflex_col_with_moving_base_dq[dq[5]],reflex_col_with_moving_base_dq[dq[6]],reflex_col_with_moving_base_dq[dq[7]],reflex_col_with_moving_base_dq[dq[8]],reflex_col_with_moving_base_dq[dq[9]],reflex_col_with_moving_base_dq[dq[10]],reflex_col_with_moving_base_dq[dq[11]],reflex_col_with_moving_base_dq[dq[12]],reflex_col_with_moving_base_dq[dq[13]],reflex_col_with_moving_base_dq[dq[14]],reflex_col_with_moving_base_dq[dq[15]],reflex_col_with_moving_base_dq[dq[16]],reflex_col_with_moving_base_dq[dq[17]],reflex_col_with_moving_base_dq[dq[18]],reflex_col_with_moving_base_dq[dq[19]],reflex_col_with_moving_base_dq[dq[20]],reflex_col_with_moving_base_dq[dq[21]],cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0162761402775,-0.000343825661747,0.0344692662485,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0162760283964,-0.000343825671059,0.0341679089936,7.37194038225e-12,2.86637472154e-16,-0.000353889027962,6.28318530699,1.1727703253e-09,1.90983229231e-10,0.0,0.0,-5.06785724497e-11,0.000578298192606,6.28318530711,0.0,0.0,-3.72573083496e-11,0.000745769180058,6.28318530713,0.0,0.0,0.000745767930298,6.28318530713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57090512972e-07,-2.13891180883e-12,7.00223159753,9.5055198815e-08,-2.39471346179e-06,-1.30277777917e-07,2.13605552904e-11,0.314108509037,3.65343311159e-11,0.3132711541,2.52793341815e-11,0.313271160349,2.52793341815e-11,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.0162754507149,-0.000343825666605,0.0336886720661,8.7388149182e-11,3.09109676955e-16,-0.000938545075818,2.7214142051e-10,3.83259024517e-09,2.844888769e-10,0.0,0.0,-7.5284667389e-11,0.00346324163208,6.28318530691,0.0,0.0,-5.37525579603e-11,0.00404077339914,6.283185307,0.0,0.0,0.00404077258692,6.283185307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38891817849e-07,-1.8768625895e-12,10.3869213909,-1.35989236147e-07,-4.50305195815e-06,-1.95603326843e-07,3.42693363713e-11,0.45818379184,1.35778499555e-10,0.455296133004,8.95741258944e-11,0.455296137065,8.95741258944e-11,7.37194038225e-12,2.86637472154e-16,-0.000353889027962,6.28318530699,1.1727703253e-09,1.90983229231e-10,0.0,0.0,-5.06785724497e-11,0.000578298192606,6.28318530711,0.0,0.0,-3.72573083496e-11,0.000745769180058,6.28318530713,0.0,0.0,0.000745767930298,6.28318530713,0.0,0.0,-1.93951852267e-09,7.05703818542e-15,-0.0523277435474,-2.22426983251e-11,1.80832619106e-07,3.47856439422e-09,0.0,0.0,3.10508269764e-14,0.0248000945232,-9.57531843745e-09,0.0,0.0,1.60088589004e-14,0.0482960338758,-6.45220516599e-09,0.0,0.0,0.0482960858223,-6.45220052387e-09,0.0,0.0,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208246667056,0.0208264670187,0.0208264670053
0.03,0.0162742697596,-0.000343825667825,0.0332867589802,1.84831078771e-10,3.01262846409e-16,-0.0014618044812,2.91956681053e-10,6.90333656905e-09,3.29691829393e-10,0.0,0.0,-8.05711053431e-11,0.00891757857755,6.28318530668,0.0,0.0,-5.70858915694e-11,0.00992583080434,6.28318530686,0.0,0.0,0.00992583025328,6.28318530686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.11560466328e-07,-1.65328102565e-12,11.8283995375,-1.46001311055e-07,-6.22458757404e-06,-2.22645397538e-07,3.7377791211e-11,0.589412107112,2.47379006169e-10,0.584370845978,1.61039626079e-10,0.584370848734,1.61039626079e-10,8.7388149182e-11,3.09109676955e-16,-0.000938545075818,2.7214142051e-10,3.83259024517e-09,2.844888769e-10,0.0,0.0,-7.5284667389e-11,0.00346324163208,6.28318530691,0.0,0.0,-5.37525579603e-11,0.00404077339914,6.283185307,0.0,0.0,0.00404077258692,6.283185307,0.0,0.0,-9.80585999865e-10,3.3125607517e-15,-0.0569412217435,-8.20277745642e-12,2.58674250226e-07,5.33569835496e-09,0.0,0.0,2.22517898889e-14,0.278160987044,-1.44921865064e-08,0.0,0.0,1.4927514609e-14,0.309927561707,-9.36302491095e-09,0.0,0.0,0.309927589744,-9.36302241294e-09,0.0,0.0,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205149048475,0.020521113314,0.0205211133053
0.04,0.0162723416921,-0.000343825669151,0.0330270184675,3.04779470189e-10,2.84626450634e-16,-0.00184784535547,2.87592172299e-10,1.00160439942e-08,3.64727803515e-10,0.0,0.0,-7.83648701486e-11,0.0168638859616,6.28318530646,0.0,0.0,-5.53548318294e-11,0.0182646636119,6.28318530672,0.0,0.0,0.0182646632209,6.28318530672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.60691185727e-06,-1.53217681456e-12,12.346282672,-1.4392541646e-07,-7.73878804261e-06,-2.39071078753e-07,3.66215277552e-11,0.708180570192,3.5903147122e-10,0.701176681941,2.32278640766e-10,0.701176683896,2.32278640766e-10,1.84831078771e-10,3.01262846409e-16,-0.0014618044812,2.91956681053e-10,6.90333656905e-09,3.29691829393e-10,0.0,0.0,-8.05711053431e-11,0.00891757857755,6.28318530668,0.0,0.0,-5.70858915694e-11,0.00992583080434,6.28318530686,0.0,0.0,0.00992583025328,6.28318530686,0.0,0.0,-1.26216843551e-10,1.46870526786e-15,-0.0451918461931,2.08106263941e-12,2.77287827507e-07,5.779585874e-09,0.0,0.0,2.44738861099e-14,0.534277626887,-1.54738052371e-08,0.0,0.0,1.83246154946e-14,0.564427168261,-9.89912685156e-09,0.0,0.0,0.564427182645,-9.89912773974e-09,0.0,0.0,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202327639697,0.0202436026811,0.0202436026752
0.05,0.0162694889722,-0.000343825670728,0.0329011022946,4.52233707124e-10,2.68217814653e-16,-0.00210420023949,2.76271450161e-10,1.30436044188e-08,4.02887501139e-10,0.0,0.0,-7.39905914315e-11,0.0271219659302,6.28318530625,0.0,0.0,-5.21946930121e-11,0.0288609427955,6.28318530658,0.0,0.0,0.0288609425085,6.28318530658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.44256537922e-06,-1.46826529917e-12,12.4595538493,-1.38373184963e-07,-9.144887504e-06,-2.55409530617e-07,3.46891686075e-11,0.815390170349,4.66465532867e-10,0.806695286022,3.00767855066e-10,0.806695287458,3.00767855066e-10,3.04779470189e-10,2.84626450634e-16,-0.00184784535547,2.87592172299e-10,1.00160439942e-08,3.64727803515e-10,0.0,0.0,-7.83648701486e-11,0.0168638859616,6.28318530646,0.0,0.0,-5.53548318294e-11,0.0182646636119,6.28318530672,0.0,0.0,0.0182646632209,6.28318530672,0.0,0.0,8.2959464453e-10,1.08911463821e-15,-0.0310669840552,1.25529337703e-11,2.730682812e-07,5.67016464653e-09,0.0,0.0,3.09957226241e-14,0.776309552134,-1.49284823392e-08,0.0,0.0,2.32981192067e-14,0.801466530158,-9.52323175873e-09,0.0,0.0,0.801466536775,-9.52323098158e-09,0.0,0.0,0.832744479495,0.832744479495,0.832744479495,0.0,0.0199774117741,0.0199924701338,0.0199924701296
0.06,0.0162655076287,-0.000343825672508,0.0328797424985,6.30647877238e-10,2.54922450788e-16,-0.00226224046506,2.64860133825e-10,1.59617536966e-08,4.46370052032e-10,0.0,0.0,-6.95896673619e-11,0.0394819998497,6.28318530604,0.0,0.0,-4.90549822985e-11,0.0415061734495,6.28318530645,0.0,0.0,0.0415061732364,6.28318530645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.42267362809e-06,-1.43382704158e-12,12.4179843064,-1.3276715197e-07,-1.04955732456e-05,-2.74335657171e-07,3.26818899024e-11,0.912090000751,5.68868507855e-10,0.901969132752,3.66067176572e-10,0.901969133818,3.66067176572e-10,4.52233707124e-10,2.68217814653e-16,-0.00210420023949,2.76271450161e-10,1.30436044188e-08,4.02887501139e-10,0.0,0.0,-7.39905914315e-11,0.0271219659302,6.28318530625,0.0,0.0,-5.21946930121e-11,0.0288609427955,6.28318530658,0.0,0.0,0.0288609425085,6.28318530658,0.0,0.0,1.812996501e-09,1.27008008956e-15,-0.0193799763271,2.32058969621e-11,2.6229444432e-07,5.39581741045e-09,0.0,0.0,3.87957540313e-14,0.998188931418,-1.3943379229e-08,0.0,0.0,2.86007412232e-14,1.01780658034,-8.89275453275e-09,0.0,0.0,1.01780658263,-8.89275364457e-09,0.0,0.0,0.822744479495,0.822744479495,0.822744479495,0.0,0.0197469111337,0.0197656051351,0.019765605132
0.07,0.0162601781752,-0.000343825674412,0.0329334612438,8.418313092e-10,2.4512318743e-16,-0.00235362700133,2.5551649685e-10,1.87834894305e-08,4.93958651759e-10,0.0,0.0,-6.5844218966e-11,0.0537372769866,6.28318530585,0.0,0.0,-4.63913352178e-11,0.0560006937179,6.28318530632,0.0,0.0,0.0560006935632,6.28318530632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.54478275658e-06,-1.41474803348e-12,12.3330946916,-1.28176552056e-07,-1.18176368807e-05,-2.95755965356e-07,3.0960153661e-11,0.999313615067,6.66710242569e-10,0.98799653141,4.28496349514e-10,0.987996532184,4.28496349514e-10,6.30647877238e-10,2.54922450788e-16,-0.00226224046506,2.64860133825e-10,1.59617536966e-08,4.46370052032e-10,0.0,0.0,-6.95896673619e-11,0.0394819998497,6.28318530604,0.0,0.0,-4.90549822985e-11,0.0415061734495,6.28318530645,0.0,0.0,0.0415061732364,6.28318530645,0.0,0.0,2.69277944121e-09,1.59012983553e-15,-0.0110600850004,3.30141695616e-11,2.51448303394e-07,5.11407595873e-09,0.0,0.0,4.66438535999e-14,1.19889274178,-1.29581354535e-08,0.0,0.0,3.37754622339e-14,1.21348509313,-8.27108825874e-09,0.0,0.0,1.21348509302,-8.27108781465e-09,0.0,0.0,0.812744479495,0.812744479495,0.812744479495,0.0,0.0195390064984,0.0195607663646,0.0195607663623
0.08,0.0162532753484,-0.000343825676385,0.0330389865921,1.08624162033e-09,2.38280717499e-16,-0.00240303311492,2.48471465625e-10,2.153060219e-08,5.44106981692e-10,0.0,0.0,-6.28368468369e-11,0.0696968770224,6.28318530566,0.0,0.0,-4.42517134047e-11,0.072161402403,6.2831853062,0.0,0.0,0.0721614022993,6.2831853062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.80279308014e-06,-1.40407122588e-12,12.2491245283,-1.24709653876e-07,-1.31240495097e-05,-3.18970967035e-07,2.95790893688e-11,1.07801561489,7.60781215803e-10,1.06569298798,4.88558971057e-10,1.0656929885,4.88558971057e-10,8.418313092e-10,2.4512318743e-16,-0.00235362700133,2.5551649685e-10,1.87834894305e-08,4.93958651759e-10,0.0,0.0,-6.5844218966e-11,0.0537372769866,6.28318530585,0.0,0.0,-4.63913352178e-11,0.0560006937179,6.28318530632,0.0,0.0,0.0560006935632,6.28318530632,0.0,0.0,3.35390516382e-09,1.88897901077e-15,-0.00563955174097,4.09869550764e-11,2.42559192085e-07,4.87642874145e-09,0.0,0.0,5.41377168075e-14,1.37952590859,-1.21148704402e-08,0.0,0.0,3.87205727057e-14,1.3898804629,-7.74147812521e-09,0.0,0.0,1.38988046143,-7.74147901339e-09,0.0,0.0,0.802744479495,0.802744479495,0.802744479495,0.0,0.0193514757276,0.0193758074575,0.0193758074558
0.09,0.0162441482698,-0.000343826053962,0.0331560546196,1.48866909721e-06,-3.63934708607e-10,-0.00242242152015,6.28318530628,6.28314642578,9.70945990275e-10,0.0,0.0,7.14483583408e-10,0.0879789788683,6.26329354972,0.0,0.0,-3.81268350225e-11,0.0898714041625,6.27279374599,0.0,0.0,0.0898092407151,6.27283939295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00734462331345,7.0298109829e-06,12.0749986659,9.47038457526e-07,0.0194498966637,1.16204035328e-06,-1.19781388215e-09,1.14510510566,0.00994587872757,1.13564297919,0.00519578059717,1.13595379642,0.00517295711261,1.08624162033e-09,2.38280717499e-16,-0.00240303311492,2.48471465625e-10,2.153060219e-08,5.44106981692e-10,0.0,0.0,-6.28368468369e-11,0.0696968770224,6.28318530566,0.0,0.0,-4.42517134047e-11,0.072161402403,6.2831853062,0.0,0.0,0.0721614022993,6.2831853062,0.0,0.0,3.71246154699e-09,2.12401924048e-15,-0.00232716334544,4.64036567868e-11,2.35834735284e-07,4.69024104365e-09,0.0,0.0,6.12365520622e-14,1.5419185592,-1.14317961764e-08,0.0,0.0,4.34717996869e-14,1.54878610681,-7.31274840682e-09,0.0,0.0,1.54878610451,-7.31275084931e-09,0.0,0.0,0.792744479495,0.792744479495,0.792744479495,0.0,0.019182266428,0.0192087600758,0.0192087600747
