time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.2,Terrain,spikes,0.861829,0.0399527,-0.000739393,-1.0985,-1.55247,987.771,-5.83003e-05,3.35622e-05,0.000796508
0.21,Terrain,spikes,0.903148,0.0578181,-0.000721997,1.09314,1.58571,42.8763,-2.51214e-05,6.50094e-05,-0.000942956
0.22,Terrain,spikes,0.99819,0.196541,-0.000619311,0.0219656,0.0464667,48.9071,0.000319943,-0.000155665,1.26516e-06
0.23,Terrain,spikes,0.999054,0.20167,-0.00060116,0.012214,-0.0220137,48.9883,0.000170154,-0.000109838,-6.0948e-05
0.24,Terrain,spikes,1.00001,0.20105,-0.000585908,-0.000781481,-0.0135616,48.9358,0.000187019,-0.000105565,-2.09292e-05
0.25,Terrain,spikes,1.00267,0.19245,-0.000574928,0.00992247,0.0560522,61.1983,0.000218646,-0.000160675,0.00032776
0.25,spikes,plane,0.975045,0.159135,0.0899463,-0.000692744,-0.00203913,-12.2836,7.44708e-05,-6.00789e-05,-0.000288082
0.26,Terrain,spikes,1.00065,0.204982,-0.000556632,-0.0100966,-0.0668742,49.4653,0.000156295,-9.98428e-05,-5.94122e-05
0.26,spikes,plane,1.00059,0.205371,0.0900154,0.000224494,0.00153796,-0.489133,5.21192e-06,-5.93494e-06,-1.16152e-06
0.27,Terrain,spikes,1.00001,0.198202,-0.000545919,-0.000510547,0.0251884,49.4714,0.000133055,-9.65766e-05,4.32367e-05
0.27,spikes,plane,1.00006,0.197975,0.0900584,1.28762e-05,-0.000588096,-0.489166,4.97175e-06,-5.46027e-06,-1.41161e-06
0.28,Terrain,spikes,1.00083,0.20231,-0.000530787,-0.0112918,-0.0324503,49.3896,0.000206543,-9.19353e-05,-4.43508e-05
0.28,spikes,plane,1.00079,0.202359,0.0901055,0.000252436,0.000737776,-0.488436,4.63545e-06,-5.39767e-06,2.03988e-06
0.29,Terrain,spikes,0.998553,0.198741,-0.000519878,0.0135174,0.0216146,49.4988,0.000165576,-8.0734e-05,1.08708e-05
0.29,spikes,plane,0.998527,0.198508,0.0901467,-0.000309715,-0.000508006,-0.489478,5.11603e-06,-4.67109e-06,1.28232e-06
0.3,Terrain,spikes,0.99908,0.199865,-0.00050708,0.0108121,0.00407491,49.4509,8.81347e-05,-8.04357e-05,-9.18358e-06
0.3,spikes,plane,0.998759,0.199763,0.090189,-0.000265334,-0.000101893,-0.489081,4.32919e-06,-4.9252e-06,6.1151e-07
0.31,Terrain,spikes,0.997051,0.205117,-0.000493618,0.0374503,-0.0659676,49.1695,0.000136436,-9.26538e-05,-0.000142609
0.31,spikes,plane,0.996755,0.205475,0.0902315,-0.000870125,0.00151771,-0.486291,4.25918e-06,-4.71058e-06,2.64224e-06
0.32,Terrain,spikes,1.00402,0.194179,-0.000484563,-0.0552133,0.0813562,49.7157,0.000197227,-9.62391e-05,0.000200884
0.32,spikes,plane,1.00436,0.193585,0.0902675,0.00127337,-0.00188813,-0.491696,4.60237e-06,-4.56505e-06,-2.34739e-06
0.33,Terrain,spikes,0.998568,0.202641,-0.000471663,0.0139909,-0.0316184,49.4597,8.81262e-05,-5.66423e-05,-6.65419e-05
0.33,spikes,plane,0.998402,0.202832,0.0903075,-0.00032839,0.00072596,-0.489202,3.93056e-06,-4.21877e-06,1.16823e-06
0.34,Terrain,spikes,0.999757,0.201763,-0.00046109,0.00324478,-0.0237398,49.3932,7.57442e-05,-5.8407e-05,-3.72144e-05
0.34,spikes,plane,0.999604,0.201814,0.0903437,-8.48906e-05,0.000540209,-0.48857,4.4287e-06,-4.68107e-06,-1.46467e-06
0.35,Terrain,spikes,1.00012,0.197715,-0.000451781,-0.00169532,0.0316627,49.5175,7.50422e-05,-3.54221e-05,4.46379e-05
0.35,spikes,plane,1.00026,0.197572,0.090378,4.46372e-05,-0.000731398,-0.489761,4.04263e-06,-4.12654e-06,-2.03754e-07
0.36,Terrain,spikes,1.00125,0.200029,-0.00044063,-0.0172204,-0.000126778,49.4614,6.2839e-05,-3.05229e-05,1.62622e-05
