time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.2,Terrain,spikes,0.926975,0.0384497,-0.000769095,-2.14636,-2.42705,993.969,-7.68793e-07,4.94662e-05,0.00815942
0.21,Terrain,spikes,0.859211,0.00298761,-0.000821353,1.73472,2.02015,36.8065,-0.000102465,0.000166172,0.0743053
0.22,Terrain,spikes,0.960787,0.159877,-0.000635135,0.523405,0.538856,48.6906,0.000421394,-0.000384919,-0.00149964
0.23,Terrain,spikes,1.00009,0.200159,-0.000564336,-0.00432903,-0.00161509,48.9531,0.001092,-0.00107808,-2.74606e-06
0.24,Terrain,spikes,1.00172,0.200094,-0.00054945,-0.022212,-0.0028297,48.9425,0.00094371,-0.000782721,7.23242e-05
0.25,Terrain,spikes,1.00007,0.199383,-0.00053831,0.00320261,0.001674,61.2397,0.000931657,-0.000875144,4.09552e-05
0.25,spikes,plane,0.963592,0.163686,0.0899578,-0.00164484,-0.00250462,-12.2839,0.000207324,-0.00020711,-4.67747e-06
0.26,Terrain,spikes,1.00038,0.202067,-0.000523641,-0.00425691,-0.0303271,49.4581,0.000911629,-0.000762121,-0.000119581
0.26,spikes,plane,1.00027,0.202166,0.0900487,8.50138e-05,0.000688675,-0.48901,9.93453e-06,-1.06745e-05,-2.44511e-08
0.27,Terrain,spikes,0.998257,0.200797,-0.000512926,0.0230194,-0.0117627,49.4055,0.000851488,-0.000741624,-0.000132092
0.27,spikes,plane,0.997901,0.200592,0.0900919,-0.000547671,0.000249239,-0.488528,9.7854e-06,-1.03992e-05,5.16223e-06
0.28,Terrain,spikes,1.00023,0.199799,-0.000500239,-0.00355087,0.00126511,49.458,0.000805776,-0.000667413,3.63443e-05
0.28,spikes,plane,1.00014,0.199695,0.0901365,7.13924e-05,-4.02333e-05,-0.489046,9.74517e-06,-9.94272e-06,-2.06623e-06
0.29,Terrain,spikes,1.00207,0.200708,-0.000486949,-0.0268878,-0.011476,49.4641,0.000920962,-0.000709933,3.8784e-05
0.29,spikes,plane,1.00212,0.200622,0.0901805,0.000606182,0.000249042,-0.489141,9.20577e-06,-9.19529e-06,5.05273e-07
0.3,Terrain,spikes,1.00058,0.196878,-0.000478567,-0.00834314,0.0429746,49.43,0.000680245,-0.000563449,0.000170242
0.3,spikes,plane,1.00053,0.196411,0.0902182,0.000182861,-0.00100781,-0.488812,9.16771e-06,-9.01821e-06,-3.26673e-06
0.31,Terrain,spikes,0.998068,0.201182,-0.000466149,0.0253545,-0.0175344,49.486,0.000659161,-0.000559187,-0.000126949
