time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.2,Terrain,spikes,0.866715,0.136982,-0.00100879,-23.1628,-2.05684,1086.94,-0.000193049,0.000367108,1.53366
0.21,Terrain,spikes,0.800064,4.22122e-05,-0.00111105,1.10761,1.74805,33.5627,-8.32734e-20,-3.46066e-16,1.9664e-17
0.22,Terrain,spikes,0.800046,0.183331,-0.000974521,1.47992,0.300101,39.4485,0.000130994,-0.000154895,0.257332
0.23,Terrain,spikes,0.800033,0.200022,-0.000937134,1.81929,0.00588499,39.6913,0.000217221,-1.05987e-06,0.00238906
0.24,Terrain,spikes,0.800022,0.209287,-0.000905448,2.59761,-0.145696,47.1422,0.000234443,-2.05534e-05,0.0351555
0.24,spikes,plane,1.1902,0.0877986,0.103824,0.56562,0.126104,-11.6979,3.29083e-06,-3.64012e-06,0.00623019
0.2,Terrain,spikes,0.866715,0.136982,-0.00100879,-23.1628,-2.05684,1086.94,-0.000193049,0.000367108,1.53366
0.21,Terrain,spikes,0.800064,4.22122e-05,-0.00111105,1.10761,1.74805,33.5627,-8.32734e-20,-3.46066e-16,1.9664e-17
0.22,Terrain,spikes,0.800046,0.183331,-0.000974521,1.47992,0.300101,39.4485,0.000130994,-0.000154895,0.257332
0.23,Terrain,spikes,0.800033,0.200022,-0.000937134,1.81929,0.00588499,39.6913,0.000217221,-1.05987e-06,0.00238906
0.24,Terrain,spikes,0.800022,0.209287,-0.000905448,2.59761,-0.145696,47.1422,0.000234443,-2.05534e-05,0.0351555
0.24,spikes,plane,1.1902,0.0877986,0.103824,0.56562,0.126104,-11.6979,3.29083e-06,-3.64012e-06,0.00623019
0.25,Terrain,spikes,0.800012,0.19758,-0.000887231,2.30134,0.0209645,40.1508,7.95798e-05,-6.64797e-06,0.0116164
0.25,spikes,plane,1.16978,0.00991366,0.104692,-0.0460208,-0.0147692,-0.476275,5.27603e-20,-2.20805e-17,4.65821e-19
0.26,Terrain,spikes,0.800005,0.18886,-0.000867713,2.41396,0.0767054,42.6067,0.000121189,-9.52168e-06,0.0166411
0.26,spikes,plane,1.01069,0.00614432,0.0991956,0.0140498,-0.0520952,-2.81723,2.10784e-18,-2.41848e-16,4.08247e-18
0.27,Terrain,spikes,0.799997,0.208092,-0.00083491,2.39336,-0.0324344,40.2781,8.48937e-05,6.90415e-05,-0.121482
0.27,spikes,plane,0.80182,0.00738727,0.0898685,-0.0138632,-0.00590489,-0.345863,8.06465e-21,-7.08172e-18,-1.07096e-19
0.28,Terrain,spikes,0.799991,0.198282,-0.000818161,2.56871,0.0367812,40.3002,9.83735e-05,-2.66919e-05,0.0476761
0.28,spikes,plane,0.801514,0.00613175,0.089907,-0.0208147,-0.00897916,-0.346612,9.82142e-20,3.86908e-18,-1.03059e-19
0.29,Terrain,spikes,0.799986,0.198246,-0.000795902,2.69297,0.0413847,40.3257,0.000115672,-2.23062e-05,0.03997
0.29,spikes,plane,0.801289,0.00612738,0.0899582,-0.026201,-0.0117306,-0.347747,-5.49581e-20,1.91999e-17,-6.35783e-19
0.3,Terrain,spikes,0.799984,0.198466,-0.000774259,2.56181,-0.0600667,40.3364,4.35686e-05,7.81674e-05,-0.141078
0.3,spikes,plane,0.801146,0.00612461,0.0900055,-0.0293557,-0.0140133,-0.348841,-2.70851e-20,3.86425e-18,-1.52214e-19
0.31,Terrain,spikes,0.799982,0.198384,-0.000753496,2.61316,-0.019967,40.3444,4.54478e-05,3.74196e-05,-0.0682874
0.31,spikes,plane,0.801083,0.0061234,0.0900494,-0.0347328,-0.0162268,-0.35002,-2.12457e-20,-7.73151e-18,3.34596e-19
0.32,Terrain,spikes,0.79998,0.198172,-0.000733497,2.72494,0.0624508,40.3458,6.4503e-05,-4.06651e-05,0.0750427
0.32,spikes,plane,0.801101,0.00612374,0.0900899,-0.0405333,-0.018222,-0.351222,-1.5156e-20,-4.07345e-18,1.8009e-19
0.33,Terrain,spikes,0.799981,0.19811,-0.000714097,2.71924,0.100697,40.3345,0.000108914,-7.94371e-05,0.147759
0.33,spikes,plane,0.801202,0.00612568,0.0901272,-0.045231,-0.0198529,-0.35231,3.71041e-20,4.04234e-18,-2.53537e-19
0.34,Terrain,spikes,0.799984,0.198489,-0.000695092,2.42065,-0.0895363,40.3039,2.2652e-05,0.0001077,-0.201937
0.34,spikes,plane,0.801386,0.00612917,0.0901609,-0.0455349,-0.0208597,-0.353166,-1.21342e-19,-1.16751e-17,7.01006e-19
0.35,Terrain,spikes,0.799988,0.198139,-0.000677093,2.54977,0.0665709,40.2805,3.64714e-05,-4.16501e-05,0.0781484
0.35,spikes,plane,0.801651,0.00613421,0.0901906,-0.0494374,-0.0219256,-0.353685,3.05025e-20,1.7169e-20,-2.09604e-20
0.36,Terrain,spikes,0.799994,0.198178,-0.000659487,2.45188,0.0968662,40.2394,4.11571e-05,-7.26394e-05,0.139603
0.36,spikes,plane,0.801998,0.00614084,0.0902156,-0.0486504,-0.0223075,-0.353337,-6.26017e-20,-1.14764e-17,7.34389e-19
0.37,Terrain,spikes,0.800003,0.198322,-0.000642405,2.10663,-0.0597187,40.1864,6.61231e-05,7.60292e-05,-0.147101
0.37,spikes,plane,0.802429,0.00614904,0.090235,-0.0439621,-0.0221329,-0.352509,-1.93674e-22,6.70842e-20,-3.55273e-21
0.38,Terrain,spikes,0.800013,0.198211,-0.000625997,2.18217,0.0947487,40.1542,3.24425e-05,-6.60217e-05,0.129249
0.38,spikes,plane,0.802919,0.0174039,0.0903564,-0.0422655,-0.021559,-0.371731,-1.94452e-19,-1.35864e-17,7.90048e-19
0.39,Terrain,spikes,0.800025,0.198234,-0.000610056,1.89386,0.0388138,40.0769,0.000111994,-1.60182e-05,0.0314509
0.39,spikes,plane,0.803512,0.0186651,0.0903693,-0.0362476,-0.0201942,-0.354988,3.58928e-19,1.95061e-17,-1.14901e-18
0.4,Terrain,spikes,0.800041,0.198337,-0.000594585,1.66398,0.0221992,40.0061,0.000116844,-1.70207e-06,0.00345667
0.4,spikes,plane,0.804192,0.0186785,0.0903604,-0.0323102,-0.0192838,-0.352926,1.74941e-19,1.55977e-17,-8.70258e-19
0.41,Terrain,spikes,0.800059,0.202802,-0.00057744,1.48918,-0.0298253,40.809,9.94667e-05,2.28962e-06,-0.00460127
0.41,spikes,plane,0.804962,0.131161,0.0904469,-0.0953091,0.0354959,-1.21996,1.13352e-18,-9.92134e-19,-4.9261e-19
0.42,Terrain,spikes,1.11998,0.20038,-0.000534226,-11.3214,4.9948,219.194,2.13834e-05,3.28897e-07,-0.000662795
0.42,spikes,plane,0.805732,0.388987,0.0910847,0.0156293,-0.0410808,-1.13356,-5.95319e-05,4.14604e-07,0.000216483
0.43,Terrain,spikes,1.19998,0.399914,-0.000548745,-1.69075,-1.80492,33.6056,1.29992e-15,-2.22927e-15,2.53457e-18
0.43,spikes,plane,0.806207,0.393876,0.0928708,0.00770274,0.0398691,-0.243758,-2.85605e-18,2.75841e-18,5.00172e-19
0.44,Terrain,spikes,1.19999,0.399917,-0.000533525,-1.25334,-1.3697,33.6027,-1.68128e-15,2.23172e-15,-1.03823e-16
0.44,spikes,plane,0.806588,0.394001,0.0945845,0.00506337,0.0374318,-0.24408,2.8968e-18,5.50134e-21,-2.83936e-19
0.45,Terrain,spikes,1.20001,0.399922,-0.000518816,-2.2937,-2.27176,33.7057,-3.75772e-16,6.7222e-15,2.46671e-16
0.45,spikes,plane,0.806909,0.39406,0.0959838,0.0110747,0.0457348,-0.245675,2.81783e-18,-1.4856e-19,9.8854e-20
0.46,Terrain,spikes,1.20001,0.399922,-0.000504612,-1.85098,-1.92124,33.6898,9.40926e-16,2.9779e-15,1.00316e-16
0.46,spikes,plane,0.807158,0.394045,0.0970704,0.00727649,0.0435322,-0.246054,1.43004e-18,6.96289e-20,6.10595e-19
0.47,Terrain,spikes,1.20002,0.399923,-0.000490888,-2.43624,-2.24821,33.7344,-1.95266e-16,1.52537e-15,3.16702e-16
0.47,spikes,plane,0.807339,0.393958,0.0978447,0.0105773,0.0468664,-0.246997,4.25828e-18,3.07887e-20,3.37143e-19
0.48,Terrain,spikes,1.20002,0.359933,-0.00048183,-3.48694,0.391026,66.1342,-1.86385e-15,-5.72147e-15,3.93616e-16
0.48,spikes,plane,0.807446,0.393797,0.0983078,0.0292106,0.00859871,-0.362753,8.93379e-18,-2.65094e-19,1.65084e-18
0.49,Terrain,spikes,1.2,3.30987e-05,-0.000508614,-2.17623,2.06469,35.2635,1.89495e-19,-5.54035e-15,-1.44202e-17
0.49,spikes,plane,0.807445,0.393634,0.098597,0.0266476,-0.028384,-0.139996,7.16474e-19,-2.14719e-18,-1.82134e-19
0.5,Terrain,spikes,1.2,2.96055e-05,-0.000494767,-2.01196,1.98248,33.589,2.93951e-19,-5.96106e-15,2.94426e-16
0.5,spikes,plane,0.807335,0.393556,0.0984817,0.0250586,-0.0321315,-0.132456,-6.3276e-19,2.01295e-20,6.1353e-19
0.51,Terrain,spikes,1.2,2.90186e-05,-0.000481364,-2.03661,1.95654,33.5757,2.5852e-19,-2.23524e-15,1.09035e-16
0.51,spikes,plane,0.807148,0.393552,0.0977556,0.0236773,-0.029235,-0.132517,7.34338e-19,-1.47752e-18,4.45568e-19
0.52,Terrain,spikes,1.19999,3.05019e-05,-0.00046841,-1.89157,1.88848,33.5562,-1.57995e-19,-7.47699e-16,4.5701e-17
0.52,spikes,plane,0.806886,0.389871,0.0964191,0.0258686,-0.0279077,-0.147997,7.39677e-19,-9.07336e-18,1.65683e-18
