#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
10.637,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369731,	-0.00717675,	1.24995,	0.176506,	-0.000686876,	-0.984299,	4.07164e-18,	-3.48216e-18,	-2.82195e-18,	4.77587e-19,	4.45167e-19,	1.39768e-19
10.638,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369748,	-0.00719126,	1.24994,	0.175988,	-0.000684785,	-0.984392,	0.606237,	-7.41911,	-21.7019,	1.25415,	-0.413124,	0.176266
10.638,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369757,	-0.00719497,	1.24995,	0.176159,	-0.000705887,	-0.984361,	-1.40027,	5.22728,	-14.4046,	-0.43601,	-0.499474,	-0.138869
10.64,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369781,	-0.00719526,	1.24995,	0.17608,	-0.00066772,	-0.984376,	-1.23489,	6.11438,	-15.7951,	-0.525894,	-0.510126,	-0.156357
10.641,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369791,	-0.0071926,	1.24995,	0.176062,	-0.000650792,	-0.984379,	-2.22449,	-3.74983,	-16.3542,	0.715069,	-0.646374,	0.0509432
10.642,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369813,	-0.00719127,	1.24995,	0.175977,	-0.000677549,	-0.984394,	-1.29966,	-8.12288,	-15.9716,	1.25571,	-0.522192,	0.163397
10.643,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369823,	-0.00719137,	1.24995,	0.175911,	-0.000703802,	-0.984406,	-2.77871,	1.81352,	-18.7333,	0.0557701,	-0.769211,	-0.0827376
10.644,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369843,	-0.00719001,	1.24995,	0.175875,	-0.000682227,	-0.984412,	-1.705,	7.61506,	-11.5461,	-0.777477,	-0.473142,	-0.197245
10.645,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369848,	-0.00718927,	1.24994,	0.175715,	-0.000682409,	-0.984441,	-3.92186,	-1.95303,	-25.6211,	0.630204,	-1.06719,	-0.0151167
10.646,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369874,	-0.00719283,	1.24995,	0.175775,	-0.000689066,	-0.98443,	-1.7623,	-9.29007,	-13.6429,	1.36643,	-0.527535,	0.182715
10.647,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369882,	-0.0071926,	1.24994,	0.175572,	-0.000686882,	-0.984466,	-3.85842,	0.250416,	-29.3228,	0.410648,	-1.14264,	-0.063793
10.648,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369902,	-0.00718958,	1.24995,	0.175702,	-0.000677326,	-0.984443,	-2.82673,	7.48159,	-16.3514,	-0.688402,	-0.721547,	-0.211138
10.649,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369908,	-0.0071888,	1.24994,	0.175568,	-0.000677525,	-0.984467,	-4.90018,	-2.16252,	-31.1677,	0.739923,	-1.31436,	-0.0251356
10.65,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369932,	-0.00719192,	1.24995,	0.175662,	-0.000689262,	-0.98445,	-2.76798,	-9.29657,	-19.5703,	1.45654,	-0.786712,	0.167705
10.651,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369938,	-0.00719157,	1.24994,	0.175501,	-0.000687154,	-0.984479,	-3.23229,	0.331445,	-35.0162,	0.486262,	-1.19264,	-0.0561751
10.651,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369938,	-0.0071878,	1.24995,	0.175726,	-0.00067721,	-0.984439,	-3.69745,	7.29519,	-20.614,	-0.600909,	-0.92637,	-0.220055
10.653,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0369943,	-0.00718697,	1.24994,	0.175612,	-0.000677404,	-0.984459,	-0.822036,	-2.18679,	-35.2889,	0.804993,	-0.897639,	0.0368731
10.654,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369908,	-0.00719093,	1.24995,	0.175914,	-0.000686321,	-0.984405,	-4.31002,	-8.84867,	-25.8517,	1.49521,	-1.12092,	0.134394
10.655,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369921,	-0.00719089,	1.24995,	0.175879,	-0.000714757,	-0.984412,	-4.5027,	1.96107,	-30.7342,	0.218068,	-1.25497,	-0.112024
10.655,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0369924,	-0.00719188,	1.24995,	0.175935,	-0.000687283,	-0.984402,	-10.0035,	0.00804238,	-23.3148,	0.350291,	-1.77516,	-0.150909
10.657,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369945,	-0.00719041,	1.24993,	0.175453,	-0.000685086,	-0.984488,	-1.47142,	0.68426,	-40.9101,	0.530859,	-1.10534,	-0.0375812
10.657,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369952,	-0.00719224,	1.24995,	0.176022,	-0.000681296,	-0.984386,	0.102503,	-1.58416,	-29.0444,	0.635529,	-0.641504,	0.0372324
10.659,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369963,	-0.00719132,	1.24995,	0.176299,	-0.000684972,	-0.984336,	-9.39443,	-0.09932,	-28.7237,	0.445163,	-1.82097,	-0.139299
10.659,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369989,	-0.0071906,	1.24995,	0.176061,	-0.000683039,	-0.984379,	-10.9747,	1.91121,	-30.9426,	0.22735,	-2.0683,	-0.208388
10.661,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370002,	-0.00718902,	1.24993,	0.175687,	-0.000681366,	-0.984446,	-3.40589,	-0.776759,	-45.9261,	0.788857,	-1.46005,	-0.0338077
10.661,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370011,	-0.00719154,	1.24995,	0.176216,	-0.000684105,	-0.984351,	-1.70585,	-2.00889,	-37.6836,	0.818648,	-1.06209,	0.0195614
10.663,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370021,	-0.00719125,	1.24995,	0.176508,	-0.000685964,	-0.984299,	-9.44409,	-1.0361,	-24.2934,	0.495391,	-1.72736,	-0.118913
10.664,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368639,	-0.00719235,	1.2499,	0.222625,	-0.000864487,	-0.973729,	-6.44246,	4.44286,	-47.9546,	0.16715,	-1.88518,	-0.197113
10.665,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370045,	-0.00718471,	1.24994,	0.176433,	-0.000662654,	-0.984313,	-8.96619,	-7.14647,	-46.8906,	1.59916,	-2.1767,	0.0259625
10.665,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0370068,	-0.00718304,	1.24995,	0.176503,	-0.000702782,	-0.9843,	-8.04955,	-8.23603,	-49.9047,	1.78062,	-2.13004,	0.06432
10.667,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370072,	-0.00718479,	1.24995,	0.176676,	-0.000718426,	-0.984269,	-9.11726,	1.56001,	-51.6688,	0.583152,	-2.30322,	-0.17244
10.668,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370082,	-0.00718508,	1.24995,	0.176835,	-0.000691878,	-0.98424,	-9.01569,	5.94228,	-51.12,	0.0272846,	-2.27819,	-0.269633
10.669,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370081,	-0.00718393,	1.24994,	0.176994,	-0.000664133,	-0.984212,	-10.2951,	-4.99619,	-56.9092,	1.48113,	-2.56851,	-0.042448
10.67,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368962,	-0.00718523,	1.24992,	0.214708,	-0.000835964,	-0.975922,	-6.53952,	-8.00665,	-56.2403,	1.84707,	-2.08528,	0.0824389
10.671,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0370062,	-0.00718485,	1.24995,	0.17753,	-0.000708675,	-0.984115,	-11.34,	2.41505,	-55.5874,	0.535119,	-2.66941,	-0.225141
10.672,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369038,	-0.00718691,	1.24993,	0.212179,	-0.000814945,	-0.97659,	-6.11147,	-1.23956,	-57.178,	1.01573,	-2.05675,	-0.0640141
10.673,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.037007,	-0.00718391,	1.24995,	0.178157,	-0.000686783,	-0.984002,	-15.6948,	-2.86032,	-53.4824,	1.16251,	-3.16626,	-0.171812
10.674,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036913,	-0.00718219,	1.24993,	0.210038,	-0.000818999,	-0.977144,	-15.7571,	-1.40327,	-60.1061,	1.08025,	-3.33205,	-0.205452
10.676,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369156,	-0.00718109,	1.24992,	0.208285,	-0.000809116,	-0.977577,	-5.91928,	-2.3424,	-49.1176,	1.03207,	-1.85486,	-0.0360821
10.678,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036923,	-0.00718289,	1.24991,	0.208564,	-0.000829223,	-0.977505,	-5.82698,	0.545409,	-42.8737,	0.577599,	-1.70124,	-0.10009
10.68,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369172,	-0.00718541,	1.24991,	0.208106,	-0.000808887,	-0.977626,	-0.973778,	6.11187,	-51.0903,	0.00602341,	-1.28179,	-0.15335
10.682,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369086,	-0.00719257,	1.24991,	0.208864,	-0.000764009,	-0.977451,	-2.88082,	-9.83891,	-50.6518,	1.99246,	-1.51021,	0.179903
10.684,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369013,	-0.00718273,	1.24991,	0.209322,	-0.000842087,	-0.977339,	-1.15852,	-0.0543078,	-50.5154,	0.767814,	-1.29217,	-0.0162834
10.687,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368878,	-0.00718774,	1.24991,	0.212928,	-0.000837824,	-0.976442,	6.95801,	-1.43806,	-25.8169,	0.568551,	0.28199,	0.137525
10.688,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368828,	-0.00718469,	1.24991,	0.215002,	-0.000835998,	-0.975927,	-4.86522,	-4.60843,	-39.1895,	1.16603,	-1.49892,	0.0312245
10.689,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368758,	-0.00718542,	1.24991,	0.217473,	-0.000863636,	-0.975261,	3.66029,	-2.54892,	-21.9225,	0.648621,	-0.0419346,	0.113156
10.692,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368726,	-0.00718159,	1.24991,	0.218784,	-0.00085134,	-0.974912,	1.24982,	-4.75582,	-34.79,	1.11807,	-0.636049,	0.126955
10.694,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036861,	-0.0071832,	1.24991,	0.220655,	-0.000884845,	-0.974389,	3.55951,	-3.26873,	-19.9077,	0.708161,	-0.00907218,	0.128089
