time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,hammer,20,0.0707548737235,-0.00246168016311,-0.000622426697373,-0.0525464359554,-0.0525463237186,-0.974722808599,0.00367259397171,0.00260168476962,9.29717785122,0.00256427533428,-0.131177037469,0.000188654292908
0.02,floor,hammer,20,0.0704955091816,-0.00459840651019,-0.000580443027866,-0.0561253891945,-0.056124912463,-0.976615136862,0.0050909742713,0.0452522262931,9.19427525625,0.000850178003611,-0.0846830545722,0.0078591558078
0.03,floor,hammer,20,0.070871698769,-0.00513346820662,-0.000560340900483,-0.0541272008693,-0.0541267046522,-0.978853392601,-0.00426856894046,0.0158453211188,9.24979192019,0.000434617988034,-0.0225301358104,0.00258025297101
0.04,floor,hammer,20,0.0709349266835,-0.00278649997781,-0.000569794287367,-0.026852620121,-0.026851696359,-0.990425613523,-0.00616350397468,-0.075916307047,9.31389379501,5.65638508425e-05,-2.77654705702e-05,-0.0119153066547
0.05,floor,hammer,20,0.0709108994342,-0.0048851347281,-0.000541527990572,-0.0506744827187,-0.0506730975995,-0.98232947886,0.00139289908111,0.0151668004692,9.27397316694,6.87576609335e-05,-1.66622726635e-05,0.00243542487952
0.06,floor,hammer,20,0.0974029997946,-0.00196252055175,-0.000549413239969,-0.0253867281525,-0.0253845792018,-0.991759815812,4.51338710263e-05,-0.00299675017595,9.27592864633,8.4928716446e-06,-4.07744105005e-06,-0.000483835767693
0.07,floor,hammer,20,0.110293167917,-0.00139679844433,-0.000495328622037,-0.0249741960722,-0.0249716818139,-0.992108640075,-0.00930396525655,-0.056754685007,9.28625929356,-2.71639442826e-06,-3.55802501295e-07,-0.00872089626118
0.08,floor,hammer,20,0.0977062134305,-0.00290282379719,-0.000510848275007,-0.0420880453823,-0.0420854397559,-0.985756078362,0.00501048006117,0.013903659652,9.23808541894,1.44624995931e-07,-8.98723183235e-07,0.00226695431405
0.09,floor,hammer,20,0.0972283152398,-0.00267122813093,-0.000497302387885,-0.0242589060937,-0.0242562297638,-0.992686158419,-0.000467701465823,0.0142281291774,9.2826923728,3.96115187775e-07,-8.57548622585e-07,0.00227201784859
0.1,floor,hammer,20,0.0839161508775,-0.00187280331447,-0.000464470173392,-0.0239475251012,-0.0239449752345,-0.992927998304,-0.00193724385463,-0.0386150884442,9.33976117522,-1.82458509239e-06,-2.05298223462e-06,-0.00609311774549
0.11,floor,hammer,20,0.11042441579,-0.00356676087395,-0.000466943444189,-0.0236659223002,-0.0236624805862,-0.993142533302,9.89064574242e-05,0.0388388813008,9.31180071831,1.71872646279e-07,-1.05083926566e-06,0.00615387187508
0.12,floor,hammer,20,0.110325811768,-0.00353654967912,-0.000445690118067,-0.0221146639227,-0.0221108390378,-0.994240653515,0.00123792514205,-0.0219776588492,9.29934316874,-1.12043226296e-07,-9.45256586782e-07,-0.00354026587764
0.13,floor,hammer,20,0.097040258022,-0.00507102224219,-0.000392615739111,-0.035545473863,-0.0355420075446,-0.990344756842,0.00815826264443,0.114003414288,9.16121697426,7.3107625814e-06,-6.28421768722e-06,0.0187858724965
0.14,floor,hammer,20,0.110267002537,-0.00394561752328,-0.000388666388244,-0.0410752958619,-0.0410711147751,-0.989746257663,-0.0048963399604,-0.00406276289141,9.24910583347,8.39543725579e-07,-3.13105043821e-06,-0.000625053772021
0.15,floor,hammer,20,0.110109378031,-0.0018201041632,-0.000361224308199,-0.056658372535,-0.0566542994558,-0.98461689651,-0.00165641459171,-0.013971040491,9.32004356384,-1.59165829662e-06,1.7876544578e-07,-0.00218941722575
0.16,floor,hammer,20,0.110099304246,-0.00161538947432,-0.000393152988545,-0.0405776567327,-0.0405735230944,-0.990090036392,-0.002326621674,0.0210272654949,9.31082963943,-7.01320247348e-07,-2.66800025517e-07,0.00328705672717
0.17,floor,hammer,20,0.123280965432,-0.000599422848609,-0.000372221467842,-0.0345266449415,-0.0345219207948,-0.991052863002,-0.00507870828733,-0.00200903788209,9.35189783573,-1.96095111098e-06,-6.25942142313e-07,-0.000325689694212
0.18,floor,hammer,20,0.110309882229,0.000607639878581,-0.000378782078769,-0.0368209220586,-0.0368164338722,-0.98962546885,-0.00581417046487,0.00622954033315,9.35543698072,-2.18988405462e-06,-6.75304439424e-07,0.000944252307002
0.19,floor,hammer,20,0.110522789019,0.000678434350993,-0.000375280150911,-0.0211761844859,-0.0211716393085,-0.994840222597,-0.00334660429507,-0.0106309426483,9.31594848633,-1.16186036226e-06,6.02559203228e-08,-0.00164765117639
0.2,floor,hammer,20,0.109847271827,-0.00123287070019,-0.000344597271032,-0.0210378596637,-0.0210333481369,-0.994924715161,0.00374255236238,0.0292152957991,9.2517580092,7.2916405841e-08,-1.79025840728e-06,0.00468616105644
0.21,floor,hammer,20,0.0834514793707,-0.00387152441399,-0.000287178180224,-0.044354726469,-0.0443512962626,-0.982428526878,0.0216783708893,0.121351201087,9.14312872291,2.40870507746e-05,-7.4672391524e-06,0.0210056021003
0.22,floor,hammer,20,0.0969775590987,-0.00044682813168,-0.000303472645282,-0.0439664310443,-0.0439625081137,-0.982837831974,0.00148612214252,0.0207186449552,9.31847155094,8.28431974575e-07,-8.19279612291e-07,0.00327829770308
0.23,floor,hammer,20,0.0962939795805,-0.00297298168007,-0.000239131415401,-0.121879156654,-0.12187544361,-0.956673523784,-0.000728056766093,-0.00474102795124,9.28597670794,2.58187540846e-07,4.05819238686e-07,-0.000754153979723
0.24,floor,hammer,20,0.0831090593361,-0.00201128010522,-0.000230066681434,-0.112401833673,-0.112398666414,-0.962132143974,-0.00540705164894,-0.0937072332017,9.33109009266,-9.96937011759e-07,-4.62395501666e-07,-0.0144168033779
0.25,floor,hammer,20,0.0696974627266,-0.00321415082144,-0.000220803113638,-0.119570914561,-0.119568277097,-0.9599039644,0.00524276003125,0.00159582309425,9.304929737,3.58300386094e-06,-9.06498666853e-07,0.000250661387459
0.26,floor,hammer,20,0.0566539195599,-0.00220199328614,-0.000220109515976,-0.144226162831,-0.144223900608,-0.952218601108,0.0164169087075,-0.00418575713411,9.23191130161,2.43809955084e-06,-8.89621598527e-07,-0.00074777166544
0.27,floor,hammer,20,0.0833144741599,8.02444206784e-05,-0.000214007434806,-0.119349129585,-0.119345997536,-0.956088736653,-0.013063762337,-0.0883911394631,9.36777353287,-5.64523715787e-06,-6.10459842544e-07,-0.0130664298925
0.28,floor,hammer,20,0.0967946099874,-0.000823661108734,-0.000214061382849,-0.0963869516255,-0.0963833375623,-0.967812269926,-0.0150645827448,-0.0458345715888,9.3828535378,-1.53163930126e-06,4.7563591378e-08,-0.00672074221816
0.29,floor,hammer,20,0.0701489710133,-0.000890328898095,-0.000201872246635,-0.108652994051,-0.108650367457,-0.964781656861,0.0128295966424,-0.0301440660842,9.30114364624,-1.05720863253e-08,1.79936022138e-07,-0.00499340037641
0.3,floor,hammer,20,0.0835274420155,-0.00175068899262,-0.000196757478807,-0.0795394112401,-0.079536351007,-0.975736746192,-0.00565747683868,0.0293267583475,9.29004746675,8.0327645375e-06,-6.83261990597e-07,0.00450058065756
0.31,floor,hammer,20,0.0703016429441,-0.00261435961147,-0.000209530709481,-0.0623030242019,-0.0623003716152,-0.97967363596,0.00989584159106,0.0864811390638,9.22090190649,1.65872362128e-05,-6.79573144471e-06,0.0141222128812
