time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],hammer_comx,hammer_comy,hammer_comz,hammer_x,hammer_y,hammer_z,hammer_rx,hammer_ry,hammer_rz,hammer_dx,hammer_dy,hammer_dz,hammer_wx,hammer_wy,hammer_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0497240335686,0.00627636519769,0.163530229873,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.185000002384,0.0,0.01600000076,2.38418579324e-09,0.0,7.59959220553e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0497245198334,0.00627606280773,0.163220444596,1.90221660491e-18,-2.37323761367e-11,0.000340402566463,6.28318530701,6.28318530586,1.75105865724e-07,0.0,0.0,1.75010189271e-07,0.00154503247606,6.28318530718,0.0,0.0,-3.29272609179e-10,0.00145854124705,6.28318530703,0.0,0.0,0.00145854322611,1.75079404585e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.21386608396e-08,2.17276636405e-06,-6.87996113654,8.26728684844e-08,3.12062442939e-06,-8.75175911406e-05,-2.79060768208e-07,0.30927483762,1.81898940355e-12,0.309707293765,7.27595761418e-11,0.309707283869,-8.75397022926e-08,0.18500046432,2.2166789222e-06,0.0160449817777,6.59418583349e-08,5.25384045773e-07,4.95879913742e-05,-0.000123785910546,2.48985488724e-05,-1.56213172886e-06,5.36299230589e-05,0.000290538591798,0.00494359247386,-0.017229212448,0.00316315516829,-6.44193914923e-06,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.0497253489039,0.00627504203226,0.16269951366,4.35548499564e-18,-2.37323761367e-11,0.000888557384362,6.28318530701,6.28318530339,1.75265294555e-07,0.0,0.0,-1.64636304589e-10,0.0064489373369,6.28318530634,0.0,0.0,1.75174825395e-07,0.0061591479359,-0.0,0.0,0.0,0.00615915957744,1.75504094535e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79044413011e-07,2.06434894576e-06,-10.0205147795,8.15457213049e-08,4.04788405812e-06,-8.75850523457e-05,2.79060767921e-07,0.443255313316,4.19739354385e-10,0.44470426032,0.0,0.444704202113,-8.77520472675e-08,0.185000807047,3.63971253137e-06,0.0160946473479,6.34694006241e-08,6.03569082386e-07,0.000103244902079,-0.000208121855394,4.64734293928e-05,-1.58330192335e-06,4.24801546615e-05,0.000201695220312,0.00479477690533,-0.011942319572,0.00250360323116,-4.04435559176e-06,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208330216132,0.0208323557927,0.0208323555974
0.03,0.0497261450001,0.00627325957706,0.162202937238,4.35548499564e-18,-2.37323761367e-11,0.0013795959805,6.28318530676,6.28318530068,6.28318530685,0.0,0.0,-4.19741574831e-10,0.0141124275876,6.28318530455,0.0,0.0,-1.16415321827e-10,0.0135641412241,-0.0,0.0,0.0,0.0135641430868,1.76162611942e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77661313217e-09,2.17295322861e-06,-11.3982432328,2.09819823814e-07,5.52329630112e-06,2.14777750558e-07,4.82757596454e-10,0.563437862062,1.31705624185e-09,0.566179293879,0.0,0.566179284566,-8.80813059712e-08,0.185001224279,6.09504741078e-06,0.0161419436336,1.01501122118e-07,7.41949220242e-07,0.000154926606119,-0.000353404997186,7.017336023e-05,-1.61668518587e-06,3.65384112229e-05,0.000271787983365,0.00465621985495,-0.0160727743059,0.00215684762225,-2.33877358369e-06,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205416522111,0.0205389245486,0.0205389244485
0.04,0.0497267877066,0.00627058865102,0.161793726218,1.90221660491e-18,-2.37323761367e-11,0.00174518153719,6.28318530685,6.2831852973,1.74961968448e-07,0.0,0.0,1.75998006058e-07,0.0241168921245,6.28318530455,0.0,0.0,-0.0,0.0233134662164,1.76927920759e-07,0.0,0.0,0.0233134569032,1.75776848299e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02093437479e-07,2.22575515274e-06,-11.9355403188,1.63914114177e-07,8.36582194452e-06,-8.742727459e-05,-2.80108871368e-07,0.671915539377,1.31699318118e-09,0.675932668918,-8.84639603793e-08,0.675932715484,-8.78884241495e-08,0.185001641512,8.67602648214e-06,0.0161880981177,1.57293747194e-07,8.89407308705e-07,0.000205261144198,-0.00050592677699,9.27632245774e-05,-1.64252106448e-06,3.40455808328e-05,0.000181656869245,0.00458070682362,-0.0107361515984,0.00201036315411,-2.2503973014e-06,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202805302117,0.0202750444411,0.0202750444712
0.05,0.0497273036162,0.00626684910211,0.161468419368,4.35548499564e-18,-2.37323761367e-11,0.00199221330716,6.28318530685,6.28318529491,1.75472468833e-07,0.0,0.0,-1.64636304589e-10,0.0361833197428,-0.0,0.0,0.0,-1.48172496495e-09,0.0351475214017,1.80113095549e-07,0.0,0.0,0.0351475325776,6.28318530455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81529800141e-07,2.40172777719e-06,-12.1022455016,1.68045950804e-07,7.52452909112e-06,-8.76917453776e-05,-2.09620680602e-09,0.770083401286,0.0,0.775262392991,-9.00565477746e-08,0.775262337112,1.31688571159e-09,0.185001969337,1.09117145257e-05,0.0162326470017,1.64911500178e-07,1.01986542484e-06,0.000253514295116,-0.000637866397274,0.000112776099397,-1.66138966236e-06,3.55253760063e-05,0.000249574164627,0.00437616324052,-0.014718959108,0.00209323130548,-1.97867893803e-06,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200449387881,0.0200366928571,0.0200366925568
0.06,0.0497277263398,0.0062618322497,0.1612043243,1.90221660491e-18,-2.37323761367e-11,0.00214909293337,6.28318530652,6.28318529203,6.28318530701,0.0,0.0,-8.23180634768e-10,0.0501021032585,6.28318530191,0.0,0.0,-4.19741574831e-10,0.0488596444381,1.80112337045e-07,0.0,0.0,0.0488596630646,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.34427636732e-07,2.58020402481e-06,-12.1224957181,3.33007435448e-07,8.85626828222e-06,1.28032337133e-07,6.42091704764e-10,0.858989483708,2.63335131478e-09,0.865201777809,-9.00561685224e-08,0.865201684677,0.0,0.185002192855,1.22468391055e-05,0.0162769239396,1.56453344974e-07,1.0994458479e-06,0.000300473423602,-0.000716523498896,0.00012727450223,-1.66780769926e-06,1.75481491169e-05,4.75699416711e-05,0.00441862270236,-0.00279957964085,0.00103179493453,-1.35588649641e-07,0.822744479495,0.822744479495,0.822744479495,0.0,0.0198317713195,0.0198209998326,0.0198209999127
0.07,0.0497280738087,0.00625531658334,0.16097817146,3.12836255702e-18,-2.37323761367e-11,0.00224456479689,6.28318530701,6.28318528956,1.74961968448e-07,0.0,0.0,1.75105865724e-07,0.0656990145696,6.28318528612,0.0,0.0,1.74961968448e-07,0.0642729138387,1.85376825002e-07,0.0,0.0,0.0642729361905,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.59940512796e-08,2.18207788411e-06,-12.0979439768,8.14909087582e-08,1.13016323897e-05,-8.74200845556e-05,-2.29019092245e-10,0.939504927152,1.05310284937e-08,0.946635430806,-9.26884125008e-08,0.946635319048,0.0,0.185002341866,1.25282185763e-05,0.0163204539567,1.62506476054e-07,1.11649480903e-06,0.000345657349157,-0.00073307230202,0.000136209403425,-1.66591251578e-06,1.38865534609e-05,-7.48148668208e-05,0.00428597163409,0.0043964041397,0.000814421160612,2.63281890511e-07,0.812744479495,0.812744479495,0.812744479495,0.0,0.0196387206155,0.0196257009773,0.0196257011375
0.08,0.0497283968962,0.00624707803801,0.160772045152,1.90221660491e-18,-2.37323761367e-11,0.00230102536838,6.28318530706,6.28318528734,1.75105865724e-07,0.0,0.0,-6.58544330179e-10,0.0828202923192,6.28318529665,0.0,0.0,-4.19741574831e-10,0.0812296753181,1.90637587494e-07,0.0,0.0,0.0812296678675,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22589922438e-07,2.32162903294e-06,-12.0711322019,5.89006002581e-08,1.52501764919e-05,-8.75031273516e-05,3.80065500617e-10,1.0123985384,5.26384003052e-09,1.02035162341,-9.53187937469e-08,1.02035166066,0.0,0.185002505779,1.24195212265e-05,0.0163624882698,1.712976955e-07,1.10976927476e-06,0.000389485257896,-0.000726691861416,0.00014590450732,-1.66220215842e-06,1.3897097233e-05,7.86836699262e-06,0.00415997672826,-0.000462067459011,0.00081494130427,-2.14443645064e-08,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194638853107,0.0194488683749,0.019448868455
0.09,0.0497287028734,0.00623689756078,0.160573939106,4.35548499564e-18,-2.37323778714e-11,0.00233394207531,6.28318530676,6.28318528528,1.75078383749e-07,0.0,0.0,1.75918849377e-07,0.101326439287,6.28318529666,0.0,0.0,1.77069664931e-07,0.0995868404759,-0.0,0.0,0.0,0.09958689263,6.28318529666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53388563514e-07,2.31722130528e-06,-12.0515664014,2.08107636078e-07,1.40535374027e-05,-8.74997662815e-05,1.83157555698e-09,1.07836780357,5.26159604775e-09,1.08706579762,0.0,1.08706553685,5.26182653005e-09,0.185002654791,1.21290295283e-05,0.0164031703025,1.69025501234e-07,1.09138793641e-06,0.000431915561319,-0.000709647252743,0.000155359759061,-1.65682992681e-06,1.73135395016e-05,1.00976267277e-05,0.00403803493828,-0.000592124473769,0.00101371353958,-5.04377304367e-08,0.792744479495,0.792744479495,0.792744479495,0.0,0.0193055951703,0.0192887904621,0.0192887907825
