time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],heinz_comx,heinz_comy,heinz_comz,heinz_x,heinz_y,heinz_z,heinz_rx,heinz_ry,heinz_rz,heinz_dx,heinz_dy,heinz_dz,heinz_wx,heinz_wy,heinz_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.00372385972247,-0.105531018478,0.0803712743501,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,-0.00116717792116,-0.000184965072549,0.0982167422771,-3.31016420871e-11,-3.32603931376e-12,-3.00915656282e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,-0.00372405933802,-0.105520873144,0.0800343657398,2.72008046039e-18,0.000360474108456,-1.93720970555e-07,1.75950878867e-07,1.75032569744e-07,6.28318530698,0.0,0.0,-3.2810820727e-10,0.00105780001169,1.75257143353e-07,0.0,0.0,-3.70669717142e-10,0.00109978217071,6.28318530697,0.0,0.0,0.00109977867825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.927036285e-07,-7.27279912979,0.000968250695131,-8.99249922108e-05,-8.7226133753e-05,3.87824400868e-06,-6.77385884136e-11,0.311710999942,-8.76285716767e-08,0.311501089146,1.04935171663e-10,0.311501106609,0.0,-0.00116335577331,-0.000173512875335,0.0982588157058,1.91368275553e-08,5.87722473784e-08,4.20037695705e-05,-0.00011600322614,3.8720194425e-05,3.45236053079e-08,0.000777160632424,0.00166594993789,0.00457758503035,-0.0168739818037,0.00787262246013,2.48477772402e-06,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,-0.00372485343782,-0.105487054698,0.0794690154763,3.66478772156e-18,0.000965394408983,-4.00842303208e-06,1.78314673915e-07,1.75335177988e-07,1.75142614522e-07,0.0,0.0,-8.04037725288e-10,0.00494806863273,1.75504095645e-07,0.0,0.0,-4.39047020961e-10,0.00509530700648,1.75174824368e-07,0.0,0.0,0.00509529815892,1.75174824368e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70390386507e-07,-10.9185176261,0.0200358781797,-9.18241028642e-05,-8.71413430441e-05,-8.22597778482e-05,5.80899389367e-10,0.450759656836,-8.77520478226e-08,0.450023464968,-8.75874121842e-08,0.450023509205,-8.75874121842e-08,-0.00115714094136,-0.000155553745572,0.0983043685555,5.2560759894e-08,1.58996658362e-07,8.74553830894e-05,-0.000297835946645,0.000101656363968,1.52871823129e-07,0.000940672936849,0.00184221810196,0.0042313914746,-0.0186587534845,0.00952862855047,1.42181024785e-05,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208286596524,0.0208291199968,0.0208291201244
0.03,-0.00372632734852,-0.105428352461,0.0789507609212,4.39173761852e-18,0.00151993385107,-7.56979949604e-06,1.8100825816e-07,1.75392658341e-07,6.2831853069,0.0,0.0,-1.39357947404e-09,0.0115132282851,-0.0,0.0,0.0,-9.31998478393e-10,0.0117447466953,1.76162619603e-07,0.0,0.0,0.0117447448326,6.28318530586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23363847484e-07,-12.5762456895,0.0378381280852,-9.34863548863e-05,-8.73526277911e-05,6.89107480229e-06,7.34627253068e-10,0.576433858574,0.0,0.575276266524,-8.80813098014e-08,0.575276275837,6.58533227949e-10,-0.00115270831157,-0.000137681810884,0.0983480885625,7.85562581441e-08,2.61763397803e-07,0.000131095413665,-0.000478754333851,0.000146522650904,2.24043491336e-07,-6.32154842606e-05,0.0018036699621,0.00409745052457,-0.0182635132223,-0.000639714766294,6.43407474854e-06,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205266665469,0.0205282829037,0.0205282829287
0.04,-0.00372861611317,-0.105347259093,0.0785603883691,4.68268599127e-18,0.00193768060296,-1.09076704742e-05,1.83713446233e-07,1.75314262996e-07,1.75268401348e-07,0.0,0.0,-1.83657888897e-09,0.0204960310263,1.76162573085e-07,0.0,0.0,-1.4112746527e-09,0.0207938568098,1.76162570975e-07,0.0,0.0,0.0207938735736,6.28318530382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.10119723782e-07,-13.2188810753,0.0545238090547,-9.45078938263e-05,-8.56992812343e-05,-8.19285033481e-05,6.76891132342e-10,0.690019844868,-8.80812865423e-08,0.688530715951,-8.80812854875e-08,0.688530632132,1.67887836966e-09,-0.00115439679939,-0.000118395357276,0.0983890071511,6.96968231618e-08,3.72870228548e-07,0.000172009559164,-0.000673989731598,0.000129421331902,2.81600912541e-07,0.000124262238387,0.00205859052949,0.00425115367398,-0.0208229497075,0.00125834043138,-3.66584549738e-06,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202537205437,0.0202562638103,0.0202562639205
0.05,-0.00373190593814,-0.105245948131,0.078296841183,4.54049116244e-18,0.00221973732655,-1.40071051461e-05,1.86608870578e-07,6.28318530686,6.28318530689,0.0,0.0,-2.46329179276e-09,0.0316639540149,-0.0,0.0,0.0,-1.74882952564e-09,0.0320128088249,1.77479393626e-07,0.0,0.0,0.0320128162755,6.28318530455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.40859748203e-07,-13.386199721,0.0700173397373,-9.61979435753e-05,-3.89130274947e-07,5.14868567766e-06,1.13709935562e-09,0.792680229926,0.0,0.790935955876,-8.8739696813e-08,0.790935918623,1.31692035055e-09,-0.0011535222875,-0.000103647689684,0.0984281599522,7.37257503166e-08,4.65403918999e-07,0.000211136125079,-0.000823200545618,0.000138284342143,1.93314614046e-07,0.000218441331526,0.00117155665066,0.00397121347487,-0.0118519496173,0.00221102265641,1.86476972885e-06,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200070285982,0.0200103026501,0.0200103026101
0.06,-0.0037363858125,-0.105126432333,0.0781323233112,3.96662592708e-18,0.00239586165558,-1.68979295562e-05,1.8938302393e-07,1.75171753047e-07,6.28318530661,0.0,0.0,-3.03331493257e-09,0.0448067819131,-0.0,0.0,0.0,-2.15903828149e-09,0.0451937203659,-0.0,0.0,0.0,0.0451937240911,6.28318529885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.04228052403e-07,-13.3609990895,0.0844692684869,-9.74004151922e-05,-8.83894712891e-05,5.19958279077e-06,1.39145125267e-09,0.885466090434,0.0,0.883531398171,0.0,0.883531379544,4.16404466463e-09,-0.00115070736501,-8.84394175955e-05,0.0984642729163,9.08529106866e-08,5.57338742115e-07,0.000247199081836,-0.000977109225243,0.000166770111851,2.93913342196e-07,-0.000324644002831,0.00158121727873,0.00387632846832,-0.0159956403077,-0.00328594911844,1.06994330054e-05,0.822744479495,0.822744479495,0.822744479495,0.0,0.0197840652645,0.0197879030362,0.0197879030763
0.07,-0.00374229529189,-0.104990536813,0.0780361873044,3.40596021955e-18,0.00249883617051,-1.9609946018e-05,1.92005000343e-07,1.7514745565e-07,6.28318530681,0.0,0.0,-3.65912811162e-09,0.0597346012844,-0.0,0.0,0.0,-2.68726374486e-09,0.0601486374987,-0.0,0.0,0.0,0.0601486486746,6.28318530191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.19995753318e-07,-13.278031468,0.0980276678963,-9.83958015449e-05,-8.90038336733e-05,6.03168947316e-06,1.54676656284e-09,0.969326993578,0.0,0.967256812506,0.0,0.967256756627,2.63298716163e-09,-0.00115415989421,-7.68163808971e-05,0.0984995886683,7.00378025929e-08,6.30354623926e-07,0.00028254557221,-0.00109470674865,0.000131829893506,3.24729093962e-07,-0.000505270261783,0.00100421311799,0.00360652338713,-0.0101562999189,-0.00511172087863,3.55609745384e-06,0.812744479495,0.812744479495,0.812744479495,0.0,0.019582547831,0.019586807897,0.0195868079371
0.08,-0.00374985949818,-0.104839977604,0.0779835151689,3.74667239835e-18,0.00255532649136,-2.2202747293e-05,1.94572381318e-07,6.2831853067,1.75160310117e-07,0.0,0.0,-4.31930047284e-09,0.0762756576193,-0.0,0.0,0.0,-3.17085380175e-09,0.0767076199306,-0.0,0.0,0.0,0.0767076571835,6.28318530192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95694564665e-10,-13.192921887,0.110989502289,-9.95741828361e-05,1.61361559314e-06,-8.27829035668e-05,1.82780537162e-09,1.0451217119,0.0,1.04296190035,0.0,1.04296171408,2.63224109176e-09,-0.00115969276521,-6.72499591019e-05,0.0985328480601,3.42453148991e-08,6.92197699775e-07,0.000315864098476,-0.00119147850668,7.58610875769e-05,3.30480099031e-07,-0.000558090221602,0.000736149493605,0.00322247878648,-0.00744640687481,-0.005645647645,1.17551371659e-06,0.802744479495,0.802744479495,0.802744479495,0.0,0.019400413944,0.019404976524,0.0194049767243
0.09,-0.00375928766375,-0.104676323842,0.0779566336205,3.87841704092e-18,0.00258422729675,-2.47061416275e-05,1.97006395197e-07,6.28318530642,1.75573859784e-07,0.0,0.0,-4.65931471183e-09,0.0942747925771,-0.0,0.0,0.0,-3.85731802055e-09,0.094717029239,-0.0,0.0,0.0,0.0947170441402,6.28318529054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.20674548348e-07,-13.1265341995,0.123505875426,-0.000100837943947,4.38441487866e-06,-8.11313995124e-05,1.27641439279e-09,1.11362603711,0.0,1.1114148538,0.0,1.1114147793,8.32159940956e-09,-0.00116085784975,-5.66336893826e-05,0.0985649004579,2.60896984776e-08,7.6865905204e-07,0.000347922104027,-0.0012987915081,6.40816248036e-05,4.46700607078e-07,0.000376231240807,0.00133134063799,0.00305099086836,-0.0134640745819,0.00380548695102,3.5066793771e-06,0.792744479495,0.792744479495,0.792744479495,0.0,0.0192357992414,0.0192405632972,0.0192405636176
