time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],hammer_comx,hammer_comy,hammer_comz,hammer_x,hammer_y,hammer_z,hammer_rx,hammer_ry,hammer_rz,hammer_dx,hammer_dy,hammer_dz,hammer_wx,hammer_wy,hammer_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0497240335686,0.00627636519769,0.163530229873,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.185000002384,0.0,0.01600000076,2.38418579324e-09,0.0,7.59959220553e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0497245198334,0.00627606280773,0.163220444596,1.90221660491e-18,-2.37323761367e-11,0.000340402566463,6.28318530701,6.28318530586,1.75105865724e-07,0.0,0.0,1.75010189271e-07,0.00154503247606,6.28318530718,0.0,0.0,-3.29272609179e-10,0.00145854124705,6.28318530703,0.0,0.0,0.00145854322611,1.75079404585e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.21386608396e-08,2.17276636405e-06,-6.87996113654,8.26728684844e-08,3.12062442939e-06,-8.75175911406e-05,-2.79060768208e-07,0.30927483762,1.81898940355e-12,0.309707293765,7.27595761418e-11,0.309707283869,-8.75397022926e-08,0.18500046432,2.723238822e-06,0.0160496383905,1.27310631759e-08,2.91120053589e-07,5.4859872238e-05,-0.000158866561833,2.82242726826e-05,-5.90979595927e-07,5.07433542225e-05,0.000290245196084,0.00491610821337,-0.0172076001763,0.00298840738833,-6.77942944094e-06,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.0497253489039,0.00627504203226,0.16269951366,4.35548499564e-18,-2.37323761367e-11,0.000888557384362,6.28318530701,6.28318530339,1.75265294555e-07,0.0,0.0,-1.64636304589e-10,0.0064489373369,6.28318530634,0.0,0.0,1.75174825395e-07,0.0061591479359,-0.0,0.0,0.0,0.00615915957744,1.75504094535e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79044413011e-07,2.06434894576e-06,-10.0205147795,8.15457213049e-08,4.04788405812e-06,-8.75850523457e-05,2.79060767921e-07,0.443255313316,4.19739354385e-10,0.44470426032,0.0,0.444704202113,-8.77520472675e-08,0.185000821948,4.19761727244e-06,0.0160992406309,4.13875677618e-08,3.73239636133e-07,0.000108266786865,-0.000246193876026,4.87849548024e-05,-6.14123576648e-07,4.82696887047e-05,0.00023223394237,0.00480155227706,-0.013752238825,0.00285077746958,-3.45922035194e-06,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208330216132,0.0208323557927,0.0208323555974
0.03,0.0497261450001,0.00627325957706,0.162202937238,4.35548499564e-18,-2.37323761367e-11,0.0013795959805,6.28318530676,6.28318530068,6.28318530685,0.0,0.0,-4.19741574831e-10,0.0141124275876,6.28318530455,0.0,0.0,-1.16415321827e-10,0.0135641412241,-0.0,0.0,0.0,0.0135641430868,1.76162611942e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77661313217e-09,2.17295322861e-06,-11.3982432328,2.09819823814e-07,5.52329630112e-06,2.14777750558e-07,4.82757596454e-10,0.563437862062,1.31705624185e-09,0.566179293879,0.0,0.566179284566,-8.80813059712e-08,0.185001209378,6.4423807089e-06,0.0161468945444,8.61848238887e-08,4.99874771606e-07,0.000159882376174,-0.000378995850296,7.01994663664e-05,-6.43059946968e-07,3.12686715915e-05,0.000210363912629,0.00474232621491,-0.0124421799555,0.0018483774038,-2.35135348703e-06,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205416522111,0.0205389245486,0.0205389244485
0.04,0.0497267877066,0.00627058865102,0.161793726218,1.90221660491e-18,-2.37323761367e-11,0.00174518153719,6.28318530685,6.2831852973,1.74961968448e-07,0.0,0.0,1.75998006058e-07,0.0241168921245,6.28318530455,0.0,0.0,-0.0,0.0233134662164,1.76927920759e-07,0.0,0.0,0.0233134569032,1.75776848299e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02093437479e-07,2.22575515274e-06,-11.9355403188,1.63914114177e-07,8.36582194452e-06,-8.742727459e-05,-2.80108871368e-07,0.671915539377,1.31699318118e-09,0.675932668918,-8.84639603793e-08,0.675932715484,-8.78884241495e-08,0.185001656413,9.14211614145e-06,0.0161927491426,1.58563838337e-07,6.54699774771e-07,0.000210070818204,-0.000538489662548,9.3615400249e-05,-6.68942339219e-07,3.94383605453e-05,0.000275575031992,0.00451749563217,-0.0162705611438,0.00232613505796,-2.41620455199e-06,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202805302117,0.0202750444411,0.0202750444712
0.05,0.0497273036162,0.00626684910211,0.161468419368,4.35548499564e-18,-2.37323761367e-11,0.00199221330716,6.28318530685,6.28318529491,1.75472468833e-07,0.0,0.0,-1.64636304589e-10,0.0361833197428,-0.0,0.0,0.0,-1.48172496495e-09,0.0351475214017,1.80113095549e-07,0.0,0.0,0.0351475325776,6.28318530455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81529800141e-07,2.40172777719e-06,-12.1022455016,1.68045950804e-07,7.52452909112e-06,-8.76917453776e-05,-2.09620680602e-09,0.770083401286,0.0,0.775262392991,-9.00565477746e-08,0.775262337112,1.31688571159e-09,0.185001969337,1.1346141946e-05,0.0162374302745,1.54868699614e-07,7.83725250756e-07,0.000258413799464,-0.000668527815303,0.000113404077555,-6.86563621451e-07,3.27147135977e-05,0.000201091985218,0.00440437626094,-0.0118542127311,0.00192675017752,-1.50057758219e-06,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200449387881,0.0200366928571,0.0200366925568
0.06,0.0497277263398,0.0062618322497,0.1612043243,1.90221660491e-18,-2.37323761367e-11,0.00214909293337,6.28318530652,6.28318529203,6.28318530701,0.0,0.0,-8.23180634768e-10,0.0501021032585,6.28318530191,0.0,0.0,-4.19741574831e-10,0.0488596444381,1.80112337045e-07,0.0,0.0,0.0488596630646,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.34427636732e-07,2.58020402481e-06,-12.1224957181,3.33007435448e-07,8.85626828222e-06,1.28032337133e-07,6.42091704764e-10,0.858989483708,2.63335131478e-09,0.865201777809,-9.00561685224e-08,0.865201684677,0.0,0.185002163053,1.2446744222e-05,0.0162816904485,1.32823828602e-07,8.49469808543e-07,0.000305169642364,-0.000733360255347,0.00012688905359,-6.9124304264e-07,1.76372559508e-05,4.48176251666e-05,0.00440252572298,-0.00263735395856,0.00103690929245,-1.39062805715e-07,0.822744479495,0.822744479495,0.822744479495,0.0,0.0198317713195,0.0198209998326,0.0198209999127
0.07,0.0497280738087,0.00625531658334,0.16097817146,3.12836255702e-18,-2.37323761367e-11,0.00224456479689,6.28318530701,6.28318528956,1.74961968448e-07,0.0,0.0,1.75105865724e-07,0.0656990145696,6.28318528612,0.0,0.0,1.74961968448e-07,0.0642729138387,1.85376825002e-07,0.0,0.0,0.0642729361905,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.59940512796e-08,2.18207788411e-06,-12.0979439768,8.14909087582e-08,1.13016323897e-05,-8.74200845556e-05,-2.29019092245e-10,0.939504927152,1.05310284937e-08,0.946635430806,-9.26884125008e-08,0.946635319048,0.0,0.185002326965,1.2722174688e-05,0.0163247492164,1.21054938074e-07,8.66248847728e-07,0.000350259729516,-0.000749566375701,0.000137869158661,-6.89594157004e-07,2.10278085433e-05,-1.74636606971e-05,0.0042426250875,0.00102728093043,0.00123474188149,1.86657445056e-07,0.812744479495,0.812744479495,0.812744479495,0.0,0.0196387206155,0.0196257009773,0.0196257011375
0.08,0.0497283968962,0.00624707803801,0.160772045152,1.90221660491e-18,-2.37323761367e-11,0.00230102536838,6.28318530706,6.28318528734,1.75105865724e-07,0.0,0.0,-6.58544330179e-10,0.0828202923192,6.28318529665,0.0,0.0,-4.19741574831e-10,0.0812296753181,1.90637587494e-07,0.0,0.0,0.0812296678675,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22589922438e-07,2.32162903294e-06,-12.0711322019,5.89006002581e-08,1.52501764919e-05,-8.75031273516e-05,3.80065500617e-10,1.0123985384,5.26384003052e-09,1.02035162341,-9.53187937469e-08,1.02035166066,0.0,0.185002490878,1.23857471408e-05,0.0163664966822,1.28182349735e-07,8.4520383723e-07,0.000393820025987,-0.000729815925064,0.000147668243259,-6.84004054156e-07,1.44878877109e-05,1.38607974804e-05,0.00414083665237,-0.000813539489172,0.000849192903843,-1.81699686408e-08,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194638853107,0.0194488683749,0.019448868455
0.09,0.0497287028734,0.00623689756078,0.160573939106,4.35548499564e-18,-2.37323778714e-11,0.00233394207531,6.28318530676,6.28318528528,1.75078383749e-07,0.0,0.0,1.75918849377e-07,0.101326439287,6.28318529666,0.0,0.0,1.77069664931e-07,0.0995868404759,-0.0,0.0,0.0,0.09958689263,6.28318529666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53388563514e-07,2.31722130528e-06,-12.0515664014,2.08107636078e-07,1.40535374027e-05,-8.74997662815e-05,1.83157555698e-09,1.07836780357,5.26159604775e-09,1.08706579762,0.0,1.08706553685,5.26182653005e-09,0.18500263989,1.22784431369e-05,0.0164074283093,1.42236473044e-07,8.3837387217e-07,0.000436312101796,-0.000723523909187,0.000156103094328,-6.80345838765e-07,1.87661189557e-05,1.56133246492e-05,0.00403643073514,-0.000915210461244,0.00109885190614,-4.57202240511e-08,0.792744479495,0.792744479495,0.792744479495,0.0,0.0193055951703,0.0192887904621,0.0192887907825
