time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.115543990532,0.0363035836876,0.16037127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.00599858770147,-0.00244978326373,0.0853732973337,9.64845339041e-11,-5.98411272791e-11,-2.3021455714e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.115533842357,0.0363033860562,0.160034354688,7.28131777425e-16,0.000360489009631,-1.93714956964e-07,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00105774017422,-0.0,0.0,0.0,-0.0,0.00109982105343,-0.0,0.0,0.0,0.00109982140268,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.16290273945e-08,-7.27253326657,0.000968655852235,-1.79440648755e-06,-1.434698564e-07,3.93808776445e-06,0.0,0.311711299129,0.0,0.311500894733,0.0,0.311500892987,0.0,0.00599408522248,-0.00244616996497,0.0854444205761,-4.07891342525e-08,3.05823327487e-08,7.07046513165e-05,-4.1961306124e-05,-5.22611044289e-05,4.58185986929e-08,-0.000660337507725,0.000284651207039,0.00699277687818,-0.00330485287122,-0.00766709214076,-1.36137987283e-06,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.115500023017,0.0363026188944,0.159469005377,7.28131777425e-16,0.000965401859612,-4.00842284409e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00494804860929,-0.0,0.0,0.0,-0.0,0.00509530234987,-0.0,0.0,0.0,0.00509548628608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05641905198e-08,-10.9182343173,0.0200363392072,-1.86582535849e-06,-6.49689225839e-07,5.24665927355e-06,0.0,0.450759756954,0.0,0.450023488251,0.0,0.45002256857,0.0,0.00598687352613,-0.00244336738251,0.0855122730136,-1.05723469903e-07,5.53562385015e-08,0.000137975227852,-7.4499323091e-05,-0.00013597245561,3.02940597052e-08,-0.000740295392461,0.000275984290056,0.00662167742848,-0.00320295919664,-0.0085920849815,-1.47634318637e-06,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208286590272,0.0208291203672,0.0208291200481
0.03,0.115441318369,0.0363011916727,0.158950763889,7.28131777425e-16,0.00151993385115,-7.56980078875e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0115133409751,-0.0,0.0,0.0,-0.0,0.0117449078141,-0.0,0.0,0.0,0.0117449655561,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12441126733e-08,-12.576506932,0.0378380843831,-2.3410246856e-06,-1.50869207414e-06,6.23144098871e-06,0.0,0.576433295124,0.0,0.57527546093,0.0,0.57527517222,0.0,0.0059787845239,-0.00244113826193,0.0855767279863,-1.81582595504e-07,7.61213138772e-08,0.000201808895003,-0.000100366794046,-0.000229831976422,1.78644039115e-08,-0.000947602151427,0.000151145941345,0.00629918416962,-0.00175342708826,-0.0109936548397,-6.12971291503e-07,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205266667271,0.0205282830188,0.0205282837046
0.04,0.115360226385,0.0362989675598,0.158560392261,7.28131777425e-16,0.00193767315249,-1.0907673342e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0204957311405,-0.0,0.0,0.0,-0.0,0.0207937711282,-0.0,0.0,0.0,0.0207937972052,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78074290887e-08,-13.2184205661,0.054523380824,-2.75330797736e-06,-1.69766491531e-07,6.85318464928e-06,0.0,0.690021344298,0.0,0.688531144359,0.0,0.688531013974,0.0,0.00596827175468,-0.00243849027902,0.0856391265988,-2.8483892662e-07,1.02303818221e-07,0.000263400900185,-0.000131079987899,-0.000351755130109,-4.15672819985e-08,-0.00115934514906,0.000529841927346,0.0062976591289,-0.00614396529272,-0.0134412357584,-1.30944445118e-05,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202537225861,0.0202562654523,0.0202562663433
0.05,0.115258915301,0.0362957644849,0.158296844245,7.28131777425e-16,0.00221973732666,-1.40071022701e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0316636895193,-0.0,0.0,0.0,-0.0,0.0320128050996,-0.0,0.0,0.0,0.0320127119673,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.50864030935e-07,-13.3859735783,0.0700174104435,-2.5716875966e-06,3.69027916323e-07,6.03466016617e-06,0.0,0.792681552404,0.0,0.790935974502,0.0,0.790936440163,0.0,0.00595625583082,-0.00243277149275,0.0857002586126,-4.08395494839e-07,1.61258555916e-07,0.000323540033781,-0.000197382753526,-0.000491044823733,-1.7639794682e-07,-0.00121312541887,0.000640889804345,0.00592272123322,-0.00742914713919,-0.014060520567,-1.51962403834e-05,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200070259951,0.0200103019693,0.02001030251
0.06,0.115139394527,0.036291373738,0.158132319469,7.28131777425e-16,0.00239586910628,-1.6897938824e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.044806215669,-0.0,0.0,0.0,-0.0,0.0451937427176,-0.0,0.0,0.0,0.0451934633208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.13141006162e-08,-13.3610628022,0.0844693672354,-2.87532935774e-06,5.43248913501e-07,5.38897313378e-06,0.0,0.885468921655,0.0,0.883531286412,0.0,0.883532683396,0.0,0.00594479683787,-0.00242592813447,0.0857578516006,-5.30279101369e-07,2.33890278493e-07,0.000380152376228,-0.000276694838411,-0.000623830381766,-3.07198614535e-07,-0.00108418415766,0.00068874435965,0.00562603911385,-0.00798113457859,-0.0125618614256,-1.24459174913e-05,0.822744479495,0.822744479495,0.822744479495,0.0,0.0197840627015,0.0197879018348,0.0197879022954
0.07,0.115003493626,0.0362855724397,0.158036190465,7.28131777425e-16,0.00249883617064,-1.96099511881e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0597341691507,-0.0,0.0,0.0,-0.0,0.0601486635757,-0.0,0.0,0.0,0.0601484586848,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74769980193e-07,-13.2778405808,0.0980272618047,-2.60399475557e-06,-8.39302617694e-07,5.48237610106e-06,0.0,0.969329154247,0.0,0.967256682121,0.0,0.967257706576,0.0,0.00593469850719,-0.00241909571923,0.0858125165105,-6.4000488846e-07,3.08420942756e-07,0.000433931782173,-0.000355855778837,-0.000740816963208,-4.10734890657e-07,-0.000950533081777,0.000678402779158,0.00533852772787,-0.00785883888602,-0.0110098375008,-1.01575897133e-05,0.812744479495,0.812744479495,0.812744479495,0.0,0.0195825419041,0.0195868083776,0.019586804493
0.08,0.114852931773,0.0362781343154,0.157983526124,7.28131777425e-16,0.00255531159034,-2.22027647313e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0762752403868,-0.0,0.0,0.0,-0.0,0.0767075007213,-0.0,0.0,0.0,0.0767073964132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.11542837843e-07,-13.1927212645,0.110989869121,-2.27690181075e-06,-2.81736010324e-07,4.5612929737e-06,0.0,1.04512379807,0.0,1.04296249639,0.0,1.04296301793,0.0,0.00592588167638,-0.00241237343289,0.0858643874526,-7.38614690234e-07,3.83768531035e-07,0.000485009645689,-0.000433713499476,-0.000842927914448,-4.91804918578e-07,-0.000826896110084,0.000667071435601,0.00506562832743,-0.00772515963763,-0.00957487430423,-8.21157573228e-06,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194004078168,0.0194049770046,0.0194049751224
0.09,0.114689257539,0.0362688365423,0.157956651548,7.28131777425e-16,0.00258420494515,-2.46912464874e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.094274367894,-0.0,0.0,0.0,-0.0,0.0947168504251,3.50664336679e-07,0.0,0.0,0.0947167908205,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54324151011e-07,-13.1264536456,0.123431304632,-2.33934250654e-06,3.04028838174e-06,6.32777862602e-06,0.0,1.11362816053,0.0,1.11141574787,-1.7533216834e-07,1.1114160459,0.0,0.00591857917607,-0.00241015385836,0.0859122872353,-8.22279359585e-07,4.09784718331e-07,0.000532344391409,-0.000459408527898,-0.000927477600589,-5.41204298229e-07,-0.000775271211751,0.000576105492655,0.00480481330305,-0.00666997209191,-0.00897462759167,-7.5252478382e-06,0.792744479495,0.792744479495,0.792744479495,0.0,0.0192357945959,0.0192405640181,0.019240561375
