time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,spray_bottle,20,-0.000231807678938,-0.00586989880539,-0.00052915326014,0.028450542632,0.0284505616089,-0.978968304396,-0.0176399797201,-0.000861652195454,7.08571004868,8.81117026993e-07,7.88018871767e-07,4.72750540661e-06
0.02,floor,spray_bottle,20,-0.000232642894844,-0.0058705855161,-0.00049665804836,0.0277147890225,0.0277148759472,-0.980380350351,-0.000533872283995,-0.000824112445116,7.08908228576,7.05910014817e-07,6.76636428738e-07,1.05525306123e-05
0.03,floor,spray_bottle,20,-0.000440064404393,-0.00576361757703,-0.000470786070218,0.0270252706963,0.027025458221,-0.981615588069,-0.0195962637663,-0.00353032909334,7.08813762665,6.77196382817e-07,2.61964249479e-06,3.96930101115e-05
0.04,floor,spray_bottle,20,-0.00190070891986,-0.00609750999138,-0.000453272229061,0.0265818340548,0.026581932721,-0.982704997063,-0.0126607641578,0.0274643078446,7.09428942204,3.28171833783e-05,1.33340261013e-05,-0.000358320928349
0.05,floor,spray_bottle,20,-0.00185517012142,-0.00609984011389,-0.00042348502393,0.0259726699281,0.025972881595,-0.983676421642,0.00404413044453,0.0250457078218,7.0940156579,4.04434927556e-05,1.4490031242e-05,-0.000312858287892
0.06,floor,spray_bottle,20,-0.00185594689101,-0.0061002632603,-0.000395765090798,0.0254152514686,0.0254149868391,-0.984522473812,0.0100733339787,-0.00054058432579,7.0933381319,4.04446243986e-05,1.34019435497e-05,1.3602953723e-05
0.07,floor,spray_bottle,20,-0.00185666313628,-0.00610064668581,-0.000369365455117,0.0248947971259,0.0248948124679,-0.985278198123,0.00937467068434,-0.000802084803581,7.09442204237,3.55270525636e-05,1.13961846637e-05,1.5843267011e-05
0.08,floor,spray_bottle,20,-0.00185732095269,-0.006100996444,-0.000344229210532,0.0244087101592,0.0244084170577,-0.985956025124,0.00865771621466,-0.000840127468109,7.09547144175,3.18511327188e-05,1.01042205926e-05,1.7674865252e-05
0.09,floor,spray_bottle,20,-0.00220757358475,-0.00619725608267,-0.000324267065662,0.0239313966446,0.0239312016944,-0.986570432782,-0.00811133906245,0.0586952269077,7.10302317142,2.3874083533e-05,8.60301090328e-06,-0.000765458241986
0.1,floor,spray_bottle,20,-0.00163358335849,-0.00505383650307,-0.000308133908402,0.0231027979105,0.0231029395243,-0.987629291415,0.00987994298339,0.00265580415726,7.09778898954,2.6352771582e-05,8.769070146e-06,-2.96182321805e-05
0.11,floor,spray_bottle,20,-0.00120565447723,-0.00520591782406,-0.000299714776338,0.00275134240465,0.00275127425174,-0.999827471375,0.029276650399,0.00843922421336,7.09697804227,6.431651102e-06,2.36973449116e-06,-0.000101450130119
0.12,floor,spray_bottle,20,-0.00162230429705,-0.00529558096314,-0.00027987709982,0.00266581275636,0.00266600608648,-0.999834263325,0.00146626238711,-0.00108585134149,7.09881722927,8.7281350294e-06,-1.06013815463e-06,1.42517555892e-05
0.13,floor,spray_bottle,20,-0.00162232526345,-0.00529553230153,-0.000259189742428,0.00261020146031,0.00261021598652,-0.999840584397,-0.000235458137468,-0.00173614360392,7.09948509932,8.11603304962e-06,-9.20896213299e-07,2.23951156373e-05
0.14,floor,spray_bottle,20,-0.00111991418526,-0.00522130210884,-0.000243473994124,0.00255883286789,0.00255871177793,-0.999846315384,-0.0107960293535,-0.00623897183686,7.09958344698,7.83117208976e-06,-1.24652461158e-06,8.04076413144e-05
0.15,floor,spray_bottle,20,-0.00213754219003,-0.00701237660833,-0.000229444660727,0.0207633174506,0.0207635241722,-0.989968404174,-0.0336091511417,0.0808608811349,7.00713580847,1.32442302848e-05,1.43114479329e-06,-0.00106987298814
0.16,floor,spray_bottle,20,-0.00158843967365,-0.00717009603977,-0.000213514282405,0.020457941457,0.0204581753123,-0.990289178491,-0.00168653577566,-0.00224093347788,7.10203687847,1.62656717051e-05,3.8069158333e-06,2.90415980009e-05
0.17,floor,spray_bottle,20,0.00506644881098,-0.00531119178049,-0.0002228271067,0.0201737177173,0.0201738325741,-0.990581312776,-0.172726978548,-0.143249185756,7.09281877274,1.40129831583e-05,1.37281803216e-05,0.00210646919602
0.18,floor,spray_bottle,20,0.00309436796233,-0.00463636722416,-0.000206846509172,0.019916363903,0.0199162231845,-0.990842786431,0.0786557998508,-0.0154943731613,7.09690737724,1.1783666308e-07,3.73449035862e-08,0.0001765723605
0.19,floor,spray_bottle,20,0.00309405031148,-0.00463664103299,-0.000191820614782,0.019652542647,0.0196525730769,-0.991103962064,0.028039607103,0.0141598479822,7.10659444332,6.33323484003e-07,-7.43866506378e-08,-0.000180060440992
0.2,floor,spray_bottle,20,0.00309383489657,-0.00463686473668,-0.000177478066871,0.0193981357757,0.0193982035998,-0.991350615025,0.000922109931707,-6.75208866596e-06,7.10413312912,9.77988576664e-07,-8.21499058903e-07,8.27888067183e-10
0.21,floor,spray_bottle,20,0.00286245462485,-0.00607041558251,-0.000162937712412,0.0191602021486,0.0191603601829,-0.991577115655,-0.0910690315068,0.170061018318,7.0797162056,2.59035640199e-06,-4.68417113431e-09,-0.00241914651449
0.22,floor,spray_bottle,20,0.00440265936777,-0.0047284186352,-0.00015965153616,0.0189564348826,0.0189563175338,-0.991768074036,0.0124433321762,-0.00366277247667,7.1051620841,5.55031843735e-06,2.01647614363e-07,4.61163446313e-05
0.23,floor,spray_bottle,20,0.000184531277046,-0.00675334660336,-0.000145990373494,0.0187568051836,0.0187569573839,-0.991952160001,0.0260994358105,0.00939621496946,7.10471343994,1.16134234331e-06,2.98929240528e-07,-0.000120218545186
0.24,floor,spray_bottle,20,0.00356144732796,-0.00735165895894,-0.000147271947026,0.018338015082,0.0183378080458,-0.992113268375,-0.0457936823368,0.0128524675965,7.10382825136,1.19763685416e-05,3.38923051857e-05,-0.000178135765981
0.25,floor,spray_bottle,20,0.000356768630445,-0.00679092714563,-0.000135187476303,0.0182008967601,0.0182009885053,-0.992239454389,-0.0324713513255,0.0151737611741,7.10518205166,1.41176101977e-05,3.03533458121e-05,-0.000222848439358
0.26,floor,spray_bottle,20,0.00212294606026,-0.00717802485451,-0.000132599750941,-0.000704052212252,-0.000703892315734,-0.999990084767,0.0257188761607,-0.00412338320166,7.10764318705,-8.4888311272e-07,2.2076700717e-06,4.63270594124e-05
0.27,floor,spray_bottle,20,0.00369375447044,-0.00745080420747,-0.000121917840261,-0.000702291329688,-0.000702398671804,-0.999990132451,0.0132174380124,0.0127014946193,7.10784697533,1.10531608627e-06,4.23033029815e-06,-0.000165507288221
0.28,floor,spray_bottle,20,0.00126402715687,-0.00693044867367,-0.000109460395006,0.0157498378057,0.0157497994875,-0.994248262048,-7.18601751328,-6.83989286423,10.2329053879,0.0,0.0,0.0
