time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.115543990532,0.0363035836876,0.16037127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.00599858770147,-0.00244978326373,0.0853732973337,9.64845339041e-11,-5.98411272791e-11,-2.3021455714e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.115533842357,0.0363033860562,0.160034354688,7.28131777425e-16,0.000360489009631,-1.93714956964e-07,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00105774017422,-0.0,0.0,0.0,-0.0,0.00109982105343,-0.0,0.0,0.0,0.00109982140268,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.16290273945e-08,-7.27253326657,0.000968655852235,-1.79440648755e-06,-1.434698564e-07,3.93808776445e-06,0.0,0.311711299129,0.0,0.311500894733,0.0,0.311500892987,0.0,0.00599386030808,-0.0024507555645,0.0853777900338,-5.4871998471e-08,2.82377586799e-08,4.19081208392e-06,1.14131617011e-05,-5.46038681932e-05,-4.37226208305e-06,0.000211304664845,-0.00103109760676,0.00228474591859,0.0120425224304,0.00245343497954,-0.000184905045899,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.115500023017,0.0363026188944,0.159469005377,7.28131777425e-16,0.000965401859612,-4.00842284409e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00494804860929,-0.0,0.0,0.0,-0.0,0.00509530234987,-0.0,0.0,0.0,0.00509548628608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05641905198e-08,-10.9182343173,0.0200363392072,-1.86582535849e-06,-6.49689225839e-07,5.24665927355e-06,0.0,0.450759756954,0.0,0.450023488251,0.0,0.45002256857,0.0,0.00599270081148,-0.00245992676355,0.0853669643402,-1.09412581973e-07,1.3993023809e-07,-6.44614801169e-06,0.000120365490147,-6.76362978993e-05,-1.24531879919e-06,-0.000344121683156,-0.000288868381176,-0.0167885571718,0.00363933574408,-0.00390637665987,0.000733310182113,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208286590272,0.0208291203672,0.0208291200481
0.03,0.115441318369,0.0363011916727,0.158950763889,7.28131777425e-16,0.00151993385115,-7.56980078875e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0115133409751,-0.0,0.0,0.0,-0.0,0.0117449078141,-0.0,0.0,0.0,0.0117449655561,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12441126733e-08,-12.576506932,0.0378380843831,-2.3410246856e-06,-1.50869207414e-06,6.23144098871e-06,0.0,0.576433295124,0.0,0.57527546093,0.0,0.57527517222,0.0,0.00599348777905,-0.00245562265627,0.0853792577982,-1.33583362933e-07,5.29558991493e-08,5.77829987324e-06,6.91293680575e-05,-5.82160355407e-05,1.5686638335e-06,0.00187239353545,0.000923596438952,0.00117835251149,-0.0108667463064,0.022068971768,3.17467493005e-05,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205266667271,0.0205282830188,0.0205282837046
0.04,0.115360226385,0.0362989675598,0.158560392261,7.28131777425e-16,0.00193767315249,-1.0907673342e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0204957311405,-0.0,0.0,0.0,-0.0,0.0207937711282,-0.0,0.0,0.0,0.0207937972052,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78074290887e-08,-13.2184205661,0.054523380824,-2.75330797736e-06,-1.69766491531e-07,6.85318464928e-06,0.0,0.690021344298,0.0,0.688531144359,0.0,0.688531013974,0.0,0.00599735602736,-0.00245020538568,0.0853628218174,-2.25539497786e-07,-2.18459846426e-07,-1.05426602227e-05,2.770574838e-06,-1.19409678518e-05,5.47029731024e-06,-0.000629973481409,0.00072706444189,-0.0176098477095,-0.00901504233479,-0.00743072433397,0.000590078881942,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202537225861,0.0202562654523,0.0202562663433
0.05,0.115258915301,0.0362957644849,0.158296844245,7.28131777425e-16,0.00221973732666,-1.40071022701e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0316636895193,-0.0,0.0,0.0,-0.0,0.0320128050996,-0.0,0.0,0.0,0.0320127119673,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.50864030935e-07,-13.3859735783,0.0700174104435,-2.5716875966e-06,3.69027916323e-07,6.03466016617e-06,0.0,0.792681552404,0.0,0.790935974502,0.0,0.790936440163,0.0,0.00599533971399,-0.0024496994447,0.0853755250573,-2.49295468529e-07,-2.8009343299e-07,2.00429007381e-06,-4.00424278268e-06,-3.52285824192e-05,3.66791255146e-06,-0.000451116706245,0.0002218803711,0.00447617936879,-0.00275850808248,-0.00528971944004,0.000267965137027,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200070259951,0.0200103019693,0.02001030251
0.06,0.115139394527,0.036291373738,0.158132319469,7.28131777425e-16,0.00239586910628,-1.6897938824e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.044806215669,-0.0,0.0,0.0,-0.0,0.0451937427176,-0.0,0.0,0.0,0.0451934633208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.13141006162e-08,-13.3610628022,0.0844693672354,-2.87532935774e-06,5.43248913501e-07,5.38897313378e-06,0.0,0.885468921655,0.0,0.883531286412,0.0,0.883532683396,0.0,0.00599420955405,-0.00244988198392,0.0853778123856,-2.83761134883e-07,-3.27153353889e-07,4.2185191174e-06,-2.53752705248e-06,-4.80136513943e-05,1.95711322704e-06,0.000112913105113,-0.000568604969885,0.00464817415923,0.00673820031807,0.00134020100813,-2.76561331702e-06,0.822744479495,0.822744479495,0.822744479495,0.0,0.0197840627015,0.0197879018348,0.0197879022954
0.07,0.115003493626,0.0362855724397,0.158036190465,7.28131777425e-16,0.00249883617064,-1.96099511881e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0597341691507,-0.0,0.0,0.0,-0.0,0.0601486635757,-0.0,0.0,0.0,0.0601484586848,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74769980193e-07,-13.2778405808,0.0980272618047,-2.60399475557e-06,-8.39302617694e-07,5.48237610106e-06,0.0,0.969329154247,0.0,0.967256682121,0.0,0.967257706576,0.0,0.00599574577063,-0.00245809368789,0.0853761807084,-3.2767482479e-07,-2.49754178819e-07,2.9357205294e-06,9.45652791415e-05,-2.95095760521e-05,2.10565235648e-06,0.000127561419504,-5.67841489101e-05,-0.00275101303123,0.000730720930733,0.00163310451899,0.000326169392793,0.812744479495,0.812744479495,0.812744479495,0.0,0.0195825419041,0.0195868083776,0.019586804493
0.08,0.114852931773,0.0362781343154,0.157983526124,7.28131777425e-16,0.00255531159034,-2.22027647313e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0762752403868,-0.0,0.0,0.0,-0.0,0.0767075007213,-0.0,0.0,0.0,0.0767073964132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.11542837843e-07,-13.1927212645,0.110989869121,-2.27690181075e-06,-2.81736010324e-07,4.5612929737e-06,0.0,1.04512379807,0.0,1.04296249639,0.0,1.04296301793,0.0,0.00599643820897,-0.00245088734664,0.0853696092963,-5.02595347023e-07,-3.59005834805e-07,-3.78466769438e-06,9.12258019525e-06,-1.94506137632e-05,5.61682963962e-06,-0.000688663858455,0.00116453343071,-0.00707110157236,-0.0137505596504,-0.00815409328789,-4.89407284476e-05,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194004078168,0.0194049770046,0.0194049751224
0.09,0.114689257539,0.0362688365423,0.157956651548,7.28131777425e-16,0.00258420494515,-2.46912464874e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.094274367894,-0.0,0.0,0.0,-0.0,0.0947168504251,3.50664336679e-07,0.0,0.0,0.0947167908205,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54324151011e-07,-13.1264536456,0.123431304632,-2.33934250654e-06,3.04028838174e-06,6.32777862602e-06,0.0,1.11362816053,0.0,1.11141574787,-1.7533216834e-07,1.1114160459,0.0,0.00599130382761,-0.00244658836164,0.085380166769,-4.83654143086e-07,-4.27599343516e-07,6.28539084567e-06,-4.21081058448e-05,-7.97832326498e-05,4.59093234895e-06,0.000590387789998,-0.00049682345707,0.00729015422985,0.00592753197998,0.00704420404509,5.4743804867e-06,0.792744479495,0.792744479495,0.792744479495,0.0,0.0192357945959,0.0192405640181,0.019240561375
