time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.115543990532,0.0363035836876,0.16037127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,0.00825752411038,-0.00258357287385,0.114467255771,2.64121469487e-10,1.32195218314e-11,2.05429338818e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.115533842357,0.0363033860562,0.160034354688,7.28131777425e-16,0.000360489009631,-1.93714956964e-07,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00105774017422,-0.0,0.0,0.0,-0.0,0.00109982105343,-0.0,0.0,0.0,0.00109982140268,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.16290273945e-08,-7.27253326657,0.000968655852235,-1.79440648755e-06,-1.434698564e-07,3.93808776445e-06,0.0,0.311711299129,0.0,0.311500894733,0.0,0.311500892987,0.0,0.0082525992766,-0.00259576039389,0.114473767579,1.46403651704e-07,9.28276443282e-08,6.42521567332e-06,0.000107549778477,-4.43846001872e-05,3.70839779862e-06,-0.00152525876183,-0.00139282958116,0.00646153651178,0.0122498394921,-0.0134517690167,0.000204933821806,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.115500023017,0.0363026188944,0.159469005377,7.28131777425e-16,0.000965401859612,-4.00842284409e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00494804860929,-0.0,0.0,0.0,-0.0,0.00509530234987,-0.0,0.0,0.0,0.00509548628608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05641905198e-08,-10.9182343173,0.0200363392072,-1.86582535849e-06,-6.49689225839e-07,5.24665927355e-06,0.0,0.450759756954,0.0,0.450023488251,0.0,0.45002256857,0.0,0.00825148168951,-0.00260051083751,0.114474788308,1.8462674964e-07,1.27039702532e-07,7.47055751461e-06,0.00014927884331,-5.44599897694e-05,2.73580531029e-06,0.000789478770457,0.000354418880306,-0.00258948258124,-0.0031108034309,0.00683329021558,-0.000592421623878,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208286590272,0.0208291203672,0.0208291200481
0.03,0.115441318369,0.0363011916727,0.158950763889,7.28131777425e-16,0.00151993385115,-7.56980078875e-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0115133409751,-0.0,0.0,0.0,-0.0,0.0117449078141,-0.0,0.0,0.0,0.0117449655561,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12441126733e-08,-12.576506932,0.0378380843831,-2.3410246856e-06,-1.50869207414e-06,6.23144098871e-06,0.0,0.576433295124,0.0,0.57527546093,0.0,0.57527517222,0.0,0.00824708305299,-0.00258632889017,0.114463739097,3.27644022012e-07,6.36818533314e-08,-4.22780006271e-06,2.4607314117e-05,-9.4066359452e-05,-3.56718487637e-07,-0.00127030164003,0.0019048639806,0.00292290979996,-0.0167354978621,-0.0111590279266,-4.69676560897e-05,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205266667271,0.0205282830188,0.0205282837046
0.04,0.115360226385,0.0362989675598,0.158560392261,7.28131777425e-16,0.00193767315249,-1.0907673342e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0204957311405,-0.0,0.0,0.0,-0.0,0.0207937711282,-0.0,0.0,0.0,0.0207937972052,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78074290887e-08,-13.2184205661,0.054523380824,-2.75330797736e-06,-1.69766491531e-07,6.85318464928e-06,0.0,0.690021344298,0.0,0.688531144359,0.0,0.688531013974,0.0,0.00825507752597,-0.00257493229583,0.114471495152,2.78131325648e-07,-8.50176292604e-09,3.84968266189e-06,-7.55905202823e-05,-2.379142461e-05,-4.30458669598e-07,0.0016203422565,0.000364215520676,0.0027287423145,-0.00319835124537,0.0142433205619,3.34715218742e-06,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202537225861,0.0202562654523,0.0202562663433
0.05,0.115258915301,0.0362957644849,0.158296844245,7.28131777425e-16,0.00221973732666,-1.40071022701e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0316636895193,-0.0,0.0,0.0,-0.0,0.0320128050996,-0.0,0.0,0.0,0.0320127119673,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.50864030935e-07,-13.3859735783,0.0700174104435,-2.5716875966e-06,3.69027916323e-07,6.03466016617e-06,0.0,0.792681552404,0.0,0.790935974502,0.0,0.790936440163,0.0,0.00826326850802,-0.00257766456343,0.114457242191,2.32864605041e-07,-1.21951460185e-08,-9.74753873596e-06,-5.14401945111e-05,4.80635244458e-05,3.91162802771e-06,-0.000142216173117,-0.000494174135383,0.0026272481773,0.004336879123,-0.00124835420866,1.97265535462e-06,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200070259951,0.0200103019693,0.02001030251
0.06,0.115139394527,0.036291373738,0.158132319469,7.28131777425e-16,0.00239586910628,-1.6897938824e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.044806215669,-0.0,0.0,0.0,-0.0,0.0451937427176,-0.0,0.0,0.0,0.0451934633208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.13141006162e-08,-13.3610628022,0.0844693672354,-2.87532935774e-06,5.43248913501e-07,5.38897313378e-06,0.0,0.885468921655,0.0,0.883531286412,0.0,0.883532683396,0.0,0.0082534365356,-0.0025827139616,0.114465616643,3.1719785344e-07,5.30532087684e-08,-1.97299806039e-06,-6.84093902237e-06,-3.85406710848e-05,2.76278387901e-06,-0.00135819800198,-0.000934239244089,-0.00501033617184,0.00823600124568,-0.0119759375229,2.60972251453e-06,0.822744479495,0.822744479495,0.822744479495,0.0,0.0197840627015,0.0197879018348,0.0197879022954
0.07,0.115003493626,0.0362855724397,0.158036190465,7.28131777425e-16,0.00249883617064,-1.96099511881e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0597341691507,-0.0,0.0,0.0,-0.0,0.0601486635757,-0.0,0.0,0.0,0.0601484586848,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74769980193e-07,-13.2778405808,0.0980272618047,-2.60399475557e-06,-8.39302617694e-07,5.48237610106e-06,0.0,0.969329154247,0.0,0.967256682121,0.0,0.967257706576,0.0,0.0082583213225,-0.00259210821241,0.114469856024,3.12929500668e-07,1.75330810104e-07,2.83386239736e-06,7.63600328355e-05,4.15074737248e-06,3.64091647498e-06,0.000730209576432,-0.000536403327715,0.00364330620505,0.00478218868375,0.00625118706375,-0.000675415329169,0.812744479495,0.812744479495,0.812744479495,0.0,0.0195825419041,0.0195868083776,0.019586804493
0.08,0.114852931773,0.0362781343154,0.157983526124,7.28131777425e-16,0.00255531159034,-2.22027647313e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0762752403868,-0.0,0.0,0.0,-0.0,0.0767075007213,-0.0,0.0,0.0,0.0767073964132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.11542837843e-07,-13.1927212645,0.110989869121,-2.27690181075e-06,-2.81736010324e-07,4.5612929737e-06,0.0,1.04512379807,0.0,1.04296249639,0.0,1.04296301793,0.0,0.00824933685362,-0.00259175035171,0.114463761449,5.29344233672e-07,4.0140113283e-07,-3.92742534795e-06,7.48761958675e-05,-7.61252231314e-05,-9.65652702689e-07,-0.00162829528563,-0.00035129050957,0.00283682462759,0.0030827850569,-0.0142844393849,2.71392036666e-06,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194004078168,0.0194049770046,0.0194049751224
0.09,0.114689257539,0.0362688365423,0.157956651548,7.28131777425e-16,0.00258420494515,-2.46912464874e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.094274367894,-0.0,0.0,0.0,-0.0,0.0947168504251,3.50664336679e-07,0.0,0.0,0.0947167908205,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54324151011e-07,-13.1264536456,0.123431304632,-2.33934250654e-06,3.04028838174e-06,6.32777862602e-06,0.0,1.11362816053,0.0,1.11141574787,-1.7533216834e-07,1.1114160459,0.0,0.00825165677816,-0.00259498064406,0.11446941644,5.75405517709e-07,4.5061914139e-07,1.96562092436e-06,0.000103386482806,-5.62165732845e-05,-2.90577963824e-06,0.000548779615201,0.000421707896749,-0.00380780152045,-0.00348500395194,0.0046767545864,-0.000813023245428,0.792744479495,0.792744479495,0.792744479495,0.0,0.0192357945959,0.0192405640181,0.019240561375
0.1,0.114513920774,0.0362574652767,0.157944173085,7.28131777425e-16,0.00259770540503,-2.71052343575e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.113591592516,-0.0,0.0,0.0,-0.0,0.114037733282,5.34171903155e-07,0.0,0.0,0.114037926997,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.23384940968e-07,-13.0796889484,0.135500633832,-2.58258988724e-06,1.06874088749e-06,6.11472128826e-06,0.0,1.17554203742,0.0,1.17331133359,-2.67085951577e-07,1.17331036501,0.0,0.00825921539217,-0.00258415215649,0.114468827844,6.5242328408e-07,3.83374154686e-07,1.67081525677e-06,8.10160963738e-06,9.17433226277e-06,-4.27156965088e-06,0.000148226754391,0.00111615087371,0.00402910029516,-0.0099091809243,0.0013458149042,0.000213204984902,0.782744479495,0.782744479495,0.782744479495,0.0,0.0190870135049,0.019091899143,0.0190918959393
0.11,0.114323284594,0.0362438330807,0.157939185738,7.28131777425e-16,0.00260320393187,-2.78055884327e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.133952092136,0.00191767594217,0.0,0.0,-0.0,0.13444915017,0.00224363407025,0.0,0.0,0.134449433292,0.00224371556098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68305111491e-05,-13.0501700808,0.0750242729101,-2.3700256892e-06,1.33793597535e-06,4.6703111644e-06,0.0,1.23223953932,-0.000958837971083,1.22975424915,-0.00112181703513,1.22975283354,-0.00112185778049,0.00826054438949,-0.0025789772626,0.114462353289,6.6399062499e-07,3.67305889821e-07,-4.82586498524e-06,-3.71330897906e-05,2.06477488973e-05,-2.68818348559e-06,-0.000427056394983,8.35655082483e-05,-0.00706155458465,-0.000737723952625,-0.003755440237,8.29275722936e-06,0.772744479495,0.772744479495,0.772744479495,0.0,0.0189525461266,0.0189574760565,0.0189574770177
0.12,0.11411731557,0.0362272949866,0.15793781775,7.45057910461e-09,0.00260484305911,-4.23938355737e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.155114900078,0.011885234843,0.0,0.0,-0.0,0.155693050231,0.0150216172812,0.0,0.0,0.155693452562,0.0150201253025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93404668245e-05,-13.0336351833,-0.0180791168739,-2.58522212735e-06,2.52926593648e-06,5.47925452048e-06,0.0,1.28492549961,-0.0059426174215,1.28203474885,-0.00751080864062,1.28203273719,-0.00751006265124,0.00825416482985,-0.00258453120477,0.11446622014,8.2064771233e-07,4.78485170447e-07,-1.30266353741e-06,1.27462162709e-05,-3.65748419426e-05,2.69197380476e-06,4.55907638752e-06,-0.00131020485424,-0.00635506911203,0.0119870062917,3.58469260391e-05,0.000861361098941,0.762744479495,0.762744479495,0.762744479495,0.0,0.0188303740186,0.018835753755,0.0188357577597
0.13,0.113892348132,0.0362074450128,0.157937899395,3.52039829017e-07,0.00260494736721,-4.91142707819e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.177703466023,0.0233884116066,0.0,0.0,-0.0,0.178410943354,0.0266210099114,0.0,0.0,0.178410719837,0.0266143211527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00167917614468,-13.0274372872,-0.103090631381,-2.42861768932e-06,3.60116605422e-06,6.75817336716e-06,0.0,1.33048266988,-0.0116942058033,1.32694528323,-0.0133105049557,1.32694640081,-0.0133071605763,0.0082533583045,-0.00259971176274,0.11446813494,1.03399856674e-06,6.94843795519e-07,8.8606710559e-07,0.000147604238009,-4.55944136775e-05,7.53011045163e-06,-0.000500311609358,-0.000369798683096,0.00297417235561,0.00324834370986,-0.00439602369443,2.53433904618e-06,0.752744479495,0.752744479495,0.752744479495,0.0,0.0187188332335,0.0187254505784,0.0187254526608
0.14,0.113653140258,0.0361840919237,0.157938089868,5.17815197893e-07,0.00260494736721,-4.23789344232e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.201247673239,0.0336506327046,0.0,0.0,-0.0,0.201893161739,0.0361140926732,0.0,0.0,0.201893102135,0.0361100060297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00251330926332,-13.0276968335,-0.141442908615,-2.25355509221e-06,4.92953895049e-06,6.74946779202e-06,0.0,1.37126163381,-0.0168253163523,1.3680341913,-0.0180570463366,1.36803448933,-0.0180550030149,0.00825051218271,-0.00259177642874,0.114466801286,1.15133672591e-06,6.93898494449e-07,-8.40485579037e-07,7.80475020292e-05,-7.14129346306e-05,4.4183193495e-06,0.000110732355097,0.00166186783463,-0.00763249862939,-0.0146168312058,0.000958144490141,-8.11222780612e-05,0.742744479495,0.742744479495,0.742744479495,0.0,0.0186196917604,0.0186265123833,0.0186265106212
