trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,1.9247e-05,inf,1.8477e-05,0,0,0,1,0,0,1,2,0
0,391,0.100153,1.58271,0.00110481,0.0353995,0.0146698,0.0453894,1,400,204,391,193,0.071401
0,593,0.211924,1.56943,0.00158716,0.0695659,0.0294977,0.0986548,1,472,224,593,283,0.160137
0,842,0.329895,1.52342,0.00203871,0.108308,0.0484532,0.151989,1,563,266,842,372,0.253096
0,1289,0.433288,1.45318,0.00285212,0.169821,0.0879651,0.152831,1,590,287,1289,514,0.302464
0,1588,0.583994,1.45219,0.00335295,0.225132,0.125096,0.204279,1,637,301,1588,618,0.40813
0,1917,0.684888,1.44545,0.00390035,0.28106,0.163584,0.204917,1,654,312,1917,713,0.463751
0,2182,0.786968,1.43962,0.00429146,0.324676,0.204448,0.221627,1,679,320,2182,805,0.518299
0,2581,0.89274,1.43677,0.00487005,0.371866,0.261143,0.222442,1,692,328,2581,916,0.559384
0,2784,0.995323,1.43144,0.00523267,0.426382,0.307729,0.223295,1,703,334,2784,998,0.609195
0,3074,1.09772,1.43043,0.00566729,0.46749,0.367904,0.223598,1,707,336,3074,1098,0.631966
0,3343,1.2012,1.42608,0.00608613,0.503517,0.416098,0.242094,1,720,344,3343,1172,0.681042
0,3616,1.30504,1.42608,0.0065011,0.541665,0.480511,0.24248,1,724,346,3616,1264,0.713393
0,3865,1.41663,1.42414,0.00687913,0.595758,0.536577,0.243222,1,733,352,3865,1339,0.763114
0,4069,1.52171,1.42215,0.00721596,0.64929,0.587069,0.243621,1,741,356,4069,1404,0.812462
0,4400,1.62524,1.42215,0.00773102,0.674896,0.664034,0.243621,1,741,356,4400,1495,0.831398
0,4705,1.72932,1.4212,0.00813445,0.716157,0.72565,0.244011,1,746,360,4705,1566,0.867806
0,4934,1.84274,1.41491,0.00854019,0.765917,0.788134,0.244431,1,756,368,4934,1634,0.912878
0,5211,1.94715,1.41491,0.00895671,0.792212,0.865443,0.244431,1,756,368,5211,1716,0.933146
0,5429,2.05228,1.41491,0.00928854,0.828934,0.933237,0.244431,1,756,368,5429,1785,0.964795
0,5576,2.15881,1.41277,0.0095376,0.888776,0.978625,0.245259,1,765,374,5576,1830,1.02188
0,5804,2.26558,1.41277,0.00996375,0.931725,1.04172,0.245259,1,765,374,5804,1890,1.06014
0,6067,2.37718,1.41247,0.0102971,0.965734,1.11821,0.245658,1,771,378,6067,1961,1.08907
0,6317,2.48391,1.41165,0.010627,0.99871,1.19092,0.246031,1,775,380,6317,2026,1.1175
0,6500,2.59051,1.41165,0.0108838,1.04317,1.25255,0.246031,1,775,380,6500,2079,1.12725
0,6791,2.69973,1.41165,0.0112626,1.06231,1.3418,0.246031,1,775,380,6791,2156,1.14064
0,7094,2.80708,1.41165,0.0116425,1.07826,1.43241,0.246031,1,775,380,7094,2232,1.15111
0,7370,2.91293,1.41165,0.0119713,1.09721,1.5186,0.246031,1,775,380,7370,2301,1.16511
