trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,6.6597e-05,inf,1.4244e-05,3.7725e-05,6.544e-06,0,1,0,0,1,3,1.2703e-05
0,313,0.101838,1.76208,0.000727565,0.0299882,0.0119378,0.04135,1,507,334,313,157,0.0640545
0,528,0.202386,1.57246,0.00122724,0.0591364,0.0300382,0.0707758,1,948,665,528,265,0.114364
0,748,0.307686,1.54889,0.00168109,0.0886953,0.0522823,0.0930291,1,1145,803,748,361,0.161818
0,1050,0.4095,1.43543,0.00218575,0.113743,0.0817982,0.0956726,1,1209,859,1050,463,0.184799
0,1374,0.511348,1.43504,0.00261035,0.133405,0.115639,0.0959244,1,1224,873,1374,555,0.196772
0,1597,0.613735,1.43504,0.00294333,0.150781,0.144338,0.111717,1,1273,903,1597,627,0.224601
0,1842,0.714738,1.43118,0.00334407,0.164015,0.18169,0.112428,1,1286,913,1842,710,0.233728
0,2051,0.818025,1.43107,0.00371131,0.177868,0.220359,0.114821,1,1301,923,2051,789,0.245328
0,2260,0.920584,1.43011,0.00399118,0.190038,0.254286,0.122954,1,1325,935,2260,854,0.263354
0,2485,1.02179,1.43011,0.00431299,0.195936,0.29231,0.122954,1,1325,935,2485,922,0.265292
0,2698,1.12544,1.43011,0.00462134,0.200882,0.330076,0.122954,1,1326,936,2698,986,0.266438
0,2866,1.22686,1.43011,0.00485731,0.221505,0.358543,0.127591,1,1334,940,2866,1032,0.284216
0,3037,1.33048,1.43011,0.00511408,0.228614,0.388947,0.138183,1,1346,943,3037,1078,0.298948
0,3222,1.43463,1.43011,0.00537123,0.23768,0.427674,0.138524,1,1354,950,3222,1135,0.304766
0,3353,1.5374,1.43011,0.00555485,0.247114,0.460507,0.158298,1,1383,969,3353,1181,0.330743
0,3535,1.64158,1.43011,0.00581123,0.251665,0.499896,0.158298,1,1383,969,3535,1234,0.331831
0,3682,1.74624,1.43011,0.00605491,0.256397,0.540091,0.158298,1,1383,969,3682,1287,0.333185
0,3836,1.85271,1.43011,0.00639636,0.267154,0.573215,0.165531,1,1391,972,3836,1329,0.348415
0,3981,1.95894,1.43011,0.00662271,0.272073,0.617254,0.165531,1,1391,972,3981,1383,0.349793
0,4127,2.06307,1.42247,0.0068302,0.279592,0.656534,0.166114,1,1403,980,4127,1429,0.354852
0,4250,2.16822,1.42247,0.00703037,0.287626,0.692145,0.170574,1,1414,982,4250,1470,0.364489
0,4376,2.27453,1.41928,0.00722978,0.302798,0.728195,0.170969,1,1425,990,4376,1510,0.37735
0,4520,2.38052,1.41928,0.00743496,0.308581,0.770111,0.170969,1,1425,990,4520,1556,0.380053
0,4665,2.48722,1.41907,0.007659,0.315244,0.808939,0.171366,1,1432,994,4665,1597,0.384447
0,4807,2.5933,1.41903,0.00814712,0.321124,0.84624,0.171752,1,1435,996,4807,1636,0.387808
0,4930,2.70067,1.41883,0.00833305,0.33612,0.881303,0.172153,1,1442,1002,4930,1672,0.400613
0,5051,2.80804,1.41874,0.00853091,0.34185,0.922438,0.172494,1,1446,1004,5051,1713,0.403939
0,5167,2.91913,1.41778,0.00877652,0.351518,0.9613,0.173212,1,1453,1009,5167,1751,0.411682
0,5295,3.02825,1.41778,0.00902713,0.354754,1.00102,0.173212,1,1453,1009,5295,1789,0.412405
0,5431,3.13405,1.41694,0.00922191,0.359952,1.04058,0.173578,1,1456,1011,5431,1826,0.415404
0,5544,3.2415,1.4126,0.00940207,0.373875,1.07391,0.174232,1,1468,1021,5544,1857,0.42767
0,5669,3.3506,1.41097,0.00957992,0.380128,1.11498,0.174633,1,1472,1023,5669,1894,0.431865
0,5796,3.46066,1.41097,0.00976431,0.385242,1.15494,0.174981,1,1475,1025,5796,1930,0.434875
0,5922,3.56943,1.41097,0.00995602,0.388515,1.19464,0.174981,1,1475,1025,5922,1963,0.435748
0,6042,3.67831,1.41097,0.0101396,0.391713,1.2337,0.174981,1,1475,1025,6042,1997,0.436444
0,6169,3.79189,1.41053,0.0103071,0.410138,1.27015,0.175398,1,1481,1029,6169,2028,0.453135
0,6293,3.89848,1.41053,0.0105015,0.426968,1.30276,0.175398,1,1481,1029,6293,2055,0.460278
0,6437,4.00815,1.41053,0.010674,0.431253,1.34022,0.175398,1,1481,1029,6437,2086,0.462375
0,6577,4.11762,1.41053,0.0108414,0.434362,1.38435,0.175398,1,1481,1029,6577,2122,0.463039
0,6695,4.22783,1.41053,0.0110096,0.437455,1.42826,0.175398,1,1481,1029,6695,2157,0.463696
0,6831,4.33775,1.41053,0.011174,0.440571,1.46779,0.175398,1,1486,1034,6831,2188,0.464655
0,6942,4.44756,1.41053,0.011343,0.443784,1.50893,0.175398,1,1486,1034,6942,2220,0.465588
0,7067,4.56202,1.41053,0.0115197,0.447863,1.55111,0.175398,1,1488,1036,7067,2252,0.467294
0,7168,4.67291,1.41053,0.0116818,0.451718,1.59295,0.175398,1,1488,1036,7168,2284,0.468816
0,7294,4.78439,1.41053,0.01184,0.454469,1.63584,0.175398,1,1490,1038,7294,2317,0.469565
0,7391,4.89519,1.41053,0.012004,0.457732,1.67752,0.175398,1,1490,1038,7391,2348,0.47066
0,7491,5.00793,1.41053,0.0121456,0.46959,1.71571,0.182456,1,1502,1041,7491,2376,0.487131
0,7619,5.12022,1.41053,0.0123096,0.472259,1.75629,0.182456,1,1502,1041,7619,2406,0.487762
0,7721,5.23132,1.41053,0.0124659,0.474683,1.79382,0.182456,1,1502,1041,7721,2433,0.488393
0,7812,5.3438,1.41053,0.0126403,0.47852,1.83802,0.182456,1,1502,1041,7812,2464,0.489853
0,7920,5.46108,1.41053,0.0128174,0.481501,1.87979,0.182456,1,1502,1041,7920,2494,0.490591
0,8016,5.57369,1.41053,0.0130018,0.484157,1.918,0.182456,1,1502,1041,8016,2520,0.491209
0,8128,5.68338,1.41053,0.0131573,0.486763,1.95845,0.182456,1,1502,1041,8128,2548,0.491806
0,8250,5.79682,1.41053,0.0133883,0.499234,1.99611,0.182456,1,1502,1041,8250,2574,0.502247
0,8363,5.91048,1.40999,0.0135257,0.509647,2.03741,0.182877,1,1505,1043,8363,2602,0.510879
0,8460,6.02494,1.40951,0.0136666,0.516673,2.08201,0.183261,1,1509,1045,8460,2632,0.515998
0,8567,6.14347,1.40951,0.0138271,0.520113,2.12536,0.183261,1,1509,1045,8567,2661,0.517342
0,8668,6.25686,1.40951,0.0139776,0.527772,2.16639,0.183261,1,1509,1045,8668,2688,0.523003
0,8759,6.37298,1.40951,0.014179,0.530576,2.21106,0.183261,1,1509,1045,8759,2717,0.523514
0,8861,6.48612,1.40951,0.0143264,0.533416,2.2536,0.183261,1,1509,1045,8861,2744,0.524179
0,8950,6.60208,1.40951,0.01451,0.536612,2.30276,0.183261,1,1509,1045,8950,2774,0.524819
0,9024,6.71817,1.40811,0.0146467,0.55548,2.34062,0.183745,1,1519,1053,9024,2798,0.542188
0,9137,6.83415,1.40811,0.0148033,0.557933,2.38383,0.183745,1,1519,1053,9137,2825,0.542562
0,9230,6.95203,1.40778,0.0149462,0.56621,2.42642,0.18409,1,1525,1057,9230,2851,0.549199
0,9326,7.0705,1.40778,0.0150959,0.569501,2.4762,0.18409,1,1525,1057,9326,2880,0.550092
0,9432,7.18442,1.40778,0.0152457,0.572569,2.52043,0.18409,1,1525,1057,9432,2907,0.551166
0,9522,7.30498,1.40778,0.0153977,0.575038,2.56182,0.18409,1,1525,1057,9522,2932,0.55165
0,9639,7.42239,1.40778,0.0155459,0.577458,2.60366,0.18409,1,1525,1057,9639,2957,0.552138
0,9737,7.54226,1.40778,0.0157388,0.580949,2.64201,0.18409,1,1525,1057,9737,2980,0.553826
0,9818,7.66205,1.40778,0.0158862,0.588298,2.68812,0.18409,1,1525,1057,9818,3006,0.559189
0,9925,7.77666,1.40778,0.0161437,0.599911,2.72741,0.18409,1,1525,1057,9925,3029,0.569051
0,10010,7.89708,1.40778,0.0162789,0.602547,2.77593,0.18409,1,1525,1057,10010,3057,0.569554
0,10111,8.01792,1.40778,0.0164228,0.605724,2.82432,0.18409,1,1525,1057,10111,3085,0.570571
0,10195,8.13768,1.40778,0.0165483,0.619744,2.86792,0.18409,1,1525,1057,10195,3110,0.582677
0,10302,8.26058,1.40778,0.016745,0.621925,2.90831,0.18409,1,1525,1057,10302,3133,0.583092
0,10379,8.37868,1.40673,0.0168717,0.63801,2.94663,0.184563,1,1531,1061,10379,3155,0.597727
0,10466,8.49847,1.40673,0.0170087,0.646558,2.99155,0.184563,1,1531,1061,10466,3180,0.604364
0,10570,8.62136,1.40673,0.0171615,0.649457,3.03546,0.184563,1,1531,1061,10570,3204,0.605347
0,10660,8.74517,1.40673,0.0173059,0.65328,3.07731,0.184563,1,1531,1061,10660,3227,0.607396
0,10719,8.8618,1.40673,0.0174164,0.660589,3.11327,0.201714,1,1537,1063,10719,3247,0.630336
0,10821,8.98794,1.40673,0.01756,0.662856,3.15789,0.201714,1,1537,1063,10821,3271,0.630761
0,10900,9.11151,1.40673,0.0176962,0.665026,3.20458,0.201714,1,1537,1063,10900,3296,0.63103
0,10989,9.23527,1.40673,0.0178275,0.667563,3.25204,0.201714,1,1537,1063,10989,3321,0.631692
0,11078,9.35322,1.40673,0.0179584,0.669879,3.29542,0.201714,1,1537,1063,11078,3344,0.632258
0,11195,9.47953,1.40673,0.0180993,0.677438,3.33309,0.201714,1,1537,1063,11195,3364,0.638258
0,11284,9.60226,1.40673,0.0183118,0.680145,3.38369,0.201714,1,1537,1063,11284,3390,0.638824
0,11366,9.72157,1.40673,0.0184407,0.682681,3.4319,0.201714,1,1537,1063,11366,3415,0.639383
0,11454,9.8455,1.40673,0.0185647,0.692338,3.48014,0.201714,1,1537,1063,11454,3440,0.647003
0,11514,9.97037,1.40673,0.0186967,0.694784,3.53096,0.201714,1,1537,1063,11514,3466,0.647455
1,1,8.1995e-05,inf,8.469e-06,5.4663e-05,8.084e-06,0,1,0,0,1,3,1.2318e-05
