trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,5.0814e-05,inf,1.0779e-05,2.6562e-05,1.2318e-05,1,1,1,3,0
0,526,0.100921,1.49505,0.00132037,0.0636655,0.0355317,1,5255,526,295,0.0195817
0,957,0.200917,1.47864,0.00207256,0.120773,0.0772077,1,8996,957,456,0.0432161
0,1316,0.309927,1.44959,0.00265308,0.185024,0.120967,1,12119,1316,585,0.072718
0,1726,0.432828,1.444,0.00325861,0.254379,0.173416,1,15373,1726,712,0.111959
0,2117,0.582119,1.41775,0.00381679,0.34659,0.229455,1,18436,2117,829,0.174975
0,2484,0.767132,1.41451,0.00429991,0.473681,0.286411,1,21171,2484,932,0.275349
0,3148,0.992261,1.41374,0.00516797,0.588276,0.395217,1,26052,3148,1109,0.324308
0,3726,1.26949,1.41002,0.0059575,0.747633,0.511506,1,30590,3726,1274,0.439405
0,4446,1.6179,1.4099,0.0067482,0.960485,0.645271,1,35420,4446,1442,0.604449
0,5446,2.04668,1.40422,0.00801892,1.14383,0.888134,1,43192,5446,1707,0.710545
0,6504,2.57536,1.40379,0.00923381,1.38845,1.16949,1,51057,6504,1974,0.875942
0,7573,3.23059,1.40359,0.0105415,1.69597,1.51443,1,59904,7573,2262,1.03711
0,8898,4.03123,1.40194,0.0123126,2.03563,1.97183,1,70270,8898,2600,1.27145
0,10509,5.07237,1.4006,0.0141869,2.51463,2.52987,1,81751,10509,2962,1.63326
0,12115,6.27841,1.39992,0.0160763,3.00072,3.2457,1,94923,12115,3372,1.9837
0,14042,7.74322,1.39961,0.0183614,3.49342,4.21283,1,110839,14042,3858,2.30945
0,16155,9.50106,1.39865,0.0208135,4.07269,5.38578,1,128170,16155,4380,2.5695
1,1,6.3902e-05,inf,1.1933e-05,3.1951e-05,1.8093e-05,1,1,1,3,0
1,514,0.100722,1.60468,0.0013,0.065228,0.0337867,1,5259,514,292,0.0209097
1,862,0.201063,1.52928,0.00205334,0.124176,0.0740318,1,8936,862,451,0.0481077
1,1156,0.309088,1.44484,0.00265349,0.185584,0.119755,1,12257,1156,587,0.0731622
1,1524,0.433333,1.43874,0.00319127,0.261418,0.16719,1,15258,1524,703,0.121503
1,1925,0.581617,1.42714,0.00375176,0.349821,0.225983,1,18490,1925,827,0.179602
1,2417,0.760015,1.42465,0.00443004,0.445309,0.30759,1,22436,2417,976,0.237695
1,2943,0.982387,1.42391,0.00516414,0.567727,0.406142,1,26713,2943,1131,0.299655
1,3443,1.26064,1.41659,0.00588553,0.729237,0.521485,1,31144,3443,1289,0.416302
1,4087,1.61307,1.4156,0.00677362,0.934579,0.666751,1,36266,4087,1467,0.57068
1,4940,2.05516,1.41407,0.00793963,1.12667,0.914447,1,43952,4940,1731,0.68553
1,5915,2.59875,1.41149,0.00921227,1.38958,1.19251,1,51648,5915,1990,0.87022
1,6791,3.29643,1.41034,0.0104333,1.7824,1.49491,1,59159,6791,2236,1.11876
1,7840,4.12783,1.40288,0.0120032,2.20282,1.90254,1,67888,7840,2521,1.43961
1,9449,5.1438,1.40248,0.0140427,2.56747,2.54914,1,80138,9449,2907,1.65817
1,11173,6.41567,1.40231,0.0163273,2.99487,3.3885,1,94338,11173,3351,1.9194
1,12816,7.96797,1.39778,0.0185131,3.70921,4.22163,1,106961,12816,3737,2.48384
1,14881,9.86488,1.39751,0.0214703,4.36269,5.45806,1,123666,14881,4245,2.78687
2,1,0.00082187,inf,1.1163e-05,0.000789149,1.8863e-05,1,1,1,3,3.08e-06
2,505,0.103928,1.55988,0.00128458,0.0674811,0.0347522,1,5283,505,294,0.0224865
2,825,0.201566,1.48636,0.00239247,0.125352,0.0730641,1,8763,825,444,0.0493007
2,1094,0.309544,1.47757,0.00287983,0.195955,0.10964,1,11477,1094,555,0.0887127
2,1437,0.435736,1.45829,0.00342837,0.270453,0.160368,1,14709,1437,684,0.133462
2,1730,0.590329,1.42874,0.00390224,0.375042,0.209525,1,17444,1730,790,0.212483
2,2134,0.759215,1.40989,0.00449467,0.479997,0.27225,1,20317,2134,900,0.285441
2,2701,0.978683,1.40883,0.00526842,0.606983,0.363099,1,24249,2701,1046,0.350126
2,3411,1.26044,1.40574,0.0061796,0.75029,0.499597,1,29571,3411,1239,0.437967
2,4199,1.61028,1.40482,0.00718932,0.93509,0.662489,1,35222,4199,1436,0.561745
2,5261,2.04534,1.40415,0.00851511,1.11021,0.91957,1,43066,5261,1706,0.651947
2,6267,2.591,1.40189,0.00988823,1.35016,1.22205,1,50396,6267,1955,0.798739
2,7388,3.27221,1.40189,0.0114311,1.65746,1.59256,1,58923,7388,2235,0.940314
2,8662,4.11943,1.40189,0.0132004,1.98575,2.10759,1,69358,8662,2574,1.14814
2,10124,5.16374,1.40132,0.0152294,2.36934,2.7639,1,81318,10124,2950,1.39077
2,12044,6.44629,1.40098,0.01764,2.73844,3.67178,1,96194,12044,3414,1.58571
2,13663,8.05488,1.40001,0.0196714,3.45562,4.5586,1,109955,13663,3833,2.14847
2,15549,9.96964,1.39976,0.0217682,4.36541,5.55874,1,124893,15549,4286,2.76635
3,1,1.1549e-05,inf,9.624e-06,0,0,1,0,1,2,0
3,525,0.101804,1.5036,0.00132769,0.0643091,0.0357573,1,5300,525,299,0.0195035
3,916,0.202234,1.44678,0.00204407,0.120313,0.0789912,1,9145,916,464,0.0414807
3,1349,0.310167,1.4387,0.00265422,0.181506,0.124575,1,12354,1349,596,0.0668251
3,1699,0.435178,1.43205,0.00322165,0.248509,0.181576,1,15813,1699,730,0.101241
3,2108,0.585573,1.43154,0.00382025,0.333008,0.246342,1,19275,2108,861,0.152407
3,2495,0.776132,1.41183,0.00437265,0.455592,0.313252,1,22406,2495,978,0.244388
3,3123,1.00489,1.41183,0.00532848,0.56894,0.426886,1,27321,3123,1155,0.2914
3,3808,1.29803,1.40992,0.00629431,0.70896,0.578022,1,32729,3808,1347,0.371486
3,4504,1.67297,1.40521,0.00732407,0.898733,0.761088,1,38423,4504,1547,0.496069
3,5370,2.14686,1.40335,0.0085559,1.1148,1.0162,1,45436,5370,1784,0.627896
3,6334,2.76813,1.40189,0.00991246,1.40754,1.34175,1,53342,6334,2049,0.766227
3,7667,3.52052,1.40106,0.0117279,1.67414,1.82338,1,63594,7667,2383,0.906198
3,9057,4.4627,1.40079,0.0137212,2.02858,2.40679,1,74885,9057,2743,1.12442
3,10696,5.62806,1.4003,0.0159554,2.45462,3.14103,1,87652,10696,3145,1.39741
3,12426,7.07159,1.39942,0.0179626,3.16904,3.86526,1,99627,12426,3515,1.97538
3,14693,8.85417,1.39906,0.0207966,3.68977,5.12075,1,117861,14693,4071,2.28836
4,1,6.4671e-05,inf,1.1163e-05,3.3491e-05,1.7708e-05,1,1,1,3,0
4,514,0.100797,1.52888,0.00131422,0.0647722,0.0342926,1,5249,514,294,0.020253
4,868,0.202398,1.44912,0.00197557,0.131089,0.0685413,1,8451,868,433,0.059023
4,1328,0.315319,1.42841,0.00264693,0.196188,0.115142,1,11893,1328,575,0.0868415
4,1751,0.433482,1.41208,0.00322397,0.257145,0.17115,1,15360,1751,712,0.114735
4,2414,0.577692,1.41208,0.00398348,0.324477,0.246395,1,19325,2414,864,0.144752
4,2949,0.755756,1.40979,0.00466716,0.412339,0.335199,1,23475,2949,1019,0.19279
4,3354,0.980477,1.40979,0.00522534,0.557823,0.413364,1,26794,3354,1140,0.287212
4,4144,1.26307,1.40643,0.00620619,0.670194,0.581549,1,33209,4144,1368,0.337758
4,5036,1.61557,1.40416,0.00730406,0.821298,0.780663,1,39853,5036,1599,0.42385
4,6057,2.06239,1.40416,0.00858981,0.979176,1.06695,1,48309,6057,1885,0.498122
