trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,3.811e-05,inf,2,1,3
0,7897,0.100014,1.73054,2,7897,25
0,15600,0.201128,1.67056,2,15600,27
0,23390,0.303294,1.67056,2,23390,12
0,32461,0.406601,1.67056,2,32461,48
0,41040,0.511041,1.67056,2,41040,5
0,49631,0.616664,1.67056,2,49631,12
0,56473,0.723434,1.67056,2,56473,30
0,64686,0.831154,1.67056,2,64686,38
0,74186,0.940041,1.67056,2,74186,18
0,82253,1.05021,1.67056,2,82253,9
0,90145,1.16161,1.67056,2,90145,2
0,98860,1.27412,1.67056,2,98860,21
0,106580,1.38791,1.67056,2,106580,182
0,115887,1.50254,1.67056,2,115887,48
0,118558,1.61883,1.67056,2,118558,484
0,126267,1.73506,1.67056,2,126267,39
0,135130,1.85254,1.67056,2,135130,74
0,143947,1.97125,1.67056,2,143947,28
0,153522,2.09121,1.67056,2,153522,13
0,159349,2.21239,1.67056,2,159349,4
0,167530,2.3344,1.67056,2,167530,11
0,176309,2.45753,1.67056,2,176309,63
0,184778,2.58179,1.67056,2,184778,12
0,190885,2.70726,1.67056,2,190885,32
0,200293,2.83367,1.67056,2,200293,78
0,205616,2.96138,1.67056,2,205616,85
0,215710,3.08977,1.67056,2,215710,11
0,223530,3.21956,1.67056,2,223530,4
0,231156,3.35058,1.67056,2,231156,186
0,241216,3.48255,1.67056,2,241216,22
0,251994,3.61599,1.67056,2,251994,30
0,259950,3.75086,1.67056,2,259950,35
0,270844,3.88679,1.67056,2,270844,46
0,281358,4.0242,1.67056,2,281358,27
0,291900,4.16313,1.67056,2,291900,112
0,301259,4.30335,1.67056,2,301259,20
0,312305,4.44489,1.67056,2,312305,12
0,321397,4.58794,1.67056,2,321397,12
0,331866,4.73227,1.67056,2,331866,51
0,343672,4.87805,1.67056,2,343672,18
0,350775,5.0255,1.67056,2,350775,90
0,362178,5.17386,1.67056,2,362178,14
0,374628,5.32378,1.67056,2,374628,19
0,386456,5.47532,1.67056,2,386456,8
0,396677,5.62845,1.67056,2,396677,27
0,408240,5.78297,1.67056,2,408240,24
0,420179,5.93907,1.67056,2,420179,4
0,433073,6.0969,1.67056,2,433073,71
0,444663,6.25639,1.67056,2,444663,50
0,457278,6.41742,1.67056,2,457278,9
0,466957,6.58032,1.67056,2,466957,180
0,479495,6.74438,1.67056,2,479495,22
0,492441,6.91022,1.67056,2,492441,18
0,505428,7.0778,1.67056,2,505428,24
0,518442,7.24714,1.67056,2,518442,42
0,532157,7.4182,1.67056,2,532157,10
0,546732,7.59118,1.67056,2,546732,22
0,561951,7.7661,1.67056,2,561951,44
0,576347,7.94311,1.67056,2,576347,30
0,590290,8.12204,1.67056,2,590290,19
0,603188,8.30292,1.67056,2,603188,8
0,617034,8.48564,1.67056,2,617034,20
0,629800,8.67017,1.67056,2,629800,8
0,645222,8.8564,1.67056,2,645222,12
0,660268,9.04485,1.67056,2,660268,19
0,673461,9.23534,1.67056,2,673461,40
0,686933,9.42755,1.67056,2,686933,46
0,702333,9.62165,1.67056,2,702333,90
0,715295,9.81779,1.67056,2,715295,34
1,1,4.235e-06,inf,2,1,2
1,7717,0.100075,1.74042,2,7717,94
1,15483,0.201078,1.73668,2,15483,7
1,23203,0.303319,1.73668,2,23203,177
1,30235,0.406473,1.73668,2,30235,30
1,37983,0.51064,1.73668,2,37983,20
