trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,1.7708e-05,inf,2,1,2
0,3311,0.100065,1.70456,2,3311,38
0,5216,0.200615,1.69041,2,5216,27
0,6657,0.301426,1.68774,2,6657,44
0,8072,0.402564,1.6873,2,8072,33
0,9005,0.503919,1.68685,2,9005,33
0,9992,0.605506,1.68675,2,9992,36
0,10941,0.707283,1.68672,2,10941,49
0,11867,0.809222,1.68671,2,11867,30
0,12519,0.911446,1.68668,2,12519,30
0,13295,1.01372,1.68598,2,13295,14
0,14003,1.11621,1.6858,2,14003,22
0,14594,1.21896,1.68578,2,14594,22
0,15306,1.32185,1.68578,2,15306,46
0,15882,1.42485,1.68578,2,15882,46
0,16516,1.52792,1.68578,2,16516,10
0,17093,1.63124,1.68578,2,17093,7
0,17626,1.73462,1.68578,2,17626,7
0,18211,1.8381,1.68578,2,18211,16
0,18724,1.94177,1.68577,2,18724,16
0,19414,2.0456,1.68577,2,19414,35
0,19908,2.14957,1.68574,2,19908,35
0,20556,2.25378,1.68574,2,20556,68
0,21014,2.35814,1.68574,2,21014,68
0,21463,2.4625,1.68563,2,21463,68
0,22075,2.56718,1.68563,2,22075,39
0,22503,2.67183,1.68563,2,22503,39
0,23048,2.77663,1.68561,2,23048,40
0,23449,2.88146,1.68561,2,23449,40
0,23844,2.98658,1.67155,2,23844,40
0,24390,3.09184,1.67155,2,24390,45
0,24772,3.19717,1.67155,2,24772,45
0,25432,3.30283,1.67148,2,25432,45
0,25797,3.40859,1.66963,2,25797,45
0,26168,3.51449,1.66963,2,26168,45
0,26602,3.62041,1.66963,2,26602,18
0,26955,3.72658,1.66963,2,26955,18
0,27307,3.83283,1.66963,2,27307,18
0,27765,3.93934,1.66963,2,27765,30
0,28109,4.04596,1.66844,2,28109,30
0,28454,4.15257,1.66844,2,28454,30
0,28886,4.25927,1.66844,2,28886,17
0,29223,4.36625,1.66844,2,29223,17
0,29553,4.47315,1.66844,2,29553,17
0,29998,4.58034,1.66844,2,29998,18
0,30311,4.68752,1.66843,2,30311,18
0,30630,4.79501,1.66843,2,30630,18
0,31085,4.90273,1.66842,2,31085,20
0,31396,5.0103,1.66797,2,31396,20
0,31708,5.11794,1.66797,2,31708,20
0,32146,5.22586,1.66797,2,32146,40
0,32446,5.33394,1.66793,2,32446,40
0,32749,5.44194,1.66793,2,32749,40
0,33187,5.55028,1.66793,2,33187,49
0,33476,5.65874,1.66521,2,33476,49
0,33771,5.76747,1.66521,2,33771,49
0,34069,5.87596,1.66521,2,34069,49
0,34641,5.9847,1.66521,2,34641,91
0,34928,6.09357,1.66521,2,34928,91
0,35211,6.20275,1.66521,2,35211,91
0,35722,6.31131,1.66521,2,35722,46
0,36085,6.42106,1.6652,2,36085,82
0,36355,6.53029,1.66519,2,36355,82
0,36628,6.63963,1.66519,2,36628,82
0,37103,6.74938,1.66519,2,37103,42
0,37377,6.85931,1.66519,2,37377,42
0,37647,6.96927,1.66519,2,37647,42
0,37909,7.07954,1.66519,2,37909,42
0,38350,7.18961,1.66519,2,38350,37
0,38611,7.29986,1.66519,2,38611,37
0,38877,7.41011,1.66519,2,38877,37
0,39138,7.52057,1.66519,2,39138,37
0,39582,7.63121,1.66519,2,39582,57
0,39842,7.74204,1.66518,2,39842,57
0,40101,7.85297,1.66518,2,40101,57
0,40357,7.96382,1.66518,2,40357,57
0,40771,8.07507,1.66518,2,40771,18
0,41021,8.1863,1.66518,2,41021,18
0,41282,8.29771,1.66518,2,41282,18
0,41534,8.40896,1.66518,2,41534,18
0,41987,8.52049,1.66518,2,41987,35
0,42230,8.632,1.66505,2,42230,35
0,42474,8.74391,1.66505,2,42474,35
0,42726,8.85603,1.66505,2,42726,35
0,43160,8.96784,1.66505,2,43160,27
0,43400,9.08005,1.66505,2,43400,27
0,43639,9.19243,1.66505,2,43639,27
0,43884,9.30463,1.66505,2,43884,27
0,44263,9.41706,1.66505,2,44263,19
0,44505,9.52964,1.66505,2,44505,19
0,44745,9.6422,1.66505,2,44745,19
0,44982,9.75499,1.66505,2,44982,19
0,45327,9.86809,1.66505,2,45327,31
0,45565,9.98129,1.66505,2,45565,31
1,1,1.1934e-05,inf,2,1,2
1,3178,0.100073,1.68277,2,3178,47
1,4866,0.200693,1.68135,2,4866,40
1,6566,0.301605,1.68119,2,6566,61
1,7726,0.402891,1.68116,2,7726,35
1,8759,0.504342,1.68109,2,8759,21
1,9758,0.605861,1.68012,2,9758,23
1,10767,0.707817,1.67995,2,10767,141
1,11830,0.809984,1.67221,2,11830,67
1,12651,0.912374,1.67203,2,12651,9
1,13370,1.01495,1.67201,2,13370,2
1,14193,1.11769,1.67201,2,14193,34
1,14919,1.2207,1.67199,2,14919,18
1,15559,1.3239,1.64706,2,15559,18
1,16226,1.42718,1.63443,2,16226,15
1,16986,1.53059,1.62354,2,16986,36
1,17573,1.63419,1.62262,2,17573,36
1,18311,1.73805,1.62172,2,18311,52
1,18843,1.84194,1.62116,2,18843,52
1,19459,1.94596,1.60935,2,19459,26
1,19939,2.05017,1.60215,2,19939,26
1,20537,2.15451,1.60033,2,20537,32
1,21001,2.25891,1.60033,2,21001,32
1,21687,2.36345,1.59648,2,21687,16
1,22147,2.46827,1.59539,2,22147,16
1,22731,2.57301,1.59192,2,22731,30
1,23169,2.67805,1.58986,2,23169,30
1,23614,2.7831,1.58669,2,23614,30
1,24160,2.88844,1.58611,2,24160,11
1,24595,2.99383,1.58611,2,24595,11
1,25268,3.09949,1.58608,2,25268,86
1,25679,3.20525,1.58606,2,25679,86
1,26167,3.31119,1.5851,2,26167,26
1,26564,3.41723,1.5851,2,26564,26
1,26964,3.52333,1.58508,2,26964,26
1,27419,3.62945,1.57561,2,27419,16
1,27804,3.73577,1.57172,2,27804,16
1,28183,3.84215,1.57151,2,28183,16
1,28780,3.9486,1.57147,2,28780,43
1,29143,4.05535,1.57147,2,29143,43
1,29686,4.16205,1.57056,2,29686,39
1,30048,4.26881,1.57056,2,30048,39
1,30406,4.37568,1.57055,2,30406,39
1,30928,4.48276,1.57055,2,30928,22
1,31274,4.59,1.56991,2,31274,22
1,31612,4.69731,1.56991,2,31612,22
1,32196,4.8049,1.56484,2,32196,43
1,32527,4.9125,1.56484,2,32527,43
1,32848,5.02022,1.56474,2,32848,43
1,33396,5.12798,1.56474,2,33396,67
1,33717,5.23573,1.56457,2,33717,67
1,34041,5.34381,1.56438,2,34041,67
1,34453,5.45195,1.56437,2,34453,19
1,34759,5.56036,1.56437,2,34759,19
1,35068,5.66863,1.56436,2,35068,19
1,35446,5.77711,1.56436,2,35446,15
1,35746,5.88584,1.56436,2,35746,15
1,36043,5.99459,1.56436,2,36043,15
1,36345,6.10346,1.56436,2,36345,15
1,36812,6.21248,1.56436,2,36812,41
1,37108,6.32127,1.56436,2,37108,41
1,37404,6.43034,1.56435,2,37404,41
1,37880,6.53957,1.56435,2,37880,46
1,38163,6.64883,1.56435,2,38163,46
1,38438,6.75809,1.56435,2,38438,46
1,38717,6.86776,1.56425,2,38717,46
1,39141,6.9773,1.56425,2,39141,51
1,39416,7.0868,1.56425,2,39416,51
1,39693,7.19663,1.56425,2,39693,51
1,40140,7.30678,1.56425,2,40140,33
1,40402,7.41693,1.56423,2,40402,33
1,40664,7.52692,1.56423,2,40664,33
1,40927,7.63726,1.56423,2,40927,33
1,41352,7.74748,1.56423,2,41352,47
1,41612,7.85783,1.56423,2,41612,47
1,41873,7.9686,1.56423,2,41873,47
1,42130,8.0793,1.56422,2,42130,47
1,42578,8.19009,1.56422,2,42578,68
1,42831,8.30076,1.56422,2,42831,68
1,43090,8.41194,1.56422,2,43090,68
1,43344,8.5232,1.56422,2,43344,68
1,43705,8.63448,1.56421,2,43705,20
1,43954,8.74597,1.56421,2,43954,20
1,44190,8.85721,1.56386,2,44190,20
1,44439,8.96872,1.56386,2,44439,20
1,44764,9.08025,1.56386,2,44764,24
1,45009,9.19215,1.56386,2,45009,24
1,45255,9.30419,1.56384,2,45255,24
1,45501,9.41623,1.56384,2,45501,24
1,45829,9.52849,1.56384,2,45829,25
1,46071,9.64045,1.56384,2,46071,25
1,46313,9.75273,1.56384,2,46313,25
1,46552,9.86512,1.56384,2,46552,25
1,47027,9.97743,1.56384,2,47027,28
2,1,7.699e-06,inf,2,1,2
2,2985,0.100094,1.72519,2,2985,31
2,4650,0.200556,1.72288,2,4650,21
2,6082,0.301282,1.71808,2,6082,13
2,7315,0.402348,1.71632,2,7315,47
2,8461,0.503605,1.71019,2,8461,40
2,9440,0.605059,1.70634,2,9440,36
2,10321,0.706706,1.68228,2,10321,36
2,11354,0.808581,1.62831,2,11354,33
