trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,2.6176e-05,inf,2,1,3
0,2428,0.100196,2.34905,2,2428,172
0,5085,0.200726,2.10783,2,5085,138
0,7693,0.301713,2.10783,2,7693,57
0,10326,0.40327,2.10783,2,10326,61
0,13103,0.505326,2.0362,2,13103,145
0,15779,0.607951,1.91924,2,15779,139
0,18363,0.711093,1.91924,2,18363,84
0,20968,0.81474,1.91924,2,20968,71
0,23452,0.918859,1.91924,2,23452,9
0,26444,1.02353,1.91924,2,26444,264
0,29257,1.12868,1.91924,2,29257,88
0,32063,1.23441,1.91924,2,32063,266
0,34977,1.34072,1.91924,2,34977,207
0,37842,1.44754,1.91924,2,37842,102
0,40471,1.55494,1.91924,2,40471,152
0,43322,1.66285,1.91924,2,43322,254
0,46145,1.7715,1.91924,2,46145,158
0,49031,1.88063,1.91924,2,49031,232
0,51911,1.99021,1.91924,2,51911,243
0,54674,2.1003,1.91924,2,54674,185
0,57271,2.21101,1.91924,2,57271,209
0,60261,2.32216,1.91924,2,60261,35
0,63202,2.43388,1.91924,2,63202,35
0,66030,2.54629,1.91924,2,66030,276
0,68887,2.66016,1.91924,2,68887,268
0,71900,2.77292,1.85804,2,71900,92
0,74814,2.88693,1.85804,2,74814,89
0,77988,3.00144,1.85804,2,77988,186
0,81063,3.11652,1.85513,2,81063,56
0,84196,3.23283,1.85513,2,84196,263
0,87159,3.34849,1.85513,2,87159,50
0,90262,3.4653,1.85513,2,90262,72
0,93306,3.58267,1.85513,2,93306,252
0,96479,3.70056,1.83144,2,96479,95
0,99751,3.81909,1.83144,2,99751,120
0,102898,3.93825,1.83144,2,102898,121
0,105950,4.058,1.83144,2,105950,211
0,108827,4.17866,1.83144,2,108827,3
0,111853,4.29957,1.83144,2,111853,68
0,115348,4.42105,1.83144,2,115348,47
0,118221,4.54321,1.83144,2,118221,58
0,121414,4.66603,1.83144,2,121414,236
0,124420,4.78929,1.83144,2,124420,113
0,127335,4.91365,1.83144,2,127335,237
0,130594,5.03812,1.83144,2,130594,24
0,133942,5.16331,1.83144,2,133942,111
0,137187,5.28904,1.83144,2,137187,128
0,140507,5.4154,1.83144,2,140507,239
0,143728,5.54233,1.83144,2,143728,16
0,147052,5.6699,1.83144,2,147052,148
0,150403,5.79804,1.83144,2,150403,9
0,153773,5.92702,1.83144,2,153773,2
0,157004,6.05655,1.83144,2,157004,284
0,160347,6.18655,1.83144,2,160347,92
0,163557,6.31719,1.83144,2,163557,180
0,166959,6.44848,1.83144,2,166959,129
0,170383,6.5803,1.83144,2,170383,30
0,173393,6.71284,1.83144,2,173393,230
0,176943,6.84598,1.83144,2,176943,91
0,180396,6.97981,1.83144,2,180396,232
0,183827,7.11424,1.83144,2,183827,132
0,187194,7.24927,1.83144,2,187194,135
0,190751,7.38501,1.83144,2,190751,177
0,194337,7.52137,1.83144,2,194337,281
0,197787,7.6584,1.83144,2,197787,129
0,201087,7.79608,1.83144,2,201087,167
0,204551,7.93437,1.83144,2,204551,102
0,208434,8.07331,1.83144,2,208434,72
0,212011,8.21298,1.83144,2,212011,88
0,215744,8.35353,1.83144,2,215744,199
0,219223,8.49447,1.83144,2,219223,23
0,222989,8.63614,1.83144,2,222989,116
0,226482,8.77847,1.83144,2,226482,97
0,230060,8.92167,1.83144,2,230060,158
0,234062,9.0653,1.83144,2,234062,145
0,237792,9.2097,1.83144,2,237792,82
0,241621,9.35482,1.83144,2,241621,73
0,245324,9.50064,1.83144,2,245324,21
0,249305,9.64722,1.83144,2,249305,115
0,253109,9.79457,1.83144,2,253109,197
0,256814,9.94252,1.83144,2,256814,72
1,1,1.8093e-05,inf,2,1,3
1,2452,0.100135,2.24575,2,2452,211
1,5161,0.200594,2.24575,2,5161,265
1,7739,0.301586,2.12096,2,7739,50
1,10201,0.403075,2.02442,2,10201,288
1,12854,0.505098,1.94472,2,12854,2
1,15480,0.607604,1.94472,2,15480,64
1,17940,0.710587,1.94472,2,17940,44
1,20628,0.814034,1.94472,2,20628,28
1,23339,0.918036,1.94472,2,23339,57
1,26058,1.02248,1.94472,2,26058,91
1,28710,1.12744,1.94472,2,28710,45
1,31404,1.23292,1.94472,2,31404,223
1,34173,1.33894,1.94472,2,34173,187
1,36770,1.44565,1.94472,2,36770,128
1,39702,1.55239,1.94472,2,39702,211
1,42455,1.65994,1.94472,2,42455,195
1,45211,1.76799,1.94472,2,45211,85
1,47954,1.87669,1.94472,2,47954,236
1,50533,1.98596,1.94472,2,50533,81
1,53536,2.09555,1.94472,2,53536,149
1,56200,2.2057,1.94472,2,56200,276
1,58956,2.31641,1.94472,2,58956,172
1,61922,2.42794,1.83942,2,61922,2
1,64613,2.53937,1.83942,2,64613,126
1,67486,2.65167,1.83942,2,67486,141
1,70421,2.76449,1.83942,2,70421,108
1,73332,2.87788,1.83942,2,73332,95
1,76434,2.99182,1.83942,2,76434,74
1,79318,3.10691,1.83942,2,79318,271
1,82171,3.22193,1.83942,2,82171,135
1,85130,3.3375,1.83942,2,85130,61
1,88127,3.45358,1.83942,2,88127,71
1,91185,3.57082,1.83942,2,91185,189
1,94052,3.68755,1.83942,2,94052,78
1,97202,3.80533,1.83942,2,97202,166
1,100425,3.9237,1.83942,2,100425,200
1,103372,4.04266,1.83942,2,103372,103
1,106302,4.1623,1.83942,2,106302,74
1,109326,4.28233,1.83942,2,109326,3
1,112380,4.40291,1.83942,2,112380,54
1,115648,4.52447,1.83942,2,115648,3
1,118760,4.64625,1.83942,2,118760,257
1,121883,4.76875,1.83942,2,121883,184
1,125071,4.89168,1.83942,2,125071,30
1,128373,5.01517,1.83942,2,128373,111
1,131619,5.13935,1.8376,2,131619,42
1,134846,5.26408,1.8376,2,134846,226
1,138298,5.38939,1.8376,2,138298,98
1,141570,5.51533,1.8376,2,141570,240
1,144961,5.64184,1.8376,2,144961,34
1,148257,5.76906,1.8376,2,148257,316
1,151846,5.8971,1.8376,2,151846,174
1,155428,6.02573,1.82802,2,155428,80
1,158719,6.15488,1.77065,2,158719,20
1,162412,6.2847,1.77065,2,162412,123
1,165835,6.41512,1.77065,2,165835,61
1,169220,6.54632,1.77065,2,169220,66
1,172558,6.67792,1.77065,2,172558,167
1,175912,6.81017,1.77065,2,175912,87
1,179343,6.9432,1.77065,2,179343,190
1,182687,7.07669,1.77065,2,182687,105
1,186252,7.21102,1.77065,2,186252,291
1,189809,7.34578,1.77065,2,189809,317
1,193400,7.48126,1.77065,2,193400,104
1,196668,7.61738,1.77065,2,196668,156
1,200025,7.75417,1.77065,2,200025,140
1,203610,7.8917,1.77065,2,203610,3
1,207209,8.03028,1.77065,2,207209,320
1,210780,8.16864,1.77065,2,210780,85
1,214171,8.30807,1.77065,2,214171,166
1,217686,8.44842,1.77065,2,217686,3
1,221133,8.58913,1.77065,2,221133,96
1,224858,8.73058,1.77065,2,224858,55
1,228696,8.87274,1.77065,2,228696,297
1,232533,9.01615,1.77065,2,232533,274
1,236372,9.15929,1.77065,2,236372,129
1,240015,9.30353,1.77065,2,240015,63
1,243685,9.44847,1.77065,2,243685,94
1,247550,9.59413,1.77065,2,247550,140
1,251362,9.7404,1.77065,2,251362,172
1,255215,9.88743,1.77065,2,255215,75
2,1,7.314e-06,inf,2,1,2
2,2455,0.100066,2.18291,2,2455,227
2,5135,0.200655,1.95216,2,5135,230
2,7979,0.301703,1.95216,2,7979,74
2,10733,0.403247,1.88263,2,10733,82
2,13226,0.505365,1.84059,2,13226,176
2,15834,0.607899,1.84059,2,15834,105
2,18439,0.710947,1.84059,2,18439,107
