trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,1.5398e-05,inf,2,1,2
0,2382,0.100067,1.73077,2,2382,241
0,3909,0.200584,1.72417,2,3909,232
0,5106,0.301668,1.7143,2,5106,239
0,6358,0.403057,1.63284,2,6358,91
0,7317,0.504831,1.60626,2,7317,173
0,8207,0.606716,1.59033,2,8207,168
0,9110,0.708929,1.58634,2,9110,189
0,10107,0.8113,1.586,2,10107,241
0,10850,0.914137,1.58598,2,10850,278
0,11684,1.01716,1.58544,2,11684,217
0,12335,1.12038,1.58483,2,12335,217
0,13071,1.2238,1.58379,2,13071,169
0,13869,1.32774,1.58256,2,13869,266
0,14384,1.43177,1.58203,2,14384,286
0,14873,1.5359,1.58192,2,14873,286
0,15509,1.64016,1.58136,2,15509,167
0,15994,1.7448,1.58121,2,15994,167
0,16743,1.84951,1.58117,2,16743,309
0,17151,1.95437,1.58042,2,17151,309
0,17658,2.05957,1.58033,2,17658,151
0,18032,2.16482,1.58031,2,18032,151
0,18422,2.27049,1.58028,2,18422,151
0,19113,2.3762,1.58028,2,19113,359
0,19475,2.48235,1.58027,2,19475,359
0,19836,2.58863,1.58023,2,19836,359
0,20427,2.69499,1.58023,2,20427,254
0,20806,2.80159,1.58021,2,20806,254
0,21176,2.90832,1.58021,2,21176,254
0,21702,3.01519,1.58021,2,21702,209
0,22008,3.12256,1.58021,2,22008,209
0,22330,3.23003,1.58021,2,22330,209
0,22814,3.33754,1.58021,2,22814,174
0,23117,3.44536,1.58021,2,23117,174
0,23418,3.55329,1.5802,2,23418,174
0,23951,3.66141,1.5802,2,23951,240
0,24247,3.76993,1.5802,2,24247,240
0,24536,3.87846,1.57799,2,24536,240
0,24835,3.9875,1.57674,2,24835,240
0,25255,4.09636,1.57674,2,25255,158
0,25510,4.20555,1.57674,2,25510,158
0,25750,4.31474,1.5766,2,25750,158
0,26029,4.42454,1.5766,2,26029,158
0,26687,4.53426,1.5766,2,26687,370
0,26988,4.64448,1.5766,2,26988,370
0,27283,4.75472,1.57659,2,27283,370
0,27835,4.86511,1.57658,2,27835,280
0,28107,4.97559,1.57658,2,28107,280
0,28363,5.08629,1.57512,2,28363,280
0,28629,5.19717,1.57512,2,28629,280
0,29113,5.30882,1.57508,2,29113,221
0,29366,5.42013,1.57507,2,29366,221
0,29635,5.53157,1.57483,2,29635,221
0,29884,5.64337,1.57482,2,29884,221
0,30360,5.75519,1.5748,2,30360,219
0,30631,5.86749,1.5748,2,30631,219
0,30872,5.97995,1.5748,2,30872,219
0,31134,6.09239,1.57478,2,31134,219
0,31500,6.2051,1.57478,2,31500,112
0,31765,6.31815,1.57478,2,31765,112
0,32031,6.43129,1.57478,2,32031,112
0,32276,6.54477,1.57478,2,32276,112
0,32795,6.65808,1.5747,2,32795,276
0,33028,6.77156,1.5747,2,33028,276
0,33277,6.88542,1.57466,2,33277,276
0,33530,6.99983,1.57451,2,33530,276
0,33869,7.1138,1.57451,2,33869,95
0,34103,7.22853,1.57451,2,34103,95
0,34328,7.34309,1.57451,2,34328,95
0,34575,7.45795,1.57451,2,34575,95
0,34857,7.57219,1.57451,2,34857,13
0,35335,7.68779,1.57451,2,35335,235
0,35601,7.80332,1.57451,2,35601,235
0,35866,7.91872,1.57451,2,35866,235
0,36459,8.03381,1.57451,2,36459,317
0,36735,8.14994,1.57451,2,36735,340
0,36998,8.26603,1.57451,2,36998,340
0,37256,8.38223,1.57448,2,37256,340
0,37858,8.49802,1.57439,2,37858,320
0,38128,8.61528,1.57439,2,38128,349
0,38383,8.73215,1.57439,2,38383,349
0,38629,8.84916,1.57439,2,38629,349
0,38882,8.96615,1.57439,2,38882,349
0,39170,9.08328,1.57236,2,39170,30
0,39435,9.20074,1.57233,2,39435,30
0,39701,9.31834,1.57231,2,39701,30
0,40019,9.43617,1.57137,2,40019,46
0,40283,9.55396,1.57132,2,40283,46
0,40551,9.67202,1.57132,2,40551,46
0,40813,9.79009,1.57131,2,40813,46
0,41329,9.90816,1.57131,2,41329,253
1,1,6.159e-06,inf,2,1,2
1,2902,0.100088,1.6963,2,2902,263
1,4571,0.200599,1.67687,2,4571,303
1,5996,0.301406,1.60183,2,5996,290
1,7199,0.402544,1.56833,2,7199,232
1,8246,0.503949,1.55995,2,8246,209
1,9185,0.605525,1.55791,2,9185,149
1,9940,0.707333,1.55602,2,9940,149
1,10838,0.809309,1.55491,2,10838,205
1,11711,0.911548,1.55315,2,11711,178
1,12379,1.01386,1.5527,2,12379,178
1,13193,1.11655,1.55193,2,13193,284
1,13773,1.21932,1.55107,2,13773,284
1,14510,1.32241,1.55028,2,14510,248
1,15033,1.42568,1.54995,2,15033,248
1,15657,1.52917,1.5461,2,15657,129
1,16146,1.63265,1.54609,2,16146,129
1,16792,1.73635,1.54602,2,16792,171
1,17267,1.8402,1.54368,2,17267,171
1,17809,1.94414,1.54324,2,17809,78
1,18259,2.04823,1.54298,2,18259,78
1,18852,2.1525,1.54298,2,18852,166
1,19295,2.25698,1.54298,2,19295,166
1,19740,2.36168,1.54291,2,19740,166
1,20277,2.46638,1.54271,2,20277,131
1,20703,2.57136,1.54271,2,20703,131
1,21277,2.67639,1.54271,2,21277,163
1,21688,2.78142,1.54271,2,21688,163
1,22225,2.8864,1.54269,2,22225,150
1,22615,2.99215,1.54269,2,22615,154
1,22994,3.09774,1.54266,2,22994,154
1,23559,3.20341,1.54266,2,23559,207
1,23923,3.30922,1.54266,2,23923,207
1,24292,3.41539,1.54265,2,24292,207
1,24896,3.52166,1.54265,2,24896,261
1,25244,3.62811,1.54225,2,25244,261
1,25584,3.73461,1.54224,2,25584,261
1,26385,3.84129,1.54103,2,26385,514
1,26719,3.94827,1.54103,2,26719,514
1,27050,4.05523,1.54103,2,27050,514
1,27517,4.16228,1.54103,2,27517,142
1,27838,4.26969,1.54103,2,27838,142
1,28155,4.37722,1.54103,2,28155,142
1,28579,4.48475,1.54103,2,28579,106
1,28882,4.59231,1.54103,2,28882,106
1,29189,4.70023,1.54103,2,29189,106
1,29486,4.80853,1.54103,2,29486,106
1,30166,4.91633,1.54103,2,30166,397
1,30444,5.02468,1.54103,2,30444,397
1,30727,5.1332,1.54102,2,30727,397
1,31012,5.24172,1.54102,2,31012,397
1,31451,5.3504,1.54102,2,31451,152
1,31736,5.4595,1.54102,2,31736,152
1,32019,5.56875,1.54101,2,32019,152
1,32457,5.67817,1.54101,2,32457,157
1,32731,5.78773,1.54101,2,32731,157
1,33008,5.89718,1.54101,2,33008,157
1,33286,6.00673,1.54093,2,33286,157
1,33817,6.11664,1.54093,2,33817,264
1,34078,6.22659,1.54093,2,34078,264
1,34347,6.33682,1.54093,2,34347,264
1,34618,6.44693,1.54093,2,34618,264
1,35145,6.55714,1.54093,2,35145,259
1,35408,6.66772,1.54093,2,35408,259
1,35664,6.77818,1.54093,2,35664,259
1,35920,6.88885,1.54093,2,35920,259
1,36355,6.99998,1.54093,2,36355,192
1,36600,7.1109,1.54092,2,36600,192
1,36852,7.22221,1.54092,2,36852,192
1,37099,7.33334,1.54092,2,37099,192
1,37549,7.44451,1.54045,2,37549,204
1,37798,7.556,1.54045,2,37798,204
1,38044,7.66764,1.54045,2,38044,204
1,38293,7.77935,1.54045,2,38293,204
1,38656,7.89125,1.54045,2,38656,119
1,38898,8.00336,1.54045,2,38898,119
1,39131,8.11532,1.54044,2,39131,119
1,39371,8.22749,1.54044,2,39371,119
1,39908,8.3397,1.54044,2,39908,293
1,40137,8.45239,1.54044,2,40137,293
1,40369,8.56515,1.54044,2,40369,293
1,40602,8.67776,1.54044,2,40602,293
1,40879,8.78992,1.54044,2,40879,52
1,41313,8.90339,1.54044,2,41313,264
1,41538,9.01651,1.54044,2,41538,264
1,41762,9.12994,1.54044,2,41762,264
1,41984,9.24364,1.54044,2,41984,264
1,42500,9.35729,1.54044,2,42500,300
1,42723,9.47098,1.54044,2,42723,300
1,42944,9.5847,1.54044,2,42944,300
1,43168,9.69838,1.54044,2,43168,300
1,43391,9.81225,1.54044,2,43391,300
1,43878,9.92638,1.5403,2,43878,264
2,1,6.544e-06,inf,2,1,2
2,2915,0.100068,1.64512,2,2915,141
2,4757,0.200488,1.61944,2,4757,49
2,6321,0.301371,1.6149,2,6321,236
2,7552,0.402476,1.61201,2,7552,150
2,8712,0.503862,1.60858,2,8712,251
2,9570,0.605371,1.60823,2,9570,251
2,10464,0.707098,1.60811,2,10464,111
2,11555,0.809128,1.60795,2,11555,427
2,12331,0.911383,1.6079,2,12331,88
2,12967,1.01378,1.60779,2,12967,88
2,13883,1.1165,1.60738,2,13883,411
2,14448,1.21928,1.60736,2,14448,411
2,15155,1.32229,1.60734,2,15155,175
2,15692,1.42555,1.60733,2,15692,175
2,16480,1.52887,1.60732,2,16480,298
2,16984,1.63243,1.60729,2,16984,298
2,17652,1.73619,1.60729,2,17652,185
2,18116,1.84004,1.60729,2,18116,185
2,18864,1.944,1.60728,2,18864,296
2,19295,2.04822,1.60539,2,19295,296
2,19730,2.15253,1.60521,2,19730,296
2,20316,2.257,1.60521,2,20316,170
2,20728,2.36162,1.6032,2,20728,170
2,21282,2.46642,1.60285,2,21282,145
2,21704,2.57119,1.60277,2,21704,145
2,22116,2.6762,1.60275,2,22116,145
2,22838,2.78129,1.60275,2,22838,376
2,23224,2.8865,1.60275,2,23224,376
2,23598,2.99223,1.60275,2,23598,2
2,24158,3.09736,1.60275,2,24158,216
2,24511,3.2032,1.60269,2,24511,216
2,24961,3.30897,1.60233,2,24961,100
2,25301,3.41495,1.60194,2,25301,100
2,25647,3.52096,1.60193,2,25647,100
2,26126,3.62728,1.60193,2,26126,129
2,26470,3.73369,1.60175,2,26470,129
2,26814,3.8403,1.60174,2,26814,129
2,27405,3.94682,1.60098,2,27405,249
2,27734,4.05343,1.59374,2,27734,249
2,28069,4.16043,1.59199,2,28069,249
2,28588,4.26699,1.59186,2,28588,193
2,28955,4.3744,1.59186,2,28955,239
2,29271,4.48168,1.59186,2,29271,239
2,29589,4.58922,1.5901,2,29589,239
2,30088,4.6966,1.5822,2,30088,198
2,30396,4.80437,1.58194,2,30396,198
2,30673,4.91217,1.58186,2,30673,198
2,31119,5.01987,1.58185,2,31119,161
2,31420,5.12785,1.58049,2,31420,161
2,31718,5.23588,1.57979,2,31718,161
2,32012,5.34428,1.57979,2,32012,161
2,32627,5.45287,1.57979,2,32627,342
2,32917,5.5614,1.57976,2,32917,342
2,33212,5.67036,1.57976,2,33212,342
2,33726,5.7794,1.57923,2,33726,224
2,34006,5.88865,1.57923,2,34006,224
2,34282,5.99808,1.57923,2,34282,224
2,34558,6.10742,1.57639,2,34558,224
2,35214,6.21704,1.57513,2,35214,392
2,35475,6.3268,1.57455,2,35475,392
2,35736,6.43634,1.57455,2,35736,392
2,35999,6.54625,1.57453,2,35999,392
2,36396,6.65649,1.56993,2,36396,138
2,36649,6.7664,1.56743,2,36649,138
