trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,3.811e-05,inf,1.0009e-05,0,2.6176e-05,1,0,1,2,0
0,765,0.100538,1.58252,0.0014093,0.0351795,0.0629075,1,1002,765,260,0.0159639
0,1186,0.201002,1.58252,0.00199019,0.0619932,0.135356,1,1319,1186,395,0.0333391
0,1614,0.301142,1.52277,0.0024456,0.084755,0.211608,1,1538,1614,502,0.0484961
0,2050,0.401947,1.50835,0.00284941,0.103034,0.293026,1,1689,2050,601,0.0570501
0,2637,0.503286,1.50201,0.00325437,0.111543,0.384514,1,1794,2637,692,0.0598834
0,3093,0.604476,1.50201,0.00359045,0.124115,0.47206,1,1895,3093,773,0.0670011
0,3497,0.706177,1.50201,0.00390764,0.132647,0.564262,1,1979,3497,851,0.0702793
0,3912,0.808452,1.50201,0.00423601,0.138238,0.659951,1,2052,3912,919,0.0713564
0,4299,0.91147,1.50201,0.00454243,0.143355,0.756933,1,2115,4299,981,0.0722561
0,4684,1.01427,1.49725,0.00481805,0.153616,0.848374,1,2178,4684,1038,0.07411
0,5035,1.11563,1.49725,0.00507752,0.158757,0.943768,1,2246,5035,1100,0.0750412
0,5438,1.21958,1.49182,0.00533236,0.167544,1.03802,1,2307,5438,1154,0.0801695
0,5794,1.32281,1.49182,0.00559027,0.171909,1.13607,1,2361,5794,1207,0.0809094
0,6268,1.42659,1.49182,0.00583664,0.176416,1.23432,1,2417,6268,1261,0.0817201
0,6613,1.52925,1.49182,0.00606607,0.180821,1.33177,1,2470,6613,1313,0.0824407
0,7010,1.63308,1.49182,0.00628858,0.185109,1.43044,1,2523,7010,1364,0.083201
0,7363,1.73761,1.49182,0.00658383,0.189569,1.52963,1,2576,7363,1416,0.0839555
0,7660,1.8436,1.49182,0.00679478,0.193796,1.63069,1,2626,7660,1466,0.0846372
0,7988,1.9467,1.49182,0.0070142,0.197147,1.72968,1,2667,7988,1506,0.0852254
