trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,0.000105477,inf,3.1567e-05,5.6973e-05,1.6168e-05,0,1,0,0,1,3,9.238e-06
0,139,0.119456,inf,0.00086537,0.0647174,0.00107671,0.0517303,1,52,36,139,46,0.00323899
0,347,0.236656,inf,0.00199174,0.165728,0.0048966,0.0517303,1,94,78,347,110,0.00802857
0,430,0.344228,inf,0.0024687,0.21192,0.00726405,0.109226,1,139,112,430,136,0.0180335
0,489,1.70054,inf,0.00280476,0.291106,0.00962843,1.38348,1,542,135,489,158,0.220707
0,657,1.80606,inf,0.00374981,0.328575,0.0159024,1.38348,1,570,163,657,207,0.254657
0,677,2.42722,3.23298,0.00387531,0.354847,0.0169225,1.95578,1,742,178,677,214,0.399172
0,776,2.5292,3.23298,0.00444464,0.423304,0.0218268,1.95578,1,807,243,776,245,0.420297
0,843,2.77663,3.02877,0.00489427,0.503427,0.0259658,2.08912,1,900,300,843,269,0.493683
0,844,2.77664,3.02877,0.00490235,0.503427,0.0259658,2.08912,1,900,300,844,269,0.493683
0,897,2.91979,3.02877,0.00518414,0.56847,0.0291247,2.157,1,960,338,897,286,0.530015
0,958,3.35504,3.02876,0.00553098,0.657432,0.032095,2.48796,1,1076,366,958,302,0.600758
0,1000,3.48961,3.02876,0.0057504,0.674719,0.033785,2.59085,1,1106,372,1000,310,0.642649
0,1037,3.60654,3.02876,0.00603026,0.703735,0.0364384,2.63541,1,1160,407,1037,322,0.674622
0,1047,3.74163,3.02876,0.00608916,0.753119,0.0372622,2.72007,1,1199,425,1047,326,0.694427
0,1109,3.87412,3.02876,0.00645179,0.834334,0.0410944,2.73983,1,1277,491,1109,343,0.727541
0,1121,4.08597,3.02876,0.00653417,0.883727,0.0423767,2.87813,1,1334,521,1121,349,0.754389
0,1153,4.41302,2.82188,0.0067251,0.959648,0.0450133,3.12518,1,1461,549,1153,360,0.834657
0,1207,4.53624,2.82188,0.00707079,1.02301,0.0497243,3.16737,1,1522,590,1207,380,0.863623
0,1244,4.66827,2.82188,0.00728021,1.05613,0.0533536,3.22816,1,1586,633,1244,394,0.887648
0,1332,4.83732,2.5233,0.00773522,1.17314,0.0601619,3.26962,1,1662,699,1332,421,0.903107
0,1397,4.98024,2.39627,0.00810131,1.25268,0.0653053,3.30902,1,1691,717,1397,439,0.942688
0,1664,5.14518,2.39196,0.0095957,1.34502,0.0858663,3.33217,1,1761,779,1664,508,0.979777
0,1688,5.27856,2.39196,0.00972927,1.38827,0.08784,3.42011,1,1791,786,1688,514,1.01567
0,1785,5.42867,2.39196,0.0102424,1.44875,0.0957792,3.48315,1,1838,808,1785,539,1.05088
0,1872,5.56628,2.26637,0.010724,1.51839,0.105752,3.52827,1,1890,839,1872,569,1.08274
0,2071,5.70666,2.26637,0.0118346,1.60149,0.126135,3.55634,1,1939,877,2071,623,1.1173
0,2314,6.02136,2.26637,0.0131476,1.66131,0.155264,3.76082,1,2027,908,2314,696,1.22964
0,2465,6.16809,2.1758,0.0139068,1.76353,0.171716,3.78785,1,2056,930,2465,734,1.25392
0,2584,6.37133,2.1758,0.0144661,1.81678,0.184139,3.91952,1,2113,958,2584,761,1.29964
0,2758,6.52095,2.1758,0.015348,1.87189,0.2057,3.98745,1,2180,1007,2758,806,1.32269
0,2805,6.73728,2.1758,0.015584,1.95168,0.21358,4.11552,1,2235,1020,2805,822,1.38506
0,2987,6.88575,2.11992,0.0166804,2.04498,0.245631,4.13035,1,2279,1060,2987,884,1.4192
0,3159,7.06067,2.01768,0.017565,2.15216,0.274306,4.14655,1,2318,1092,3159,937,1.47434
0,3611,7.21546,2.01768,0.0195286,2.23695,0.327211,4.14655,1,2349,1123,3611,1026,1.52538
0,3960,7.36787,2.01768,0.0211373,2.309,0.385815,4.14655,1,2387,1161,3960,1118,1.56013
0,4205,7.75011,1.94678,0.0221963,2.43386,0.417351,4.3595,1,2468,1189,4205,1164,1.70595
0,4500,7.90855,1.94678,0.0234959,2.51686,0.473667,4.37553,1,2499,1217,4500,1242,1.75788
0,4706,8.08004,1.94441,0.0243644,2.55605,0.503028,4.43966,1,2524,1229,4706,1282,1.81436
0,4993,8.29891,1.94441,0.0255462,2.62471,0.549575,4.45311,1,2552,1252,4993,1341,1.92496
0,5238,8.46037,1.94441,0.0268854,2.67187,0.591772,4.45311,1,2582,1282,5238,1393,2.00809
0,5499,8.62377,1.94441,0.027959,2.71168,0.639892,4.52645,1,2611,1294,5499,1450,2.04795
0,5721,8.79195,1.94441,0.0288976,2.78303,0.683279,4.56549,1,2646,1317,5721,1500,2.10015
0,5967,8.95925,1.94441,0.0299958,2.84338,0.730513,4.62256,1,2680,1336,5967,1552,2.14001
0,6250,9.24828,1.94441,0.0312454,2.90672,0.785424,4.78781,1,2716,1344,6250,1610,2.21609
0,6296,9.43517,1.94441,0.0314706,2.95037,0.797766,4.87393,1,2743,1354,6296,1623,2.2988
0,6389,9.63666,1.94441,0.0318709,3.00727,0.82291,4.99274,1,2776,1362,6389,1649,2.36542
0,6678,9.87056,1.94441,0.0331586,3.07179,0.869067,5.05612,1,2814,1387,6678,1696,2.46907
0,6794,10.0456,1.94441,0.0336244,3.11234,0.892996,5.12016,1,2848,1408,6794,1720,2.55651
0,7025,10.2463,1.94441,0.0346068,3.16663,0.944651,5.17668,1,2882,1427,7025,1770,2.64215
0,7277,10.54,1.92725,0.0359118,3.21992,1.00916,5.3446,1,2928,1444,7277,1831,2.73562
0,7696,10.7248,1.9268,0.0376021,3.30034,1.10489,5.34923,1,2949,1463,7696,1918,2.78018
0,8062,10.9349,1.9268,0.0392343,3.34879,1.1972,5.40809,1,2974,1479,8062,1998,2.82853
0,8402,11.1718,1.89389,0.0407102,3.4432,1.27656,5.45832,1,2997,1494,8402,2064,2.89255
0,8884,11.3552,1.89389,0.0427177,3.50578,1.39034,5.45832,1,3003,1500,8884,2155,2.93843
0,9350,11.5426,1.89389,0.0445147,3.57002,1.50696,5.45832,1,3012,1509,9350,2247,2.98986
0,9664,11.7306,1.89389,0.0458135,3.63801,1.59943,5.45832,1,3020,1517,9664,2317,3.06967
0,9864,12.0335,1.89389,0.0466877,3.69505,1.66157,5.64058,1,3063,1529,9864,2363,3.14823
0,10087,12.2407,1.88412,0.0476039,3.75434,1.74218,5.70667,1,3098,1551,10087,2421,3.18174
0,10127,12.5244,1.88412,0.0477725,3.8224,1.75351,5.91077,1,3143,1563,10127,2429,3.32107
0,10448,12.7968,1.84989,0.0491895,3.85626,1.85004,6.00129,1,3165,1572,10448,2497,3.4238
0,10786,12.9949,1.8483,0.0504537,3.9295,1.94649,6.00162,1,3179,1585,10786,2562,3.49382
0,11268,13.2185,1.83262,0.0522772,3.99508,2.07209,6.03168,1,3191,1589,11268,2645,3.55063
0,11728,13.4258,1.83262,0.05406,4.05541,2.21397,6.03168,1,3193,1591,11728,2735,3.60215
0,11992,13.6772,1.82388,0.0550824,4.12176,2.2909,6.08869,1,3208,1599,11992,2783,3.74211
0,12446,13.8818,1.82388,0.0568728,4.16921,2.43002,6.08869,1,3215,1606,12446,2867,3.79258
0,12780,14.0877,1.82388,0.058204,4.21904,2.5351,6.08869,1,3225,1616,12780,2929,3.87448
0,12992,14.2944,1.82174,0.0590612,4.27358,2.62662,6.14819,1,3244,1624,12992,2982,3.91824
0,13284,14.5032,1.82174,0.0602072,4.31638,2.73264,6.20226,1,3252,1626,13284,3043,3.99354
0,13827,14.7143,1.82174,0.0620669,4.36589,2.88613,6.20226,1,3258,1632,13827,3129,4.0376
0,14335,14.9272,1.82174,0.0639713,4.39826,3.06407,6.20226,1,3263,1637,14335,3226,4.05284
0,14871,15.4543,1.82174,0.0658745,4.508,3.22089,6.4603,1,3321,1653,14871,3309,4.27347
0,15052,15.6794,1.81619,0.0665936,4.58459,3.26341,6.50065,1,3335,1662,15052,3331,4.41393
0,15387,16.0482,1.81619,0.0679013,4.63535,3.37891,6.70073,1,3376,1669,15387,3390,4.55105
0,15801,16.2669,1.81619,0.0694165,4.68318,3.53101,6.71749,1,3382,1673,15801,3467,4.59266
0,16155,16.4856,1.78145,0.0707346,4.74719,3.67646,6.72507,1,3391,1679,16155,3538,4.62501
0,16438,16.7354,1.78145,0.0718194,4.8185,3.79522,6.77966,1,3399,1684,16438,3595,4.73757
0,17034,16.9611,1.78145,0.0737757,4.84327,3.99355,6.77966,1,3399,1684,17034,3689,4.75097
0,17552,17.1826,1.78145,0.0756019,4.89602,4.15988,6.77966,1,3399,1684,17552,3765,4.79394
0,18073,17.4079,1.78145,0.0774289,4.92557,4.35327,6.77966,1,3401,1686,18073,3852,4.80825
0,18553,17.6346,1.78145,0.0792466,4.95444,4.54844,6.77966,1,3402,1687,18553,3939,4.82634
0,19062,17.8654,1.78145,0.0810047,4.99445,4.73696,6.77966,1,3402,1687,19062,4020,4.85585
0,19355,18.6374,1.7725,0.0821684,5.15962,4.87913,7.24282,1,3460,1699,19355,4080,5.3546
0,19611,18.8705,1.7725,0.0831951,5.25568,5.01489,7.24282,1,3460,1699,19611,4137,5.38398
0,20055,19.103,1.7725,0.0847595,5.29289,5.20644,7.24282,1,3465,1704,20055,4218,5.4031
0,20493,19.3444,1.76174,0.0862917,5.3265,5.40878,7.24621,1,3469,1706,20493,4298,5.41718
0,20816,19.579,1.74848,0.0873822,5.41297,5.5493,7.25235,1,3482,1716,20816,4356,5.46931
0,21330,19.82,1.74848,0.0890779,5.4385,5.76248,7.25235,1,3482,1716,21330,4442,5.48382
1,1,0.000113946,inf,3.2336e-05,6.2747e-05,1.7323e-05,0,1,0,0,1,3,1.0009e-05
1,157,0.176215,inf,0.000858829,0.030263,0.000906561,0.106276,1,49,21,157,41,0.00535776
1,183,0.302163,inf,0.00100511,0.0685423,0.00125687,0.155654,1,70,28,183,50,0.0103714
1,190,0.419409,inf,0.00104322,0.0883339,0.00135811,0.215865,1,108,38,190,52,0.0183734
1,335,0.587457,inf,0.0018062,0.0920983,0.00321704,0.319371,1,177,83,335,86,0.0303531
1,433,0.749076,inf,0.00229817,0.0989416,0.00471951,0.411334,1,238,129,433,106,0.0496488
1,436,0.865192,inf,0.00231588,0.108768,0.00484308,0.498961,1,265,133,436,107,0.0633235
1,451,1.0314,inf,0.00239287,0.128052,0.00516221,0.644542,1,325,148,451,111,0.0829145
1,482,1.22232,inf,0.00256032,0.177419,0.00601795,0.784638,1,398,162,482,121,0.115156
1,575,1.32634,inf,0.00303265,0.201283,0.0085394,0.838569,1,446,192,575,147,0.134798
1,581,1.46736,inf,0.00306422,0.241317,0.00873187,0.933756,1,481,198,581,149,0.161571
1,594,1.63195,inf,0.00314005,0.244443,0.00923808,1.07308,1,519,205,594,154,0.201464
1,655,2.68413,inf,0.00344532,0.290258,0.0115951,2.06579,1,819,252,655,174,0.430531
1,721,2.79378,inf,0.00382219,0.357308,0.0143591,2.09386,1,871,294,721,195,0.447453
1,742,3.13476,4.40919,0.00394153,0.392245,0.0154042,2.37819,1,972,319,742,203,0.525034
1,778,3.23714,4.339,0.00414055,0.444324,0.017175,2.42525,1,1025,359,778,215,0.541001
1,807,3.34084,4.339,0.00432686,0.496213,0.0186917,2.46596,1,1068,393,807,225,0.563067
1,912,3.49831,4.339,0.00487003,0.543711,0.0225451,2.5503,1,1149,450,912,249,0.611664
1,991,3.61432,4.339,0.00528078,0.611072,0.0266406,2.55325,1,1223,522,991,273,0.649807
1,1028,3.85522,4.339,0.00547826,0.641095,0.0288318,2.75491,1,1297,552,1028,285,0.721656
1,1043,3.99631,3.31272,0.0055591,0.67639,0.0291944,2.85352,1,1336,570,1043,287,0.761766
1,1138,4.12125,3.31272,0.00606877,0.726362,0.0338673,2.92187,1,1395,604,1138,312,0.806752
1,1141,4.33212,2.9039,0.00609072,0.813036,0.0340683,3.04584,1,1437,618,1141,313,0.851107
1,1285,4.45089,2.81194,0.00685792,0.886464,0.0406171,3.06761,1,1476,647,1285,344,0.879058
1,1369,4.58506,2.81194,0.00730485,0.930946,0.0464399,3.06761,1,1516,687,1369,369,0.921504
1,1444,4.74979,2.81194,0.00771944,0.969289,0.052854,3.11668,1,1561,716,1444,395,0.976979
1,1558,4.87196,2.81194,0.00835423,1.01373,0.0627203,3.17765,1,1630,762,1558,432,1.02374
1,1700,5.00851,2.78521,0.00915493,1.10133,0.0742215,3.19549,1,1683,809,1700,472,1.05935
1,1745,5.14773,2.78182,0.00940168,1.15947,0.0781211,3.24381,1,1731,846,1745,485,1.09466
1,1945,5.29331,2.78182,0.0104846,1.23345,0.0952776,3.26593,1,1795,902,1945,540,1.14514
1,2014,5.42378,2.78182,0.0108576,1.28086,0.102686,3.27246,1,1842,943,2014,562,1.199
1,2016,5.63621,2.4087,0.0108745,1.31405,0.103011,3.4512,1,1900,959,2016,563,1.27467
1,2196,5.82064,2.4087,0.0118242,1.3763,0.121017,3.52848,1,1954,989,2196,613,1.37006
1,2214,5.97318,2.4087,0.0119274,1.44354,0.123341,3.61099,1,2004,1013,2214,619,1.41167
1,2312,6.11857,2.4087,0.0124598,1.48613,0.13538,3.61099,1,2031,1040,2312,650,1.49664
1,2419,6.30129,2.4087,0.0130433,1.57262,0.146159,3.68305,1,2097,1083,2419,677,1.52848
1,2498,6.47996,2.4087,0.0136581,1.64409,0.155747,3.77073,1,2155,1108,2498,700,1.57264
1,2676,6.62051,2.4087,0.0146139,1.70016,0.172655,3.8191,1,2215,1149,2676,739,1.61568
1,2694,6.78295,2.4087,0.0147267,1.73086,0.176456,3.9443,1,2261,1163,2694,747,1.68939
1,2868,6.92196,2.4087,0.0157049,1.80454,0.197552,3.98061,1,2312,1203,2868,791,1.71451
1,3044,7.08368,2.4087,0.01674,1.88866,0.227071,4.01928,1,2370,1248,3044,850,1.75857
1,3111,7.3107,2.4087,0.0171273,1.93557,0.239309,4.10368,1,2428,1280,3111,873,1.841
1,3181,7.6214,2.4087,0.0175088,1.97399,0.248922,4.36541,1,2512,1296,3181,891,1.93216
1,3267,7.77228,2.4087,0.0180004,2.05029,0.264429,4.41954,1,2555,1318,3267,918,1.97603
1,3351,7.92006,2.4087,0.0184908,2.12099,0.280268,4.45698,1,2603,1354,3351,945,2.00782
1,3488,8.06414,2.35326,0.0193077,2.17953,0.302765,4.4671,1,2654,1399,3488,984,2.05403
1,3628,8.23447,2.35326,0.0201284,2.26508,0.328543,4.47853,1,2698,1440,3628,1025,2.09804
