trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,0.000105092,inf,3.4261e-05,5.3893e-05,7.314e-06,0,1,0,0,1,3,8.854e-06
0,173,0.11221,inf,0.000874985,0.0852073,0.000978166,0,1,110,110,173,43,0.000882308
0,246,0.218985,inf,0.00141122,0.175929,0.00239941,0.00848243,1,210,205,246,66,0.00204949
0,277,0.330634,inf,0.00157829,0.235748,0.00312581,0.0377392,1,288,272,277,77,0.00389841
0,330,0.421562,inf,0.00183544,0.322541,0.00393421,0.0377392,1,350,334,330,89,0.00412746
0,431,0.525502,inf,0.0023713,0.39395,0.00642678,0.0587984,1,433,410,431,117,0.00635133
0,480,0.714374,inf,0.00265115,0.49697,0.00779259,0.125877,1,520,474,480,130,0.0181755
0,528,1.00909,inf,0.0028906,0.592285,0.00890934,0.318491,1,637,552,528,140,0.0295701
0,566,1.11079,inf,0.00309655,0.666543,0.0103467,0.318491,1,699,614,566,152,0.0335929
0,608,1.27439,inf,0.00331289,0.717695,0.0119967,0.42399,1,778,655,608,165,0.0513638
0,638,1.62789,inf,0.00347495,0.761877,0.0135191,0.697014,1,920,699,638,176,0.0933163
0,666,1.73692,inf,0.00362162,0.796042,0.0143787,0.767092,1,960,727,666,182,0.101196
0,709,1.98174,4.03596,0.00385028,0.872636,0.0159355,0.888398,1,1052,771,709,193,0.134593
0,755,2.13273,4.03596,0.00410011,0.981507,0.0175673,0.90163,1,1129,844,755,204,0.143394
0,781,2.24099,4.03596,0.00424717,1.04478,0.0185759,0.93193,1,1197,900,781,210,0.150543
0,791,2.41552,4.03596,0.0043026,1.17725,0.0194205,0.971816,1,1286,970,791,215,0.160752
0,801,2.48505,4.03596,0.00435996,1.21608,0.0197565,0.995859,1,1315,991,801,217,0.166276
0,838,2.5957,3.9062,0.00455628,1.3195,0.0214538,0.996397,1,1382,1056,838,227,0.168649
0,851,2.72544,3.9062,0.00462711,1.4154,0.0224743,1.02274,1,1414,1079,851,233,0.176793
0,889,2.83224,3.9062,0.00482305,1.48836,0.0242239,1.04313,1,1496,1155,889,243,0.182656
0,898,3.01858,3.30803,0.0048781,1.58828,0.0247578,1.12019,1,1545,1190,898,246,0.196067
0,991,3.26111,3.30803,0.00536815,1.68036,0.0295951,1.22634,1,1684,1295,991,271,0.226705
0,1055,3.45276,3.30803,0.00639713,1.84539,0.0333061,1.23362,1,1820,1417,1055,289,0.239402
0,1092,3.61147,3.1695,0.00663195,1.97609,0.0358337,1.24447,1,1891,1481,1092,300,0.244047
0,1144,3.75266,3.1695,0.00694453,2.06673,0.0389984,1.26941,1,2024,1598,1144,314,0.258299
0,1177,3.88174,3.1695,0.0071066,2.11905,0.0414467,1.33064,1,2104,1664,1177,325,0.265968
0,1275,4.08301,3.10983,0.00757778,2.24225,0.0462628,1.36789,1,2232,1773,1275,345,0.287289
0,1348,4.27893,2.72944,0.00793463,2.38619,0.0512272,1.39348,1,2320,1851,1348,364,0.310066
0,1404,4.40421,2.72944,0.00822335,2.46099,0.0545112,1.42814,1,2398,1908,1404,377,0.325656
0,1456,4.58198,2.72944,0.00847857,2.5439,0.0580323,1.4976,1,2470,1956,1456,390,0.338252
0,1515,4.72353,2.49616,0.00876883,2.62989,0.0627846,1.52098,1,2583,2056,1515,406,0.346178
0,1598,4.89413,2.49616,0.00921383,2.73767,0.0707823,1.54439,1,2702,2162,1598,434,0.360509
0,1671,5.04489,2.36997,0.00963266,2.84928,0.0788263,1.55406,1,2790,2246,1671,460,0.368389
0,1847,5.19417,2.36997,0.0106047,2.91811,0.0940808,1.55591,1,2890,2341,1847,507,0.384358
0,1940,5.35011,2.36997,0.0110962,3.03394,0.101644,1.55808,1,2971,2418,1940,529,0.392541
0,2088,5.50329,2.36997,0.0119093,3.10957,0.118444,1.56014,1,3060,2504,2088,575,0.404396
0,2205,5.6517,2.36997,0.0125814,3.15377,0.132891,1.57253,1,3179,2605,2205,612,0.418533
0,2260,5.8319,2.36997,0.0129494,3.22718,0.139908,1.6431,1,3260,2656,2260,629,0.43309
0,2305,6.00721,2.36018,0.0132112,3.29873,0.145406,1.72431,1,3352,2726,2305,642,0.446379
0,2440,6.16728,2.2987,0.0138868,3.35845,0.156716,1.74517,1,3445,2812,2440,669,0.456346
0,2523,6.32784,2.2987,0.0143452,3.41698,0.168596,1.79103,1,3520,2863,2523,694,0.47047
0,2677,6.4913,2.2987,0.0151178,3.47927,0.185964,1.79103,1,3650,2993,2677,732,0.477786
0,2799,6.67112,2.2987,0.0157961,3.55183,0.202763,1.81938,1,3773,3106,2799,768,0.487353
0,2883,6.86495,2.2987,0.0162473,3.64456,0.215045,1.86474,1,3870,3188,2883,793,0.497659
0,2917,7.047,2.13127,0.0164124,3.68981,0.219837,1.97421,1,3947,3220,2917,803,0.515565
0,3088,7.24576,2.11325,0.0172035,3.76099,0.242387,1.99557,1,4063,3324,3088,845,0.544662
0,3234,7.41083,2.11325,0.0178756,3.83674,0.261477,1.99866,1,4153,3409,3234,880,0.560769
0,3397,7.58253,2.11325,0.0186332,3.90038,0.282291,2.00588,1,4227,3478,3397,916,0.576287
0,3563,7.75779,2.11325,0.0194039,3.9395,0.304344,2.04113,1,4294,3535,3563,953,0.587216
0,3777,7.93287,2.11325,0.0204414,3.97414,0.334909,2.04113,1,4377,3618,3777,1002,0.595892
0,3878,8.11688,2.11325,0.0209795,4.07229,0.350318,2.05213,1,4491,3718,3878,1026,0.607064
0,4057,8.30004,2.11325,0.0220035,4.12269,0.379662,2.05213,1,4612,3839,4057,1071,0.614619
0,4156,8.60621,2.11325,0.0224874,4.21985,0.394456,2.19148,1,4764,3929,4156,1093,0.66388
0,4246,8.7831,2.05675,0.0229316,4.31501,0.408955,2.20943,1,4840,3992,4246,1114,0.68301
0,4363,8.96426,2.05675,0.0235252,4.39135,0.429382,2.21513,1,4948,4095,4363,1143,0.707268
0,4484,9.15173,2.05675,0.0241485,4.44783,0.448684,2.25495,1,5033,4158,4484,1169,0.722414
0,4573,9.33585,1.95485,0.0246297,4.49486,0.465587,2.32521,1,5081,4191,4573,1192,0.73498
0,4823,9.5298,1.95485,0.0257449,4.5212,0.4982,2.32521,1,5107,4217,4823,1235,0.75796
0,4988,9.71376,1.95485,0.0263677,4.59401,0.517767,2.33464,1,5216,4316,4988,1261,0.776456
