trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,0.0377511,inf,0.000439231,0.0372772,3.0797e-05,1,1,1,3,3.465e-06
0,32,0.104363,inf,0.000608611,0.10357,0.000160911,1,29,32,14,2.0404e-05
0,52,0.215956,inf,0.000712547,0.214908,0.000300648,1,62,52,21,3.9651e-05
0,96,0.406957,inf,0.000925426,0.405489,0.000481959,1,93,96,28,6.7368e-05
0,105,0.516576,inf,0.00097778,0.514955,0.000575887,1,111,105,31,9.2003e-05
0,112,0.603695,inf,0.00101935,0.601935,0.00066789,1,126,112,34,0.000119336
0,119,0.716319,inf,0.00105323,0.714487,0.000700611,1,132,119,35,0.000135503
0,131,0.881629,inf,0.00111752,0.879583,0.000840734,1,156,131,39,0.00016938
0,134,0.991105,inf,0.00113869,0.988943,0.000929658,1,167,134,41,0.00020672
0,156,1.13862,inf,0.00126457,1.13599,0.00124955,1,212,156,49,0.000225969
0,174,1.25618,inf,0.00136465,1.25309,0.00160332,1,255,174,56,0.000249452
0,202,1.42493,inf,0.00150439,1.42139,0.00189743,1,297,202,62,0.000280634
0,222,1.67635,inf,0.00161103,1.67236,0.00222348,1,339,222,68,0.000315277
0,225,1.74404,inf,0.00163528,1.73985,0.00240326,1,360,225,71,0.000322975
0,246,1.87212,inf,0.00174537,1.86723,0.00296952,1,421,246,80,0.000345688
0,249,1.95958,inf,0.00176501,1.9546,0.00303612,1,428,249,81,0.000372248
0,257,2.12588,inf,0.0018139,2.12069,0.00318971,1,442,257,83,0.000411898
0,283,2.28787,inf,0.0019494,2.28212,0.00359199,1,490,283,89,0.000463866
0,304,2.40063,inf,0.00211993,2.39412,0.00416518,1,538,304,95,0.000501207
0,320,2.5292,inf,0.0022104,2.52195,0.00481113,1,602,320,103,0.000530464
0,325,2.72204,inf,0.0022435,2.71446,0.00509715,1,626,325,106,0.000565492
0,334,2.86064,inf,0.00229817,2.85251,0.00557911,1,666,334,111,0.000592825
0,347,3.02607,inf,0.00236823,3.0176,0.00583703,1,690,347,114,0.000634401
0,361,3.15057,inf,0.00244868,3.14172,0.00612805,1,714,361,117,0.000707155
0,384,3.30252,inf,0.00256263,3.29323,0.00644987,1,738,384,120,0.000749117
0,399,3.45123,inf,0.0026527,3.44129,0.00699689,1,786,399,126,0.000776449
0,425,3.65359,inf,0.00278166,3.64312,0.00738146,1,818,425,130,0.000846513
0,426,3.6536,inf,0.0027909,3.64312,0.00738146,1,818,426,130,0.000846513
0,448,3.82493,inf,0.00289869,3.81382,0.00789537,1,854,448,135,0.000883466
0,486,4.00092,inf,0.00308115,3.98906,0.00843623,1,894,486,140,0.000940057
0,513,4.14765,inf,0.00328094,4.13504,0.00897708,1,935,513,145,0.000969313
0,525,4.27079,inf,0.00334215,4.25776,0.00932316,1,962,525,148,0.00102667
0,534,4.43334,inf,0.00339027,4.41998,0.00959763,1,980,534,150,0.00106825
0,538,4.58671,inf,0.00343185,4.57296,0.00994216,1,1007,538,153,0.00111252
0,561,4.70801,inf,0.00354926,4.69331,0.0107656,1,1061,561,159,0.00113369
0,575,4.83237,inf,0.00362509,4.81716,0.0111856,1,1088,575,162,0.00116679
0,583,4.95881,inf,0.00367283,4.94319,0.0115339,1,1115,583,165,0.00120683
0,590,5.08812,inf,0.0037248,5.07207,0.0119089,1,1142,590,168,0.00128959
0,603,5.21478,inf,0.00379871,5.19816,0.0124028,1,1178,603,172,0.00136658
0,612,5.33854,inf,0.00385029,5.32164,0.0126199,1,1189,612,174,0.00140931
0,645,5.47485,inf,0.00401274,5.45701,0.0133813,1,1243,645,180,0.00143395
0,654,5.60416,inf,0.00407125,5.58576,0.0138729,1,1275,654,184,0.00146975
0,660,5.79261,inf,0.00416634,5.77385,0.0141335,1,1293,660,186,0.00153018
0,677,5.93128,inf,0.00430723,5.91184,0.0146594,1,1324,677,190,0.00159948
0,690,6.1021,inf,0.00438576,6.08198,0.0152614,1,1360,690,194,0.0019544
0,701,6.23278,inf,0.00444928,6.21197,0.0158758,1,1396,701,198,0.0020056
0,707,6.37802,inf,0.00450664,6.35677,0.0162438,1,1414,707,200,0.00205371
0,718,6.54761,inf,0.00456861,6.52566,0.016874,1,1450,718,204,0.00222541
0,725,6.6388,inf,0.00460365,6.61667,0.0170056,1,1459,725,205,0.00224543
0,732,6.81858,inf,0.00469911,6.79589,0.0174695,1,1486,732,208,0.00232704
0,750,6.98087,inf,0.0047915,6.9573,0.0182413,1,1531,750,213,0.00252722
0,773,7.1667,inf,0.00491238,7.14225,0.0189916,1,1576,773,218,0.00261037
0,780,7.27463,inf,0.0049986,7.24963,0.0194436,1,1603,780,221,0.00266003
0,785,7.42016,inf,0.00502902,7.39482,0.019748,1,1621,785,223,0.00280438
0,802,7.5548,inf,0.00512372,7.52813,0.0209737,1,1693,802,231,0.00283787
0,824,7.74905,inf,0.00524151,7.72116,0.022057,1,1747,824,237,0.00290061
0,837,7.9082,4.123,0.00530772,7.87957,0.0227153,1,1774,837,240,0.00336987
0,861,8.07757,4.123,0.00548557,8.04812,0.023345,1,1810,861,244,0.00344801
0,868,8.2455,4.123,0.00553292,8.21528,0.0240568,1,1846,868,248,0.00353386
0,881,8.4173,4.123,0.00559682,8.38637,0.0246908,1,1874,881,251,0.00371787
0,890,8.53602,4.123,0.00564956,8.50451,0.0252186,1,1904,890,254,0.00395346
0,905,8.73743,4.123,0.00573271,8.70499,0.026057,1,1949,905,259,0.00403314
0,921,8.9065,4.10263,0.0058224,8.87308,0.0269247,1,1999,921,264,0.00460787
0,945,9.06484,4.10263,0.00593904,9.03033,0.0278794,1,2049,945,269,0.00470296
0,953,9.27827,4.10263,0.00598986,9.24292,0.0286597,1,2089,953,273,0.00479958
0,962,9.47516,4.10263,0.00604221,9.43904,0.0293684,1,2129,962,277,0.00489159
0,973,9.73832,4.10263,0.00621313,9.70051,0.030887,1,2204,973,285,0.00511178
