trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,4.3885e-05,inf,3.3106e-05,0,0,1,0,1,2,0
0,50,0.110928,inf,0.000274087,0.110325,3.8494e-05,1,18,50,7,5.6589e-05
0,119,0.213907,inf,0.000582432,0.21229,0.000171303,1,45,119,13,0.000124725
0,302,0.340686,inf,0.00142009,0.33607,0.000348765,1,95,302,20,0.000262538
0,387,0.46568,inf,0.00181197,0.459011,0.000665194,1,122,387,30,0.000422294
0,580,0.573068,inf,0.00274202,0.561001,0.000984319,1,173,580,40,0.000571656
0,685,0.676481,inf,0.00322051,0.660703,0.00136542,1,219,685,49,0.000705236
0,821,0.791122,inf,0.00386455,0.769511,0.00211878,1,282,821,63,0.000880391
0,1106,0.901251,inf,0.00525924,0.866214,0.00280245,1,399,1106,74,0.00110328
0,1221,1.0078,inf,0.00581627,0.966567,0.00336718,1,475,1221,82,0.00122184
0,1360,1.11566,inf,0.00653691,1.06559,0.00435227,1,564,1360,94,0.00143395
0,1432,1.22512,inf,0.00690299,1.16991,0.00498321,1,623,1432,102,0.00158023
0,1566,1.3287,inf,0.00753084,1.26354,0.00608302,1,700,1566,114,0.00183699
0,1688,1.43391,inf,0.00813175,1.35847,0.00740533,1,765,1688,127,0.00201907
0,1738,1.55179,inf,0.00838236,1.47138,0.00844971,1,811,1738,137,0.0022154
0,1813,1.6561,3.10731,0.00875614,1.56852,0.00923924,1,864,1813,144,0.00236168
0,1949,1.75995,3.10731,0.00946599,1.6587,0.0108145,1,933,1949,158,0.0026939
0,2115,1.87482,3.10731,0.010408,1.75498,0.0124313,1,992,2115,171,0.00294527
0,2259,1.98932,3.10731,0.0111386,1.85163,0.0147441,1,1069,2259,187,0.00336717
0,2357,2.10547,3.10731,0.0116352,1.9552,0.0164429,1,1123,2357,198,0.00354925
0,2458,2.21969,3.10731,0.012138,2.0556,0.0182183,1,1170,2458,209,0.00378292
0,2553,2.33681,2.88518,0.0126245,2.15889,0.0199979,1,1219,2553,220,0.00433147
0,2667,2.45553,2.6563,0.0132016,2.26149,0.0219619,1,1266,2667,231,0.00449931
0,2827,2.57624,2.6563,0.0139892,2.35906,0.0240873,1,1321,2827,243,0.00482806
0,2993,2.69937,2.6563,0.0148338,2.45625,0.0266453,1,1395,2993,257,0.00507097
0,3094,2.8301,2.6563,0.0154174,2.56906,0.0294477,1,1454,3094,272,0.00540857
0,3179,2.95831,2.6563,0.0158451,2.68271,0.0315384,1,1496,3179,283,0.00573732
0,3279,3.10688,2.6563,0.0163186,2.81335,0.0346569,1,1559,3279,298,0.00606029
0,3405,3.25036,2.6563,0.0170276,2.93147,0.0385642,1,1615,3405,316,0.00663965
0,3543,3.38735,2.6563,0.0177487,3.04065,0.0414082,1,1654,3543,329,0.00713354
0,3640,3.52566,2.6563,0.0182391,3.15692,0.0455383,1,1713,3640,346,0.00748347
0,3764,3.66905,2.5039,0.0187857,3.27483,0.0496931,1,1775,3764,363,0.00806744
0,3916,3.8134,2.5039,0.0194813,3.39051,0.0524767,1,1834,3916,374,0.00899633
