trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,0.0153611,inf,3.6185e-05,0.0152991,2.1943e-05,1,1,1,3,1.0009e-05
0,32,0.112072,inf,0.00023328,0.111409,0.000386493,1,22,32,12,9.2775e-05
0,58,0.216959,inf,0.000397656,0.215581,0.000909259,1,34,58,18,0.00017862
0,85,0.317413,inf,0.000582435,0.314993,0.0017369,1,74,85,27,0.000297187
0,105,0.437914,inf,0.000716013,0.434524,0.00254992,1,110,105,34,0.000415367
0,127,0.556585,inf,0.000848823,0.552039,0.00354618,1,147,127,40,0.000512373
0,145,0.679221,inf,0.000967772,0.67357,0.00451086,1,179,145,46,0.000623624
0,157,0.775099,inf,0.00104515,0.768658,0.00520955,1,203,157,50,0.000706774
0,186,0.881285,inf,0.00122954,0.872832,0.00700304,1,239,186,58,0.000830728
0,204,0.98453,inf,0.00135234,0.97456,0.00837578,1,264,204,66,0.000965844
0,222,1.10824,inf,0.00147013,1.09676,0.00974428,1,279,222,72,0.00109365
0,260,1.23018,inf,0.0017088,1.21558,0.0125902,1,306,260,81,0.00124339
0,296,1.34295,inf,0.00192937,1.3249,0.015778,1,334,296,91,0.00139468
0,324,1.44836,inf,0.00210683,1.4272,0.0186651,1,360,324,101,0.00155867
0,342,1.56459,inf,0.00223194,1.54098,0.0209718,1,385,342,110,0.00174344
0,365,1.71469,inf,0.0023736,1.6881,0.0237857,1,411,365,118,0.00194824
0,397,1.7837,inf,0.00257185,1.75344,0.0272122,1,423,397,124,0.00205102
0,440,1.8871,inf,0.00283516,1.85195,0.0317923,1,440,440,130,0.00218459
0,452,1.99881,inf,0.00296065,1.96137,0.0339338,1,460,452,138,0.00236283
0,472,2.10102,inf,0.00309885,2.06019,0.0371624,1,481,472,147,0.0025426
0,508,2.21353,inf,0.00333059,2.16692,0.0426672,1,506,508,158,0.00271698
0,529,2.31902,inf,0.00346917,2.26882,0.046099,1,525,529,165,0.00288328
0,555,2.42805,inf,0.00364355,2.37315,0.0505926,1,547,555,174,0.00306767
0,576,2.55804,inf,0.00378791,2.49909,0.0544606,1,573,576,182,0.00329672
0,595,2.65729,inf,0.00390955,2.59494,0.0577219,1,590,595,187,0.00344955
0,618,2.76267,inf,0.00407238,2.69528,0.0625672,1,610,618,197,0.00361931
0,648,2.87139,inf,0.00427487,2.79731,0.0690248,1,636,648,209,0.00381679
0,682,2.97479,inf,0.00449275,2.89328,0.0761949,1,662,682,220,0.00399964
0,714,3.08774,inf,0.004696,2.99907,0.0831151,1,685,714,230,0.00417902
0,740,3.19375,inf,0.00487231,3.09876,0.0892209,1,709,740,239,0.00438266
0,765,3.29683,inf,0.00503591,3.1961,0.0947595,1,729,765,245,0.00454164
0,791,3.40277,inf,0.00520568,3.29562,0.100973,1,749,791,253,0.00473066
0,820,3.5119,inf,0.00539508,3.39727,0.108234,1,778,820,263,0.00502553
0,858,3.62245,inf,0.00564222,3.49789,0.117869,1,806,858,275,0.00527767
0,906,3.73023,inf,0.00595441,3.59251,0.130663,1,837,906,290,0.00552096
0,936,3.83949,inf,0.00615959,3.6931,0.1391,1,863,936,300,0.00576078
0,972,3.94902,inf,0.00639941,3.79204,0.149402,1,890,972,311,0.00596442
0,996,4.05593,inf,0.00656572,3.89095,0.157204,1,919,996,321,0.00619077
0,1027,4.16894,inf,0.00676781,3.99449,0.166433,1,945,1027,330,0.0063948
0,1062,4.27687,inf,0.00699455,4.09096,0.177627,1,976,1062,342,0.00664078
