trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,4.3885e-05,inf,2.8487e-05,0,1.3858e-05,0,1,0,0,1,2,0
0,150,0.203973,2.01816,0.00093081,0.175562,0.00494819,0.0221582,1,89,86,150,52,0.00123031
0,354,0.304449,1.79464,0.00201176,0.249726,0.0188057,0.0262553,1,134,129,354,101,0.00403469
0,557,0.419363,1.63938,0.002906,0.300342,0.0361143,0.0719684,1,178,164,557,150,0.00786996
0,989,0.523015,1.58059,0.00455244,0.344222,0.0837006,0.080579,1,200,182,989,233,0.0119816
0,1501,0.629567,1.58059,0.00661078,0.364555,0.167011,0.080579,1,207,189,1501,332,0.0153835
0,1932,0.737272,1.58059,0.0083881,0.375223,0.2615,0.080579,1,207,189,1932,428,0.0184908
0,2105,0.847635,1.50228,0.00904906,0.415501,0.302652,0.108574,1,227,201,2105,460,0.0292929
0,2482,0.959157,1.46137,0.0102721,0.441417,0.386283,0.108634,1,238,211,2482,522,0.0348155
0,2877,1.07172,1.46137,0.0115466,0.453543,0.484761,0.108634,1,244,217,2877,590,0.0372969
0,3084,1.18581,1.46137,0.0123485,0.466179,0.54288,0.131385,1,259,225,3084,625,0.0620662
0,3428,1.30115,1.45705,0.0134264,0.483394,0.636985,0.13146,1,285,250,3428,679,0.0653091
0,3745,1.41803,1.45705,0.0145735,0.490863,0.744308,0.13146,1,287,252,3745,735,0.0681985
0,4086,1.53623,1.45705,0.0156968,0.497458,0.854003,0.13146,1,288,253,4086,784,0.0704016
0,4365,1.65627,1.45705,0.0167281,0.504038,0.965894,0.13146,1,288,253,4365,842,0.0719422
0,4634,1.77939,1.34649,0.0175427,0.528739,1.05175,0.14271,1,313,275,4634,880,0.0775944
0,4972,1.90058,1.34649,0.0185254,0.535227,1.1648,0.14271,1,313,275,4972,921,0.0803426
0,5322,2.02432,1.34649,0.0195371,0.540137,1.28192,0.14271,1,314,276,5322,963,0.0815498
0,5640,2.15046,1.34649,0.0205372,0.546642,1.39939,0.14271,1,314,276,5640,1006,0.0841236
0,5915,2.27545,1.34649,0.0213725,0.556858,1.51257,0.14271,1,316,278,5915,1052,0.0853247
0,6184,2.40439,1.34649,0.0222387,0.566692,1.63033,0.14271,1,316,278,6184,1095,0.0911667
