trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,4.4654e-05,inf,3.4645e-05,1.924e-06,6.16e-06,0,1,0,0,1,2,0
0,700,0.100538,inf,0.00471604,0.05803,0.0205514,0.0167012,1,5,2,700,238,0.0119054
0,1318,0.200934,inf,0.00896439,0.10839,0.065863,0.0167012,1,5,2,1318,437,0.0327864
0,1775,0.301739,inf,0.0121664,0.156558,0.114958,0.0167012,1,5,2,1775,581,0.0514573
0,1830,0.439619,1.6602,0.0125525,0.183765,0.123232,0.118666,1,20,4,1830,602,0.122631
0,2152,0.591311,1.60852,0.0140257,0.24502,0.153569,0.176879,1,31,8,2152,673,0.209322
0,2625,0.693674,1.57884,0.0160398,0.299414,0.198787,0.176975,1,34,10,2625,767,0.243747
0,2939,0.796849,1.54853,0.0172424,0.363165,0.230129,0.183401,1,42,14,2939,826,0.283209
0,3311,0.902416,1.52648,0.0186552,0.430617,0.266188,0.183523,1,47,18,3311,888,0.332508
0,3500,1.00718,1.50852,0.0194382,0.476465,0.289788,0.21779,1,58,20,3500,926,0.365026
0,4016,1.1138,1.46501,0.0213179,0.528328,0.341825,0.217881,1,61,22,4016,1006,0.396703
0,4334,1.22261,1.46006,0.0224947,0.590526,0.382396,0.2222,1,69,28,4334,1064,0.420928
0,4416,1.33243,1.46006,0.0228088,0.634334,0.391659,0.278506,1,76,30,4416,1077,0.50367
0,5035,1.44495,1.46006,0.0248695,0.678839,0.456644,0.278506,1,76,30,5035,1164,0.529998
0,5469,1.5582,1.45042,0.0264982,0.731054,0.515311,0.278627,1,79,32,5469,1237,0.561208
0,5979,1.67381,1.45042,0.0282131,0.779369,0.580125,0.278627,1,79,32,5979,1313,0.592722
0,6486,1.79077,1.45042,0.0299127,0.819221,0.654759,0.278627,1,79,32,6486,1396,0.613923
0,6937,1.90977,1.45042,0.0314856,0.860346,0.730268,0.278627,1,79,32,6937,1475,0.637632
0,7399,2.03026,1.45042,0.0331105,0.901728,0.807056,0.278627,1,79,32,7399,1551,0.662174
0,7725,2.15213,1.43831,0.0341483,0.95848,0.863931,0.285317,1,87,36,7725,1605,0.700142
0,8051,2.27618,1.41196,0.0351373,1.03704,0.907783,0.285449,1,92,40,8051,1645,0.763387
0,8478,2.40103,1.41196,0.0365616,1.08118,0.98641,0.285449,1,92,40,8478,1715,0.790241
0,8900,2.52849,1.41196,0.0379436,1.12357,1.06944,0.285449,1,92,40,8900,1786,0.81549
0,9293,2.65914,1.41196,0.0392774,1.1748,1.14691,0.285449,1,92,40,9293,1849,0.851534
0,9616,2.78609,1.41196,0.0405409,1.23559,1.21132,0.285449,1,92,40,9616,1900,0.89885
