trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,3.9265e-05,inf,3.0026e-05,0,0,0,1,0,0,1,2,0
0,104,0.100434,inf,0.000681747,0.0650581,0.000468486,0.0167366,1,22,20,104,25,0.000366474
0,379,0.21025,inf,0.00244638,0.104627,0.00350344,0.0350045,1,45,39,379,76,0.00432842
0,474,0.350548,1.70524,0.00307077,0.202746,0.00524959,0.0351277,1,78,71,474,95,0.00894862
0,894,0.451074,1.64948,0.00476381,0.248511,0.0177482,0.0351923,1,156,148,894,187,0.0125075
0,1232,0.553836,1.57909,0.00603031,0.274231,0.0302184,0.0685566,1,202,185,1232,252,0.0165584
0,1682,0.657296,1.4253,0.00751431,0.3057,0.0497643,0.0741503,1,218,197,1682,330,0.0192892
0,2276,0.766206,1.38771,0.00913034,0.325397,0.0764608,0.0742077,1,223,201,2276,418,0.0215731
0,2789,0.872779,1.38771,0.0105454,0.334173,0.10883,0.0742077,1,225,203,2789,504,0.0229528
0,3162,0.98005,1.38771,0.0115559,0.348954,0.128391,0.0921957,1,237,210,3162,552,0.0307053
0,3591,1.08856,1.38771,0.0127566,0.354493,0.158993,0.0921957,1,244,217,3591,619,0.0320631
0,3997,1.19762,1.38771,0.013938,0.367985,0.185811,0.0921957,1,253,226,3997,672,0.0369631
0,4307,1.30978,1.3745,0.0149905,0.381753,0.213302,0.0944423,1,259,230,4307,723,0.0391254
0,4620,1.42296,1.33887,0.0158085,0.408327,0.233285,0.1011,1,283,249,4620,758,0.0481791
0,4980,1.53337,1.32706,0.0167578,0.419795,0.259762,0.10333,1,287,251,4980,802,0.0501743
0,5353,1.64689,1.32706,0.0178565,0.423665,0.287346,0.10333,1,287,251,5353,845,0.0510532
0,5587,1.76242,1.32393,0.0185447,0.435032,0.308566,0.131931,1,297,253,5587,877,0.0536759
0,5918,1.87934,1.32393,0.0194848,0.441829,0.340995,0.131931,1,301,257,5918,924,0.0547391
0,6210,1.99494,1.30232,0.0202901,0.459609,0.36953,0.132052,1,308,263,6210,964,0.0572055
0,6538,2.11502,1.30232,0.0211928,0.465209,0.404635,0.132052,1,308,263,6538,1011,0.0594166
0,6861,2.23473,1.30232,0.0220243,0.475181,0.437722,0.132052,1,308,263,6861,1054,0.0617106
0,7175,2.35598,1.30232,0.0229035,0.478924,0.468884,0.132052,1,308,263,7175,1093,0.0625097
0,7440,2.47659,1.29068,0.0237601,0.493537,0.498237,0.132161,1,317,271,7440,1128,0.0679472
0,7796,2.59928,1.29068,0.0245854,0.497935,0.533449,0.132161,1,318,272,7796,1170,0.0690339
0,8090,2.7234,1.29068,0.02546,0.500905,0.560018,0.132161,1,318,272,8090,1200,0.0695382
