trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,0.00781758,inf,4.2345e-05,0.00776407,1.0394e-05,1,1,1,3,3.08e-06
0,24,0.115323,inf,0.000187858,0.115042,7.4681e-05,1,15,24,9,3.0027e-05
0,38,0.21222,inf,0.000279092,0.211772,0.000140507,1,31,38,13,6.7753e-05
0,47,0.380059,inf,0.00033491,0.379498,0.000191705,1,49,47,15,0.000102399
0,59,0.556464,inf,0.000450009,0.555669,0.000300261,1,80,59,19,0.000155137
0,63,0.670575,inf,0.000480419,0.669696,0.000349536,1,92,63,21,0.000179388
0,67,0.804685,inf,0.0005116,0.803711,0.000410359,1,107,67,23,0.000208644
0,73,0.913399,inf,0.000556639,0.912306,0.000478496,1,124,73,25,0.0002456
0,77,1.0583,inf,0.00059398,1.05705,0.000584742,1,145,77,28,0.000301417
0,94,1.17323,inf,0.000723324,1.17174,0.000685215,1,162,94,30,0.000346843
0,96,1.28169,inf,0.000747962,1.28013,0.000729099,1,174,96,31,0.000388805
0,102,1.43723,inf,0.00080301,1.43549,0.000849204,1,194,102,33,0.000464255
0,104,1.55578,inf,0.000820718,1.55397,0.000897323,1,206,104,34,0.000494667
0,107,1.8239,inf,0.000849589,1.82191,0.00104322,1,241,107,37,0.000587055
0,108,1.82391,inf,0.000861138,1.82191,0.00104322,1,241,108,37,0.000587055
0,118,1.94557,inf,0.000935432,1.94343,0.00109981,1,254,118,38,0.000632864
0,134,2.08668,inf,0.00103629,2.08436,0.00115485,1,267,134,39,0.000683292
0,141,2.37344,inf,0.0010898,2.37085,0.00136735,1,299,141,43,0.0007957
0,142,2.37399,inf,0.00110173,2.37133,0.00142471,1,312,142,44,0.0007957
0,146,2.56967,inf,0.00113868,2.56684,0.0015452,1,337,146,46,0.000933509
0,156,2.88765,inf,0.00120682,2.88454,0.00174652,1,375,156,49,0.00107748
0,157,3.00033,inf,0.00121837,2.99714,0.00181197,1,389,157,50,0.00112637
0,158,3.00034,inf,0.00122799,2.99714,0.00181197,1,389,158,50,0.00112637
0,165,3.27902,inf,0.00128073,3.27553,0.00203447,1,431,165,53,0.0012534
0,175,3.36683,inf,0.00135041,3.36314,0.00216458,1,459,175,55,0.00133039
0,187,3.57079,inf,0.00143971,3.56669,0.00245714,1,495,187,59,0.00144818
0,193,3.78771,inf,0.00148783,3.78333,0.00268157,1,531,193,62,0.00158099
0,195,3.94311,inf,0.00151055,3.93862,0.0027601,1,545,195,63,0.00163335
0,200,4.06274,inf,0.00155366,4.05813,0.00283594,1,560,200,64,0.00169148
0,202,4.21655,inf,0.0015756,4.2118,0.00294911,1,575,202,65,0.00174883
0,214,4.40632,inf,0.00166106,4.40131,0.00311041,1,605,214,67,0.00185162
0,218,4.70775,inf,0.00169455,4.70252,0.00328825,1,635,218,69,0.00197943
0,219,4.73895,inf,0.00170841,4.73365,0.00335023,1,641,219,70,0.00199752
0,225,4.8764,inf,0.00174998,4.87097,0.00343261,1,656,225,71,0.00203679
0,231,5.11269,inf,0.00179772,5.10703,0.00360969,1,686,231,73,0.00218038
0,245,5.52215,inf,0.00189242,5.51609,0.00389109,1,731,245,76,0.00234667
0,246,5.62041,inf,0.00190435,5.61425,0.00398848,1,746,246,77,0.00239479
0,250,5.84145,inf,0.00193823,5.83506,0.00417326,1,776,250,79,0.00254145
0,252,5.95367,inf,0.0019594,5.94717,0.00425641,1,791,252,80,0.0026246
0,254,6.22103,inf,0.0019798,6.21433,0.00443079,1,821,254,82,0.00274817
0,255,6.22105,inf,0.0019952,6.21433,0.00443079,1,821,255,82,0.00274817
0,263,6.52026,inf,0.00205179,6.51328,0.00462904,1,852,263,84,0.00287328
0,264,6.53963,inf,0.0020641,6.53257,0.0046991,1,857,264,85,0.00288906
0,267,6.83242,inf,0.00209221,6.82505,0.00497588,1,905,267,88,0.0031081
0,269,6.97697,inf,0.00211415,6.96946,0.00507904,1,921,269,89,0.00316122
0,274,7.24171,inf,0.00215187,7.23397,0.00527421,1,953,274,91,0.00331327
0,285,7.45746,inf,0.00223387,7.44933,0.00556485,1,989,285,94,0.003443
0,296,7.65448,inf,0.00231163,7.64606,0.00576772,1,1021,296,96,0.00359006
0,298,7.75707,inf,0.00233011,7.74852,0.00586819,1,1037,298,97,0.00366243
0,304,8.02148,inf,0.00237669,8.01261,0.00613804,1,1069,304,99,0.00379754
0,314,8.18026,inf,0.00244559,8.17112,0.00633244,1,1097,314,101,0.00388262
0,326,8.38911,inf,0.00252451,8.37956,0.00665272,1,1145,326,104,0.00406855
0,333,8.57081,inf,0.00257686,8.56098,0.0068733,1,1177,333,106,0.00417556
0,341,8.7533,inf,0.0026373,8.74317,0.00710542,1,1209,341,108,0.00427719
0,350,8.94411,inf,0.00270236,8.93369,0.00733139,1,1242,350,110,0.00440192
0,356,9.11348,inf,0.00274701,9.1028,0.00753233,1,1272,356,112,0.00450123
0,367,9.30026,inf,0.00282285,9.2893,0.00773828,1,1302,367,114,0.00459401
0,377,9.50419,inf,0.00288752,9.49291,0.00797849,1,1336,377,116,0.00475722
0,389,9.72845,inf,0.00296682,9.71683,0.0082237,1,1370,389,118,0.00489811
0,402,9.91576,inf,0.00305652,9.9038,0.008477,1,1404,402,120,0.00503785
1,1,3.0411e-05,inf,2.8871e-05,0,0,1,0,1,2,0
1,21,0.175685,inf,0.00017477,0.175368,0.00011741,1,19,21,9,6.429e-05
1,24,0.237273,inf,0.000198637,0.236909,0.000135888,1,23,24,10,7.43e-05
1,32,0.361057,inf,0.00025638,0.360571,0.000192475,1,40,32,13,0.00010394
1,39,0.520512,inf,0.000306425,0.51991,0.000245983,1,53,39,15,0.000146283
1,47,0.742526,inf,0.00036686,0.741727,0.000363779,1,80,47,19,0.000221346
1,52,0.850474,inf,0.000402275,0.8496,0.000396884,1,90,52,20,0.000252143
1,55,1.02035,inf,0.000427683,1.01936,0.000473488,1,111,55,22,0.000300647
1,57,1.07795,inf,0.000446931,1.07691,0.000512368,1,122,57,23,0.000321819
1,67,1.3427,inf,0.000515067,1.34144,0.000652876,1,157,67,27,0.00043153
1,69,1.40557,inf,0.000533545,1.40425,0.000687906,1,167,69,28,0.000446928
1,72,1.52568,inf,0.000586283,1.52427,0.000725631,1,179,72,29,0.000521224
1,78,1.71067,inf,0.000634786,1.70908,0.000845352,1,203,78,32,0.000588205
1,84,1.87106,inf,0.000679056,1.86934,0.000925423,1,220,84,34,0.000632857
1,86,1.98825,inf,0.000697149,1.98646,0.000973156,1,232,86,35,0.000668659
1,91,2.17192,inf,0.000737184,2.17,0.00105823,1,254,91,37,0.000726401
1,94,2.42557,1.89225,0.00076182,2.42351,0.0011587,1,280,94,39,0.00102628
1,95,2.42558,1.89225,0.000772984,2.42351,0.0011587,1,280,95,39,0.00102628
1,99,2.53555,1.89225,0.000795311,2.5334,0.00120682,1,293,99,40,0.00111597
1,103,2.64485,1.89225,0.000811093,2.64263,0.00125725,1,306,103,41,0.0011614
1,105,2.7785,1.89225,0.000833035,2.77621,0.00131037,1,319,105,42,0.00122607
1,107,3.00249,1.89225,0.000852668,3.00006,0.00141508,1,345,107,44,0.00139353
1,114,3.10454,1.89225,0.000894628,3.10201,0.00147282,1,358,114,45,0.0014505
1,122,3.34494,1.89225,0.000957374,3.34215,0.0016576,1,383,122,49,0.00154905
1,132,3.57057,1.89225,0.00100819,3.56758,0.00179041,1,411,132,51,0.0017292
1,134,3.69709,1.89225,0.00102897,3.69396,0.00190166,1,427,134,53,0.00179926
1,136,3.97137,1.89225,0.00104938,3.9681,0.00202138,1,454,136,55,0.00193515
1,137,3.97138,1.89225,0.00106323,3.9681,0.00202138,1,454,137,55,0.00193515
1,143,4.14722,1.89225,0.00111135,4.14373,0.00216343,1,482,143,57,0.00211492
1,154,4.2911,1.89225,0.00119181,4.28746,0.00223349,1,496,154,58,0.00216265
1,180,4.43184,1.69005,0.00131346,4.42786,0.00242596,1,536,180,61,0.00241711
1,185,4.647,1.69005,0.00134695,4.64277,0.00263538,1,571,185,64,0.00255723
1,193,4.88262,1.69005,0.00139968,4.87811,0.00284825,1,616,193,67,0.00291215
1,200,4.95831,1.69005,0.00144511,4.95367,0.00291408,1,627,200,68,0.00298414
1,218,5.2044,1.69005,0.00153095,5.19949,0.00308385,1,657,218,70,0.00314967
1,227,5.4043,1.69005,0.00158023,5.39916,0.00324475,1,687,227,72,0.00324937
1,233,5.63091,1.69005,0.00162065,5.62549,0.00347919,1,723,233,75,0.00336216
1,256,5.87611,1.69005,0.00173113,5.87025,0.00377791,1,768,256,79,0.00354732
1,259,6.0934,1.69005,0.00175962,6.08733,0.00394575,1,798,259,81,0.00363702
1,269,6.35841,1.69005,0.0017985,6.35203,0.00420636,1,844,269,84,0.00378792
1,277,6.52775,1.57428,0.00183853,6.5211,0.00442309,1,870,277,87,0.00426333
1,284,6.6122,1.57428,0.0018674,6.60541,0.00451586,1,886,284,88,0.0043538
1,299,6.77426,1.57428,0.0019263,6.76715,0.00475761,1,917,299,91,0.00449277
1,322,6.97749,1.57428,0.00199675,6.97009,0.00494239,1,949,322,93,0.0050906
1,335,7.15816,1.57428,0.00203486,7.15051,0.00513332,1,981,335,95,0.005203
1,341,7.33372,1.57428,0.00206373,7.32583,0.00532965,1,1013,341,97,0.00535351
1,348,7.61334,1.57428,0.00209645,7.60508,0.00565416,1,1061,348,100,0.00553637
1,359,7.71163,1.57428,0.00214187,7.7031,0.00586742,1,1093,359,102,0.00563646
1,371,7.90219,1.57428,0.0021796,7.89331,0.00614997,1,1128,371,105,0.00575156
1,396,8.17245,1.57428,0.00228661,8.16303,0.00654647,1,1180,396,109,0.00603527
1,407,8.33974,1.57428,0.00234667,8.32997,0.00682826,1,1210,407,112,0.00617347
1,430,8.62239,1.57428,0.0024148,8.6121,0.00723746,1,1261,430,115,0.00653186
1,444,8.89594,1.57428,0.00249449,8.88507,0.00771519,1,1316,444,119,0.00683405
1,460,9.17954,1.57428,0.00255839,9.16821,0.00807935,1,1367,460,122,0.00703885
1,481,9.55759,1.57428,0.00266617,9.54553,0.00867564,1,1439,481,127,0.00741995
1,502,9.77312,1.57428,0.00272161,9.76072,0.00892162,1,1473,502,129,0.00765092
2,1,3.2336e-05,inf,3.0796e-05,0,0,1,0,1,2,0
2,14,0.130998,inf,0.000118564,0.130796,6.7367e-05,1,14,14,8,4.3113e-05
2,19,0.250065,inf,0.000193244,0.249731,0.000116641,1,29,19,11,0.000117793
2,29,0.39684,inf,0.000258685,0.396386,0.00016553,1,46,29,13,0.000146281
2,35,0.534907,inf,0.000307961,0.534316,0.000242135,1,64,35,17,0.000186698
2,42,0.646084,inf,0.000356465,0.645344,0.000334908,1,86,42,20,0.000237509
2,49,0.748155,inf,0.000409203,0.747273,0.000416132,1,101,49,23,0.000276387
2,59,0.854673,inf,0.000485422,0.853612,0.000507367,1,114,59,26,0.000326818
2,64,1.09734,inf,0.000526611,1.09608,0.000656343,1,141,64,29,0.000409583
2,68,1.22179,inf,0.000554712,1.22045,0.000707927,1,153,68,30,0.000471944
2,72,1.36263,inf,0.000588972,1.36117,0.000781838,1,171,72,32,0.000520451
2,79,1.65128,inf,0.000640555,1.64961,0.000930429,1,199,79,35,0.000620922
2,80,1.6513,inf,0.000651719,1.64961,0.000930429,1,199,80,35,0.000620922
2,88,1.85818,inf,0.00070831,1.85627,0.00109057,1,234,88,38,0.000717929
2,94,2.06316,inf,0.000753351,2.06109,0.00119912,1,260,94,40,0.000808005
2,98,2.18695,inf,0.000783762,2.18471,0.00133193,1,283,98,43,0.000879607
2,100,2.31451,inf,0.000801855,2.3122,0.00138736,1,296,100,44,0.000908861
2,102,2.52504,inf,0.000820333,2.52259,0.00150092,1,322,102,46,0.000965835
2,106,2.73346,inf,0.000852284,2.73086,0.00161179,1,345,106,48,0.00105976
2,111,2.84162,inf,0.00088693,2.83892,0.00167415,1,359,111,49,0.00109557
2,114,2.95844,inf,0.000909257,2.95567,0.00172843,1,373,114,50,0.00112482
2,123,3.28631,inf,0.000968541,3.28329,0.00190474,1,408,123,53,0.00123145
2,124,3.28633,inf,0.000980859,3.28329,0.00190474,1,408,124,53,0.00123145
2,130,3.43255,inf,0.00102821,3.42927,0.00209221,1,442,130,56,0.0013096
2,136,3.55535,1.83162,0.00107132,3.55189,0.00222809,1,470,136,58,0.00159254
2,142,3.79136,1.73078,0.00111059,3.78765,0.00242442,1,508,142,61,0.00205409
2,148,3.9531,1.73078,0.00114138,3.94922,0.00255145,1,531,148,63,0.00217304
2,157,4.07532,1.73078,0.00120067,4.07123,0.00269312,1,549,157,65,0.00226274
2,161,4.31597,1.73078,0.00123108,4.3117,0.00284248,1,579,161,67,0.00237784
2,164,4.40368,1.73078,0.00126072,4.39929,0.00291985,1,594,164,68,0.00247523
2,170,4.53098,1.73078,0.00129575,4.52641,0.00305766,1,611,170,70,0.00254952
2,184,4.68095,1.73078,0.00135734,4.67612,0.00322512,1,634,184,72,0.00263498
2,202,4.90055,1.73078,0.00144087,4.89545,0.00338949,1,664,202,74,0.0027828
2,213,5.10192,1.73078,0.00148553,5.09658,0.00355618,1,694,213,76,0.002916
2,223,5.33598,1.73078,0.00154481,5.33031,0.00381563,1,733,223,79,0.00310693
2,225,5.46514,1.73078,0.00156598,5.45935,0.00390956,1,748,225,80,0.00314158
2,237,5.62388,1.73078,0.00160486,5.61785,0.00408779,1,776,237,82,0.00326168
2,254,5.81329,1.73078,0.00167261,5.807,0.00425332,1,807,254,84,0.00340835
2,266,5.97239,1.73078,0.00173844,5.96586,0.00442193,1,832,266,86,0.00358196
2,292,6.17636,1.73078,0.00182544,6.16951,0.00460555,1,864,292,88,0.00377367
2,297,6.35626,1.73078,0.00184469,6.3492,0.00479687,1,896,297,90,0.00390147
2,310,6.54997,1.73078,0.00190012,6.54264,0.00498819,1,928,310,92,0.00403928
2,314,6.72717,1.73078,0.00191937,6.71962,0.00517374,1,958,314,94,0.00416285
