trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,2.0788e-05,inf,2,1,2
0,69,0.102306,inf,2,69,19
0,161,0.215283,2.18503,2,161,3
0,219,0.315538,2.18503,2,219,28
0,325,0.423718,2.18503,2,325,61
0,389,0.519044,1.95951,2,389,10
0,445,0.620213,1.95951,2,445,35
0,553,0.72233,1.95951,2,553,66
0,706,0.825258,1.95951,2,706,110
0,853,0.925556,1.95951,2,853,160
0,1011,1.02746,1.95951,2,1011,215
0,1164,1.13112,1.95951,2,1164,268
0,1316,1.24497,1.95951,2,1316,2
0,1385,1.35025,1.95951,2,1385,24
0,1511,1.45283,1.95951,2,1511,61
0,1626,1.55733,1.95951,2,1626,102
0,1760,1.66244,1.95951,2,1760,152
0,1823,1.77164,1.95951,2,1823,18
0,1881,1.87055,1.95951,2,1881,44
0,1962,1.9744,1.95951,2,1962,80
0,2035,2.07736,1.95951,2,2035,13
0,2142,2.18034,1.95951,2,2142,42
0,2274,2.28384,1.95951,2,2274,79
0,2375,2.38706,1.95951,2,2375,121
0,2544,2.49156,1.95951,2,2544,173
0,2726,2.59529,1.95951,2,2726,222
0,2872,2.69816,1.95951,2,2872,277
0,2992,2.80729,1.95951,2,2992,5
0,3072,2.90545,1.95951,2,3072,26
0,3147,3.0101,1.95951,2,3147,2
0,3221,3.11691,1.95951,2,3221,24
0,3314,3.22176,1.95951,2,3314,56
0,3436,3.32449,1.95951,2,3436,98
0,3607,3.42819,1.95951,2,3607,146
0,3755,3.53265,1.95951,2,3755,203
0,3923,3.63649,1.95951,2,3923,251
0,4083,3.74024,1.95951,2,4083,305
0,4158,3.84362,1.95951,2,4158,17
0,4243,3.95117,1.95951,2,4243,46
0,4363,4.05617,1.95951,2,4363,83
0,4486,4.16211,1.95951,2,4486,2
0,4560,4.26876,1.95951,2,4560,25
0,4701,4.39672,1.95951,2,4701,3
0,4777,4.50137,1.95951,2,4777,24
0,4866,4.60324,1.95951,2,4866,52
0,4985,4.70588,1.95951,2,4985,90
0,5140,4.81308,1.95951,2,5140,139
0,5329,4.91635,1.95951,2,5329,194
0,5390,5.01958,1.95951,2,5390,15
0,5453,5.12719,1.95951,2,5453,11
0,5542,5.23281,1.95951,2,5542,41
0,5652,5.33717,1.95951,2,5652,79
0,5805,5.44318,1.95951,2,5805,129
0,5968,5.54777,1.95951,2,5968,183
0,6085,5.66118,1.95951,2,6085,2
0,6150,5.76651,1.95951,2,6150,25
0,6245,5.87546,1.95951,2,6245,60
0,6350,5.97866,1.95951,2,6350,102
0,6491,6.08388,1.95951,2,6491,148
0,6675,6.19185,1.95951,2,6675,206
0,6844,6.29474,1.95951,2,6844,259
0,6919,6.40404,1.95951,2,6919,2
0,6980,6.52124,1.95951,2,6980,27
0,7113,6.62227,1.95951,2,7113,67
0,7182,6.73146,1.95951,2,7182,4
0,7261,6.83776,1.95951,2,7261,30
0,7329,6.94569,1.75886,2,7329,18
0,7431,7.05391,1.75886,2,7431,50
0,7559,7.16018,1.75886,2,7559,88
0,7737,7.26765,1.75886,2,7737,139
0,7898,7.37577,1.75886,2,7898,193
0,8046,7.48259,1.75886,2,8046,244
0,8207,7.58962,1.75886,2,8207,299
0,8293,7.70818,1.75886,2,8293,12
0,8376,7.80902,1.75886,2,8376,39
0,8482,7.91767,1.75886,2,8482,79
0,8605,8.02457,1.75886,2,8605,124
0,8761,8.13365,1.75886,2,8761,174
0,8920,8.24342,1.75886,2,8920,230
0,9109,8.34907,1.75886,2,9109,283
0,9269,8.45623,1.75886,2,9269,338
0,9335,8.56375,1.75886,2,9335,22
0,9445,8.67108,1.75886,2,9445,56
0,9585,8.77846,1.75886,2,9585,101
0,9722,8.88926,1.75886,2,9722,151
0,9884,8.99672,1.75886,2,9884,209
0,10061,9.10667,1.75886,2,10061,263
0,10231,9.21355,1.75886,2,10231,319
0,10305,9.32149,1.75886,2,10305,13
0,10385,9.42961,1.75886,2,10385,45
0,10542,9.54087,1.75886,2,10542,97
0,10679,9.64959,1.75886,2,10679,145
0,10837,9.75619,1.75886,2,10837,196
0,10964,9.86628,1.75886,2,10964,250
0,11140,9.97369,1.75886,2,11140,304
1,1,0.00625661,inf,2,1,3
1,65,0.104618,inf,2,65,23
