trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,0.00683172,inf,2,1,3
0,48,0.104425,inf,2,48,21
0,120,0.204107,inf,2,120,47
0,224,0.304494,inf,2,224,86
0,377,0.404948,inf,2,377,132
0,548,0.508212,inf,2,548,183
0,691,0.609681,inf,2,691,236
0,852,0.710334,inf,2,852,288
0,994,0.810885,inf,2,994,341
0,1150,0.91363,inf,2,1150,393
0,1319,1.01348,inf,2,1319,441
0,1449,1.12201,4.87251,2,1449,477
0,1489,1.22888,2.10222,2,1489,477
0,1528,1.33142,1.68941,2,1528,477
0,1571,1.43347,1.61641,2,1571,477
0,1628,1.53769,1.56121,2,1628,477
0,1687,1.65372,1.55013,2,1687,477
0,1800,1.75887,1.54137,2,1800,477
0,1896,1.86334,1.53421,2,1896,477
0,1966,1.97004,1.53377,2,1966,477
0,2133,2.08911,1.53218,2,2133,477
0,2303,2.1896,1.53191,2,2303,477
0,2479,2.29848,1.5318,2,2479,11
0,2572,2.40953,1.5318,2,2572,42
0,2691,2.51993,1.5318,2,2691,86
0,2834,2.63091,1.53175,2,2834,126
0,2892,2.74241,1.53164,2,2892,126
0,2975,2.85391,1.53146,2,2975,126
0,3024,2.96797,1.53145,2,3024,126
0,3070,3.08629,1.53145,2,3070,126
0,3124,3.20722,1.53119,2,3124,126
0,3189,3.32429,1.50644,2,3189,126
0,3254,3.44016,1.46091,2,3254,126
0,3356,3.55376,1.45326,2,3356,126
0,3452,3.6709,1.45036,2,3452,126
0,3538,3.79058,1.44586,2,3538,126
0,3659,3.90896,1.43991,2,3659,126
0,3803,4.02445,1.42762,2,3803,126
0,3890,4.14272,1.42762,2,3890,25
0,4005,4.26238,1.42762,2,4005,63
0,4145,4.38094,1.42762,2,4145,112
0,4305,4.49857,1.42762,2,4305,167
0,4496,4.61829,1.42762,2,4496,229
0,4689,4.73544,1.42762,2,4689,293
0,4832,4.8542,1.4269,2,4832,329
0,4969,4.97658,1.42539,2,4969,329
0,5121,5.09518,1.42483,2,5121,329
0,5315,5.21356,1.42475,2,5315,329
0,5464,5.33237,1.42465,2,5464,329
0,5600,5.45179,1.42465,2,5600,329
0,5755,5.57612,1.42439,2,5755,329
0,5837,5.70228,1.42439,2,5837,20
0,5965,5.82186,1.42439,2,5965,55
0,6131,5.94815,1.42439,2,6131,105
0,6308,6.07072,1.42439,2,6308,163
0,6517,6.19718,1.42439,2,6517,215
0,6703,6.3279,1.42435,2,6703,215
0,6815,6.4455,1.42406,2,6815,215
0,6929,6.56878,1.42406,2,6929,215
0,7072,6.69313,1.42406,2,7072,215
0,7175,6.82147,1.42406,2,7175,215
0,7282,6.95192,1.42406,2,7282,215
0,7400,7.0797,1.42406,2,7400,215
0,7502,7.20614,1.42406,2,7502,9
0,7590,7.3355,1.42406,2,7590,27
0,7684,7.4653,1.42406,2,7684,27
0,7774,7.60218,1.42199,2,7774,27
0,7858,7.72696,1.38447,2,7858,27
0,8003,7.86208,1.37873,2,8003,27
0,8125,7.99326,1.36333,2,8125,27
0,8231,8.1265,1.36332,2,8231,27
0,8354,8.25639,1.36044,2,8354,27
0,8533,8.38969,1.35981,2,8533,27
0,8632,8.52851,1.35981,2,8632,20
0,8773,8.65388,1.35981,2,8773,64
0,8955,8.78697,1.35981,2,8955,122
0,9141,8.91733,1.35981,2,9141,187
0,9341,9.05122,1.35981,2,9341,259
0,9583,9.18221,1.35981,2,9583,328
0,9742,9.31956,1.35893,2,9742,375
0,9897,9.45172,1.35681,2,9897,375
