trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,0.000221347,inf,2,1,3
0,631,0.100265,3.07628,2,631,101
0,1278,0.24893,3.07628,2,1278,3
0,1857,0.359769,3.07628,2,1857,3
0,2722,0.547248,3.07628,2,2722,3
0,3566,0.648572,2.69937,2,3566,486
0,4857,0.803423,2.69937,2,4857,3
0,5800,0.907414,2.39892,2,5800,591
0,6549,1.01106,2.35719,2,6549,687
0,7093,1.11492,2.35719,2,7093,13
0,8083,1.25406,2.35719,2,8083,3
0,8861,1.35932,2.35719,2,8861,76
0,9257,1.49342,2.35719,2,9257,3
0,9819,1.59898,2.35719,2,9819,46
0,10625,1.74877,1.83098,2,10625,3
0,11317,1.85471,1.83098,2,11317,486
0,11982,1.96243,1.83098,2,11982,297
0,12402,2.12964,1.83098,2,12402,3
0,13146,2.23718,1.83098,2,13146,166
0,14716,2.34502,1.83098,2,14716,723
0,15528,2.48781,1.83098,2,15528,3
0,15969,2.61521,1.83098,2,15969,3
0,16890,2.79368,1.83098,2,16890,3
0,17680,2.90327,1.83098,2,17680,396
0,18909,3.06736,1.83098,2,18909,3
0,19845,3.17743,1.83098,2,19845,581
0,21076,3.40148,1.83098,2,21076,3
0,22698,3.59036,1.83098,2,22698,3
0,23359,3.7379,1.83098,2,23359,3
0,23950,3.85874,1.83098,2,23950,3
0,24843,3.96932,1.83098,2,24843,714
0,25642,4.08015,1.83098,2,25642,143
0,26258,4.19118,1.83098,2,26258,248
0,27002,4.34718,1.83098,2,27002,3
0,27888,4.48311,1.83098,2,27888,3
0,29489,4.59518,1.83098,2,29489,596
0,30296,4.70719,1.83098,2,30296,606
0,31913,4.81943,1.83098,2,31913,238
0,32756,5.00242,1.83098,2,32756,3
0,34385,5.1153,1.83098,2,34385,617
0,35423,5.2327,1.83098,2,35423,2
0,36442,5.34413,1.83098,2,36442,236
0,37749,5.50023,1.83098,2,37749,3
0,39016,5.66991,1.83098,2,39016,3
0,39555,5.83463,1.83098,2,39555,3
0,40450,6.02725,1.83098,2,40450,3
0,40799,6.15751,1.83098,2,40799,3
0,41754,6.35331,1.83098,2,41754,3
0,42202,6.4688,1.83098,2,42202,252
0,42762,6.58443,1.83098,2,42762,265
0,43769,6.70028,1.83098,2,43769,836
0,44442,6.82348,1.83098,2,44442,3
0,46163,6.93981,1.83098,2,46163,701
0,47472,7.09626,1.83098,2,47472,3
0,48257,7.21326,1.83098,2,48257,50
0,49550,7.3757,1.83098,2,49550,3
0,50339,7.50712,1.83098,2,50339,3
0,50891,7.6437,1.83098,2,50891,3
0,52029,7.76163,1.83098,2,52029,890
0,52576,7.90939,1.83098,2,52576,3
0,53141,8.02901,1.83098,2,53141,3
0,53855,8.14762,1.83098,2,53855,3
0,54797,8.27049,1.83098,2,54797,3
0,55778,8.46065,1.83098,2,55778,3
0,57083,8.62134,1.83098,2,57083,3
0,57857,8.79531,1.83098,2,57857,3
0,59599,8.98707,1.83098,2,59599,3
0,60407,9.10724,1.83098,2,60407,395
0,60842,9.22759,1.83098,2,60842,325
0,61509,9.3786,1.83098,2,61509,3
0,62498,9.59043,1.83098,2,62498,3
0,63342,9.74786,1.83098,2,63342,3
0,64242,9.89444,1.83098,2,64242,3
1,1,4.6964e-05,inf,2,1,3
1,587,0.165005,6.18937,2,587,3
1,1154,0.265158,3.02085,2,1154,193
1,1760,0.374259,2.92042,2,1760,3
1,2567,0.478524,2.85645,2,2567,584
1,3369,0.623706,2.00652,2,3369,3
1,4118,0.729337,2.00652,2,4118,439
1,4475,0.840878,2.00652,2,4475,3
1,5160,0.989403,2.00652,2,5160,3
1,5952,1.09767,2.00652,2,5952,696
1,6467,1.20543,2.00652,2,6467,296
1,7047,1.31309,2.00652,2,7047,91
1,8611,1.50394,2.00652,2,8611,3
1,9254,1.66248,2.00652,2,9254,3
1,10065,1.77404,2.00652,2,10065,3
1,10534,1.92333,2.00652,2,10534,3
1,11505,2.0747,2.00652,2,11505,3
1,12621,2.20069,2.00652,2,12621,3
1,13137,2.32973,2.00652,2,13137,3
1,14100,2.43915,2.00652,2,14100,246
1,14577,2.56664,2.00652,2,14577,3
1,15547,2.67648,2.00652,2,15547,692
1,16364,2.85036,2.00652,2,16364,3
1,16990,2.96066,2.00652,2,16990,255
1,17944,3.07111,2.00652,2,17944,38
1,18834,3.18184,2.00652,2,18834,340
1,19412,3.32139,2.00652,2,19412,3
1,19725,3.4906,2.00652,2,19725,3
1,20201,3.6444,2.00652,2,20201,3
1,21022,3.83061,2.00652,2,21022,3
1,21664,3.94222,2.00652,2,21664,137
1,22591,4.0544,2.00652,2,22591,478
1,22728,4.17178,2.00652,2,22728,3
1,23502,4.28387,2.00652,2,23502,263
1,24388,4.39615,2.00652,2,24388,26
1,25294,4.50867,2.00652,2,25294,319
1,25880,4.62141,2.00652,2,25880,32
1,26248,4.73437,2.00652,2,26248,121
1,27013,4.84742,2.00652,2,27013,205
1,27371,4.96067,2.00652,2,27371,26
1,28045,5.07405,2.00652,2,28045,156
1,28733,5.18764,2.00652,2,28733,318
1,30303,5.30137,2.00652,2,30303,870
1,31677,5.41547,2.00652,2,31677,265
1,33046,5.56588,2.00652,2,33046,3
1,34126,5.68075,2.00652,2,34126,532
1,34333,5.79585,2.00652,2,34333,81
1,35221,5.9129,2.00652,2,35221,677
1,36081,6.02832,2.00652,2,36081,361
1,36908,6.14429,2.00652,2,36908,686
1,37700,6.26015,2.00652,2,37700,155
1,38835,6.38899,2.00652,2,38835,3
1,40571,6.50536,2.00652,2,40571,712
1,40977,6.62214,2.00652,2,40977,172
1,42631,6.73905,2.00652,2,42631,799
1,42797,6.89747,2.00652,2,42797,3
1,43748,7.02478,2.00652,2,43748,3
1,44690,7.16191,2.00652,2,44690,3
1,45565,7.3022,2.00652,2,45565,3
1,46522,7.43664,2.00652,2,46522,3
1,47095,7.59374,2.00652,2,47095,3
1,48021,7.71808,2.00652,2,48021,3
1,48312,7.85946,2.00652,2,48312,3
1,48666,7.98434,2.00652,2,48666,3
1,49278,8.12285,2.00652,2,49278,3
1,49612,8.25962,2.00652,2,49612,3
1,50189,8.38656,2.00652,2,50189,3
1,50944,8.53226,2.00652,2,50944,3
1,51915,8.65197,2.00652,2,51915,553
1,52536,8.81969,2.00652,2,52536,3
1,53606,8.93989,2.00652,2,53606,936
1,54562,9.06027,2.00652,2,54562,402
1,55759,9.22242,2.00652,2,55759,3
1,56341,9.3434,2.00652,2,56341,246
1,57344,9.4646,2.00652,2,57344,718
1,58629,9.58601,2.00652,2,58629,265
1,59571,9.70788,2.00652,2,59571,629
1,60197,9.90982,2.00652,2,60197,3
2,1,4.9274e-05,inf,2,1,3
2,920,0.100078,2.49076,2,920,478
2,2326,0.200328,2.49076,2,2326,883
2,3268,0.300935,1.59868,2,3268,806
2,4705,0.401808,1.59868,2,4705,255
2,5142,0.515228,1.59868,2,5142,3
2,5963,0.61737,1.59868,2,5963,606
2,6631,0.759103,1.59868,2,6631,3
2,7214,0.93264,1.59868,2,7214,3
2,8144,1.06214,1.59868,2,8144,3
2,8638,1.16523,1.59868,2,8638,326
2,9185,1.26829,1.59868,2,9185,419
2,9430,1.37157,1.59868,2,9430,181
2,10071,1.47496,1.59868,2,10071,190
2,10433,1.61886,1.59868,2,10433,3
2,10907,1.754,1.59868,2,10907,3
2,11593,1.88916,1.59868,2,11593,3
2,12337,1.9932,1.59868,2,12337,293
2,13187,2.09997,1.59868,2,13187,3
