trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,6.1207e-05,inf,2,1,3
0,1182,0.159712,2.93523,2,1182,1161
0,1215,0.24546,1.67394,2,1215,1161
0,1260,0.356766,1.53629,2,1260,1161
0,1284,0.452721,1.45618,2,1284,1161
0,1360,0.562713,1.41293,2,1360,1161
0,1451,0.67342,1.40296,2,1451,1161
0,1538,0.781932,1.38979,2,1538,1161
0,1607,0.887028,1.38189,2,1607,1161
0,1691,0.996189,1.37403,2,1691,1161
0,1811,1.10229,1.37202,2,1811,1161
0,1931,1.21685,1.36914,2,1931,1161
0,2072,1.33004,1.36849,2,2072,1161
0,2582,1.43168,1.36825,2,2582,390
0,3066,1.55916,1.36825,2,3066,859
0,3304,1.66862,1.36813,2,3304,859
0,3483,1.78235,1.36778,2,3483,859
0,3847,1.89404,1.36765,2,3847,859
0,4647,2.00495,1.36757,2,4647,568
0,5392,2.14795,1.36757,2,5392,1286
0,5768,2.26388,1.36754,2,5768,1286
0,6121,2.37635,1.36751,2,6121,1286
0,6904,2.48966,1.36751,2,6904,491
0,7027,2.60964,1.3675,2,7027,532
0,7150,2.72542,1.3675,2,7150,532
0,7233,2.84047,1.3675,2,7233,532
0,7327,2.96091,1.3675,2,7327,532
0,7435,3.07714,1.3675,2,7435,532
0,7490,3.19659,1.3675,2,7490,532
0,7608,3.31763,1.3675,2,7608,532
0,7718,3.43755,1.3675,2,7718,532
0,7849,3.5545,1.3675,2,7849,532
0,8299,3.67187,1.3675,2,8299,348
0,8422,3.79066,1.3675,2,8422,448
0,8490,3.91693,1.3675,2,8490,448
0,8594,4.04152,1.3675,2,8594,448
0,8663,4.16448,1.3675,2,8663,448
0,8725,4.2907,1.3675,2,8725,448
0,8790,4.40979,1.31173,2,8790,448
0,8865,4.5211,1.30822,2,8865,448
0,9001,4.64401,1.30161,2,9001,448
0,9150,4.76888,1.29591,2,9150,448
0,9227,4.89483,1.29003,2,9227,448
0,9348,5.02602,1.28499,2,9348,448
0,9905,5.1389,1.28471,2,9905,491
0,11336,5.26117,1.28471,2,11336,1866
0,11805,5.3926,1.28471,2,11805,2308
0,11955,5.51586,1.27612,2,11955,2308
0,12066,5.65004,1.26583,2,12066,2308
0,12169,5.78337,1.26188,2,12169,2308
0,12283,5.9087,1.25488,2,12283,2308
0,12378,6.03448,1.25408,2,12378,2308
0,12456,6.16635,1.25408,2,12456,2308
0,12590,6.29323,1.25391,2,12590,2308
0,12702,6.42247,1.25367,2,12702,2308
0,13047,6.57431,1.25358,2,13047,239
0,13144,6.69777,1.25354,2,13144,239
0,13271,6.83675,1.25344,2,13271,239
0,13416,6.9708,1.25259,2,13416,239
0,13508,7.11108,1.25259,2,13508,239
0,13605,7.24741,1.2525,2,13605,239
0,13758,7.384,1.2525,2,13758,239
0,13871,7.5239,1.25202,2,13871,239
