trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,9.9317e-05,inf,2.8871e-05,4.3115e-05,2.3097e-05,1,1,1,2,0
0,52,0.113075,inf,0.000378796,0.111972,0.000660572,1,16,52,8,6.0436e-05
0,78,0.233773,inf,0.000565883,0.231805,0.00130267,1,34,78,17,0.0001713
0,117,0.331754,inf,0.000846512,0.328236,0.00251796,1,52,117,25,0.00027023
0,152,0.441852,inf,0.0011002,0.436656,0.00389878,1,69,152,33,0.00037032
0,213,0.543863,inf,0.00153135,0.535011,0.00705614,1,91,213,45,0.0004962
0,249,0.644471,inf,0.00178387,0.632978,0.00939856,1,111,249,56,0.000616308
0,304,0.754467,inf,0.00216613,0.738576,0.0133516,1,137,304,64,0.000745269
0,396,0.855363,inf,0.00279783,0.831962,0.0200028,1,166,396,78,0.000884619
0,428,0.961258,1.88206,0.00301032,0.934631,0.0229723,1,209,428,87,0.00102012
0,462,1.07329,1.8736,0.00319048,1.043,0.0263965,1,252,462,98,0.00113831
0,496,1.18206,1.8736,0.00338604,1.14752,0.0303895,1,298,496,111,0.00133502
0,540,1.30989,1.60578,0.00363703,1.27006,0.0353623,1,330,540,117,0.00150054
0,625,1.42138,1.60578,0.00406471,1.37299,0.0433535,1,371,625,133,0.0017011
0,720,1.53748,1.60578,0.00441809,1.47899,0.0529488,1,414,720,147,0.00186778
0,876,1.64983,1.58113,0.00488773,1.5749,0.0686718,1,448,876,164,0.00218844
0,1050,1.77137,1.58113,0.00554061,1.67285,0.0913338,1,486,1050,184,0.00243366
0,1202,1.88531,1.58113,0.00602989,1.76312,0.1143,1,518,1202,201,0.00263691
0,1370,2.0056,1.58113,0.00659653,1.85981,0.137086,1,556,1370,215,0.00293794
0,1509,2.12519,1.58113,0.00707849,1.95857,0.157215,1,593,1509,230,0.0031897
0,1576,2.24333,1.58113,0.00730792,2.06388,0.169726,1,624,1576,238,0.00334561
0,1742,2.36857,1.58113,0.00780643,2.16275,0.195313,1,662,1742,257,0.00361584
0,1895,2.49787,1.58113,0.00827915,2.2655,0.221131,1,703,1895,277,0.00388069
0,2045,2.62334,1.58113,0.00870145,2.36553,0.245902,1,744,2045,298,0.00414977
0,2163,2.755,1.58113,0.00913491,2.46754,0.274925,1,797,2163,323,0.00443771
0,2262,2.88358,1.58113,0.00944094,2.57421,0.296372,1,828,2262,335,0.00459361
0,2400,3.0106,1.58113,0.00996216,2.6643,0.332562,1,873,2400,357,0.00480803
0,2524,3.14918,1.58113,0.0103548,2.77319,0.361651,1,917,2524,376,0.0050929
0,2669,3.27624,1.57487,0.0108233,2.86358,0.39762,1,966,2669,399,0.00535428
0,2824,3.41149,1.57487,0.0113026,2.95952,0.436204,1,1011,2824,420,0.00561143
0,2983,3.54973,1.57487,0.011863,3.04765,0.485504,1,1061,2983,446,0.00584587
0,3100,3.6787,1.57487,0.0122711,3.14041,0.521093,1,1102,3100,466,0.00610764
0,3250,3.82331,1.57487,0.0127696,3.23744,0.56793,1,1164,3250,490,0.00638711
0,3369,3.9609,1.57487,0.0131426,3.33812,0.604274,1,1206,3369,505,0.00665581
0,3543,4.10235,1.57487,0.0136758,3.42082,0.66222,1,1255,3543,530,0.00690217
0,3681,4.24574,1.57487,0.0141173,3.52032,0.705433,1,1304,3681,553,0.00719704
0,3819,4.3886,1.57163,0.0145897,3.61506,0.752865,1,1350,3819,570,0.00776638
0,3957,4.53156,1.57163,0.015062,3.70664,0.80355,1,1397,3957,591,0.00802931
0,4070,4.67554,1.57163,0.0154685,3.79684,0.856747,1,1447,4070,611,0.00831147
0,4217,4.81996,1.57163,0.0159016,3.88031,0.916982,1,1485,4217,631,0.00861481
0,4405,4.96817,1.57163,0.0164944,3.9588,0.985801,1,1523,4405,653,0.00883924
0,4558,5.11633,1.57163,0.0169998,4.0399,1.05211,1,1562,4558,667,0.00910254
0,4675,5.27365,1.57163,0.017399,4.15124,1.0975,1,1612,4675,684,0.00942744
0,4767,5.42469,1.515,0.017702,4.2647,1.13461,1,1664,4767,701,0.00976004
