trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,4.5425e-05,inf,2.7717e-05,0,1.6553e-05,1,0,1,2,0
0,22,0.106115,inf,0.000168225,0.105646,0.000272161,1,13,22,10,0.000155521
0,46,0.228276,inf,0.00032182,0.227123,0.000774137,1,41,46,17,0.000347996
0,79,0.323366,inf,0.000526999,0.321112,0.00162911,1,58,79,24,0.000536621
0,97,0.438633,inf,0.000652491,0.435513,0.00234551,1,92,97,31,0.000744495
0,127,0.544001,inf,0.000844197,0.539209,0.00378791,1,125,127,42,0.00107902
0,180,0.645282,inf,0.00119258,0.637265,0.00660498,1,168,180,56,0.00152017
0,207,0.748307,inf,0.00136966,0.738046,0.00863829,1,205,207,68,0.00186624
0,251,0.865408,inf,0.00165568,0.851328,0.0121194,1,228,251,81,0.00225581
0,285,0.959206,inf,0.00187279,0.941671,0.0153183,1,250,285,93,0.00255146
0,318,1.06714,inf,0.00209645,1.04551,0.0191478,1,282,318,107,0.002998
0,348,1.17001,inf,0.00230316,1.144,0.0232733,1,310,348,122,0.00350306
0,388,1.29402,inf,0.00257032,1.26157,0.0293918,1,339,388,141,0.00401966
0,434,1.38372,inf,0.00287674,1.34336,0.0369399,1,365,434,159,0.00460133
0,481,1.48686,inf,0.00322281,1.43778,0.0452475,1,396,481,177,0.00516643
0,534,1.59167,inf,0.00356772,1.53208,0.0553305,1,425,534,195,0.00575195
0,581,1.71033,1.52842,0.00381948,1.64207,0.0636782,1,469,581,212,0.0104041
0,678,1.80526,1.52842,0.0041232,1.72721,0.0729917,1,495,678,225,0.0110369
0,852,1.91116,1.52842,0.00456551,1.81835,0.0870016,1,525,852,241,0.011689
0,970,2.01853,1.52842,0.00492351,1.91219,0.0999718,1,556,970,259,0.0125225
0,1137,2.12578,1.52842,0.00539969,2.00157,0.117077,1,588,1137,277,0.0133928
0,1258,2.24381,1.52842,0.00578465,2.10445,0.131632,1,627,1258,300,0.014269
0,1442,2.35599,1.52842,0.00630625,2.19395,0.153446,1,667,1442,322,0.0156463
0,1563,2.47037,1.52842,0.00668273,2.29147,0.169708,1,714,1563,338,0.0188599
