birrtstar best cost max,birrtstar best cost mean,birrtstar best cost min,birrtstar best cost std,birrtstar configCheckTime,birrtstar connectTime,birrtstar knnTime,birrtstar numEdgeChecks,birrtstar numMilestones,birrtstar shortestPathsTime,birrtstar success fraction,birrtstar time,fmmstar best cost max,fmmstar best cost mean,fmmstar best cost min,fmmstar best cost std,fmmstar gridSize max,fmmstar gridSize mean,fmmstar gridSize min,fmmstar gridSize std,fmmstar numMilestones,fmmstar success fraction,fmmstar time,lazy_birrgstar best cost max,lazy_birrgstar best cost mean,lazy_birrgstar best cost min,lazy_birrgstar best cost std,lazy_birrgstar configCheckTime,lazy_birrgstar connectTime,lazy_birrgstar knnTime,lazy_birrgstar lazyPathCheckTime,lazy_birrgstar numEdgeChecks,lazy_birrgstar numEdgesPrechecked,lazy_birrgstar numMilestones,lazy_birrgstar shortestPathsTime,lazy_birrgstar success fraction,lazy_birrgstar time,lazy_prmstar best cost max,lazy_prmstar best cost mean,lazy_prmstar best cost min,lazy_prmstar best cost std,lazy_prmstar configCheckTime,lazy_prmstar connectTime,lazy_prmstar knnTime,lazy_prmstar lazyPathCheckTime,lazy_prmstar numEdgeChecks,lazy_prmstar numEdgesPrechecked,lazy_prmstar numMilestones,lazy_prmstar shortestPathsTime,lazy_prmstar success fraction,lazy_prmstar time,lazy_rrgstar best cost max,lazy_rrgstar best cost mean,lazy_rrgstar best cost min,lazy_rrgstar best cost std,lazy_rrgstar configCheckTime,lazy_rrgstar connectTime,lazy_rrgstar knnTime,lazy_rrgstar lazyPathCheckTime,lazy_rrgstar numEdgeChecks,lazy_rrgstar numEdgesPrechecked,lazy_rrgstar numMilestones,lazy_rrgstar shortestPathsTime,lazy_rrgstar success fraction,lazy_rrgstar time,prmstar best cost max,prmstar best cost mean,prmstar best cost min,prmstar best cost std,prmstar configCheckTime,prmstar connectTime,prmstar knnTime,prmstar numEdgeChecks,prmstar numMilestones,prmstar shortestPathsTime,prmstar success fraction,prmstar time,restart_rrt best cost max,restart_rrt best cost mean,restart_rrt best cost min,restart_rrt best cost std,restart_rrt numMilestones,restart_rrt success fraction,restart_rrt time,restart_rrt_shortcut best cost max,restart_rrt_shortcut best cost mean,restart_rrt_shortcut best cost min,restart_rrt_shortcut best cost std,restart_rrt_shortcut numMilestones,restart_rrt_shortcut success fraction,restart_rrt_shortcut time,restart_sbl best cost max,restart_sbl best cost mean,restart_sbl best cost min,restart_sbl best cost std,restart_sbl numMilestones,restart_sbl success fraction,restart_sbl time,restart_sbl_shortcut best cost max,restart_sbl_shortcut best cost mean,restart_sbl_shortcut best cost min,restart_sbl_shortcut best cost std,restart_sbl_shortcut numMilestones,restart_sbl_shortcut success fraction,restart_sbl_shortcut time,rrtstar best cost max,rrtstar best cost mean,rrtstar best cost min,rrtstar best cost std,rrtstar configCheckTime,rrtstar connectTime,rrtstar knnTime,rrtstar numEdgeChecks,rrtstar numMilestones,rrtstar shortestPathsTime,rrtstar success fraction,rrtstar time,rrtstar_subopt_0.1 best cost max,rrtstar_subopt_0.1 best cost mean,rrtstar_subopt_0.1 best cost min,rrtstar_subopt_0.1 best cost std,rrtstar_subopt_0.1 configCheckTime,rrtstar_subopt_0.1 connectTime,rrtstar_subopt_0.1 knnTime,rrtstar_subopt_0.1 numEdgeChecks,rrtstar_subopt_0.1 numMilestones,rrtstar_subopt_0.1 shortestPathsTime,rrtstar_subopt_0.1 success fraction,rrtstar_subopt_0.1 time,rrtstar_subopt_0.2 best cost max,rrtstar_subopt_0.2 best cost mean,rrtstar_subopt_0.2 best cost min,rrtstar_subopt_0.2 best cost std,rrtstar_subopt_0.2 configCheckTime,rrtstar_subopt_0.2 connectTime,rrtstar_subopt_0.2 knnTime,rrtstar_subopt_0.2 numEdgeChecks,rrtstar_subopt_0.2 numMilestones,rrtstar_subopt_0.2 shortestPathsTime,rrtstar_subopt_0.2 success fraction,rrtstar_subopt_0.2 time
,,,,3.2143200000000001e-05,0.0057866589999999996,2.8948400000000002e-05,0.69999999999999996,2.5,5.1198999999999999e-06,0.0,0,,,,,132.0,132.0,132.0,0.0,2.0,0.0,0,,,,,2.6715599999999999e-05,2.3713000000000001e-05,2.9025600000000002e-05,0.0,0.20000000000000001,0.20000000000000001,2.2999999999999998,3.3877000000000002e-06,0.0,0,,,,,3.6570399999999998e-05,1.63603e-05,5.1198999999999999e-06,0.0,0.10000000000000001,0.10000000000000001,2.2999999999999998,4.2729999999999996e-06,0.0,0,,,,,2.7216000000000002e-05,1.4281699999999999e-05,2.0403000000000002e-06,0.0,0.10000000000000001,0.10000000000000001,2.2000000000000002,2.9641000000000001e-06,0.0,0,,,,,3.2181800000000004e-05,0.0036492219999999997,6.5443000000000002e-06,0.40000000000000002,2.3999999999999999,1.8476999999999999e-06,0.0,0,,,,,2.3999999999999999,0.0,0,,,,,2.3999999999999999,0.0,0,,,,,3.0,0.0,0,,,,,3.0,0.0,0,,,,,2.61768e-05,0.0015392666000000001,3.18738e-05,0.29999999999999999,2.1000000000000001,9.6239999999999988e-07,0.0,0,,,,,2.6369300000000002e-05,0.0015382600000000001,2.6292299999999999e-05,0.10000000000000001,2.1000000000000001,1.6938e-06,0.0,0,,,,,2.6214999999999999e-05,0.0019233300000000002,2.7254500000000001e-05,0.20000000000000001,2.2000000000000002,3.3105999999999997e-06,0.0,0
,,,,0.00015580629760032088,0.099562822638472617,0.00025599375233890459,14.723504398429949,8.2486952798254531,6.5957813837943467e-05,0.0,0.1,,,,,9556.126737179906,9556.1267371799058,9556.126737179906,0.0,2.0,0.0,0.1,,,,,0.00092169438296168789,0.07757606209566463,0.0063022681721361567,0.014981101361037663,70.600371382203178,68.915538448670617,50.995032348882987,0.00082265051024387381,0.0,0.1,,,,,0.0041874584612173506,0.056697353316300228,0.018679176366889146,0.019783321774902003,14.340943762748594,10.248604820179819,193.96405351825734,0.014931933368282014,0.0,0.1,,,,,0.00089577963401544516,0.057240231132360722,0.00096711437692691105,0.0075954601274547716,27.233347183804135,26.052432388964284,32.486916705899752,0.00079750573828997787,0.0,0.1,,,,,0.0001159475422466956,0.09981639284210711,5.5481730905918058e-05,11.408837711653279,6.6752433865623599,2.9258078022428423e-05,0.0,0.1,,,,,20.241851218153194,0.0,0.1,,,,,22.713789223684195,0.0,0.1,,,,,226.96385856780611,0.0,0.1,,,,,571.49968530552246,0.0,0.1,,,,,0.00023967055328222544,0.099282223871470815,0.00043155680639896815,13.072511585902102,7.4483500760407164,5.9507247121861045e-05,0.0,0.1,,,,,0.00013825159191451319,0.099596267237192143,0.00024185955021580724,14.013913339384365,8.2870113973136004,0.00012079859353705104,0.0,0.1,,,,,0.00016466101788587282,0.099493821774407923,0.00031172466384430682,15.793114486909138,8.8590874018271428,0.000130006001259314,0.0,0.1
,,,,0.00026691068056307213,0.19909361957294763,0.00059186017702555322,34.460967711558403,14.368289954441181,0.00014047765506811939,0.0,0.2,,,,,19086.2397673914,19086.239767391398,19086.2397673914,0.0,2.0,0.0,0.2,inf,1.9060964296657108,1.9060964296657108,0.0,0.002069733568754264,0.13623203934827757,0.025474093817482325,0.033266869064743403,108.35061287191957,103.52137122943539,111.37360133038801,0.0031990011391112004,0.10000000000000001,0.2,inf,2.0856934111633736,2.0856934111633736,0.0,0.0072568934256007954,0.099726815005465846,0.046742442855627134,0.044276354852490665,22.266532996036489,14.442042455687783,331.17448427283955,0.041393662412096764,0.10000000000000001,0.2,,,,,0.0020123368288748112,0.10078786619159016,0.0029609061271058832,0.017367309780694867,56.572627435171171,53.067733847868737,64.869233901534002,0.0042728597933334575,0.0,0.2,,,,,0.00017845437459790663,0.19969791569113479,0.00010336935380820321,24.019793907295558,9.9071591915669064,6.0297582132344528e-05,0.0,0.2,inf,2.4677100000000003,2.29658,0.17113,44.475590390979903,0.20000000000000001,0.2,inf,1.5266813604273428,1.5266813604273428,0.0,49.885685958272745,0.10000000000000001,0.2,inf,3.0380851306623082,2.31663,0.79103592894254193,195.52119608655772,0.90000000000000002,0.2,inf,2.4998286584133149,1.8725488061832916,0.69281110123587419,793.22572966984421,0.90000000000000002,0.2,,,,,0.00046598775562144406,0.19835369829650235,0.0010891426709766518,26.797413457966961,13.612093182186459,0.00013291416912044723,0.0,0.2,,,,,0.00025573753999518411,0.19908978676470138,0.00060776731079258627,33.751185396318142,14.3611402330482,0.00027077370188349352,0.0,0.2,,,,,0.00033792124026041121,0.19871382337163415,0.00087963488362089815,42.976806416547284,17.412310678349534,0.00031743153891243949,0.0,0.2
,,,,0.00037927029362715494,0.2984936272067828,0.0010585812605529109,60.288861604312146,20.657415757682966,0.00022831300650531875,0.0,0.30000000000000004,,,,,28616.352797602896,28616.352797602896,28616.352797602896,0.0,2.0,0.0,0.30000000000000004,inf,1.7575372505846367,1.4845393331150079,0.21002650987361787,0.0033594553170733497,0.18149153590710937,0.058210713543907978,0.050624192965790252,135.09893646045208,126.17490797488253,177.00909685659207,0.0067946050833361622,0.69999999999999996,0.30000000000000004,inf,1.8243492918235515,1.7389938472288213,0.085355444594730212,0.0092053531473442786,0.13613139588575932,0.069611501322948882,0.082138933630162309,30.221403689979844,17.462918906014355,416.549461999877,0.073642428838426172,0.20000000000000001,0.30000000000000004,inf,1.5585858071853551,1.558585807185355,0.0,0.0027490368109005523,0.1559604657595989,0.0048785279749465364,0.030107321252265395,88.534991023421824,81.949117166127124,87.795184914504105,0.0076618926953997187,0.10000000000000001,0.30000000000000004,,,,,0.00022244746039967026,0.29960659428859227,0.00014510482278989477,36.659309098039287,12.065290292928825,8.7661349193240621e-05,0.0,0.30000000000000004,inf,2.1999966702107412,2.1183800106322233,0.073515576424622461,69.251497529470427,0.29999999999999999,0.30000000000000004,inf,1.4635810341074726,1.4635810341074726,0.0,81.266187054117381,0.10000000000000001,0.30000000000000004,5.50275,2.8531977189953062,1.606970623912849,0.96301893274525396,190.59963420984315,1.0,0.30000000000000004,3.1870986315098375,1.891311107923872,1.488334006141977,0.46002445061957742,801.10000000000002,1.0,0.30000000000000004,,,,,0.00076325022304619668,0.29683110040415789,0.0022624266087619082,42.034422156714228,20.850989325692307,0.0002192413150927359,0.0,0.30000000000000004,,,,,0.00040901935466809908,0.29827431128769444,0.001240384677703715,55.827834136509658,21.588362288207605,0.00045819462223792659,0.0,0.30000000000000004,,,,,0.00053457800354454862,0.29756483178817089,0.0017934574032035626,73.182795802178802,26.775621384069535,0.00054461300227694729,0.0,0.30000000000000004
,,,,0.00049879795713492811,0.3977368175456138,0.0016730563067091819,89.177671038977479,27.105271786782026,0.00032078008083429911,0.0,0.4,,,,,38146.46582781439,38146.465827814391,38146.46582781439,0.0,2.0,0.0,0.4,inf,1.6148635023448776,1.4531253444109038,0.090831344797163635,0.0047152580864409854,0.22161950282307483,0.10244313104383859,0.062059863427981331,153.83335946919311,141.81314459514209,248.9213005180402,0.011674447444638022,0.80000000000000004,0.4,inf,1.6629288712563046,1.4795448929140362,0.14509143680149275,0.010732134010282451,0.17534154050689571,0.093127424796628819,0.11693059602956395,39.483623939137466,22.045012346247933,488.23575762000576,0.10904842681862684,0.5,0.4,inf,1.6802429568676411,1.4565,0.1511437343048328,0.0034478087582366554,0.21522718808808,0.0083317781051040728,0.038335419393840039,128.37552792970055,119.53388000899292,117.03047682272265,0.011466191512935967,0.40000000000000002,0.4,,,,,0.0002578177660260201,0.39952451349643103,0.00018703653909947325,49.029726955338582,13.973324649818872,0.00011328134070416734,0.0,0.4,inf,2.5387775000000001,2.07764,0.6151967426106465,107.97849879991001,0.40000000000000002,0.4,inf,1.4802379838619271,1.2309203083514302,0.23007955420176884,107.92768496349701,0.29999999999999999,0.4,4.823775345099576,2.7474782396650914,1.59868,0.78762756052987748,114.3196477636789,1.0,0.4,2.2894038681590922,1.6451137202487072,1.3320890223544084,0.24428124893275188,801.10000000000002,1.0,0.4,,,,,0.0011360954300568954,0.39454615815143468,0.0041141146275516108,59.888018270244586,29.411842777310834,0.00032081412778209881,0.0,0.4,,,,,0.00055688250580755163,0.3972722364793857,0.0020659257288201645,80.238904471501741,29.401488400760066,0.00069571388467341031,0.0,0.4,,,,,0.00072491831066849078,0.39619236222146254,0.0029396190075466804,102.25351053261379,36.507447213386719,0.00079488349618963801,0.0,0.4
,,,,0.00062047087227737167,0.49685373839124691,0.0024088417512144952,119.04691165489848,33.352372338797231,0.00042120366033825249,0.0,0.5,,,,,47676.578858025874,47676.578858025874,47676.578858025874,0.0,2.0,0.0,0.5,inf,1.5798233875190562,1.44958,0.098385219649522307,0.0061005987182365627,0.24948631511638281,0.1592851225974902,0.073721258866844788,166.93850519637479,151.66186412246111,318.95596851716016,0.016638477881651497,0.90000000000000002,0.5,inf,1.6394349184183958,1.45266,0.12470924866331815,0.012302107377776254,0.21642484068658335,0.12039812888769459,0.14616917554954711,46.878582861562627,25.723198881404517,559.4220457073119,0.14642817223645951,0.69999999999999996,0.5,inf,1.642538099736556,1.448519225631352,0.15095894785096881,0.0043499439490538166,0.27192664004253869,0.015251705408474713,0.047078531253899797,163.01473434474761,150.965674014499,161.23696366187741,0.01552444541047276,0.80000000000000004,0.5,,,,,0.00029970243972550958,0.49942532368115505,0.00023841335386248639,62.370150585147428,16.261965495502597,0.00014251353075793861,0.0,0.5,inf,2.1937628929378663,2.004563845540566,0.15879260908797818,124.58964394882642,0.40000000000000002,0.5,inf,1.453148021072515,1.210573365854513,0.15285477622439611,130.55865682061179,0.5,0.5,3.07628,2.5366264657115778,1.59868,0.39071257300787671,203.25863601373544,1.0,0.5,1.733914953067336,1.542898593666965,1.3004491875181845,0.13769966492939606,801.10000000000002,1.0,0.5,,,,,0.0015572882783480085,0.49142554179095699,0.0067469128130256007,79.276911444798358,38.812444279871556,0.00043475165774325281,0.0,0.5,,,,,0.00073350150329619542,0.49593609884644785,0.003191977390724716,104.59808787143581,37.925274446738911,0.00095430799901133258,0.0,0.5,,,,,0.00092354896570156846,0.49442825288492837,0.0044613509598161009,129.60619396743169,47.05025384964928,0.0011979479107253996,0.0,0.5
inf,2.03444,2.03444,0.0,0.0007404867305186478,0.59586306267136235,0.0032538850234479751,146.32095047627476,39.465747627303955,0.00052583455715466917,0.10000000000000001,0.6,,,,,57206.691888237365,57206.691888237365,57206.691888237365,0.0,2.0,0.0,0.6,inf,1.5489510722932596,1.425139306299227,0.077151548021306263,0.0074368447611036451,0.26971627733700565,0.22240227683150698,0.087689241815345029,180.66241870413242,161.89537212475167,385.20566160559855,0.021535568165643355,0.90000000000000002,0.6,inf,1.6190956716538034,1.45266,0.11982422213150268,0.013817019552017227,0.25928897038740562,0.15003402524446022,0.17134730457292596,53.286469233127534,28.882528713750713,625.71728447102328,0.18486465663208684,0.80000000000000004,0.6,inf,1.5765169394143268,1.4086183431722852,0.16860647486430835,0.00560152296786045,0.31715804524515473,0.028158355527343481,0.058129410169373077,189.73699847367385,173.35812047308485,229.23794550697107,0.019572750961383296,0.90000000000000002,0.6,,,,,0.00033480005872416497,0.59933469419308572,0.00028864038753355771,75.095737261708138,18.232485646697324,0.00017280578580339062,0.0,0.6,inf,2.3837207260292765,1.95951,0.5640739493957202,125.43941116653696,0.5,0.6,inf,1.6589481298878554,1.2057423393716948,0.40295305365348255,146.52903476116666,0.69999999999999996,0.6,2.88005051517903,2.3798614091060188,1.59868,0.32602779725401371,216.20872568906697,1.0,0.6,1.6907883264413934,1.5009274854392083,1.2794420384345384,0.12596264191326204,801.10000000000002,1.0,0.6,,,,,0.0020260918722218016,0.58735879666847546,0.010271204945472259,100.3669589634507,49.037242893528862,0.00055724697602804068,0.0,0.6,,,,,0.0009299786194255442,0.59431143138531262,0.0045851955246420358,130.10094051289036,46.902654676522623,0.0012130705906416418,0.0,0.6,inf,1.7170499999999997,1.51463,0.15055947285596702,0.0011877309569822767,0.59157570609155352,0.0069691131105806825,159.5655338419013,60.152432791915452,0.0016439798434096753,0.29999999999999999,0.6
inf,2.03444,2.03444,0.0,0.00086751365802682551,0.69471687855260678,0.0042490528921525026,169.84312267050871,45.756102894210372,0.00063098644392977732,0.10000000000000001,0.7,1.34727,1.34727,1.34727,0.0,66896.8949619272,66896.894961927203,66896.8949619272,0.0,2.0,1.0,0.7,1.8807133868178663,1.5656184330423795,1.41838,0.12251440955991255,0.0087238596179605669,0.28676301632308382,0.2927348388005202,0.096924077914584253,192.04984855981473,170.76024384468715,446.97627810769973,0.026502811860091152,1.0,0.7,inf,1.5944638198967138,1.436931616628571,0.11766815566682873,0.015356935019589582,0.30401800849499216,0.18110640274379003,0.19306473735124566,58.669841526340612,31.587093851727779,691.17210169477517,0.22511555944351938,0.80000000000000004,0.7,inf,1.4679313544419599,1.38567,0.10724127345042349,0.007145909049424813,0.34792666397790828,0.04684063636355916,0.063641968276783881,203.43109275154148,183.89827653599031,310.10257850664249,0.023086570391310381,0.90000000000000002,0.7,,,,,0.00036531626039250852,0.69924977113205888,0.00033812427504431158,87.355929131303839,20.034380835506077,0.00020252281364055311,0.0,0.7,inf,2.3604150000000002,1.95951,0.5179253015236206,110.43043854179356,0.59999999999999998,0.7,inf,1.5152109327579397,1.201954520053082,0.21358617505988167,162.02073029491325,0.69999999999999996,0.7,2.69937,2.3401009999999998,1.59868,0.31775211465700742,210.27336639865999,1.0,0.7,1.6529758885053278,1.4725445923502034,1.2468196200486465,0.12592710534832049,801.10000000000002,1.0,0.7,,,,,0.0024551972755978016,0.68306704158317477,0.014064029696053401,122.36815970604164,59.293789231606446,0.00068714450565472642,0.0,0.7,,,,,0.001118507427706614,0.6924065755908857,0.006266695622372062,155.31663403021346,56.451318558502351,0.00149222493144449,0.0,0.7,inf,1.6944217197199916,1.51463,0.14731086780438693,0.0014960359490829094,0.68771171179181256,0.010427584029582552,188.36752810545798,74.641990817897764,0.002111486516256113,0.29999999999999999,0.7
inf,2.03444,2.03444,0.0,0.00098590829384495029,0.79348907114868117,0.0053350659833057527,192.73746860158755,52.123761153437499,0.00074094610155430438,0.10000000000000001,0.7999999999999999,1.34727,1.34727,1.34727,0.0,76971.73575925686,76971.735759256859,76971.73575925686,0.0,2.0,1.0,0.7999999999999999,1.8058400842321323,1.5438107383663802,1.400015808077052,0.10338873282039285,0.0097790281990138873,0.305882825842415,0.36000769025147478,0.10855785079888891,202.70798083908113,177.73273707635053,499.81303386163893,0.031905270329893064,1.0,0.7999999999999999,inf,1.5734533339333785,1.41277,0.10846488993793028,0.016736342489585339,0.34739570105532991,0.20943951433042213,0.21936607537638989,63.707629605913404,33.56433900814325,749.85455028155889,0.26923381928639567,0.80000000000000004,0.7999999999999999,inf,1.4511804206802803,1.38567,0.0958711260705883,0.0086458854554076515,0.36803694090743655,0.067821972327928026,0.069886116320415054,214.22472048950834,192.25280995332764,385.66011085835606,0.02639984095205769,0.90000000000000002,0.7999999999999999,,,,,0.00039941824673285942,0.79915764094218211,0.00039114353946521614,100.441282333212,21.835431953136112,0.00023224874889025935,0.0,0.7999999999999999,inf,2.3928208208648991,1.95951,0.45720809814410762,91.441581507714204,0.80000000000000004,0.7999999999999999,inf,1.4796650131738041,1.1934480417674418,0.18181694328638504,177.13387818723214,0.69999999999999996,0.7999999999999999,2.69937,2.3369741036047142,1.59868,0.31812133922324221,129.89986428307569,1.0,0.7999999999999999,1.6397235664007508,1.455216911296205,1.2235721519391238,0.13073656018572904,801.10000000000002,1.0,0.7999999999999999,,,,,0.0028826790420577253,0.77809594341459376,0.018532119829445297,145.82226176154094,69.981330851727392,0.00082663711523602306,0.0,0.7999999999999999,,,,,0.0013206620676805597,0.78991740490050288,0.0085128693858278915,179.82125478807819,67.792050992375181,0.0018209969163941191,0.0,0.7999999999999999,inf,1.6809766666666668,1.51463,0.14864572251572603,0.0017890497167709889,0.78336269269269498,0.014380560331076214,214.76938510850391,89.751976359857139,0.0026824651885035593,0.29999999999999999,0.7999999999999999
inf,2.03444,2.03444,0.0,0.0011003897409730492,0.89221186144215525,0.0064752518491370909,216.53521717123786,58.080246135773521,0.00086176913106799041,0.10000000000000001,0.8999999999999999,1.34727,1.34727,1.34727,0.0,87046.5765565865,87046.5765565865,87046.5765565865,0.0,2.0,1.0,0.8999999999999999,1.70929,1.5219928433099197,1.39036,0.083709985385912844,0.010860897414265405,0.32223663120718127,0.43616128451834302,0.11435943129473311,209.4283002886163,182.31201353544094,551.90598313045871,0.036358293316802508,1.0,0.8999999999999999,inf,1.560016243969979,1.4079561080071026,0.098518084998487451,0.018010235642227528,0.38706557976023459,0.23936251295188335,0.24742996597330183,68.204000650784494,35.550907888001248,805.50955964930131,0.31510083964040425,0.80000000000000004,0.8999999999999999,1.7079549112863026,1.4732301288089544,1.38262,0.12030836678459228,0.0099493777994516912,0.38429749993343387,0.089477201277775406,0.076196419035186674,224.08120135176119,199.65930549654098,451.07000621791684,0.029918045564309853,1.0,0.8999999999999999,,,,,0.00043906423724097082,0.89906096167930127,0.00044281827757117719,113.16344986348221,23.449802613974796,0.00026747767562566947,0.0,0.8999999999999999,inf,2.318241097429961,1.95951,0.27164137051613402,59.159771726941848,0.90000000000000002,0.8999999999999999,inf,1.4798846021684324,1.1714989944665914,0.1689735272230391,188.66538348565231,0.80000000000000004,0.8999999999999999,2.63569,2.2990669300007895,1.59868,0.29302315533757578,199.6826664470841,1.0,0.8999999999999999,1.6291906562722538,1.4449793859777298,1.2078682140361958,0.13127987445373709,801.10000000000002,1.0,0.8999999999999999,,,,,0.0033839238815400194,0.87171959624032025,0.024320182037752415,172.95414987741739,81.626866873023417,0.00096837565460929152,0.0,0.8999999999999999,,,,,0.0015504066838560812,0.88680090095273845,0.011355817284772092,203.95281023100222,80.575332618116562,0.0021784844128804066,0.0,0.8999999999999999,inf,1.6647924999999999,1.51463,0.13174765602753621,0.0020895454066110685,0.87810584783533385,0.019211767639256982,241.77632379920283,105.90220056458483,0.0033225887628561242,0.40000000000000002,0.8999999999999999
