trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,0.0020518,inf,0.00196441,6.9676e-05,1.5783e-05,0,1,0,0,1,3,1.4628e-05
0,7,0.624895,inf,0.00454359,0.452624,6.1593e-05,0.167656,1,5,2,7,7,0.000152442
0,13,1.3639,inf,0.00757894,0.786688,0.000160912,0.56945,1,14,6,13,12,0.000422291
0,15,2.5299,inf,0.00830034,1.02529,0.000181699,1.4961,1,22,8,15,13,0.000738722
0,50,3.55647,inf,0.0238332,1.80516,0.00069484,1.72268,1,35,17,50,29,0.00218037
0,55,4.11772,inf,0.026119,2.35811,0.000886161,1.72583,1,44,24,55,33,0.00344263
0,80,4.7558,inf,0.0419356,2.91089,0.00186702,1.78495,1,59,37,80,51,0.00595561
0,153,5.35832,inf,0.0761998,3.28187,0.00569113,1.96327,1,77,51,153,94,0.0120656
0,279,5.4609,inf,0.141129,3.29291,0.0183264,1.96327,1,87,61,279,174,0.01629
0,405,5.56219,inf,0.202784,3.30556,0.0358448,1.96327,1,90,64,405,247,0.0219323
0,524,5.6636,inf,0.262189,3.31862,0.0604729,1.96327,1,92,66,524,324,0.0261606
0,644,5.76533,inf,0.323417,3.33188,0.0875682,1.96327,1,92,66,644,392,0.0316931
0,763,5.86787,inf,0.376354,3.34442,0.12062,1.96327,1,95,69,763,462,0.0365104
0,867,5.97019,inf,0.425972,3.35996,0.155354,1.96327,1,96,70,867,526,0.0412057
0,960,6.07104,inf,0.472406,3.37222,0.193023,1.96327,1,98,72,960,589,0.0465534
0,1068,6.17452,inf,0.521734,3.38392,0.235329,1.96327,1,98,72,1068,652,0.051097
0,1165,6.27791,inf,0.574645,3.39442,0.274066,1.96327,1,100,74,1165,705,0.0550636
0,1266,6.38117,inf,0.623242,3.40653,0.316489,1.96327,1,100,74,1266,759,0.0603652
0,1352,6.48275,inf,0.665429,3.41786,0.363082,1.96327,1,102,76,1352,814,0.0648791
0,1437,6.58721,inf,0.709183,3.42939,0.412142,1.96327,1,102,76,1437,868,0.0694408
0,1519,6.69145,inf,0.745193,3.44128,0.467948,1.96327,1,103,77,1519,926,0.0740621
0,1600,6.79407,inf,0.782699,3.4519,0.522335,1.96327,1,103,77,1600,978,0.0781102
0,1677,6.90223,inf,0.820263,3.47112,0.573604,1.96327,1,103,77,1677,1025,0.0828224
0,1756,7.00833,inf,0.861812,3.48136,0.62782,1.96327,1,103,77,1756,1074,0.0869591
0,1828,7.11068,inf,0.900917,3.49114,0.681184,1.96327,1,103,77,1828,1120,0.0907371
0,1905,7.2152,inf,0.9432,3.50033,0.734133,1.96327,1,103,77,1905,1164,0.0940977
0,1975,7.3182,inf,0.975634,3.51008,0.794372,1.96327,1,104,78,1975,1212,0.0978972
0,2051,7.42457,inf,1.01688,3.51953,0.849952,1.96327,1,104,78,2051,1254,0.101515
0,2121,7.53055,inf,1.05034,3.52924,0.912667,1.96327,1,104,78,2121,1300,0.105283
0,2190,7.63547,inf,1.08407,3.53847,0.974538,1.96327,1,104,78,2190,1344,0.109003
0,2265,7.74027,inf,1.11913,3.54772,1.03355,1.96327,1,105,79,2265,1385,0.113029
0,2332,7.84504,inf,1.1537,3.55718,1.09385,1.96327,1,106,80,2332,1425,0.11684
0,2398,7.95207,inf,1.18383,3.56752,1.15969,1.96327,1,107,81,2398,1468,0.120691
0,2461,8.0587,inf,1.21946,3.57694,1.22115,1.96327,1,107,81,2461,1507,0.124572
0,2517,8.16235,inf,1.24828,3.58977,1.28306,1.96327,1,107,81,2517,1543,0.131865
0,2583,8.27158,inf,1.28411,3.59895,1.34719,1.96327,1,107,81,2583,1581,0.135624
0,2641,8.37861,inf,1.32009,3.60787,1.40925,1.96327,1,107,81,2641,1618,0.139158
0,2701,8.48525,inf,1.34905,3.61704,1.47768,1.96327,1,107,81,2701,1657,0.142731
0,2762,8.58953,inf,1.37959,3.6261,1.54228,1.96327,1,107,81,2762,1693,0.146696
0,2813,8.69867,inf,1.4048,3.63562,1.61661,1.96327,1,107,81,2813,1734,0.150439
0,2863,8.80555,inf,1.43112,3.6454,1.68728,1.96327,1,107,81,2863,1772,0.1547
0,2916,8.91218,inf,1.45721,3.65424,1.7589,1.96327,1,107,81,2916,1809,0.158134
0,2972,9.01896,inf,1.48528,3.66284,1.82892,1.96327,1,107,81,2972,1845,0.161504
0,3025,9.12727,inf,1.51651,3.67095,1.89597,1.96327,1,108,82,3025,1879,0.16482
0,3084,9.23408,inf,1.54559,3.67912,1.96546,1.96327,1,108,82,3084,1913,0.168179
0,3143,9.34125,inf,1.57488,3.68718,2.0352,1.96327,1,108,82,3143,1947,0.171406
0,3197,9.44761,inf,1.59971,3.6957,2.10814,1.96327,1,108,82,3197,1982,0.174862
0,3256,9.55687,inf,1.63132,3.70355,2.17786,1.96327,1,108,82,3256,2015,0.177993
0,3311,9.68756,inf,1.65786,3.73187,2.25361,1.96327,1,108,82,3311,2050,0.181504
0,3365,9.79404,inf,1.68679,3.7396,2.3229,1.96327,1,109,83,3365,2082,0.184506
0,3419,9.901,inf,1.71484,3.74709,2.39425,1.96327,1,109,83,3419,2114,0.187295
0,3472,10.0084,inf,1.74105,3.75462,2.46785,1.96327,1,109,83,3472,2147,0.190194
0,3529,10.1213,inf,1.76836,3.7627,2.54527,1.96327,1,109,83,3529,2181,0.193344
0,3583,10.2309,inf,1.79416,3.7727,2.61904,1.96327,1,109,83,3583,2213,0.198688
0,3633,10.3365,inf,1.82021,3.78019,2.69096,1.96327,1,109,83,3633,2244,0.201595
0,3689,10.4484,inf,1.85371,3.78746,2.76202,1.96327,1,109,83,3689,2274,0.20438
0,3740,10.5584,inf,1.87849,3.79559,2.83905,1.96327,1,109,83,3740,2306,0.207744
0,3791,10.6679,inf,1.9064,3.80427,2.9119,1.96327,1,109,83,3791,2336,0.211872
0,3843,10.7787,inf,1.93313,3.81384,2.98632,1.96327,1,109,83,3843,2366,0.216981
0,3889,10.8898,inf,1.9632,3.82142,3.05935,1.96327,1,110,84,3889,2395,0.220416
0,3941,10.9994,inf,1.98649,3.82913,3.13791,1.96327,1,110,84,3941,2426,0.223455
0,3999,11.108,inf,2.01704,3.83595,3.20903,1.96327,1,110,84,3999,2454,0.226245
0,4060,11.2218,inf,2.05139,3.84244,3.28185,1.96327,1,110,84,4060,2482,0.228741
0,4107,11.3325,inf,2.07328,3.85008,3.36298,1.96327,1,110,84,4107,2513,0.231659
0,4151,11.4382,inf,2.095,3.85702,3.43993,1.96327,1,110,84,4151,2542,0.234361
0,4193,11.5477,inf,2.12247,3.86384,3.51512,1.96327,1,110,84,4193,2570,0.237108
0,4238,11.6582,inf,2.14675,3.87132,3.59381,1.96327,1,110,84,4238,2599,0.240488
0,4289,11.772,inf,2.17586,3.87809,3.67163,1.96327,1,110,84,4289,2627,0.243171
0,4333,11.8814,inf,2.19952,3.88495,3.75046,1.96327,1,110,84,4333,2655,0.24593
0,4377,11.992,inf,2.21947,3.89208,3.83399,1.96327,1,110,84,4377,2685,0.248552
0,4425,12.1084,inf,2.24627,3.89917,3.91646,1.96327,1,110,84,4425,2714,0.251372
0,4470,12.2198,inf,2.2669,3.90604,3.99904,1.96327,1,111,85,4470,2743,0.254042
0,4512,12.3325,inf,2.28788,3.9133,4.0834,1.96327,1,111,85,4512,2772,0.257163
0,4560,12.4428,inf,2.31244,3.92013,4.16234,1.96327,1,111,85,4560,2799,0.260187
0,4610,12.56,inf,2.33952,3.92707,4.24544,1.96327,1,111,85,4610,2827,0.263028
0,4659,12.6683,inf,2.36302,3.93387,4.32339,1.96327,1,111,85,4659,2853,0.265694
0,4709,12.7803,inf,2.38923,3.94063,4.40234,1.96327,1,111,85,4709,2879,0.268235
0,4756,12.8955,inf,2.41066,3.94812,4.48858,1.96327,1,111,85,4756,2907,0.27123
0,4792,13.0059,inf,2.43393,3.95501,4.56872,1.96327,1,111,85,4792,2933,0.273899
