trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,0.00164952,inf,0.00164837,0,0,1,0,1,2,0
0,4,0.128996,inf,0.00330058,0.125662,2.5022e-05,1,2,4,4,5.389e-06
0,7,0.830643,inf,0.00476956,0.825773,8.161e-05,1,7,7,7,4.0035e-05
0,8,1.08507,inf,0.00522804,1.07971,0.000104322,1,9,8,8,4.6195e-05
0,9,1.32753,inf,0.00568036,1.3217,0.000127804,1,11,9,9,5.6974e-05
0,10,1.67139,inf,0.00613537,1.66507,0.000152826,1,14,10,10,6.9677e-05
0,11,2.02148,inf,0.00662503,2.01464,0.000180158,1,17,11,11,8.1226e-05
0,12,2.02189,inf,0.00702692,2.01464,0.000180158,1,17,12,11,8.1226e-05
0,16,2.49477,inf,0.0108822,2.48361,0.000235207,1,21,16,13,9.2389e-05
0,18,2.96651,inf,0.011922,2.95428,0.000257919,1,24,18,14,0.000108941
0,21,3.31331,inf,0.0129902,3.29997,0.000292949,1,27,21,15,0.000126648
0,26,4.0045,inf,0.0152118,3.98884,0.000373404,1,33,26,17,0.000197094
0,27,4.38482,inf,0.0171993,4.36714,0.000408434,1,36,27,18,0.000215572
0,28,4.38592,inf,0.0176924,4.36772,0.00044077,1,37,28,19,0.000215572
0,31,5.91596,inf,0.0192445,5.89611,0.000519685,1,45,31,21,0.000263693
0,32,6.035,inf,0.019703,6.01465,0.00055818,1,47,32,22,0.000269467
0,33,6.73778,inf,0.0201523,6.71694,0.00060399,1,51,33,23,0.000287561
0,34,6.73822,inf,0.0205861,6.71694,0.00060399,1,51,34,23,0.000287561
0,41,7.4241,inf,0.0240972,7.39913,0.000774909,1,58,41,27,0.000305269
0,43,8.22906,inf,0.0250542,8.20301,0.000873073,1,64,43,29,0.000328751
0,44,8.73828,inf,0.0268693,8.71037,0.000920807,1,67,44,30,0.000341069
