trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,6.4287e-05,inf,6.159e-06,4.1189e-05,1.5399e-05,0,1,1,1,1,3,1.1548e-05
0,285,0.124706,inf,0.000383418,0.0177128,0.0338131,0.0715742,1,622,531,285,236,0.078424
0,374,0.251253,2.39894,0.00051815,0.0295289,0.0562362,0.1629,1,929,756,374,310,0.176396
0,448,0.42351,2.29865,0.000625941,0.0517942,0.0784795,0.290315,1,1414,1114,448,369,0.321202
0,576,0.524712,2.28107,0.000847679,0.0786073,0.126028,0.311108,1,2235,1902,576,471,0.367489
0,627,0.628235,2.251,0.000923513,0.0947891,0.148247,0.375441,1,2622,2246,627,513,0.443538
0,760,0.72937,2.24842,0.00111676,0.12006,0.21357,0.376077,1,3407,3029,760,623,0.471823
0,839,0.830156,2.22859,0.00122763,0.14597,0.256071,0.403885,1,3907,3501,839,683,0.525428
0,959,0.933167,2.22838,0.00140046,0.162632,0.327268,0.418082,1,4487,4066,959,773,0.550687
0,1030,1.03406,2.22787,0.00150017,0.177658,0.373017,0.457454,1,4932,4470,1030,827,0.601451
0,1133,1.13526,2.22787,0.00164683,0.19202,0.445059,0.469191,1,5407,4935,1133,905,0.625039
0,1230,1.24114,2.20823,0.00179273,0.214057,0.519614,0.475293,1,5907,5426,1230,981,0.650829
0,1323,1.34381,2.2023,0.00193516,0.231178,0.600061,0.480036,1,6323,5837,1323,1059,0.66318
0,1405,1.44953,2.20142,0.00209491,0.258897,0.672369,0.480575,1,6702,6215,1405,1121,0.691617
0,1486,1.555,2.19848,0.0022231,0.28302,0.749632,0.482332,1,7022,6528,1486,1189,0.714844
0,1573,1.65937,2.19748,0.00236206,0.299237,0.83698,0.482872,1,7300,6804,1573,1259,0.72665
0,1660,1.76302,2.19746,0.00249834,0.309581,0.929435,0.483389,1,7501,7003,1660,1330,0.73277
0,1722,1.86679,2.1973,0.00259958,0.331501,1.00155,0.483861,1,7661,7160,1722,1385,0.760338
0,1796,1.97108,2.19569,0.00272623,0.347511,1.089,0.484375,1,7892,7389,1796,1444,0.772278
0,1864,2.07567,2.19569,0.00287598,0.35797,1.18273,0.484375,1,8099,7596,1864,1504,0.777488
0,1928,2.18138,2.19569,0.00301994,0.37463,1.27151,0.484375,1,8303,7800,1928,1557,0.789101
0,1981,2.2998,2.19569,0.00314197,0.403251,1.34547,0.496771,1,8453,7936,1981,1598,0.829134
0,2044,2.41573,2.19489,0.00328557,0.427673,1.43299,0.497402,1,8702,8183,2044,1643,0.852571
0,2079,2.5117,2.18821,0.00337411,0.458063,1.48551,0.510303,1,8839,8309,2079,1672,0.892561
0,2137,2.61637,2.18821,0.00351615,0.473665,1.57432,0.510303,1,8991,8461,2137,1718,0.903618
0,2197,2.72296,2.18821,0.00364857,0.48678,1.66569,0.510303,1,9125,8595,2197,1769,0.914018
0,2258,2.82794,2.18795,0.00379255,0.501913,1.75467,0.510898,1,9237,8705,2258,1815,0.925747
0,2326,2.93544,2.18609,0.0039065,0.512382,1.85099,0.511398,1,9340,8805,2326,1866,0.932897
0,2389,3.04202,2.18609,0.00401351,0.52152,1.94818,0.511398,1,9453,8918,2389,1918,0.938003
0,2428,3.14925,2.18609,0.00407818,0.537981,2.00657,0.54364,1,9529,8968,2428,1948,0.984267
0,2488,3.25549,2.18332,0.0041952,0.550016,2.09978,0.544213,1,9642,9080,2488,1994,0.99373
0,2551,3.363,2.18332,0.00430184,0.555663,2.20142,0.544213,1,9800,9238,2551,2044,0.995339
0,2600,3.47026,2.18308,0.00438422,0.580761,2.28232,0.545314,1,9847,9282,2600,2082,1.01011
0,2661,3.57964,2.18308,0.00448392,0.58988,2.3824,0.545314,1,9987,9422,2661,2128,1.01571
0,2717,3.68706,2.18308,0.00457284,0.600197,2.47932,0.545314,1,10079,9514,2717,2175,1.0222
0,2773,3.79587,2.18308,0.004666,0.609236,2.57875,0.545314,1,10150,9585,2773,2221,1.02773
0,2831,3.90324,2.18308,0.00475763,0.61429,2.68081,0.545314,1,10225,9660,2831,2267,1.02909
0,2886,4.01295,2.18308,0.0048835,0.61959,2.785,0.545314,1,10307,9742,2886,2315,1.03067
0,2939,4.12433,2.18308,0.00497011,0.62916,2.88665,0.545314,1,10355,9790,2939,2361,1.0366
0,2993,4.23157,2.18308,0.00505557,0.634551,2.98834,0.545314,1,10417,9852,2993,2404,1.03865
0,3044,4.34348,2.18288,0.00513988,0.65,3.08324,0.546372,1,10477,9908,3044,2442,1.05239
0,3096,4.45487,2.18288,0.00526037,0.655443,3.189,0.546372,1,10549,9980,3096,2487,1.05429
0,3146,4.56362,2.18288,0.00537971,0.661163,3.29172,0.546372,1,10602,10033,3146,2529,1.05652
0,3195,4.67278,2.18288,0.00546209,0.667085,3.39482,0.546372,1,10646,10077,3195,2571,1.0589
0,3246,4.78318,2.18288,0.00554485,0.672066,3.50007,0.546372,1,10684,10115,3246,2612,1.06048
0,3296,4.89335,2.18287,0.00562723,0.681088,3.60045,0.546985,1,10760,10189,3296,2649,1.06701
0,3349,5.00219,2.18287,0.00571346,0.684976,3.70521,0.546985,1,10788,10217,3349,2686,1.0679
0,3382,5.15535,2.18214,0.00577236,0.703271,3.77919,0.607703,1,10859,10258,3382,2715,1.14421
0,3423,5.2669,2.17627,0.00584704,0.722704,3.86904,0.609835,1,10935,10322,3423,2749,1.1629
0,3470,5.38023,2.17627,0.00592864,0.729894,3.97503,0.609835,1,10969,10356,3470,2789,1.16675
0,3514,5.48957,2.17627,0.00601025,0.741181,4.07293,0.609835,1,10995,10382,3514,2823,1.1753
0,3556,5.60203,2.1757,0.00608378,0.756377,4.1688,0.611011,1,11034,10419,3556,2858,1.18866
0,3602,5.71472,2.17561,0.00616424,0.768346,4.26872,0.611664,1,11044,10423,3602,2891,1.1985
0,3647,5.82863,2.17561,0.00624585,0.77904,4.37179,0.611664,1,11066,10445,3647,2926,1.20621
0,3683,5.94043,2.17456,0.00631052,0.802536,4.45848,0.613164,1,11092,10465,3683,2956,1.22855
0,3731,6.05463,2.17456,0.00642216,0.806984,4.56805,0.613164,1,11134,10507,3731,2992,1.22998
0,3770,6.16856,2.17456,0.00649376,0.828075,4.66076,0.613164,1,11168,10541,3770,3023,1.24845
0,3816,6.28252,2.17456,0.00657653,0.836712,4.76593,0.613164,1,11202,10575,3816,3056,1.25432
0,3862,6.39784,2.17456,0.00665275,0.844321,4.87339,0.613164,1,11249,10622,3862,3090,1.25901
0,3903,6.5185,2.17456,0.00672781,0.857353,4.98088,0.613164,1,11267,10640,3903,3126,1.26904
0,3944,6.63187,2.17456,0.00680442,0.861503,5.08996,0.613164,1,11317,10690,3944,3161,1.27023
