trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,6.2748e-05,inf,6.545e-06,4.427e-05,1.0394e-05,0,1,0,0,1,3,1.4629e-05
0,173,0.101503,inf,0.000363391,0.0347416,0.00827186,0.0212097,1,149,134,173,143,0.0851203
0,217,0.350326,inf,0.00045424,0.0496904,0.0121764,0.220417,1,294,194,217,177,0.327125
0,267,0.450618,inf,0.000634782,0.0679029,0.0173452,0.287556,1,348,211,267,216,0.418982
0,274,0.635948,inf,0.000650949,0.0706095,0.0182275,0.46915,1,403,213,274,222,0.602465
0,325,0.739002,inf,0.000746804,0.0833541,0.0247794,0.543368,1,430,223,325,261,0.694015
0,353,1.4627,2.31084,0.000803777,0.0969356,0.0291378,1.22354,1,630,247,353,285,1.40957
0,360,1.62106,2.31071,0.000823025,0.116486,0.0300459,1.33042,1,670,268,360,290,1.56631
0,414,1.77667,2.29375,0.000924652,0.146861,0.0380587,1.39076,1,758,333,414,331,1.71108
0,439,1.96233,2.29375,0.000976621,0.205814,0.0428945,1.42778,1,827,394,439,353,1.89023
0,452,2.08047,2.29375,0.0010078,0.236872,0.0448885,1.4473,1,849,413,452,362,2.00569
0,481,2.22972,2.29375,0.00106631,0.293115,0.0498883,1.4473,1,872,436,481,383,2.14848
0,484,2.43356,2.29375,0.00107671,0.324498,0.0507025,1.53342,1,904,461,484,386,2.35087
0,488,2.45347,2.29375,0.00108903,0.339366,0.0512545,1.53342,1,907,464,488,388,2.37008
0,503,2.56019,2.29375,0.00112406,0.403836,0.0543915,1.53342,1,930,487,503,401,2.47276
0,514,2.68123,2.29375,0.00114947,0.444053,0.0565876,1.53342,1,960,517,514,410,2.59089
0,523,3.49581,2.29375,0.00116987,0.459572,0.0585882,2.28493,1,1143,527,523,418,3.40062
0,557,3.61251,2.29152,0.00123723,0.495441,0.0660744,2.2855,1,1213,596,557,446,3.50798
