trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,4.7349e-05,inf,8.854e-06,2.3097e-05,1.3858e-05,1,1,1,3,0
0,399,0.100578,2.19998,0.000717554,0.0620448,0.0374345,1,5463,399,317,0.030065
0,650,0.206968,2.19837,0.0011768,0.115177,0.0899946,1,9986,650,514,0.0549421
0,821,0.314287,2.17779,0.00149747,0.171856,0.140144,1,13433,821,652,0.0937709
0,993,0.436542,2.1712,0.00183276,0.2306,0.203134,1,16968,993,791,0.13301
0,1138,0.587615,2.1703,0.00220809,0.299783,0.284402,1,20275,1138,915,0.177142
0,1380,0.786723,2.16527,0.00266118,0.382717,0.399877,1,25641,1380,1111,0.214486
0,1602,1.02439,2.15771,0.00307154,0.495659,0.523971,1,30676,1602,1290,0.301567
0,1889,1.31596,2.15762,0.00361395,0.593187,0.717159,1,37449,1889,1525,0.362093
0,2223,1.69901,2.15727,0.00423602,0.723607,0.968813,1,45420,2223,1794,0.449564
0,2567,2.16286,2.15478,0.00488735,0.886853,1.26839,1,53737,2567,2070,0.512246
0,2966,2.73108,2.14936,0.00563263,1.07165,1.65066,1,63432,2966,2384,0.643948
0,3379,3.42764,2.14349,0.00679097,1.27748,2.13968,1,74186,3379,2727,0.787516
0,3887,4.27969,2.1434,0.00776182,1.4609,2.80679,1,87422,3887,3144,0.896257
0,4436,5.31669,2.1434,0.00882082,1.67203,3.63096,1,102101,4436,3595,1.02172
0,4895,6.57515,2.13701,0.00979821,2.12386,4.43602,1,114625,4895,3976,1.39494
0,5393,8.09748,2.13701,0.0109542,2.67755,5.40274,1,128206,5393,4383,1.71165
0,5920,9.94038,2.12875,0.0122234,3.3577,6.5634,1,142367,5920,4801,2.28813
1,1,7.699e-05,inf,8.084e-06,4.8119e-05,1.9248e-05,1,1,1,3,1.1164e-05
1,337,0.10003,2.2169,0.000755264,0.0619813,0.0368452,1,4604,337,278,0.0300065
1,570,0.201474,2.20485,0.00128186,0.115507,0.0839774,1,9010,570,470,0.0618147
1,714,0.308697,2.19942,0.00160715,0.175762,0.130278,1,12021,714,593,0.0955822
1,907,0.442041,2.19803,0.00204792,0.236991,0.201615,1,15914,907,745,0.132538
1,1064,0.597979,2.19015,0.00241054,0.317394,0.276557,1,19543,1064,882,0.18962
1,1240,0.795295,2.17497,0.00281859,0.419758,0.370859,1,23438,1240,1026,0.240193
1,1484,1.0317,2.16309,0.00340718,0.511997,0.51404,1,29017,1484,1227,0.295505
1,1714,1.32707,2.16309,0.00400463,0.637039,0.68335,1,34501,1714,1421,0.382626
1,2040,1.70522,2.16309,0.00470946,0.763007,0.934379,1,42214,2040,1687,0.459571
1,2333,2.16365,2.16256,0.00546166,0.925875,1.22864,1,49464,2333,1931,0.566328
1,2640,2.72389,2.16214,0.00628931,1.13248,1.58091,1,57196,2640,2186,0.650616
1,3059,3.44351,2.16214,0.00731097,1.34341,2.08794,1,67492,3059,2520,0.785873
1,3543,4.35867,2.15252,0.0084304,1.61037,2.73431,1,79889,3543,2911,0.969095
1,4082,5.45723,2.14557,0.00970035,1.89658,3.54457,1,93855,4082,3350,1.16292
1,4525,6.77697,2.14514,0.010672,2.46207,4.29722,1,105763,4525,3712,1.64988
1,5171,8.38505,2.14514,0.0120459,2.89235,5.47274,1,122644,5171,4226,1.83387
2,1,8.0455e-05,inf,8.853e-06,4.9659e-05,1.9633e-05,1,1,1,3,1.1164e-05
2,361,0.109774,2.28925,0.000888842,0.0677294,0.0406616,1,4950,361,296,0.0316102
2,506,0.201138,2.19592,0.00121104,0.128279,0.0709561,1,7501,506,409,0.0775137
2,687,0.313298,2.19495,0.00157518,0.192368,0.118424,1,10993,687,555,0.113439
2,860,0.438272,2.18305,0.00197168,0.257951,0.177169,1,14640,860,699,0.158297
2,991,0.594428,2.1813,0.0022958,0.353107,0.237543,1,17378,991,804,0.232154
2,1237,0.785106,2.18127,0.00286245,0.428106,0.35226,1,22463,1237,995,0.274636
2,1448,1.01842,2.17263,0.00331477,0.53833,0.474604,1,27391,1448,1172,0.330724
2,1726,1.31188,2.1725,0.00387834,0.665534,0.639931,1,33477,1726,1386,0.422343
2,2013,1.66981,2.17197,0.00448772,0.80718,0.855198,1,40201,2013,1619,0.523328
2,2347,2.11499,2.16292,0.0051918,0.976496,1.12989,1,48104,2347,1883,0.646107
2,2644,2.65235,2.16204,0.00583542,1.21287,1.42979,1,55544,2644,2129,0.779979
2,3056,3.30826,2.16104,0.00673544,1.4165,1.88056,1,65522,3056,2453,0.919781
2,3494,4.10263,2.15042,0.00765432,1.66162,2.4283,1,76795,3494,2810,1.09596
2,3969,5.07276,2.15042,0.00870253,1.95227,3.10609,1,88756,3969,3186,1.30744
2,4517,6.28801,2.14128,0.00987009,2.33696,3.9347,1,102944,4517,3625,1.60696
2,5105,7.82918,2.14102,0.011055,2.87191,4.93841,1,118551,5105,4098,1.91351
2,5759,9.53303,2.14102,0.0125124,3.24242,6.26936,1,136552,5759,4632,2.16066
3,1,7.699e-05,inf,8.468e-06,4.6579e-05,1.9633e-05,1,1,1,3,1.0394e-05
3,393,0.100234,2.26266,0.000729092,0.0605651,0.0385374,1,5546,393,322,0.0294287
3,581,0.202257,2.22398,0.0011075,0.117726,0.0827872,1,9282,581,484,0.0664606
3,722,0.314562,2.20318,0.00136426,0.191756,0.120658,1,12060,722,598,0.119498
3,907,0.44212,2.20232,0.00174767,0.25158,0.187764,1,15859,907,747,0.157885
3,1066,0.588431,2.18649,0.00206795,0.332728,0.252412,1,19249,1066,876,0.220139
3,1260,0.770038,2.18649,0.00249601,0.404852,0.361179,1,23925,1260,1048,0.245107
3,1450,0.996729,2.17617,0.0028952,0.522861,0.469236,1,28190,1450,1201,0.338232
3,1695,1.28428,2.17567,0.0034607,0.644213,0.634491,1,33802,1695,1398,0.421831
3,1992,1.64017,2.17258,0.00408085,0.784937,0.848675,1,40667,1992,1633,0.522057
3,2370,2.08328,2.17258,0.00492197,0.914108,1.16128,1,49455,2370,1928,0.597737
3,2646,2.62078,2.17067,0.00564029,1.1742,1.43742,1,56350,2646,2154,0.754367
3,3087,3.27745,2.16551,0.00649526,1.37135,1.89555,1,67166,3087,2506,0.888695
3,3508,4.11434,2.15256,0.00738564,1.66745,2.43482,1,78359,3508,2858,1.11498
3,3987,5.0854,2.1505,0.0083611,1.96006,3.11162,1,90727,3987,3246,1.33274
3,4580,6.26663,2.1505,0.00960795,2.1756,4.0753,1,106474,4580,3728,1.45121
3,5167,7.71066,2.15036,0.0107343,2.58867,5.10442,1,122364,5167,4212,1.64132
3,5766,9.4148,2.14341,0.0118872,3.14857,6.24681,1,138860,5766,4698,2.10535
4,1,5.7742e-05,inf,8.854e-06,2.9642e-05,1.7322e-05,1,1,1,3,0
4,407,0.103515,2.23534,0.000717914,0.0605266,0.0418834,1,6033,407,345,0.0295385
4,612,0.204308,2.21529,0.0010813,0.114296,0.088337,1,10073,612,516,0.058133
4,796,0.313552,2.21498,0.00141544,0.166074,0.14528,1,13646,796,664,0.0924132
4,1019,0.440589,2.21498,0.00181771,0.212391,0.225359,1,18336,1019,844,0.116132
4,1205,0.605143,2.20779,0.00216303,0.295051,0.306698,1,22405,1205,996,0.178484
4,1375,0.792528,2.19548,0.00247368,0.398066,0.390568,1,26216,1375,1133,0.244215
4,1616,1.02671,2.18912,0.00291022,0.490641,0.531486,1,31948,1616,1334,0.307824
4,1920,1.33034,2.17439,0.00346609,0.598979,0.725896,1,38725,1920,1570,0.380453
4,2211,1.67651,2.15964,0.00403773,0.712475,0.95768,1,45892,2211,1811,0.454274
4,2544,2.14053,2.15964,0.00466213,0.884919,1.24819,1,54060,2544,2082,0.529512
4,2944,2.70899,2.15964,0.00541316,1.05488,1.64555,1,64049,2944,2407,0.646125
4,3330,3.40898,2.15891,0.00614689,1.32801,2.07127,1,73670,3330,2714,0.867005
4,3758,4.2647,2.15785,0.00696797,1.64611,2.6076,1,84621,3758,3058,1.12466
4,4280,5.31217,2.15785,0.00797347,1.9393,3.36026,1,98454,4280,3486,1.33963
4,4854,6.56502,2.15774,0.00910369,2.26557,4.28503,1,113700,4854,3950,1.5791
4,5394,8.06907,2.15426,0.0101646,2.78749,5.26545,1,128400,5394,4390,1.88458
4,6095,9.88205,2.15426,0.0115712,3.14412,6.71951,1,147559,6095,4955,2.12398
5,1,9.623e-06,inf,8.468e-06,0,0,1,0,1,2,0
5,425,0.103295,2.19299,0.00073602,0.0611425,0.0410073,1,5948,425,342,0.0305381
5,629,0.208318,2.19203,0.00109787,0.120788,0.0858186,1,9868,629,507,0.0719477
5,796,0.317951,2.186,0.00139352,0.182685,0.133095,1,13206,796,641,0.111648
5,1000,0.442123,2.1727,0.00175922,0.235866,0.203534,1,17466,1000,805,0.144616
5,1187,0.587475,2.17248,0.00210068,0.298868,0.285354,1,21665,1187,963,0.186969
5,1358,0.764905,2.17179,0.0024171,0.390662,0.370501,1,25616,1358,1106,0.241461
5,1524,0.984547,2.17179,0.0027243,0.521996,0.458336,1,29213,1524,1237,0.354396
5,1762,1.25592,2.17158,0.00316238,0.651808,0.599228,1,34579,1762,1424,0.457137
5,2034,1.58827,2.15753,0.00367666,0.793693,0.788898,1,40977,2034,1645,0.565806
5,2331,1.99583,2.15493,0.00424022,0.951964,1.03722,1,48431,2331,1896,0.683745
5,2680,2.49378,2.15445,0.00488963,1.13876,1.34734,1,56841,2680,2173,0.773392
5,3057,3.1051,2.15403,0.0055937,1.37173,1.72459,1,65992,3057,2472,0.957311
5,3506,3.85126,2.152,0.00644829,1.58132,2.25981,1,77707,3506,2844,1.10301
5,3980,4.77818,2.15074,0.00736101,1.84091,2.92569,1,90642,3980,3250,1.29035
5,4504,5.87484,2.15036,0.00837188,2.14133,3.72031,1,104689,4504,3677,1.51058
5,4937,7.19597,2.14967,0.00922493,2.7396,4.44179,1,116186,4937,4026,2.04196
5,5435,8.84748,2.14753,0.0101865,3.48699,5.34436,1,129695,5435,4430,2.58093
6,1,6.6212e-05,inf,9.624e-06,3.5416e-05,1.9247e-05,1,1,1,3,0
6,441,0.100533,2.28207,0.000779917,0.0539932,0.0453395,1,6413,441,360,0.021247
6,630,0.201324,2.25327,0.00111482,0.112664,0.0869319,1,9952,630,511,0.0636578
6,795,0.310619,2.20416,0.00140622,0.171855,0.136567,1,13451,795,651,0.100081
6,1006,0.435502,2.20031,0.00178002,0.221078,0.211623,1,17915,1006,821,0.127938
6,1174,0.582743,2.18764,0.00207835,0.296088,0.283354,1,21571,1174,958,0.184619
6,1351,0.76235,2.18699,0.00240056,0.390461,0.368072,1,25498,1351,1100,0.240419
6,1551,0.983314,2.17376,0.00276743,0.499526,0.479383,1,30179,1551,1266,0.326121
6,1804,1.25554,2.17363,0.00323514,0.617765,0.632637,1,35857,1804,1466,0.415005
6,2127,1.60011,2.17138,0.00382834,0.736836,0.857167,1,43234,2127,1718,0.495336
6,2399,2.02099,2.16854,0.00433954,0.923612,1.09039,1,50050,2399,1946,0.645927
6,2723,2.54074,2.1617,0.00495239,1.13748,1.39527,1,58220,2723,2213,0.760771
6,3156,3.19163,2.1585,0.00576232,1.34175,1.84062,1,68865,3156,2557,0.907921
6,3616,3.96836,2.15778,0.00663191,1.56572,2.39199,1,80627,3616,2929,1.06769
6,4045,4.91899,2.15698,0.00746034,1.94722,2.95979,1,91425,4045,3269,1.38816
6,4580,6.0717,2.15305,0.00848701,2.26802,3.79005,1,105918,4580,3711,1.6271
6,5077,7.48381,2.14057,0.00948557,2.81715,4.65144,1,119386,5077,4122,1.96599
6,5674,9.14815,2.1402,0.0106381,3.35915,5.77197,1,135824,5674,4609,2.41282
7,1,6.8136e-05,inf,8.853e-06,3.965e-05,1.7323e-05,1,1,1,3,3.079e-06
7,439,0.10031,2.23436,0.000768754,0.0584455,0.0406962,1,5981,439,341,0.0278304
7,656,0.201146,2.20207,0.00115062,0.111269,0.088096,1,10118,656,517,0.0552412
