trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,3.58e-05,inf,2,1,3
0,695,0.10052,inf,2,695,452
0,979,0.201273,inf,2,979,672
0,1692,0.301882,inf,2,1692,464
0,1976,0.402793,inf,2,1976,672
0,2711,0.503855,inf,2,2711,451
0,3099,0.60462,inf,2,3099,52
0,3728,0.706259,inf,2,3728,500
0,4064,0.807433,inf,2,4064,23
0,4789,0.909291,inf,2,4789,487
0,5421,1.01114,inf,2,5421,266
0,5855,1.11362,inf,2,5855,567
0,6538,1.21574,inf,2,6538,337
0,6918,1.31843,inf,2,6918,617
0,7561,1.42079,inf,2,7561,417
0,7887,1.52348,inf,2,7887,667
0,8534,1.62579,inf,2,8534,338
0,8907,1.72884,inf,2,8907,614
0,9593,1.83171,inf,2,9593,397
0,9937,1.93494,inf,2,9937,656
0,10667,2.0379,inf,2,10667,398
0,11075,2.14094,inf,2,11075,34
0,11752,2.24471,inf,2,11752,509
0,12274,2.34802,inf,2,12274,143
0,12820,2.45211,inf,2,12820,530
0,13496,2.55595,inf,2,13496,294
0,13918,2.66038,inf,2,13918,589
0,14658,2.7644,inf,2,14658,401
0,15009,2.86919,inf,2,15009,655
0,15770,2.97345,inf,2,15770,495
0,16407,3.07785,inf,2,16407,226
0,16884,3.18284,inf,2,16884,555
0,17576,3.28762,inf,2,17576,373
0,17947,3.39283,inf,2,17947,634
0,18670,3.49792,inf,2,18670,429
0,18998,3.60338,inf,2,18998,679
0,19744,3.70868,inf,2,19744,490
0,20256,3.8139,inf,2,20256,155
0,20805,3.91981,inf,2,20805,534
0,21466,4.0254,inf,2,21466,239
0,21940,4.13178,inf,2,21940,564
0,22678,4.23763,inf,2,22678,427
0,23001,4.34446,inf,2,23001,665
0,23733,4.45049,inf,2,23733,486
0,24188,4.5566,inf,2,24188,87
0,24815,4.66365,inf,2,24815,528
0,25455,4.77028,inf,2,25455,270
0,25876,4.87731,inf,2,25876,585
0,26599,4.98407,inf,2,26599,325
0,26976,5.09158,inf,2,26976,583
0,27708,5.19894,inf,2,27708,443
0,28026,5.30665,inf,2,28026,674
0,28774,5.41407,inf,2,28774,492
0,29294,5.52179,inf,2,29294,183
0,29775,5.63009,inf,2,29775,552
0,30231,5.73809,inf,2,30231,127
0,30747,5.84677,inf,2,30747,495
0,31292,5.95512,2.5525,2,31292,181
0,31811,6.06419,2.5525,2,31811,542
0,32613,6.1729,2.45669,2,32613,255
0,33071,6.28213,2.45669,2,33071,562
0,33804,6.39128,2.45669,2,33804,372
0,34170,6.50088,2.45669,2,34170,635
0,34871,6.6105,2.45669,2,34871,447
0,35203,6.72063,2.45669,2,35203,675
0,36011,6.83033,2.45669,2,36011,483
0,36685,6.94048,2.45669,2,36685,315
0,37046,7.05095,2.45669,2,37046,584
0,37637,7.16138,2.45669,2,37637,267
0,38058,7.27251,2.45669,2,38058,567
0,38733,7.38305,2.45669,2,38733,311
0,39104,7.49459,2.45669,2,39104,564
0,39755,7.60569,2.45669,2,39755,355
0,40481,7.71754,2.45669,2,40481,422
0,40784,7.82977,2.45669,2,40784,651
0,41472,7.94177,2.45669,2,41472,367
0,41766,8.05453,2.45669,2,41766,554
0,42351,8.16697,2.45669,2,42351,321
0,42696,8.28015,2.45669,2,42696,573
0,43342,8.39331,2.45669,2,43342,253
0,43808,8.50702,2.45669,2,43808,501
0,44550,8.62087,2.45669,2,44550,460
0,45019,8.73459,2.45669,2,45019,114
0,45593,8.84908,2.45669,2,45593,548
0,45942,8.9632,2.45669,2,45942,44
0,46550,9.07833,2.45669,2,46550,469
0,46833,9.19343,2.45669,2,46833,678
0,47527,9.30853,2.45669,2,47527,472
0,47824,9.42416,2.45669,2,47824,706
0,48479,9.53942,2.45669,2,48479,416
0,48804,9.65609,2.45669,2,48804,675
0,49555,9.77205,2.45669,2,49555,473
0,50095,9.88764,2.45669,2,50095,132
1,1,1.0779e-05,inf,2,1,3
1,654,0.10065,inf,2,654,425
1,937,0.20104,inf,2,937,640
1,1601,0.301551,inf,2,1601,410
1,1900,0.402567,inf,2,1900,630
1,2516,0.503204,inf,2,2516,300
1,2866,0.604555,inf,2,2866,540
1,3436,0.705866,inf,2,3436,267
1,3801,0.807522,inf,2,3801,536
1,4330,0.909116,inf,2,4330,206
1,4768,1.01143,inf,2,4768,528
1,5211,1.11317,inf,2,5211,115
1,5765,1.21573,inf,2,5765,485
1,6192,1.31782,inf,2,6192,118
1,6747,1.42081,inf,2,6747,499
1,7227,1.52326,inf,2,7227,124
1,7810,1.62632,inf,2,7810,516
1,8451,1.72947,inf,2,8451,295
1,8830,1.83318,inf,2,8830,592
1,9507,1.93637,2.7742,2,9507,383
1,9836,2.04019,2.7742,2,9836,633
1,10453,2.14377,2.7742,2,10453,357
1,10812,2.24792,2.7742,2,10812,634
1,11463,2.35188,2.7742,2,11463,358
1,11815,2.45652,2.7742,2,11815,633
1,12493,2.56087,2.7742,2,12493,329
1,12878,2.66564,2.7742,2,12878,620
1,13531,2.7705,2.7742,2,13531,370
1,13875,2.87578,2.7742,2,13875,632
1,14597,2.98112,2.7742,2,14597,395
1,14918,3.08692,2.7742,2,14918,624
1,15659,3.1927,2.7742,2,15659,444
1,15942,3.29871,2.7742,2,15942,656
1,16723,3.40534,2.7742,2,16723,458
1,17290,3.51155,2.7742,2,17290,201
1,17735,3.61883,2.7742,2,17735,503
1,18251,3.72561,2.7742,2,18251,182
1,18671,3.83434,2.7742,2,18671,479
1,18888,3.94196,2.7742,2,18888,635
1,19540,4.04936,2.7742,2,19540,390
1,19842,4.1577,2.7742,2,19842,616
1,20449,4.2658,2.7742,2,20449,347
1,20783,4.3748,2.7742,2,20783,586
1,21318,4.48305,2.7742,2,21318,231
1,21719,4.59228,2.7742,2,21719,539
1,22107,4.70112,2.7742,2,22107,91
1,22674,4.8107,2.7742,2,22674,486
1,22957,4.92124,2.7742,2,22957,2
1,23661,5.03023,2.7742,2,23661,481
1,23921,5.1404,2.7742,2,23921,690
1,24731,5.25237,2.7742,2,24731,407
1,25359,5.36273,2.7742,2,25359,262
1,25735,5.47379,2.7742,2,25735,540
1,26168,5.58452,2.7742,2,26168,126
1,26707,5.6963,2.7742,2,26707,495
1,27039,5.80742,2.7742,2,27039,51
1,27695,5.91951,2.7742,2,27695,471
1,28117,6.03137,2.7742,2,28117,78
1,28671,6.14443,2.7742,2,28671,461
1,29078,6.25669,2.7742,2,29078,75
1,29695,6.36982,2.7742,2,29695,500
1,29961,6.48327,2.7742,2,29961,701
1,30727,6.59667,2.7742,2,30727,471
1,31339,6.71073,2.7742,2,31339,238
1,31786,6.82543,2.7742,2,31786,546
1,32355,6.93987,2.7742,2,32355,267
1,32761,7.05483,2.7742,2,32761,580
1,33272,7.16958,2.7742,2,33272,176
1,33799,7.28493,2.7742,2,33799,548
1,34457,7.40026,2.7742,2,34457,307
1,34848,7.51629,2.7742,2,34848,592
1,35572,7.63186,2.7742,2,35572,341
1,36002,7.7477,2.7742,2,36002,18
1,36733,7.86434,2.7742,2,36733,487
1,37290,7.98085,2.7742,2,37290,190
1,37771,8.09807,2.7742,2,37771,515
1,38353,8.21518,2.7742,2,38353,258
1,39097,8.33268,2.57711,2,39097,306
1,39477,8.45072,2.57711,2,39477,593
1,40122,8.56886,2.57711,2,40122,380
1,40454,8.6877,2.57711,2,40454,639
1,41137,8.80568,2.57711,2,41137,298
1,41579,8.92454,2.57711,2,41579,592
1,42439,9.04363,2.57711,2,42439,464
1,43108,9.16279,2.57711,2,43108,325
1,43496,9.28262,2.57711,2,43496,620
1,44218,9.40241,2.57711,2,44218,405
1,44580,9.52291,2.57711,2,44580,669
1,45331,9.64285,2.57711,2,45331,498
1,45783,9.76302,2.57711,2,45783,98
1,46387,9.88397,2.57711,2,46387,512
2,1,9.239e-06,inf,2,1,3
2,745,0.100392,inf,2,745,450
2,1316,0.200485,inf,2,1316,165
2,1836,0.301015,inf,2,1836,495
2,2500,0.40148,inf,2,2500,321
2,2859,0.502619,inf,2,2859,586
2,3485,0.603265,inf,2,3485,292
2,3891,0.704479,inf,2,3891,560
2,4602,0.805539,inf,2,4602,349
2,4955,0.907129,inf,2,4955,603
2,5698,1.00827,inf,2,5698,402
2,6165,1.10969,inf,2,6165,92
2,6746,1.21199,inf,2,6746,464
2,7132,1.31363,inf,2,7132,81
2,7655,1.41602,inf,2,7655,480
2,8307,1.51839,2.72928,2,8307,305
2,8642,1.62159,2.72928,2,8642,545
2,9191,1.72395,2.72928,2,9191,246
2,9583,1.82731,2.72928,2,9583,531
2,10095,1.9305,2.72928,2,10095,165
2,10574,2.03415,2.72928,2,10574,495
2,11012,2.13761,2.72928,2,11012,139
2,11490,2.24192,2.72928,2,11490,483
2,11748,2.34655,2.72928,2,11748,674
2,12383,2.45082,2.72928,2,12383,389
2,12682,2.55582,2.72928,2,12682,620
2,13257,2.66036,2.72928,2,13257,291
2,13612,2.76567,2.72928,2,13612,538
2,14177,2.87068,2.72928,2,14177,220
2,14592,2.97641,2.72928,2,14592,510
2,15149,3.08204,2.72928,2,15149,193
2,15609,3.18838,2.72928,2,15609,511
2,16123,3.29451,2.72928,2,16123,188
2,16546,3.40126,2.72928,2,16546,494
2,16802,3.5083,2.72928,2,16802,690
2,17715,3.61475,2.72928,2,17715,161
2,18244,3.72227,2.72928,2,18244,509
2,18922,3.82942,2.72928,2,18922,261
2,19350,3.93755,2.72928,2,19350,546
2,20112,4.0452,2.72928,2,20112,404
2,20582,4.15298,2.72928,2,20582,72
2,21225,4.26156,2.72928,2,21225,526
2,21778,4.36981,2.72928,2,21778,204
2,22249,4.4786,2.72928,2,22249,548
2,22855,4.58722,2.72928,2,22855,264
2,23278,4.69638,2.72928,2,23278,583
2,23903,4.80518,2.72928,2,23903,276
2,24343,4.91466,2.72928,2,24343,566
2,25023,5.02404,2.72928,2,25023,347
2,25358,5.13437,2.72928,2,25358,590
2,26045,5.24394,2.72928,2,26045,378
2,26382,5.35458,2.72928,2,26382,622
2,27066,5.46478,2.72928,2,27066,403
2,27377,5.57584,2.72928,2,27377,634
2,28061,5.68649,2.72928,2,28061,375
2,28413,5.79803,2.72928,2,28413,606
2,29149,5.90887,2.72928,2,29149,425
2,29459,6.02052,2.72928,2,29459,662
2,30204,6.13223,2.72928,2,30204,474
2,30700,6.24393,2.72928,2,30700,143
2,31203,6.35639,2.72928,2,31203,496
2,31465,6.46879,2.72928,2,31465,2
2,32148,6.58196,2.72928,2,32148,486
2,32399,6.69499,2.72928,2,32399,679
2,33064,6.80821,2.72928,2,33064,376
2,33411,6.92179,2.72928,2,33411,632
2,34144,7.03567,2.72928,2,34144,458
2,34461,7.14944,2.72928,2,34461,695
2,35257,7.26346,2.72928,2,35257,499
2,36052,7.37771,2.72928,2,36052,439
2,36656,7.49204,2.72928,2,36656,211
2,37120,7.60687,2.72928,2,37120,570
2,37733,7.72159,2.72928,2,37733,265
2,38165,7.8374,2.72928,2,38165,599
2,38825,7.9524,2.72928,2,38825,316
2,39237,8.06807,2.72928,2,39237,617
2,39959,8.18372,2.72928,2,39959,426
2,40308,8.29973,2.72928,2,40308,673
2,41092,8.41569,2.72928,2,41092,478
2,41723,8.53203,2.72928,2,41723,250
2,42193,8.64846,2.72928,2,42193,577
2,42903,8.76501,2.72928,2,42903,361
2,43298,8.88201,2.72928,2,43298,638
2,44021,8.9992,2.72928,2,44021,504
2,44317,9.11655,2.72928,2,44317,745
2,45342,9.23373,2.72928,2,45342,230
2,45835,9.35171,2.72928,2,45835,571
2,46546,9.46954,2.72928,2,46546,410
2,46904,9.58806,2.72928,2,46904,677
2,47639,9.7061,2.72928,2,47639,417
2,48257,9.82456,2.72928,2,48257,174
2,48790,9.94395,2.72928,2,48790,539
3,1,6.159e-06,inf,2,1,2
3,743,0.100282,inf,2,743,472
3,1234,0.200362,inf,2,1234,135
3,1780,0.300992,inf,2,1780,502
3,2368,0.401426,inf,2,2368,213
3,2810,0.502546,inf,2,2810,533
3,3370,0.603135,inf,2,3370,235
3,3803,0.704541,inf,2,3803,523
3,4250,0.805251,inf,2,4250,155
3,4747,0.906981,inf,2,4747,495
3,5203,1.00831,inf,2,5203,117
3,5784,1.11029,inf,2,5784,485
3,6459,1.21204,inf,2,6459,266
3,6901,1.31423,inf,2,6901,546
3,7619,1.41637,inf,2,7619,365
3,7972,1.51916,inf,2,7972,618
3,8684,1.6218,inf,2,8684,451
3,8989,1.72466,inf,2,8989,671
3,9770,1.82738,inf,2,9770,453
3,10375,1.93029,inf,2,10375,248
3,10807,2.03381,inf,2,10807,560
3,11380,2.13681,inf,2,11380,212
3,11849,2.24048,inf,2,11849,537
3,12505,2.34407,inf,2,12505,309
3,12903,2.44806,inf,2,12903,579
3,13658,2.55207,inf,2,13658,369
3,14128,2.65581,inf,2,14128,64
3,14760,2.76042,inf,2,14760,508
3,15285,2.86449,inf,2,15285,146
3,15821,2.96946,inf,2,15821,515
3,16476,3.07398,inf,2,16476,282
3,16882,3.17934,inf,2,16882,579
3,17568,3.28423,inf,2,17568,341
3,17935,3.38963,inf,2,17935,607
3,18673,3.49486,inf,2,18673,406
3,19004,3.60065,inf,2,19004,637
3,19767,3.70629,inf,2,19767,477
3,20348,3.81176,inf,2,20348,177
3,20854,3.91847,inf,2,20854,530
3,21544,4.02432,inf,2,21544,297
3,21947,4.13105,inf,2,21947,588
3,22658,4.23705,inf,2,22658,417
3,22993,4.34394,inf,2,22993,656
3,23786,4.45058,inf,2,23786,424
3,24464,4.55752,inf,2,24464,274
3,24867,4.66472,inf,2,24867,590
3,25477,4.77194,inf,2,25477,281
3,25887,4.8796,inf,2,25887,569
3,26541,4.98708,inf,2,26541,347
3,27296,5.09498,2.59843,2,27296,471
3,27872,5.20274,2.59843,2,27872,158
3,28442,5.31121,2.59843,2,28442,516
3,29166,5.41943,2.59843,2,29166,377
3,29524,5.52844,2.59843,2,29524,638
