trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,2.8102e-05,inf,2,1,3
0,2879,0.100027,7.17679,2,2879,503
0,5774,0.200759,4.23268,2,5774,591
0,8647,0.301839,3.54073,2,8647,74
0,11177,0.40353,3.54073,2,11177,887
0,13616,0.505795,3.11559,2,13616,790
0,16433,0.608771,3.11559,2,16433,269
0,19253,0.712995,3.11559,2,19253,492
0,22397,0.817136,3.11559,2,22397,846
0,25083,0.921914,3.11559,2,25083,700
0,27808,1.02735,3.11559,2,27808,308
0,30816,1.13331,3.11559,2,30816,358
0,33534,1.23982,3.11559,2,33534,196
0,36364,1.34704,3.11559,2,36364,172
0,39266,1.45481,3.11559,2,39266,399
0,41942,1.56306,3.11559,2,41942,300
0,45006,1.67197,3.11559,2,45006,811
0,48125,1.78149,3.11559,2,48125,170
0,51237,1.89171,3.11559,2,51237,833
0,54187,2.00251,3.11559,2,54187,176
0,57396,2.11396,3.11559,2,57396,384
0,60497,2.22607,3.11559,2,60497,444
0,63711,2.33879,3.11559,2,63711,511
0,67031,2.45211,3.11559,2,67031,246
0,70396,2.56643,3.11559,2,70396,497
0,73716,2.68197,3.11559,2,73716,681
0,77014,2.7979,3.11559,2,77014,596
0,79997,2.91382,3.11559,2,79997,709
0,83419,3.03033,3.11559,2,83419,243
0,86501,3.14756,3.11559,2,86501,18
0,89724,3.2654,3.11559,2,89724,392
0,93158,3.38385,3.11559,2,93158,433
0,96358,3.50317,3.11559,2,96358,259
0,99599,3.62356,3.11559,2,99599,3
0,102830,3.74409,3.11559,2,102830,65
0,106362,3.86536,3.11559,2,106362,756
0,109660,3.98719,3.11559,2,109660,14
0,113006,4.10982,3.11559,2,113006,649
0,116386,4.23301,3.11559,2,116386,336
0,119896,4.35693,3.11559,2,119896,79
0,123343,4.48187,3.11559,2,123343,3
0,126976,4.60724,3.11559,2,126976,207
0,130422,4.73435,3.11559,2,130422,3
0,134006,4.86113,3.11559,2,134006,394
0,137641,4.98863,3.11559,2,137641,288
0,141445,5.11685,3.11559,2,141445,117
0,145154,5.24576,3.11559,2,145154,141
0,148535,5.37545,3.11559,2,148535,287
0,151923,5.50588,3.11559,2,151923,14
0,155755,5.63708,3.11559,2,155755,82
0,159523,5.76953,3.11559,2,159523,395
0,163239,5.90214,3.11559,2,163239,470
0,167058,6.03547,3.11559,2,167058,199
0,170740,6.16956,3.11559,2,170740,422
0,174201,6.30429,3.11559,2,174201,158
0,178171,6.43976,3.11559,2,178171,668
0,181863,6.57601,3.11559,2,181863,606
0,185339,6.71295,3.11559,2,185339,747
0,188527,6.85065,3.11559,2,188527,291
0,191397,6.98916,3.11559,2,191397,723
0,194433,7.12882,3.11559,2,194433,500
0,197974,7.27077,3.11559,2,197974,2
0,201911,7.41093,3.11559,2,201911,3
0,205759,7.55255,3.11559,2,205759,960
0,209641,7.69548,3.11559,2,209641,496
0,213227,7.83865,3.11559,2,213227,716
0,216754,7.98246,3.11559,2,216754,13
0,220440,8.12831,3.09011,2,220440,790
0,223578,8.27372,3.09011,2,223578,196
0,227592,8.42096,3.09011,2,227592,590
0,231854,8.568,2.84628,2,231854,688
0,235958,8.71598,2.84628,2,235958,102
0,240095,8.8647,2.84628,2,240095,634
0,244156,9.01414,2.84628,2,244156,311
0,247851,9.16547,2.84628,2,247851,884
0,251744,9.31658,2.84628,2,251744,569
0,255878,9.4688,2.84628,2,255878,396
0,259975,9.62166,2.84628,2,259975,547
0,264166,9.77538,2.84628,2,264166,659
0,268298,9.93029,2.84628,2,268298,791
1,1,2.2712e-05,inf,2,1,3
1,2731,0.100029,3.75635,2,2731,55
1,5441,0.200623,3.75635,2,5441,132
1,8245,0.30176,3.75635,2,8245,544
1,10817,0.403472,3.75635,2,10817,646
1,12667,0.507218,3.75635,2,12667,589
1,15074,0.610301,3.75635,2,15074,633
1,17654,0.714077,3.75635,2,17654,604
1,20504,0.818363,3.75635,2,20504,776
1,23484,0.92334,3.75635,2,23484,194
1,26422,1.02891,3.75635,2,26422,5
1,29420,1.13508,3.75635,2,29420,88
1,32419,1.24184,3.4394,2,32419,224
1,35357,1.34916,3.4394,2,35357,344
1,38672,1.45706,3.4394,2,38672,238
1,41884,1.56598,3.4394,2,41884,199
1,44943,1.67521,3.4394,2,44943,259
1,48171,1.78496,3.4394,2,48171,799
1,51331,1.89533,3.4394,2,51331,766
1,54621,2.00636,3.4394,2,54621,601
1,58045,2.11801,2.86599,2,58045,381
1,60700,2.23048,2.8538,2,60700,3
1,63863,2.34341,2.8538,2,63863,881
1,67083,2.45694,2.8538,2,67083,657
1,70213,2.5717,2.8538,2,70213,880
1,73471,2.68648,2.8538,2,73471,127
1,76790,2.80201,2.8538,2,76790,555
1,79653,2.91821,2.8538,2,79653,747
1,83037,3.03498,2.8538,2,83037,215
1,86242,3.15243,2.8538,2,86242,86
1,89318,3.27052,2.8538,2,89318,551
1,92673,3.38923,2.8538,2,92673,182
1,95900,3.50861,2.8538,2,95900,334
1,99222,3.62863,2.8538,2,99222,700
1,102677,3.7497,2.8538,2,102677,301
1,106023,3.87107,2.8538,2,106023,359
1,109676,3.99322,2.8538,2,109676,696
1,113166,4.11606,2.8538,2,113166,786
1,116746,4.23966,2.8538,2,116746,877
1,120484,4.36387,2.8538,2,120484,879
1,123809,4.48935,2.8538,2,123809,591
1,127354,4.61493,2.8538,2,127354,133
1,130863,4.74124,2.8538,2,130863,312
1,134282,4.86819,2.8538,2,134282,557
1,137740,4.99586,2.8538,2,137740,861
1,141326,5.12429,2.67909,2,141326,338
1,144932,5.2534,2.67909,2,144932,49
1,148686,5.38328,2.67909,2,148686,316
1,152513,5.51393,2.54121,2,152513,425
1,156224,5.64531,2.54121,2,156224,589
1,159875,5.77904,2.54121,2,159875,2
1,163605,5.91082,2.54121,2,163605,357
1,167317,6.04434,2.54121,2,167317,385
1,170900,6.17889,2.54121,2,170900,392
1,174678,6.31393,2.54121,2,174678,377
1,178384,6.44975,2.54121,2,178384,198
1,182144,6.58631,2.54121,2,182144,380
1,186082,6.72359,2.54121,2,186082,296
1,190024,6.86159,2.54121,2,190024,382
1,193654,7.00033,2.54121,2,193654,237
1,197680,7.141,2.54121,2,197680,689
1,201456,7.28002,2.54121,2,201456,862
1,205439,7.42106,2.54121,2,205439,798
1,209390,7.56283,2.54121,2,209390,442
1,213428,7.70562,2.54121,2,213428,296
1,217154,7.84894,2.54121,2,217154,548
1,221082,7.99354,2.54121,2,221082,300
1,224927,8.13832,2.54121,2,224927,63
1,228844,8.28391,2.54121,2,228844,822
1,232645,8.43019,2.54121,2,232645,49
1,236827,8.57731,2.54121,2,236827,445
1,240861,8.72534,2.54121,2,240861,3
1,245311,8.87409,2.54121,2,245311,428
1,249709,9.02366,2.54121,2,249709,549
1,253879,9.17408,2.54121,2,253879,884
1,258184,9.32529,2.54121,2,258184,408
