trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,3.0796e-05,inf,2,1,3
0,3362,0.100048,2.11487,2,3362,42
0,5993,0.20061,2.11319,2,5993,763
0,7854,0.301614,2.11103,2,7854,496
0,9801,0.403197,2.11055,2,9801,657
0,11258,0.505015,2.11043,2,11258,198
0,12893,0.607227,2.11043,2,12893,1100
0,14405,0.709719,2.11043,2,14405,675
0,15855,0.812582,2.11042,2,15855,580
0,17483,0.915784,2.11042,2,17483,911
0,18428,1.0192,2.11042,2,18428,53
0,19787,1.12304,2.11042,2,19787,716
0,21199,1.22712,2.11042,2,21199,777
0,22413,1.33144,2.11042,2,22413,510
0,23286,1.43629,2.11042,2,23286,676
0,24736,1.54131,2.11042,2,24736,951
0,25449,1.64652,2.11042,2,25449,951
0,26544,1.75204,2.11042,2,26544,600
0,27260,1.85763,2.11042,2,27260,110
0,28396,1.96368,2.11042,2,28396,816
0,28962,2.0699,2.11042,2,28962,816
0,30022,2.17651,2.11042,2,30022,646
0,30495,2.28324,2.11042,2,30495,646
0,31805,2.39034,2.11042,2,31805,970
0,32342,2.4978,2.11042,2,32342,970
0,33648,2.60551,2.11042,2,33648,952
0,34127,2.71344,2.11042,2,34127,952
0,34879,2.82149,2.11042,2,34879,297
0,35936,2.93,2.11042,2,35936,1003
0,36393,3.03847,2.11042,2,36393,1003
0,37489,3.14727,2.11042,2,37489,743
0,37934,3.2561,2.11042,2,37934,743
0,38650,3.36513,2.11042,2,38650,296
0,39492,3.47472,2.11042,2,39492,781
0,39920,3.58411,2.11042,2,39920,781
0,40545,3.69381,2.11042,2,40545,222
0,40957,3.80376,2.11042,2,40957,222
0,41367,3.91364,2.11042,2,41367,222
0,42332,4.02389,2.11042,2,42332,632
0,42716,4.13405,2.11042,2,42716,632
0,43494,4.24457,2.11042,2,43494,412
0,43879,4.35542,2.11042,2,43879,412
0,44256,4.46618,2.11042,2,44256,412
0,45250,4.57725,2.11042,2,45250,740
0,45565,4.68841,2.11042,2,45565,740
0,45895,4.80002,2.11042,2,45895,740
0,46193,4.91217,2.11042,2,46193,3
0,47219,5.02456,2.11042,2,47219,810
0,47523,5.13709,2.11042,2,47523,810
0,47823,5.24945,2.11042,2,47823,810
0,48888,5.36172,2.11042,2,48888,860
0,50156,5.47542,2.11042,2,50156,2075
0,50447,5.58917,2.11042,2,50447,2075
0,50726,5.7035,2.11042,2,50726,2075
0,51038,5.81807,2.11042,2,51038,2075
0,52143,5.93322,2.11042,2,52143,915
0,52435,6.04932,2.11042,2,52435,915
0,52709,6.16556,2.11042,2,52709,915
0,53016,6.28172,2.11042,2,53016,915
0,53818,6.39831,2.11042,2,53818,510
0,54159,6.5151,2.11042,2,54159,510
0,54502,6.63227,2.11042,2,54502,510
0,55573,6.74964,2.11042,2,55573,799
0,55905,6.86738,2.11042,2,55905,799
0,56239,6.98502,2.11042,2,56239,799
0,57223,7.10297,2.11042,2,57223,704
