trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,9.8163e-05,inf,9.239e-06,3.7341e-05,5.0044e-05,1,1,1,3,1.3859e-05
0,685,0.100542,inf,0.00119027,0.0147128,0.0836067,1,1231,685,261,0.00248947
0,1002,0.200746,inf,0.00176347,0.0223868,0.175099,1,1858,1002,380,0.00386685
0,1267,0.301567,inf,0.0022462,0.0282843,0.269153,1,2377,1267,466,0.00480268
0,1474,0.402465,inf,0.00262269,0.0356368,0.362016,1,2905,1474,553,0.00567113
0,1661,0.503079,inf,0.0029576,0.0409157,0.456758,1,3370,1661,628,0.00639637
0,1841,0.604617,inf,0.00328134,0.0457818,0.552844,1,3773,1841,697,0.00711315
0,1986,0.705897,2.20583,0.00354312,0.0514371,0.647998,1,4273,1986,774,0.00792502
0,2114,0.807442,2.19819,0.00376214,0.0565447,0.744035,1,4714,2114,843,0.00861753
0,2242,0.909926,2.16771,0.00397579,0.0614247,0.841235,1,4982,2242,907,0.00968115
0,2349,1.01092,2.16771,0.00415018,0.0654339,0.937907,1,5168,2349,966,0.0101823
0,2453,1.11298,2.16771,0.00431071,0.0694902,1.0356,1,5390,2453,1021,0.0109226
0,2552,1.21576,2.16768,0.00446315,0.0762441,1.13134,1,5549,2552,1075,0.0118299
0,2648,1.31785,2.16768,0.00461098,0.0799027,1.22949,1,5721,2648,1129,0.0123308
0,2739,1.42014,2.16768,0.00475264,0.0831709,1.32825,1,5872,2739,1176,0.0127958
0,2831,1.52252,2.16768,0.00488736,0.0861108,1.42745,1,6000,2831,1220,0.0131576
0,2920,1.6243,2.16612,0.00502401,0.0895642,1.52552,1,6121,2920,1265,0.013891
0,3005,1.72854,2.16612,0.00515644,0.0934287,1.62565,1,6308,3005,1316,0.0145812
0,3086,1.83178,2.16579,0.00527308,0.0967974,1.7253,1,6431,3086,1360,0.0152483
0,3164,1.93612,2.16579,0.0053928,0.100115,1.8261,1,6566,3164,1405,0.0157976
0,3247,2.03926,2.16577,0.00551098,0.103397,1.92575,1,6669,3247,1438,0.0170637
0,3327,2.14356,2.16528,0.00563608,0.106226,2.027,1,6752,3327,1472,0.0178332
0,3403,2.24733,2.16528,0.00574041,0.108702,2.1281,1,6844,3403,1504,0.0183433
0,3472,2.35174,2.15938,0.00583665,0.112211,2.22881,1,6954,3472,1541,0.0195779
0,3541,2.45656,2.15938,0.00593866,0.114869,2.33078,1,7081,3541,1576,0.0199532
0,3609,2.56061,2.1535,0.00604182,0.119504,2.43,1,7219,3609,1617,0.0218171
0,3679,2.66491,2.1535,0.00614306,0.122036,2.53158,1,7334,3679,1650,0.0221655
0,3749,2.77075,2.15246,0.00624122,0.125166,2.63412,1,7401,3749,1680,0.0233973
0,3814,2.8758,2.15246,0.00633168,0.127782,2.73638,1,7546,3814,1713,0.0237599
0,3881,2.98087,2.15246,0.00642061,0.130015,2.83905,1,7656,3881,1741,0.0241195
0,3946,3.08744,2.15246,0.006518,0.13248,2.94299,1,7738,3946,1773,0.0245418
0,4013,3.1942,2.15246,0.00662425,0.135039,3.047,1,7843,4013,1807,0.0248944
0,4073,3.30019,2.15246,0.00671125,0.137635,3.15023,1,7933,4073,1841,0.0253078
0,4135,3.40685,2.14425,0.00680094,0.140693,3.25367,1,8036,4135,1869,0.0264981
0,4199,3.51273,2.14425,0.00690372,0.143395,3.35667,1,8140,4199,1898,0.0272418
0,4258,3.61958,2.14425,0.00699611,0.146047,3.4607,1,8304,4258,1929,0.0277299
0,4318,3.72465,2.14425,0.00708695,0.148678,3.56297,1,8396,4318,1961,0.0281903
0,4377,3.83169,2.14425,0.00718627,0.151218,3.6673,1,8613,4377,1992,0.0284687
0,4434,3.93881,2.14425,0.00728098,0.153862,3.77159,1,8717,4434,2027,0.0288186
0,4487,4.04671,2.14425,0.00736066,0.161825,3.87138,1,8850,4487,2057,0.0292178
0,4550,4.15677,2.14425,0.00745998,0.164046,3.97904,1,8956,4550,2086,0.0294999
0,4604,4.26696,2.14308,0.00754775,0.168313,4.08481,1,9084,4604,2119,0.0315229
0,4661,4.37393,2.14308,0.00763205,0.170186,4.18975,1,9136,4661,2143,0.0318589
0,4717,4.48103,2.14308,0.00772482,0.17265,4.29423,1,9297,4717,2173,0.0321746
0,4769,4.5913,2.14308,0.00780104,0.175675,4.40132,1,9491,4769,2208,0.0327366
0,4824,4.69987,2.14308,0.00788688,0.177938,4.50748,1,9622,4824,2236,0.0330885
0,4878,4.81063,2.14308,0.00797503,0.180866,4.61515,1,9810,4878,2264,0.0339338
0,4933,4.91881,2.14308,0.00806472,0.183487,4.72055,1,10011,4933,2294,0.0343253
0,4988,5.02809,2.14308,0.00815404,0.185705,4.82745,1,10125,4988,2322,0.0346236
0,5039,5.13845,2.14308,0.00823757,0.188086,4.93529,1,10228,5039,2351,0.0350071
0,5089,5.24848,2.14308,0.00832342,0.190685,5.04256,1,10328,5089,2383,0.0354532
0,5140,5.35813,2.14308,0.00840425,0.192956,5.1498,1,10467,5140,2410,0.0357927
0,5192,5.46799,2.14308,0.00849126,0.195485,5.25698,1,10586,5192,2437,0.0363478
0,5244,5.57899,2.14308,0.00858711,0.197921,5.36537,1,10696,5244,2467,0.0367713
0,5293,5.68859,2.14308,0.00867103,0.20032,5.47243,1,10789,5293,2496,0.0372159
0,5341,5.80029,2.14308,0.00875264,0.203429,5.58086,1,10909,5341,2524,0.0383765
0,5389,5.90989,2.14308,0.00883733,0.205579,5.68816,1,10975,5389,2553,0.0386452
0,5436,6.02162,2.14308,0.00892395,0.208445,5.79687,1,11071,5436,2585,0.0392916
0,5483,6.1319,2.14308,0.00900093,0.210451,5.90501,1,11152,5483,2610,0.0395244
0,5530,6.24457,2.14308,0.00907331,0.212822,6.01517,1,11257,5530,2637,0.0399425
0,5582,6.35291,2.14308,0.00916801,0.214479,6.1217,1,11317,5582,2657,0.0402474
0,5630,6.4659,2.14308,0.00925038,0.21666,6.23236,1,11396,5630,2682,0.0406793
0,5672,6.57876,2.14308,0.0093243,0.219109,6.34262,1,11477,5672,2711,0.0411205
0,5721,6.69149,2.14308,0.00940782,0.221802,6.45251,1,11556,5721,2735,0.0421009
0,5767,6.80414,2.14308,0.00949059,0.224697,6.56212,1,11652,5767,2759,0.0432981
0,5812,6.91728,2.14013,0.00957221,0.229547,6.67026,1,11730,5812,2786,0.0462599
0,5858,7.03157,2.14013,0.00965497,0.23175,6.78221,1,11809,5858,2811,0.0467257
0,5900,7.14377,2.14013,0.00973389,0.234736,6.89128,1,11908,5900,2840,0.0476804
0,5945,7.25759,2.14013,0.0098078,0.236331,7.00337,1,11947,5945,2860,0.047884
0,5991,7.36846,2.14013,0.00989249,0.238245,7.11219,1,12008,5991,2882,0.0482024
0,6034,7.48355,2.14013,0.00996794,0.240337,7.22505,1,12073,6034,2907,0.0485465
0,6078,7.59887,2.14013,0.010043,0.243114,7.33746,1,12143,6078,2930,0.0496579
0,6119,7.71408,2.14013,0.0101081,0.24529,7.45037,1,12209,6119,2955,0.0500582
0,6161,7.82969,2.14013,0.0101816,0.247783,7.56335,1,12292,6161,2982,0.0506222
0,6206,7.94258,2.14013,0.0102605,0.249408,7.67448,1,12339,6206,3002,0.0508551
0,6249,8.05674,2.14013,0.0103352,0.251213,7.7867,1,12400,6249,3024,0.051148
0,6291,8.17127,2.14013,0.0104052,0.253764,7.89854,1,12471,6291,3048,0.0518898
0,6334,8.28736,2.14013,0.010483,0.255758,8.0125,1,12532,6334,3072,0.0522297
0,6376,8.40374,2.14013,0.0105627,0.257862,8.12664,1,12588,6376,3098,0.0525516
0,6418,8.51899,2.14013,0.0106466,0.259954,8.23965,1,12643,6418,3122,0.0529831
0,6461,8.63449,2.13949,0.0107294,0.266117,8.34884,1,12705,6461,3145,0.0575174
0,6501,8.75028,2.13756,0.0107902,0.272329,8.4583,1,12749,6501,3164,0.0624082
0,6538,8.86442,2.13736,0.0108529,0.282097,8.56256,1,12818,6538,3184,0.0707116
0,6578,8.98323,2.13665,0.0109207,0.286458,8.67689,1,12884,6578,3207,0.0734621
0,6618,9.09956,2.13665,0.0109977,0.288666,8.79088,1,12941,6618,3231,0.0740183
0,6658,9.21585,2.13665,0.0110693,0.29053,8.90518,1,12996,6658,3253,0.0743494
0,6697,9.33304,2.13665,0.0111336,0.292217,9.02056,1,13047,6697,3274,0.0745896
0,6736,9.44864,2.13665,0.0112102,0.294287,9.13396,1,13103,6736,3299,0.0748675
0,6776,9.56565,2.13665,0.0112802,0.2962,9.24893,1,13158,6776,3319,0.0753102
0,6816,9.68461,2.13665,0.0113584,0.299108,9.36484,1,13234,6816,3344,0.0763588
0,6856,9.80149,2.13665,0.0114373,0.300909,9.47978,1,13290,6856,3365,0.0766445
0,6894,9.91943,2.13665,0.011505,0.302496,9.59602,1,13336,6894,3384,0.0768916
1,1,2.5792e-05,inf,4.235e-06,0,2.0402e-05,1,0,1,2,0
1,737,0.100321,inf,0.00124956,0.0142467,0.0837264,1,1253,737,257,0.00239247
1,1066,0.200616,inf,0.0018347,0.0218968,0.175299,1,2014,1066,374,0.0035658
1,1313,0.301631,inf,0.00226853,0.0298099,0.26761,1,2769,1313,482,0.00502669
1,1511,0.402894,inf,0.00261768,0.0381906,0.359856,1,3367,1511,573,0.00660228
