trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,1.6938e-05,inf,5.389e-06,0,1.0009e-05,0,1,0,0,1,2,0
0,743,0.100543,inf,0.0009389,0.0179353,0.0751342,0.00551252,1,169,158,743,298,0.00939283
0,1108,0.200816,inf,0.0014197,0.0285408,0.163963,0.00551252,1,172,161,1108,451,0.0114358
0,1368,0.301991,inf,0.00177307,0.039157,0.253778,0.00551252,1,203,192,1368,575,0.0132978
0,1595,0.402196,inf,0.00208372,0.046918,0.345123,0.00551252,1,283,272,1595,670,0.0153923
0,1796,0.503315,inf,0.00239092,0.0543711,0.43801,0.00551252,1,305,294,1796,749,0.0174822
0,1981,0.604828,inf,0.00266269,0.0609268,0.53239,0.00551252,1,323,312,1981,826,0.0187418
0,2158,0.705878,inf,0.00291061,0.0669043,0.62703,0.00551252,1,362,351,2158,901,0.019805
0,2316,0.807782,inf,0.00315928,0.0728187,0.722398,0.00551252,1,366,355,2316,967,0.0211778
0,2461,0.908794,inf,0.0033891,0.0813993,0.814451,0.00551252,1,386,375,2461,1028,0.0220947
0,2602,1.01051,inf,0.0036578,0.0865781,0.910554,0.00551252,1,397,386,2602,1086,0.0229485
0,2740,1.11354,inf,0.00386221,0.092404,1.00734,0.00551252,1,415,404,2740,1152,0.0241092
0,2874,1.21595,inf,0.00406085,0.0971658,1.10459,0.00551252,1,435,424,2874,1207,0.0249191
0,3001,1.31757,inf,0.00424678,0.101786,1.20121,0.00551252,1,451,440,3001,1261,0.025746
0,3119,1.4204,inf,0.00442848,0.106474,1.29896,0.00551252,1,500,489,3119,1317,0.0265167
0,3230,1.52227,inf,0.00459594,0.111462,1.39555,0.00551252,1,504,493,3230,1373,0.0275191
0,3353,1.62449,inf,0.00478957,0.115069,1.49384,0.00551252,1,526,515,3353,1414,0.028105
0,3466,1.72857,inf,0.00496857,0.119115,1.59349,0.00551252,1,532,521,3466,1460,0.0288518
0,3569,1.89776,inf,0.00514911,0.131147,1.69118,0.0646943,1,569,549,3569,1504,0.0963721
0,3671,2.00053,inf,0.00532427,0.1354,1.78939,0.0646943,1,569,549,3671,1550,0.0970538
0,3773,2.10344,inf,0.00553446,0.139499,1.88787,0.0646943,1,570,550,3773,1593,0.0978237
