trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,5.3124e-05,inf,5.004e-06,3.7341e-05,8.854e-06,0,1,0,0,1,3,1.1549e-05
0,833,0.18577,inf,0.00121298,0.0389552,0.0325701,0.095345,1,91,56,833,341,0.134836
0,1247,0.364135,inf,0.00176963,0.0684083,0.0680072,0.163357,1,127,82,1247,505,0.268151
0,1335,0.522727,inf,0.00189513,0.0898386,0.0786773,0.241611,1,153,98,1335,545,0.409111
0,1390,0.629377,inf,0.00197597,0.122409,0.0855903,0.241611,1,162,107,1390,570,0.507289
0,1896,0.730245,inf,0.00267274,0.151004,0.15681,0.241611,1,172,117,1896,783,0.523329
0,2331,0.830623,inf,0.00335179,0.173739,0.233467,0.241611,1,178,123,2331,967,0.535181
0,2368,4.36909,1.5905,0.00340376,0.202552,0.24163,3.74302,1,386,137,2368,985,4.0597
0,2529,4.58241,1.5884,0.00364088,0.266034,0.272596,3.74326,1,409,155,2529,1050,4.2274
0,2706,4.94692,1.58546,0.00390535,0.318038,0.309301,3.91772,1,442,175,2706,1124,4.55025
0,3038,5.0492,1.58546,0.0043596,0.338593,0.390331,3.91772,1,456,189,3038,1271,4.56268
0,3303,5.35553,1.58546,0.00471799,0.369365,0.445435,4.13754,1,479,203,3303,1362,4.80784
0,3637,5.45799,1.58546,0.00517646,0.3891,0.527485,4.13754,1,501,225,3637,1487,4.82042
0,3863,5.56041,1.5819,0.00548904,0.424354,0.593916,4.13781,1,527,249,3863,1582,4.85037
0,3980,5.68879,1.57642,0.00564571,0.520079,0.626083,4.13807,1,544,263,3980,1627,4.94349
0,3983,6.47219,1.57642,0.00565533,0.626498,0.627642,4.48471,1,561,273,3983,1629,5.72477
0,4019,6.89424,1.57642,0.00571423,0.758117,0.640046,4.48471,1,573,285,4019,1645,6.13313
0,4251,7.10756,1.57642,0.00602797,0.871562,0.706505,4.48471,1,580,292,4251,1731,6.27404
0,4262,7.39272,1.57642,0.00604645,0.950982,0.710395,4.48471,1,588,300,4262,1736,6.55487
0,4317,8.26633,1.57642,0.00613576,1.05652,0.724164,4.97835,1,604,308,4317,1753,7.41297
0,4556,9.16851,1.57642,0.00648183,1.18015,0.803558,5.37377,1,624,324,4556,1850,8.22776
0,4780,9.72705,1.57642,0.00681289,1.31819,0.883832,5.37377,1,639,339,4780,1944,8.69928
0,4785,9.85901,1.57642,0.00682328,1.32496,0.88757,5.37377,1,643,343,4785,1948,8.82715
0,5039,9.96309,1.57642,0.00720631,1.34172,0.974267,5.37377,1,659,359,5039,2043,8.83738
1,1,8.854e-06,inf,7.314e-06,0,0,0,1,0,0,1,2,0
1,950,0.100279,inf,0.00134231,0.0346769,0.0427105,0.0203825,1,67,52,950,397,0.0364993
1,1226,0.204517,inf,0.00172457,0.0896181,0.0687275,0.0203825,1,90,75,1226,513,0.104073
1,1779,0.304918,inf,0.00248793,0.117523,0.13981,0.0203825,1,100,85,1779,745,0.119357
1,2210,0.406164,inf,0.00312234,0.141114,0.216515,0.0203825,1,122,107,2210,937,0.131659
