trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,1.1934e-05,inf,5.389e-06,0,0,0,1,0,0,1,2,0
0,1066,0.100379,inf,0.0015063,0.0122584,0.0227934,7.7375e-05,1,164,161,1066,257,0.00374519
0,1253,0.203535,1.8963,0.00178809,0.0182706,0.0311584,0.0648976,1,371,297,1253,307,0.0719245
0,1549,0.30636,1.57316,0.00219538,0.0357702,0.058818,0.076487,1,624,535,1549,440,0.0958908
0,1816,0.405296,1.56956,0.00255724,0.046396,0.0843361,0.0865831,1,731,625,1816,538,0.111173
0,2030,0.506275,1.56296,0.0028448,0.059432,0.112543,0.0943095,1,866,754,2030,630,0.127945
0,2250,0.607857,1.56055,0.00314428,0.0670591,0.145656,0.0945089,1,932,819,2250,725,0.131585
0,2401,0.719725,1.5596,0.00335831,0.0823063,0.174521,0.114948,1,971,848,2401,799,0.16371
0,2605,0.821014,1.5596,0.00371477,0.0858251,0.202832,0.114948,1,1016,893,2605,865,0.164407
0,2793,0.923033,1.55926,0.0039596,0.0919255,0.233717,0.11516,1,1071,947,2793,935,0.167668
0,2896,1.04107,1.55926,0.00410704,0.0984185,0.250984,0.170205,1,1103,963,2896,971,0.227303
0,3025,1.14427,1.55926,0.00428565,0.114883,0.272798,0.183484,1,1192,1049,3025,1015,0.254773
0,3173,1.24726,1.55926,0.00449314,0.121267,0.30615,0.183484,1,1227,1084,3173,1078,0.255436
0,3276,1.35033,1.55926,0.00463365,0.126272,0.326302,0.217511,1,1261,1109,3276,1116,0.292615
0,3415,1.45354,1.5585,0.00484884,0.1324,0.357192,0.217849,1,1294,1137,3415,1171,0.296407
0,3552,1.55645,1.5585,0.00507365,0.135785,0.390215,0.217849,1,1328,1171,3552,1228,0.296977
0,3678,1.66029,1.5585,0.00527229,0.13935,0.424693,0.217849,1,1382,1225,3678,1285,0.297712
0,3806,1.76336,1.5585,0.00548055,0.142684,0.454686,0.217849,1,1435,1278,3806,1332,0.298614
0,3918,1.87581,1.55555,0.00565071,0.156563,0.482778,0.226677,1,1507,1346,3918,1376,0.31922
0,4035,1.98055,1.55555,0.00583432,0.159784,0.517061,0.226677,1,1546,1385,4035,1427,0.319905
0,4160,2.08387,1.55555,0.00604297,0.162287,0.542542,0.226677,1,1568,1407,4160,1464,0.320678
0,4275,2.18985,1.55538,0.0062289,0.168912,0.572123,0.226972,1,1639,1477,4275,1505,0.325524
0,4354,2.29422,1.55406,0.00636672,0.18516,0.599747,0.236947,1,1681,1516,4354,1542,0.34965
0,4448,2.39917,1.55275,0.00651762,0.191058,0.629597,0.245878,1,1728,1554,4448,1582,0.362287
0,4561,2.5051,1.55275,0.00669893,0.193708,0.658348,0.245878,1,1755,1581,4561,1620,0.36282
0,4667,2.6105,1.55275,0.0068583,0.196481,0.691348,0.245878,1,1765,1591,4667,1662,0.363404
0,4776,2.71527,1.55275,0.00702229,0.199138,0.719925,0.245878,1,1837,1663,4776,1698,0.364128
0,4881,2.82097,1.55275,0.00717857,0.201834,0.751593,0.245878,1,1853,1679,4881,1738,0.364649
0,4939,2.92771,1.55258,0.00726827,0.214874,0.772155,0.278136,1,1912,1731,4939,1763,0.408441
0,5035,3.03289,1.55258,0.00741609,0.217292,0.806675,0.278136,1,1912,1731,5035,1805,0.408762
0,5119,3.13905,1.55258,0.00771404,0.220127,0.838055,0.278136,1,1921,1740,5119,1839,0.409287
0,5200,3.24509,1.55258,0.00784492,0.22824,0.8635,0.289932,1,1961,1777,5200,1868,0.427799
0,5295,3.35239,1.55258,0.00799775,0.230468,0.896241,0.289932,1,1961,1777,5295,1906,0.428135
0,5392,3.4598,1.55258,0.00815019,0.233052,0.926416,0.289932,1,1966,1782,5392,1940,0.428942
0,5475,3.56669,1.55258,0.00828338,0.235734,0.964425,0.289932,1,1984,1800,5475,1983,0.429418
