trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,5.6588e-05,inf,6.929e-06,3.4646e-05,1.3473e-05,0,1,0,0,1,3,1.1933e-05
0,655,0.111216,inf,0.000867292,0.0187287,0.0657864,0.0250758,1,185,146,655,276,0.0303389
0,1025,0.211838,inf,0.00137697,0.0299867,0.153485,0.0250758,1,285,246,1025,432,0.0332314
0,1296,0.312753,inf,0.00175884,0.0409405,0.242564,0.0250758,1,309,270,1296,555,0.0355296
0,1522,0.413286,inf,0.00207797,0.0492012,0.334289,0.0250758,1,329,290,1522,656,0.0373574
0,1670,0.735115,1.64641,0.00230548,0.0591888,0.400998,0.269775,1,469,345,1670,721,0.287145
0,1818,0.852483,1.64641,0.00251797,0.070009,0.467204,0.269775,1,476,352,1818,777,0.334761
0,1833,0.961589,1.64641,0.00254222,0.0728134,0.474756,0.368485,1,519,372,1833,784,0.43561
0,1921,1.22418,1.64641,0.00267465,0.111397,0.516639,0.550379,1,621,428,1921,815,0.653587
0,2014,1.51663,1.60834,0.00281208,0.126487,0.559806,0.741463,1,692,460,2014,844,0.900338
0,2115,1.61872,1.60834,0.0029599,0.140678,0.608446,0.741463,1,697,465,2115,880,0.951388
0,2143,1.76309,1.60475,0.00300763,0.153505,0.62171,0.859615,1,744,491,2143,887,1.08156
0,2197,1.91559,1.60475,0.00328133,0.191172,0.65471,0.859615,1,762,509,2197,908,1.19891
0,2339,2.01777,1.60475,0.00348843,0.209337,0.733482,0.859615,1,774,521,2339,963,1.21865
0,2497,2.12029,1.60475,0.00372634,0.22048,0.824454,0.859615,1,782,529,2497,1019,1.22639
0,2624,2.5578,1.59558,0.00390726,0.251382,0.895589,1.18862,1,874,568,2624,1059,1.58538
0,2791,2.67604,1.59558,0.00414402,0.280696,0.984097,1.18862,1,874,568,2791,1098,1.61221
0,2936,2.77998,1.59558,0.00434612,0.289589,1.07879,1.18862,1,874,568,2936,1156,1.61765
0,3029,2.88348,1.59558,0.00450511,0.320542,1.14627,1.18862,1,882,576,3029,1195,1.65076
0,3150,2.98646,1.59558,0.0046741,0.333,1.23006,1.18862,1,909,603,3150,1243,1.66695
0,3279,3.09029,1.59558,0.00489967,0.341477,1.32506,1.18862,1,945,639,3279,1297,1.67215
0,3376,3.19527,1.59558,0.00504211,0.366059,1.39336,1.18862,1,994,688,3376,1328,1.70641
0,3503,3.29874,1.59558,0.00536547,0.371457,1.49084,1.18862,1,1009,703,3503,1376,1.70882
0,3624,3.40373,1.59558,0.0055437,0.385055,1.58182,1.18862,1,1024,718,3624,1419,1.71981
0,3752,3.51046,1.59558,0.00573733,0.388944,1.68433,1.18862,1,1024,718,3752,1463,1.72092
0,3832,3.6148,1.59558,0.00589015,0.407335,1.74996,1.18862,1,1049,743,3832,1492,1.75722
0,3952,3.72072,1.59558,0.0061188,0.412578,1.85027,1.18862,1,1063,757,3952,1531,1.7599
0,4041,3.82627,1.59558,0.00626624,0.42709,1.93072,1.18862,1,1077,771,4041,1564,1.78265
0,4148,3.93295,1.59558,0.00644794,0.43109,2.0331,1.18862,1,1077,771,4148,1604,1.78384
0,4157,4.88514,1.57087,0.00646603,0.436561,2.04268,2.12568,1,1204,786,4157,1609,2.72436
0,4231,4.99279,1.57087,0.00662617,0.473811,2.11281,2.12568,1,1204,786,4231,1630,2.7597
0,4325,5.0982,1.57087,0.0067813,0.489389,2.20237,2.12568,1,1204,786,4325,1668,2.7727
0,4414,5.22597,1.57087,0.00691527,0.535705,2.28359,2.12568,1,1204,786,4414,1699,2.8169
0,4496,5.3319,1.57087,0.00705271,0.55797,2.36694,2.12568,1,1219,801,4496,1735,2.83678
0,4595,5.44088,1.57087,0.007219,0.568789,2.46482,2.12568,1,1259,841,4595,1768,2.84514
0,4700,5.54797,1.57087,0.00738338,0.572632,2.56777,2.12568,1,1299,881,4700,1807,2.84619
0,4776,5.65714,1.57087,0.00750541,0.596302,2.64364,2.12568,1,1314,896,4776,1834,2.87742
0,4883,5.76626,1.57087,0.00767941,0.599777,2.74901,2.12568,1,1314,896,4883,1867,2.87878
0,4978,5.87479,1.57087,0.00783532,0.60976,2.84729,2.12568,1,1326,908,4978,1900,2.88598
0,5082,5.98284,1.57087,0.00798775,0.612868,2.95196,2.12568,1,1326,908,5082,1935,2.88669
0,5172,6.09265,1.57087,0.00812441,0.632441,3.04142,2.12568,1,1347,929,5172,1962,2.90498
0,5275,6.20301,1.57087,0.00828493,0.636118,3.14783,2.12568,1,1365,947,5275,1992,2.90647
0,5373,6.31274,1.57087,0.0084443,0.639379,3.25402,2.12568,1,1367,949,5373,2026,2.90729
0,5463,6.42366,1.57087,0.00857942,0.650051,3.35404,2.12568,1,1397,979,5463,2059,2.90789
0,5558,6.53233,1.57087,0.00871531,0.653212,3.45921,2.12568,1,1418,1000,5558,2095,2.90877
0,5643,6.64371,1.57087,0.0088408,0.662468,3.56111,2.12568,1,1424,1006,5643,2129,2.91574
0,5736,6.75532,1.57087,0.00899478,0.665419,3.66952,2.12568,1,1424,1006,5736,2158,2.91635
0,5817,6.86492,1.57087,0.009158,0.669246,3.77504,2.12568,1,1424,1006,5817,2194,2.91744
0,5913,6.97463,1.57087,0.0093062,0.672333,3.88133,2.12568,1,1425,1007,5913,2224,2.9183
0,6007,7.08582,1.57087,0.00944132,0.675544,3.98906,2.12568,1,1425,1007,6007,2257,2.91917
0,6016,8.42646,1.56347,0.00945133,0.687015,3.99631,3.44751,1,1582,1026,6016,2258,4.25038
0,6069,8.57798,1.56347,0.00957143,0.765696,4.06893,3.44751,1,1582,1026,6069,2280,4.32694
0,6147,8.69036,1.56347,0.00973735,0.779182,4.16753,3.44751,1,1582,1026,6147,2299,4.33866
0,6231,8.80253,1.56347,0.00993405,0.782044,4.27652,3.44751,1,1582,1026,6231,2325,4.33927
0,6324,8.91513,1.56347,0.010068,0.785028,4.3859,3.44751,1,1582,1026,6324,2352,4.34029
0,6408,9.08995,1.56347,0.0101831,0.822268,4.48234,3.44751,1,1585,1029,6408,2377,4.41664
0,6494,9.20549,1.56347,0.0103075,0.836192,4.58373,3.44751,1,1585,1029,6494,2401,4.42892
0,6570,9.3192,1.56347,0.0104279,0.842232,4.69114,3.44751,1,1586,1030,6570,2433,4.4327
0,6633,9.44523,1.56347,0.0105288,0.872533,4.77779,3.44751,1,1587,1031,6633,2459,4.46996
0,6718,9.56029,1.56347,0.0106693,0.875331,4.88982,3.44751,1,1587,1031,6718,2487,4.47071
0,6798,9.67537,1.56347,0.0108083,0.878061,5.00194,3.44751,1,1587,1031,6798,2515,4.47128
0,6876,9.79046,1.56347,0.0109569,0.881307,5.11348,3.44751,1,1587,1031,6876,2542,4.47215
0,6944,9.90418,1.56347,0.0111005,0.884977,5.22326,3.44751,1,1587,1031,6944,2569,4.47324
1,1,6.1592e-05,inf,2.695e-06,3.6955e-05,1.9247e-05,0,1,1,1,1,3,7.699e-06
1,583,0.100378,inf,0.00086923,0.0187903,0.0799869,0,1,111,111,583,250,0.00352385
1,899,0.200705,inf,0.00135428,0.0322163,0.153754,0.0121175,1,182,170,899,394,0.0195225
1,1208,0.301443,inf,0.00178312,0.0428575,0.242988,0.0121175,1,209,197,1208,516,0.021443
1,1449,0.40215,inf,0.00216885,0.0515509,0.334025,0.0121175,1,262,250,1449,614,0.0234886
1,1512,0.540748,inf,0.00225855,0.056951,0.360366,0.118821,1,338,284,1512,644,0.13333
1,1684,0.642521,inf,0.00264041,0.0647474,0.453702,0.118821,1,346,292,1684,715,0.134843
1,1810,0.743668,inf,0.00291412,0.073293,0.527236,0.137304,1,395,331,1810,766,0.157403
1,1917,0.907309,1.61999,0.003122,0.0896173,0.584494,0.226924,1,449,361,1917,810,0.25949
1,2018,1.00774,1.61999,0.00329023,0.14026,0.630845,0.226924,1,470,382,2018,840,0.311145
1,2181,1.11075,1.61999,0.00351735,0.160158,0.713546,0.226924,1,476,388,2181,903,0.327252
1,2314,1.68736,1.61999,0.00370482,0.173384,0.786801,0.716727,1,642,442,2314,955,0.826058
1,2409,1.79611,1.61999,0.00384263,0.194272,0.836571,0.716727,1,649,449,2409,984,0.883054
1,2516,1.89847,1.61999,0.00400085,0.222144,0.896277,0.716727,1,656,456,2516,1020,0.923244
1,2601,2.26125,1.61022,0.00412827,0.238082,0.948605,0.986374,1,720,461,2601,1052,1.22777
