trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,9.624e-06,inf,8.469e-06,0,0,1,0,1,2,0
0,819,0.100058,inf,0.0013119,0.0533654,0.0446351,1,6193,819,350,0.0193342
0,1323,0.201019,inf,0.00209837,0.0988642,0.0989709,1,10709,1323,542,0.03578
0,1748,0.306427,inf,0.00278283,0.137284,0.164993,1,15004,1748,713,0.0538118
0,2133,0.41938,inf,0.00341106,0.175919,0.238433,1,19059,2133,868,0.072855
0,2537,0.547896,inf,0.00405894,0.216936,0.324994,1,23295,2537,1024,0.0934137
0,2772,0.739906,1.56959,0.00443813,0.355886,0.377507,1,25657,2772,1109,0.199003
0,3178,0.920789,1.56138,0.00508987,0.428756,0.484565,1,29990,3178,1266,0.250243
0,3731,1.15602,1.56138,0.00597217,0.495799,0.651466,1,36160,3731,1480,0.28709
0,4053,1.45555,1.55861,0.00647801,0.689521,0.756527,1,39672,4053,1601,0.462831
0,4811,1.83469,1.55861,0.0076598,0.786074,1.03734,1,48283,4811,1889,0.516099
0,5172,2.31209,1.54488,0.00825917,1.08723,1.21269,1,53071,5172,2049,0.734231
0,5917,2.88516,1.54289,0.00943944,1.30138,1.56987,1,62233,5917,2346,0.901438
0,6495,3.57684,1.54268,0.0103664,1.70685,1.85471,1,68833,6495,2560,1.27298
0,7045,4.41274,1.54078,0.0112491,2.20512,2.19099,1,76132,7045,2791,1.7319
0,7943,5.40943,1.537,0.0126918,2.63629,2.75436,1,87229,7943,3142,2.10333
0,8978,6.58502,1.53597,0.0144237,3.02357,3.54008,1,101208,8978,3571,2.41392
0,10172,7.95771,1.53376,0.0163816,3.45228,4.48113,1,116263,10172,4029,2.7585
0,10912,9.57774,1.53141,0.0175642,4.451,5.10063,1,125551,10912,4307,3.57001
1,1,9.239e-06,inf,8.084e-06,0,0,1,0,1,2,0
1,803,0.100487,inf,0.00126149,0.0532841,0.0453572,1,6248,803,354,0.0193949
1,1244,0.201117,inf,0.00196519,0.0995922,0.0986487,1,10629,1244,538,0.0370106
1,1694,0.306727,inf,0.0026785,0.137755,0.165078,1,14984,1694,712,0.0550283
1,2056,0.419974,inf,0.00326325,0.175175,0.24005,1,19063,2056,871,0.0730264
1,2434,0.566967,inf,0.00387147,0.235178,0.32615,1,23236,2434,1025,0.0914955
1,2854,0.71615,inf,0.00453013,0.278229,0.43131,1,27767,2854,1189,0.112482
1,3258,0.894234,inf,0.00518185,0.325779,0.560882,1,32813,3258,1366,0.135043
1,3718,1.10281,inf,0.0059225,0.378841,0.715305,1,38180,3718,1553,0.161934
1,4230,1.3352,inf,0.00674205,0.435088,0.890237,1,43768,4230,1742,0.190653
1,4752,1.61266,inf,0.00758432,0.501551,1.1,1,49825,4752,1946,0.226519
1,5192,1.94842,inf,0.00830841,0.620484,1.31576,1,55599,5192,2136,0.258947
1,5541,2.3621,1.54822,0.008887,0.855525,1.49355,1,60125,5541,2282,0.470095
1,6085,2.87204,1.54583,0.00973427,1.0927,1.76504,1,66520,6085,2489,0.674873
1,6825,3.70813,1.53872,0.0109238,1.51799,2.17404,1,75497,6825,2773,1.05457
1,7805,4.50975,1.53872,0.0125875,1.67653,2.81462,1,87679,7805,3157,1.14235
1,8454,5.49541,1.53375,0.0136265,2.22474,3.25051,1,95573,8454,3401,1.64818
1,9491,6.68336,1.53373,0.0153211,2.58553,4.07511,1,109490,9491,3824,1.93489
1,10545,8.08872,1.53305,0.0171007,3.03591,5.02741,1,123970,10545,4263,2.17092
1,11537,9.75703,1.5285,0.0186613,3.76844,5.9608,1,137375,11537,4659,2.83054
2,1,9.623e-06,inf,8.084e-06,0,0,1,0,1,2,0
2,862,0.100045,inf,0.00136274,0.053191,0.0448891,1,6215,862,353,0.0191767
2,1332,0.200444,inf,0.00210453,0.0981267,0.09929,1,10733,1332,542,0.035238
2,1663,0.308125,1.58536,0.00263153,0.154169,0.15017,1,14108,1663,676,0.075475
2,2013,0.449106,1.56391,0.00318471,0.229216,0.215279,1,17809,2013,820,0.132567
2,2366,0.598647,1.55583,0.00410013,0.304181,0.288672,1,21459,2366,959,0.189516
2,2823,0.781666,1.55583,0.00481076,0.3793,0.395522,1,26308,2823,1135,0.220069
2,3261,1.00968,1.54336,0.00548904,0.493496,0.50834,1,30855,3261,1296,0.311374
2,3739,1.33698,1.54213,0.00624894,0.669135,0.658851,1,36245,3739,1486,0.45955
