trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,2.6947e-05,inf,2,1,3
0,980,0.100447,inf,2,980,392
0,1969,0.200737,inf,2,1969,396
0,2897,0.301092,inf,2,2897,387
0,3891,0.401714,inf,2,3891,350
0,4856,0.502373,inf,2,4856,365
0,5898,0.603128,inf,2,5898,334
0,6938,0.704192,inf,2,6938,352
0,7905,0.805531,inf,2,7905,391
0,8903,0.906816,inf,2,8903,350
0,9898,1.00834,inf,2,9898,367
0,10881,1.10991,inf,2,10881,358
0,11881,1.21173,inf,2,11881,349
0,12848,1.31383,inf,2,12848,365
0,13798,1.41592,inf,2,13798,350
0,14756,1.51824,inf,2,14756,303
0,15737,1.62073,inf,2,15737,300
0,16694,1.72346,inf,2,16694,275
0,17743,1.82628,inf,2,17743,281
0,18807,1.92919,inf,2,18807,293
0,19808,2.03239,inf,2,19808,338
0,20772,2.13583,inf,2,20772,314
0,21780,2.23927,inf,2,21780,309
0,22770,2.34295,inf,2,22770,316
0,23758,2.44673,inf,2,23758,321
0,24738,2.55065,inf,2,24738,286
0,25738,2.65487,inf,2,25738,287
0,26815,2.75926,inf,2,26815,301
0,27864,2.86384,inf,2,27864,316
0,28859,2.96856,inf,2,28859,366
0,29847,3.07345,inf,2,29847,346
0,30854,3.17841,inf,2,30854,351
0,31829,3.28352,inf,2,31829,346
0,32826,3.38889,inf,2,32826,303
0,33819,3.49455,inf,2,33819,339
0,34818,3.60011,inf,2,34818,302
0,35838,3.70609,inf,2,35838,343
0,36845,3.81205,inf,2,36845,339
0,37837,3.91823,inf,2,37837,350
0,38862,4.02475,inf,2,38862,323
0,39891,4.13133,inf,2,39891,351
0,40930,4.23808,inf,2,40930,358
0,41939,4.34491,inf,2,41939,370
0,42973,4.45202,inf,2,42973,369
0,44001,4.55923,inf,2,44001,391
0,45046,4.6664,inf,2,45046,3
0,46254,4.77398,inf,2,46254,83
0,47416,4.88178,inf,2,47416,143
0,48558,4.98989,inf,2,48558,210
0,49626,5.09802,inf,2,49626,238
0,50662,5.20642,inf,2,50662,256
0,51608,5.31495,inf,2,51608,232
0,52675,5.42384,inf,2,52675,241
0,53767,5.5328,inf,2,53767,285
0,54816,5.64203,inf,2,54816,316
0,55844,5.75141,inf,2,55844,324
0,56883,5.86103,inf,2,56883,338
0,57891,5.97102,inf,2,57891,356
0,58940,6.08095,inf,2,58940,350
0,59973,6.19096,inf,2,59973,371
0,61022,6.30126,inf,2,61022,384
0,62055,6.41161,inf,2,62055,410
0,63273,6.52204,inf,2,63273,102
0,64289,6.63276,inf,2,64289,95
0,65318,6.74363,inf,2,65318,109
0,66488,6.85468,inf,2,66488,179
0,67637,6.96604,inf,2,67637,224
0,68740,7.07746,inf,2,68740,278
0,69828,7.189,inf,2,69828,306
0,70869,7.30087,inf,2,70869,342
0,71892,7.41277,inf,2,71892,338
0,72969,7.52487,inf,2,72969,340
0,74058,7.63724,inf,2,74058,379
0,75070,7.74965,inf,2,75070,429
0,76223,7.8621,inf,2,76223,58
0,77315,7.97504,inf,2,77315,107
0,78378,8.08801,inf,2,78378,121
0,79571,8.20121,inf,2,79571,197
0,80681,8.31464,inf,2,80681,233
0,81740,8.42819,inf,2,81740,282
0,82770,8.54202,inf,2,82770,284
0,83852,8.65607,inf,2,83852,301
0,84966,8.77018,inf,2,84966,336
