trial,plan iters,plan time,best cost,numComponents,numIters,numMilestones
0,1,3.0411e-05,inf,2,1,3
0,3404,0.100124,inf,2,3404,391
0,6858,0.200767,inf,2,6858,816
0,10393,0.302041,inf,2,10393,371
0,13849,0.403993,inf,2,13849,787
0,17294,0.506531,inf,2,17294,275
0,20821,0.610154,inf,2,20821,781
0,24416,0.713962,inf,2,24416,375
0,27828,0.819583,inf,2,27828,775
0,31554,0.92481,inf,2,31554,494
0,35136,1.03084,inf,2,35136,98
0,38884,1.13738,inf,2,38884,811
0,42564,1.24461,inf,2,42564,507
0,46236,1.3525,inf,2,46236,186
0,50064,1.46106,inf,2,50064,16
0,53765,1.57033,inf,2,53765,684
0,57531,1.68025,inf,2,57531,455
0,61282,1.79084,inf,2,61282,215
0,65134,1.90215,inf,2,65134,70
0,68878,2.01417,inf,2,68878,758
0,72773,2.12694,inf,2,72773,676
0,76645,2.24031,inf,2,76645,545
0,80549,2.35442,inf,2,80549,445
0,84336,2.4693,inf,2,84336,242
0,88089,2.58513,inf,2,88089,3
0,92104,2.70139,inf,2,92104,14
0,96048,2.81835,inf,2,96048,905
0,100000,2.93643,inf,2,100000,867
0,104065,3.05484,inf,2,104065,913
0,108167,3.17402,inf,2,108167,61
0,112444,3.29397,inf,2,112444,323
0,116417,3.41509,inf,2,116417,300
0,120462,3.53655,inf,2,120462,337
0,124731,3.65871,inf,2,124731,579
0,128906,3.78161,inf,2,128906,754
0,133199,3.90527,inf,2,133199,67
0,137466,4.02967,inf,2,137466,325
0,141738,4.15483,inf,2,141738,563
0,145905,4.28078,inf,2,145905,720
0,150151,4.40829,inf,2,150151,3
0,154638,4.53578,inf,2,154638,470
0,158991,4.66404,inf,2,158991,800
0,163366,4.79308,inf,2,163366,197
0,167785,4.92294,inf,2,167785,600
0,172072,5.05427,inf,2,172072,860
0,176602,5.18565,inf,2,176602,415
0,181085,5.31789,inf,2,181085,870
0,185749,5.45096,inf,2,185749,546
0,190368,5.58491,inf,2,190368,171
0,195095,5.71996,inf,2,195095,859
0,199929,5.8555,inf,2,199929,702
0,204751,5.9919,inf,2,204751,518
0,209491,6.12918,inf,2,209491,271
0,214264,6.26726,inf,2,214264,50
0,219028,6.40618,inf,2,219028,787
0,223886,6.54595,inf,2,223886,649
0,228584,6.68661,inf,2,228584,341
0,233377,6.82813,inf,2,233377,141
0,238462,6.97056,inf,2,238462,217
0,243333,7.11382,inf,2,243333,90
0,248249,7.25883,inf,2,248249,3
0,253253,7.40489,inf,2,253253,2
0,258258,7.55118,inf,2,258258,2
0,263271,7.697,inf,2,263271,10
0,268425,7.8446,inf,2,268425,154
0,273632,7.99307,inf,2,273632,346
0,278814,8.14248,inf,2,278814,520
0,284074,8.29279,inf,2,284074,756
0,289123,8.44402,inf,2,289123,810
0,294284,8.59613,inf,2,294284,952
0,299506,8.74912,inf,2,299506,203
0,304705,8.90342,inf,2,304705,389
0,310021,9.05828,inf,2,310021,684
0,315381,9.21408,inf,2,315381,67
0,320921,9.37126,inf,2,320921,577
0,326422,9.52899,inf,2,326422,97
0,332061,9.6877,inf,2,332061,683
0,337638,9.84764,inf,2,337638,291
1,1,1.7323e-05,inf,2,1,3
1,3504,0.10008,inf,2,3504,486
1,6907,0.200744,inf,2,6907,856
1,10282,0.301997,inf,2,10282,267
1,13814,0.40425,inf,2,13814,759
1,17609,0.506787,inf,2,17609,570
1,21021,0.611861,inf,2,21021,2
1,24611,0.714629,inf,2,24611,569
1,28119,0.819081,inf,2,28119,89
1,31837,0.924191,inf,2,31837,767
1,35699,1.02996,inf,2,35699,650
1,39280,1.13642,inf,2,39280,238
1,42843,1.24358,inf,2,42843,762
1,46660,1.35138,inf,2,46660,592
1,50510,1.45986,inf,2,50510,447
1,54377,1.56904,inf,2,54377,310
1,58059,1.67968,inf,2,58059,3
1,61962,1.79127,inf,2,61962,872
1,65766,1.9031,inf,2,65766,674
1,69596,2.01499,inf,2,69596,511
1,73474,2.12772,inf,2,73474,389
1,77356,2.24103,inf,2,77356,268
1,81239,2.35506,inf,2,81239,156
1,85144,2.46977,inf,2,85144,60
1,89123,2.58518,inf,2,89123,36
1,93194,2.70148,inf,2,93194,99
1,97098,2.8188,inf,2,97098,3
1,101102,2.93714,inf,2,101102,3
1,105212,3.05533,inf,2,105212,107
1,109222,3.17422,inf,2,109222,112
1,113039,3.29385,inf,2,113039,882
1,117118,3.41425,inf,2,117118,3
1,121330,3.53537,inf,2,121330,208
1,125677,3.65722,inf,2,125677,532
1,129930,3.78053,inf,2,129930,779
1,134158,3.90397,inf,2,134158,25
1,138497,4.02815,inf,2,138497,345
1,142796,4.15306,inf,2,142796,632
1,147147,4.27988,inf,2,147147,2
1,151469,4.40544,inf,2,151469,310
1,155856,4.53319,inf,2,155856,674
1,160211,4.66124,inf,2,160211,51
1,164794,4.79007,inf,2,164794,615
1,169276,4.91968,inf,2,169276,105
1,173874,5.05062,inf,2,173874,677
1,178423,5.18184,inf,2,178423,240
1,183058,5.31385,inf,2,183058,832
1,187778,5.44669,inf,2,187778,575
1,192442,5.58036,inf,2,192442,246
1,196997,5.71518,inf,2,196997,768
1,201808,5.85047,inf,2,201808,573
1,206588,5.98662,inf,2,206588,363
1,211217,6.12362,inf,2,211217,8
1,216186,6.26145,inf,2,216186,932
1,221066,6.40014,inf,2,221066,802
1,225939,6.53969,inf,2,225939,684
1,230748,6.68008,inf,2,230748,500
1,235492,6.82137,inf,2,235492,248
1,240452,6.9635,inf,2,240452,206
1,245420,7.10649,inf,2,245420,173
1,250439,7.25039,inf,2,250439,187
1,255356,7.39522,inf,2,255356,103
1,260601,7.54087,inf,2,260601,333
1,265674,7.68741,inf,2,265674,399
1,270879,7.83481,inf,2,270879,588
