trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,4.6194e-05,inf,1.1934e-05,6.545e-06,2.4637e-05,1,1,1,2,0
0,901,0.100116,inf,0.00158368,0.00859903,0.0890392,1,385,901,197,0.00158291
0,1356,0.200466,inf,0.00239053,0.0138448,0.182892,1,582,1356,285,0.00232433
0,1718,0.301158,inf,0.0030338,0.0183094,0.278105,1,807,1718,362,0.00307767
0,2033,0.401743,inf,0.0036632,0.0224103,0.373606,1,985,2033,431,0.00375133
0,2323,0.502836,inf,0.00418865,0.0253898,0.470887,1,1135,2323,481,0.00421481
0,2564,0.603345,inf,0.00462094,0.029734,0.566356,1,1271,2564,530,0.00469946
0,2793,0.704417,inf,0.00503169,0.032886,0.66364,1,1416,2793,582,0.00515409
0,3004,0.805955,inf,0.00541317,0.0356407,0.761833,1,1513,3004,626,0.0056041
0,3205,0.907721,inf,0.0057731,0.0381279,0.860547,1,1640,3205,663,0.00600368
0,3405,1.00931,inf,0.00613149,0.0404911,0.959208,1,1818,3405,699,0.00631742
0,3587,1.11162,inf,0.00645563,0.043006,1.05849,1,1956,3587,737,0.00673009
0,3757,1.21336,inf,0.00677013,0.0456025,1.15714,1,2051,3757,778,0.00715047
0,3927,1.31517,inf,0.00708233,0.0479322,1.25612,1,2198,3927,809,0.00758123
0,4095,1.41738,inf,0.00739067,0.0505406,1.35525,1,2342,4095,845,0.00807204
0,4248,1.52023,inf,0.00766784,0.053072,1.45513,1,2461,4248,879,0.00858596
0,4397,1.62219,inf,0.00793576,0.0552312,1.5545,1,2547,4397,912,0.00888006
0,4546,1.72579,inf,0.00820909,0.0576518,1.65525,1,2648,4546,946,0.00931005
0,4688,1.82799,inf,0.00846663,0.060492,1.75422,1,2752,4688,980,0.010078
0,4828,1.93148,inf,0.0087284,0.0625426,1.85525,1,2827,4828,1010,0.0103675
0,4962,2.03443,inf,0.00897593,0.0670069,1.95336,1,2897,4962,1035,0.0106555
0,5095,2.13773,inf,0.00921691,0.0690702,2.05423,1,2974,5095,1062,0.011127
0,5230,2.24116,inf,0.0094602,0.0709307,2.15542,1,3060,5230,1088,0.0114304
0,5366,2.34435,inf,0.00970426,0.0726437,2.25652,1,3116,5366,1113,0.0116925
0,5493,2.44741,inf,0.00993446,0.0744634,2.3574,1,3191,5493,1138,0.0120097
0,5614,2.55157,inf,0.0101547,0.0765436,2.45912,1,3259,5614,1169,0.0122734
0,5734,2.65417,inf,0.010376,0.0783444,2.55958,1,3339,5734,1194,0.0125467
0,5849,2.75804,inf,0.0105927,0.0798735,2.6616,1,3387,5849,1214,0.0128985
0,5971,2.86275,inf,0.0108168,0.0810911,2.76475,1,3426,5971,1232,0.0130664
0,6088,2.96677,inf,0.0110354,0.0824107,2.86711,1,3481,6088,1250,0.0132731
0,6201,3.07079,inf,0.0112483,0.0841965,2.96902,1,3552,6201,1274,0.0135645
0,6316,3.17455,inf,0.0114612,0.0858683,3.07078,1,3658,6316,1296,0.0137936
0,6418,3.27855,inf,0.0116517,0.0885464,3.1718,1,3809,6418,1328,0.0144183
0,6533,3.3831,inf,0.0118646,0.0900558,3.27452,1,3910,6533,1346,0.0146859
0,6637,3.48804,inf,0.0120559,0.0923047,3.37691,1,4085,6637,1374,0.0150273
0,6748,3.59234,inf,0.0122572,0.0940805,3.47913,1,4179,6748,1398,0.0152902
0,6845,3.69706,1.55538,0.0124416,0.0964525,3.58118,1,4323,6845,1427,0.0156124
0,6921,3.80438,1.55538,0.0125694,0.0994906,3.68524,1,4622,6921,1463,0.0160544
0,7005,3.91011,1.55538,0.012703,0.101345,3.78889,1,4753,7005,1488,0.0162707
0,7084,4.01641,1.55538,0.0128366,0.10364,3.89267,1,4891,7084,1519,0.0165898
0,7168,4.1222,1.55538,0.0129652,0.105324,3.99655,1,4971,7168,1543,0.0167942
0,7253,4.22688,1.55538,0.0131049,0.107008,4.09932,1,5052,7253,1566,0.0170252
0,7334,4.33453,1.55538,0.0132262,0.108194,4.20558,1,5095,7334,1583,0.0171688
0,7419,4.44009,1.55151,0.0133582,0.110548,4.30856,1,5172,7419,1602,0.018232
0,7495,4.54653,1.55151,0.0134764,0.112328,4.41302,1,5220,7495,1626,0.0185177
0,7572,4.65195,1.55151,0.0135822,0.113714,4.51686,1,5269,7572,1644,0.0187171
0,7656,4.75916,1.55151,0.0136973,0.11503,4.62256,1,5329,7656,1661,0.0189026
0,7737,4.86498,1.55151,0.0138171,0.116212,4.72698,1,5360,7737,1677,0.0190862
0,7817,4.97338,1.54975,0.0139329,0.119086,4.83231,1,5430,7817,1694,0.0207812
0,7895,5.08068,1.54975,0.0140403,0.120539,4.93797,1,5476,7895,1714,0.0209613
0,7978,5.18881,1.54356,0.0141504,0.122141,5.0443,1,5534,7978,1729,0.0215295
0,8051,5.29548,1.54164,0.0142401,0.123564,5.14939,1,5587,8051,1743,0.0220026
0,8124,5.40334,1.54094,0.0143437,0.125175,5.25545,1,5653,8124,1761,0.0224118
0,8204,5.51206,1.54094,0.0144623,0.126756,5.36239,1,5701,8204,1782,0.022652
0,8280,5.61845,1.54094,0.0145604,0.127413,5.46794,1,5718,8280,1791,0.0227352
0,8353,5.72751,1.54053,0.014652,0.129106,5.57514,1,5776,8353,1807,0.0233095
0,8430,5.83547,1.54053,0.0147668,0.130536,5.68147,1,5827,8430,1825,0.0235367
0,8505,5.94534,1.54053,0.014883,0.131457,5.79023,1,5861,8505,1837,0.0236402
0,8577,6.05425,1.54053,0.0149773,0.132681,5.89774,1,5906,8577,1852,0.0238396
0,8648,6.1621,1.54053,0.0150693,0.133804,6.0043,1,5956,8648,1866,0.0240028
0,8722,6.2716,1.54053,0.0151683,0.134878,6.11254,1,6007,8722,1880,0.0241418
0,8795,6.38176,1.54053,0.0152807,0.136267,6.22112,1,6060,8795,1898,0.0243412
0,8864,6.49069,1.54053,0.0153638,0.137452,6.32871,1,6101,8864,1914,0.0244871
0,8943,6.60162,1.54053,0.0154793,0.138753,6.43813,1,6144,8943,1931,0.0246565
0,9013,6.71123,1.54053,0.0155825,0.140255,6.54605,1,6209,9013,1950,0.0248732
0,9083,6.82081,1.54053,0.0156737,0.141509,6.65422,1,6245,9083,1967,0.025033
0,9155,6.92966,1.54053,0.0157849,0.142671,6.76171,1,6278,9155,1981,0.0252012
0,9222,7.04195,1.54053,0.0158935,0.144304,6.87217,1,6331,9222,1998,0.0255665
0,9288,7.15227,1.54053,0.0159963,0.145551,6.98107,1,6373,9288,2013,0.0257313
0,9353,7.26339,1.54049,0.0160879,0.147613,7.08996,1,6442,9353,2028,0.0266301
0,9415,7.37385,1.54049,0.0161887,0.155468,7.19239,1,6521,9415,2053,0.0270555
0,9481,7.48851,1.54049,0.0162911,0.156891,7.30545,1,6563,9481,2071,0.027231
0,9550,7.60031,1.54049,0.0163889,0.158372,7.41559,1,6610,9550,2087,0.0275444
0,9617,7.71138,1.54049,0.0164648,0.15943,7.52546,1,6642,9617,2099,0.0277157
0,9683,7.82458,1.54049,0.0165425,0.160842,7.6371,1,6686,9683,2116,0.0279224
0,9745,7.93504,1.54049,0.0166299,0.162488,7.74576,1,6741,9745,2134,0.0282892
0,9810,8.04828,1.53726,0.0167104,0.164885,7.85646,1,6797,9810,2148,0.0296142
0,9872,8.16028,1.53697,0.0167981,0.167443,7.96574,1,6865,9872,2170,0.0306305
0,9943,8.27431,1.53697,0.0168924,0.168642,8.0784,1,6911,9943,2184,0.0308495
0,10014,8.38717,1.53697,0.0169852,0.169383,8.19036,1,6944,10014,2193,0.0309331
0,10077,8.50192,1.53697,0.0170645,0.170334,8.30402,1,6964,10077,2204,0.0310674
0,10142,8.61507,1.53697,0.0171511,0.171189,8.41617,1,6994,10142,2214,0.031226
0,10207,8.73172,1.53697,0.0172474,0.172083,8.53176,1,7020,10207,2224,0.0313962
0,10273,8.84444,1.53697,0.0173297,0.173241,8.64317,1,7054,10273,2237,0.031599
0,10332,8.9589,1.53611,0.0174067,0.174498,8.75623,1,7092,10332,2250,0.0318693
0,10391,9.07549,1.53611,0.0174907,0.175959,8.8712,1,7135,10391,2267,0.0320629
0,10456,9.19133,1.53611,0.0175815,0.177107,8.98574,1,7178,10456,2279,0.032275
0,10515,9.30507,1.53424,0.0176658,0.181426,9.09501,1,7220,10515,2293,0.0353923
0,10583,9.42067,1.53248,0.0177536,0.183396,9.20846,1,7265,10583,2307,0.0363151
0,10643,9.53711,1.53248,0.0178498,0.185064,9.32306,1,7319,10643,2322,0.0367062
0,10703,9.65096,1.53248,0.017943,0.186703,9.4351,1,7363,10703,2340,0.036988
0,10769,9.76894,1.53248,0.0180369,0.187993,9.55163,1,7395,10769,2355,0.0371978
0,10828,9.88517,1.53248,0.0181227,0.189063,9.66663,1,7421,10828,2368,0.0373186
0,10895,10.0022,1.53248,0.0182244,0.190659,9.78195,1,7469,10895,2384,0.0377067
1,1,2.0788e-05,inf,3.465e-06,0,1.6168e-05,1,0,1,2,0
1,915,0.100318,inf,0.00156137,0.00978852,0.0880336,1,484,915,212,0.00191937
1,1356,0.200753,inf,0.00236591,0.0152752,0.181713,1,762,1356,292,0.00277588
1,1724,0.301262,inf,0.00301494,0.0197426,0.276733,1,1049,1724,363,0.00356811
1,2038,0.402333,inf,0.00357234,0.0243012,0.372367,1,1262,2038,434,0.00438882
1,2309,0.504123,inf,0.00404467,0.0280006,0.469704,1,1430,2309,494,0.00496663
1,2550,0.605272,inf,0.00447428,0.0324833,0.565687,1,1558,2550,543,0.00553519
1,2793,0.706577,inf,0.00490735,0.0348423,0.663899,1,1684,2793,580,0.00588588
1,3008,0.80778,inf,0.00529462,0.0379881,0.761329,1,1872,3008,626,0.00638709
1,3205,0.90873,inf,0.00597828,0.0415739,0.857809,1,2026,3205,671,0.00685018
1,3399,1.01047,inf,0.00632706,0.0443521,0.956213,1,2172,3399,712,0.0072771
1,3584,1.11331,inf,0.00666852,0.0471892,1.05569,1,2310,3584,752,0.00771018
1,3764,1.21513,inf,0.00699688,0.0499077,1.15427,1,2462,3764,788,0.00818059
1,3938,1.31754,inf,0.00731562,0.0525011,1.25357,1,2575,3938,823,0.00867449
1,4105,1.42105,inf,0.00762858,0.0554857,1.35361,1,2685,4105,856,0.00955987
1,4271,1.52269,inf,0.00792693,0.0578327,1.45242,1,2770,4271,886,0.0100311
1,4418,1.62585,inf,0.00819871,0.0603746,1.55261,1,2888,4418,921,0.0104299
1,4564,1.72865,inf,0.00846547,0.0629191,1.65244,1,2991,4564,956,0.010888
1,4704,1.83142,inf,0.00871877,0.0656599,1.75205,1,3086,4704,989,0.0115897
1,4852,1.93455,inf,0.00899747,0.0678287,1.85258,1,3185,4852,1018,0.0119185
1,4994,2.03835,inf,0.00928888,0.0723227,1.95144,1,3269,4994,1043,0.0121814
1,5130,2.1407,inf,0.00954564,0.0748221,2.0509,1,3376,5130,1069,0.0129659
1,5264,2.24508,inf,0.00978855,0.0769274,2.15279,1,3451,5264,1098,0.0132673
1,5393,2.34775,inf,0.0100272,0.0789677,2.25303,1,3539,5393,1126,0.0136022
1,5511,2.45232,inf,0.0102505,0.0813305,2.35489,1,3625,5511,1155,0.0141031
1,5641,2.55622,inf,0.0104876,0.0831698,2.45658,1,3688,5641,1180,0.0144734
1,5763,2.66005,inf,0.0107182,0.0849032,2.55832,1,3741,5763,1198,0.0150085
1,5883,2.76391,inf,0.0109391,0.0865266,2.66021,1,3803,5883,1221,0.0152521
1,6001,2.86905,inf,0.0111566,0.0881495,2.76339,1,3882,6001,1242,0.0154981
1,6114,2.97311,inf,0.0113761,0.090072,2.86518,1,3963,6114,1267,0.0157888
1,6232,3.07771,inf,0.0115993,0.0917176,2.96778,1,4021,6232,1289,0.0160394
1,6343,3.18221,inf,0.0123177,0.0931308,3.07003,1,4092,6343,1306,0.0162576
1,6459,3.28755,inf,0.0125448,0.0952295,3.1729,1,4193,6459,1329,0.0166645
1,6569,3.39261,inf,0.01275,0.0972228,3.27565,1,4259,6569,1355,0.0169775
1,6677,3.49765,inf,0.0129482,0.0992373,3.37836,1,4326,6677,1382,0.0172866
1,6784,3.60472,inf,0.013148,0.100863,3.48348,1,4385,6784,1402,0.0176392
1,6889,3.70961,inf,0.0133466,0.102635,3.58629,1,4481,6889,1424,0.0179264
1,6992,3.81478,inf,0.013541,0.104489,3.68929,1,4547,6992,1446,0.0183256
1,7094,3.92058,inf,0.0137412,0.106271,3.793,1,4619,7094,1469,0.0185858
1,7200,4.02599,inf,0.0139371,0.107961,3.8964,1,4681,7200,1488,0.0190039
1,7296,4.1335,inf,0.0141212,0.110047,4.00154,1,4750,7296,1514,0.019355
1,7386,4.24057,inf,0.0142967,0.112498,4.10586,1,4849,7386,1538,0.020136
1,7484,4.34577,inf,0.0144791,0.114012,4.20926,1,4895,7484,1558,0.0203451
1,7577,4.45426,inf,0.0146535,0.115613,4.31587,1,4960,7577,1579,0.0205498
1,7671,4.56056,inf,0.0148295,0.117414,4.4201,1,5027,7671,1601,0.0209671
1,7769,4.66767,inf,0.0150146,0.118905,4.52542,1,5074,7769,1621,0.0211688
1,7863,4.7752,inf,0.0151863,0.120557,4.63102,1,5142,7863,1642,0.0214429
1,7955,4.88139,inf,0.0153561,0.122053,4.73544,1,5189,7955,1662,0.0216354
1,8044,4.98861,inf,0.0155247,0.123541,4.8409,1,5251,8044,1677,0.0220966
1,8132,5.09636,inf,0.0156956,0.124968,4.94695,1,5300,8132,1694,0.022346
1,8216,5.20424,inf,0.015858,0.126884,5.05259,1,5361,8216,1716,0.022674
1,8302,5.31229,inf,0.0160324,0.129036,5.15821,1,5425,8302,1737,0.0233049
1,8386,5.42003,inf,0.0161976,0.130549,5.26417,1,5495,8386,1755,0.0235132
1,8470,5.52755,inf,0.0163627,0.132303,5.36968,1,5648,8470,1774,0.0237222
1,8557,5.63625,1.55346,0.0165302,0.13394,5.47649,1,5757,8557,1793,0.0239494
1,8625,5.74492,1.55317,0.0166553,0.136345,5.58255,1,6004,8625,1817,0.0244421
1,8698,5.85428,1.55317,0.01678,0.138393,5.68964,1,6178,8698,1839,0.0247924
1,8764,5.96311,1.55317,0.0168866,0.14011,5.79658,1,6272,8764,1861,0.0249841
1,8840,6.07316,1.55317,0.0170121,0.141839,5.90469,1,6339,8840,1881,0.0253459
1,8916,6.18467,1.55302,0.0171353,0.143731,6.0141,1,6401,8916,1901,0.0258321
1,8990,6.29651,1.55302,0.0172623,0.145373,6.12407,1,6445,8990,1922,0.0260593
1,9062,6.40674,1.55302,0.0173767,0.147118,6.23236,1,6490,9062,1944,0.0263765
1,9138,6.51734,1.55302,0.017491,0.148259,6.34163,1,6530,9138,1958,0.0265574
1,9206,6.62613,1.55302,0.0175857,0.149379,6.44912,1,6564,9206,1972,0.0267202
1,9275,6.73877,1.55302,0.0176997,0.151144,6.55981,1,6622,9275,1994,0.0270216
1,9342,6.84921,1.55302,0.0177947,0.15215,6.66906,1,6649,9342,2007,0.0271556
1,9408,6.95869,1.55302,0.0178937,0.153476,6.77706,1,6695,9408,2023,0.0273365
1,9475,7.07101,1.55302,0.0179903,0.155165,6.8875,1,6744,9475,2039,0.0278412
1,9536,7.18144,1.55302,0.0180838,0.162794,6.99013,1,6802,9536,2054,0.0283813
1,9607,7.29394,1.55276,0.018192,0.164194,7.10105,1,6861,9607,2071,0.0285499
1,9668,7.40592,1.55276,0.0182763,0.165918,7.21115,1,6910,9668,2091,0.0288378
1,9736,7.51769,1.55258,0.0183718,0.167725,7.32094,1,6954,9736,2106,0.0295511
1,9809,7.63116,1.55258,0.0184873,0.169003,7.43294,1,6997,9809,2120,0.0297933
1,9875,7.7437,1.54824,0.018585,0.170559,7.54375,1,7043,9875,2137,0.0300554
1,9940,7.85435,1.54824,0.0186794,0.171877,7.65291,1,7089,9940,2153,0.0302668
1,10008,7.96762,1.5481,0.0187679,0.172932,7.76497,1,7125,10008,2165,0.0304381
1,10072,8.07992,1.5481,0.0188568,0.173929,7.87612,1,7157,10072,2176,0.0306448
1,10134,8.19407,1.5481,0.0189415,0.17522,7.98883,1,7193,10134,2193,0.0308238
1,10195,8.30695,1.54451,0.0190324,0.176654,8.1001,1,7246,10195,2204,0.0312041
1,10263,8.42013,1.54451,0.019134,0.177941,8.21182,1,7284,10263,2219,0.0314047
1,10327,8.53365,1.54451,0.0192302,0.179444,8.32367,1,7322,10327,2238,0.0315852
1,10389,8.65023,1.54451,0.0193322,0.180843,8.43867,1,7362,10389,2253,0.0318193
1,10453,8.76421,1.54451,0.0194169,0.181771,8.55157,1,7391,10453,2264,0.0319425
1,10511,8.87991,1.54451,0.0195228,0.183299,8.66557,1,7447,10511,2280,0.0322431
1,10572,8.99521,1.5445,0.0196032,0.185189,8.77884,1,7485,10572,2293,0.0331978
1,10633,9.10995,1.54393,0.0196895,0.186506,8.89211,1,7540,10633,2308,0.0334091
1,10694,9.22494,1.54393,0.0197734,0.187781,9.00568,1,7574,10694,2321,0.0337514
1,10759,9.3406,1.54393,0.01987,0.188969,9.11999,1,7607,10759,2335,0.0339354
