trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,2.0787e-05,inf,6.93e-06,0,1.2703e-05,1,0,1,2,0
0,643,0.100445,inf,0.00104938,0.0229103,0.075656,1,470,643,274,0.00626815
0,972,0.200701,inf,0.00159717,0.0348761,0.163038,1,696,972,405,0.00936625
0,1250,0.301847,inf,0.00206104,0.0439498,0.254341,1,901,1250,500,0.0116097
0,1475,0.401918,inf,0.00245253,0.0543339,0.343385,1,1040,1475,582,0.0137208
0,1660,0.502582,inf,0.00276973,0.0629314,0.43491,1,1173,1660,668,0.0157191
0,1828,0.603553,inf,0.00307578,0.0707289,0.527576,1,1285,1828,741,0.0175357
0,1980,0.704452,inf,0.0033899,0.0784002,0.620273,1,1371,1980,805,0.0194127
0,2133,0.805528,inf,0.00365705,0.0846287,0.714677,1,1492,2133,866,0.0207408
0,2282,0.907622,inf,0.00391766,0.0904965,0.810468,1,1565,2282,921,0.0221986
0,2402,1.00986,inf,0.0041313,0.0973498,0.905481,1,1677,2402,986,0.0237942
0,2521,1.11185,inf,0.00434648,0.107853,0.996593,1,1774,2521,1035,0.0249483
0,2641,1.21941,1.63713,0.00455706,0.121107,1.09055,1,1869,2641,1082,0.0341959
0,2768,1.32226,1.63713,0.00476686,0.126197,1.18794,1,1957,2768,1132,0.0358416
0,2886,1.42371,1.63713,0.00497242,0.131109,1.28414,1,2034,2886,1177,0.0373999
0,2999,1.52766,1.63713,0.00518145,0.136607,1.38225,1,2115,2999,1222,0.0393069
0,3097,1.62884,1.63713,0.00535622,0.148964,1.47077,1,2234,3097,1263,0.0482636
0,3197,1.73224,1.6368,0.00552829,0.160546,1.56227,1,2349,3197,1301,0.0568353
0,3293,1.83614,1.6368,0.0056996,0.167717,1.65871,1,2445,3293,1345,0.0604796
0,3406,1.93917,1.6368,0.00588591,0.171382,1.75774,1,2498,3406,1380,0.0615721
0,3513,2.04241,1.6368,0.00607184,0.175158,1.85689,1,2548,3513,1412,0.0627917
0,3604,2.14658,1.6368,0.00623699,0.185227,1.9507,1,2646,3604,1451,0.0698274
0,3703,2.25145,1.6368,0.00645719,0.189421,2.05103,1,2712,3703,1488,0.0712225
0,3800,2.36019,1.6368,0.00662734,0.199714,2.14918,1,2772,3800,1523,0.0787871
0,3896,2.46538,1.6368,0.00679942,0.203664,2.25013,1,2845,3896,1557,0.0800756
0,3995,2.57121,1.6368,0.00697226,0.207,2.35234,1,2930,3995,1587,0.0810437
0,4081,2.70193,1.62343,0.00712161,0.243408,2.4464,1,2985,4081,1619,0.114897
0,4168,2.80644,1.62162,0.00728099,0.249579,2.54448,1,3043,4168,1650,0.118718
0,4258,2.91313,1.62162,0.00744652,0.253304,2.64715,1,3086,4258,1680,0.120042
0,4346,3.01799,1.62162,0.0076055,0.256555,2.7485,1,3139,4346,1710,0.120911
0,4429,3.12313,1.62162,0.00776141,0.259654,2.85029,1,3175,4429,1737,0.121826
0,4515,3.22844,1.62162,0.00791693,0.263436,2.95154,1,3225,4515,1768,0.122926
0,4578,3.33477,1.62162,0.0080328,0.29158,3.02953,1,3275,4578,1791,0.149081
0,4672,3.44114,1.62162,0.00820064,0.294356,3.13284,1,3310,4672,1814,0.150057
0,4737,3.5501,1.62162,0.00833075,0.316871,3.21907,1,3366,4737,1839,0.170205
0,4807,3.66016,1.62162,0.00847319,0.322958,3.3228,1,3437,4807,1875,0.17324
0,4884,3.76544,1.62162,0.00861023,0.327173,3.42363,1,3486,4884,1905,0.17505
0,4965,3.87249,1.62162,0.00875574,0.33476,3.52284,1,3525,4965,1931,0.18057
0,5042,3.98048,1.62162,0.00889125,0.338334,3.62701,1,3576,5042,1963,0.181625
0,5097,4.1082,1.61124,0.00900481,0.382871,3.71001,1,3647,5097,1989,0.223857
0,5165,4.21553,1.60513,0.00913917,0.391856,3.80813,1,3704,5165,2017,0.230474
0,5236,4.32288,1.60513,0.00927621,0.395814,3.91129,1,3745,5236,2047,0.231834
0,5312,4.43215,1.60513,0.00939593,0.4091,4.00705,1,3781,5312,2072,0.232728
0,5385,4.5432,1.60513,0.00953104,0.412367,4.11462,1,3842,5385,2099,0.233821
0,5460,4.65232,1.60513,0.00966192,0.416586,4.21928,1,3903,5460,2127,0.235553
0,5529,4.76096,1.60513,0.00977818,0.420622,4.32368,1,3961,5529,2157,0.237102
0,5603,4.8707,1.60513,0.00990752,0.42376,4.43007,1,4013,5603,2183,0.238152
0,5674,4.98092,1.60513,0.0100411,0.428552,4.53527,1,4058,5674,2207,0.240843
0,5729,5.08902,1.60513,0.01014,0.452724,4.61904,1,4095,5729,2228,0.26332
0,5799,5.19921,1.60513,0.0102659,0.455777,4.72596,1,4131,5799,2256,0.264201
0,5868,5.3107,1.60513,0.010401,0.459003,4.834,1,4173,5868,2282,0.265255
0,5936,5.42183,1.60513,0.0105304,0.462739,4.94118,1,4209,5936,2307,0.266876
0,6005,5.53316,1.60513,0.0106516,0.466129,5.0489,1,4282,6005,2334,0.267897
0,6070,5.6434,1.60513,0.0107733,0.470463,5.15453,1,4365,6070,2361,0.269674
0,6138,5.75372,1.60513,0.0109099,0.473975,5.26112,1,4394,6138,2382,0.271113
0,6208,5.86384,1.60513,0.0110385,0.476767,5.36822,1,4428,6208,2403,0.271996
0,6277,5.97738,1.60513,0.0111675,0.479704,5.47861,1,4464,6277,2425,0.272779
0,6343,6.08781,1.60513,0.0112995,0.494868,5.57366,1,4513,6343,2441,0.286532
0,6400,6.19913,1.60513,0.0114084,0.498481,5.68118,1,4563,6400,2470,0.287674
0,6464,6.31068,1.60513,0.011532,0.502259,5.78875,1,4599,6464,2492,0.289467
0,6525,6.42257,1.60513,0.0116502,0.505346,5.89735,1,4651,6525,2518,0.290385
0,6584,6.53584,1.60513,0.011788,0.508714,6.00704,1,4692,6584,2545,0.291476
0,6649,6.65105,1.60513,0.0119166,0.512087,6.11866,1,4729,6649,2567,0.292994
0,6709,6.76233,1.60513,0.0120324,0.515441,6.22638,1,4759,6709,2590,0.294372
0,6777,6.87624,1.60513,0.0121587,0.518016,6.3375,1,4786,6777,2611,0.295143
0,6830,6.9878,1.60513,0.0122607,0.546603,6.42031,1,4808,6830,2625,0.322476
0,6898,7.10136,1.60513,0.012387,0.549489,6.53075,1,4839,6898,2646,0.323461
0,6956,7.21682,1.60513,0.0125102,0.552971,6.64253,1,4875,6956,2669,0.32482
0,7013,7.33056,1.60513,0.0126176,0.564177,6.74488,1,4909,7013,2690,0.334052
0,7080,7.44611,1.60513,0.0127435,0.566736,6.85765,1,4939,7080,2710,0.334803
0,7120,7.5617,1.60513,0.0128151,0.615524,6.92432,1,4968,7120,2723,0.382354
0,7183,7.67636,1.60513,0.0129402,0.618371,7.03593,1,5014,7183,2743,0.383313
0,7243,7.79161,1.60513,0.0130522,0.621256,7.1481,1,5050,7243,2767,0.384104
0,7304,7.90619,1.60513,0.0131696,0.623951,7.2598,1,5077,7304,2786,0.385208
0,7365,8.02307,1.60513,0.0132866,0.628764,7.37166,1,5114,7365,2806,0.388152
0,7423,8.13955,1.60513,0.0134121,0.631743,7.48494,1,5151,7423,2827,0.388983
0,7482,8.25579,1.60513,0.0135307,0.635507,7.59721,1,5186,7482,2850,0.39047
0,7544,8.36895,1.60513,0.0136777,0.638608,7.70702,1,5215,7544,2866,0.391627
0,7599,8.48479,1.60513,0.0138051,0.641805,7.81945,1,5250,7599,2887,0.392497
0,7651,8.60058,1.60513,0.0139568,0.64985,7.92695,1,5278,7651,2902,0.393211
0,7707,8.71933,1.60513,0.0141978,0.652897,8.04228,1,5301,7707,2920,0.394129
0,7759,8.83337,1.60513,0.0143622,0.666994,8.14194,1,5329,7759,2937,0.406122
0,7811,8.95176,1.60513,0.0145373,0.670942,8.25611,1,5359,7811,2959,0.407449
0,7869,9.06868,1.60513,0.0146967,0.674508,8.36921,1,5396,7869,2976,0.409066
0,7929,9.18799,1.60513,0.0148487,0.677551,8.48522,1,5427,7929,2995,0.410084
0,7980,9.31163,1.60513,0.0149939,0.683158,8.60302,1,5461,7980,3017,0.413314
0,8023,9.42792,1.59754,0.0151194,0.711752,8.69051,1,5490,8023,3030,0.44036
0,8074,9.54806,1.59754,0.0152764,0.716512,8.80563,1,5530,8074,3053,0.442462
0,8124,9.66574,1.59754,0.0154785,0.719925,8.91957,1,5569,8124,3071,0.443529
0,8177,9.78578,1.59754,0.015631,0.722862,9.03641,1,5594,8177,3088,0.4444
0,8222,9.90652,1.59754,0.0157734,0.726797,9.15299,1,5646,8222,3110,0.445737
1,1,3.349e-05,inf,4.234e-06,0,2.6947e-05,1,0,1,2,0
1,665,0.100607,inf,0.00110983,0.0223664,0.0763523,1,433,665,269,0.00602371
1,978,0.201092,inf,0.00169843,0.0354074,0.1628,1,634,978,395,0.00949444
1,1250,0.30202,inf,0.00220156,0.0456879,0.252621,1,768,1250,491,0.0120085
1,1452,0.403694,inf,0.00255765,0.0574262,0.341864,1,902,1452,583,0.0142409
1,1640,0.505097,inf,0.00288562,0.0656053,0.434527,1,1009,1640,663,0.0162122
1,1829,0.606267,inf,0.00320744,0.0721745,0.528584,1,1093,1829,728,0.0177451
1,1997,0.707289,inf,0.00349539,0.0789092,0.622383,1,1174,1997,793,0.0193442
1,2149,0.809397,inf,0.00376061,0.0855962,0.717359,1,1259,2149,859,0.020849
1,2288,0.911265,inf,0.00400351,0.0921904,0.812224,1,1354,2288,923,0.0225659
1,2417,1.01378,inf,0.00422871,0.0985005,0.908039,1,1433,2417,984,0.0239101
1,2540,1.11463,inf,0.00444389,0.10845,0.998572,1,1499,2540,1033,0.0250557
1,2660,1.21708,inf,0.00465407,0.114389,1.09474,1,1563,2660,1086,0.0263341
1,2781,1.31909,inf,0.00486425,0.11939,1.1914,1,1639,2781,1133,0.027472
1,2896,1.42065,inf,0.00506905,0.124356,1.28766,1,1745,2896,1178,0.0286019
1,3002,1.5232,inf,0.00526691,0.129636,1.38459,1,1854,3002,1223,0.0298025
1,3099,1.62552,inf,0.00545399,0.135299,1.48089,1,1944,3099,1269,0.0309632
1,3204,1.72967,inf,0.00564493,0.140606,1.57942,1,2002,3204,1310,0.0325057
1,3296,1.83147,inf,0.00580777,0.145997,1.67555,1,2065,3296,1356,0.0338133
1,3384,1.93592,inf,0.00597483,0.151443,1.77427,1,2154,3384,1404,0.0349974
1,3484,2.03795,inf,0.00616077,0.155488,1.87197,1,2220,3484,1437,0.0360511
1,3582,2.14201,inf,0.00634477,0.159339,1.97188,1,2261,3582,1471,0.036881
1,3675,2.24447,inf,0.00652647,0.163183,2.0702,1,2330,3675,1503,0.0378249
1,3762,2.34734,inf,0.00670163,0.167856,2.16809,1,2419,3762,1537,0.0392238
1,3852,2.45155,inf,0.00687602,0.171839,2.26804,1,2457,3852,1570,0.0401161
1,3937,2.55581,inf,0.00703307,0.176098,2.36779,1,2518,3937,1606,0.0410112
1,4020,2.66121,inf,0.0071832,0.180473,2.46854,1,2587,4020,1643,0.041997
1,4099,2.76556,inf,0.00732563,0.184952,2.56817,1,2649,4099,1679,0.0431218
1,4176,2.86945,inf,0.00746999,0.189109,2.66766,1,2696,4176,1713,0.0439556
1,4248,2.97295,inf,0.00760741,0.193765,2.76627,1,2747,4248,1749,0.0450474
1,4325,3.0793,inf,0.00775677,0.19795,2.86819,1,2792,4325,1783,0.0459828
1,4407,3.18254,inf,0.00791267,0.201141,2.96798,1,2849,4407,1809,0.0466784
1,4482,3.28875,inf,0.0080524,0.205206,3.0699,1,2952,4482,1842,0.0476273
1,4558,3.39336,inf,0.0081933,0.208577,3.17091,1,2994,4558,1872,0.0483129
1,4631,3.49692,inf,0.0083311,0.212115,3.27071,1,3041,4631,1902,0.0490578
1,4702,3.60234,inf,0.00846314,0.215824,3.3722,1,3082,4702,1934,0.0498735
1,4772,3.70886,inf,0.00859363,0.219702,3.47463,1,3136,4772,1966,0.0507477
1,4842,3.81566,inf,0.00872644,0.223342,3.57756,1,3171,4842,1997,0.0515261
1,4912,3.92405,inf,0.00886233,0.227038,3.68203,1,3209,4912,2027,0.0524357
1,4966,4.02972,1.59865,0.00896626,0.254899,3.75967,1,3266,4966,2048,0.0784122
1,5031,4.13707,1.59865,0.00909137,0.269295,3.8524,1,3311,5031,2074,0.0802404
1,5102,4.24272,1.59865,0.00922187,0.273357,3.95376,1,3363,5102,2101,0.0817698
1,5178,4.34878,1.59865,0.00935698,0.276389,4.05656,1,3433,5178,2125,0.0826609
1,5235,4.4534,1.59763,0.0094613,0.294012,4.14337,1,3525,5235,2150,0.0977741
1,5304,4.56116,1.59763,0.00959565,0.301004,4.24392,1,3592,5304,2172,0.102832
1,5375,4.6677,1.59763,0.00975887,0.304375,4.34684,1,3654,5375,2194,0.1041
1,5441,4.77311,1.59763,0.00988668,0.307854,4.44856,1,3719,5441,2220,0.105297
1,5512,4.88445,1.5963,0.0100487,0.315828,4.55166,1,3761,5512,2241,0.111135
1,5580,4.99246,1.5963,0.0101742,0.319027,4.65622,1,3823,5580,2267,0.112072
1,5644,5.10287,1.5963,0.0102913,0.322876,4.76258,1,3880,5644,2297,0.11344
1,5713,5.21262,1.5963,0.0104098,0.326977,4.86802,1,3960,5713,2324,0.115234
1,5773,5.321,1.5963,0.0105153,0.343769,4.95942,1,4019,5773,2346,0.130143
1,5836,5.42818,1.5963,0.01064,0.346716,5.06345,1,4079,5836,2370,0.13105
1,5910,5.53563,1.5963,0.0107755,0.34936,5.16797,1,4118,5910,2389,0.132035
1,5979,5.64736,1.5963,0.0108953,0.35283,5.27601,1,4175,5979,2416,0.133223
1,6043,5.7585,1.5963,0.0110046,0.357632,5.38215,1,4213,6043,2444,0.135759
1,6105,5.86829,1.5963,0.0111205,0.360536,5.48883,1,4246,6105,2469,0.136646
1,6167,5.97821,1.5963,0.0112371,0.363728,5.59536,1,4281,6167,2493,0.137738
1,6232,6.09019,1.5963,0.011358,0.366482,5.70438,1,4317,6232,2516,0.138525
1,6292,6.20067,1.5963,0.0114769,0.373202,5.80794,1,4361,6292,2537,0.143418
1,6358,6.31457,1.5963,0.0116482,0.37676,5.91803,1,4404,6358,2559,0.144984
1,6417,6.42649,1.5963,0.0117706,0.38053,6.02597,1,4447,6417,2583,0.146518
1,6470,6.54578,1.59275,0.0118911,0.400499,6.12508,1,4490,6470,2605,0.164326
1,6532,6.65816,1.59275,0.0120782,0.403482,6.23421,1,4521,6532,2627,0.165229
1,6584,6.7743,1.59275,0.0121891,0.407039,6.3466,1,4547,6584,2646,0.166671
1,6637,6.88384,1.58662,0.0123388,0.416222,6.4467,1,4567,6637,2664,0.173939
1,6692,6.99442,1.58662,0.0124924,0.419512,6.55376,1,4612,6692,2685,0.174943
1,6749,7.10651,1.58662,0.0125998,0.423444,6.66172,1,4660,6749,2709,0.176648
1,6818,7.22148,1.58662,0.0127122,0.426921,6.77301,1,4685,6818,2730,0.178284
1,6848,7.33578,1.57283,0.0127696,0.490225,6.8239,1,4705,6848,2739,0.240709
1,6908,7.4455,1.57283,0.0128824,0.492908,6.93074,1,4731,6908,2759,0.241723
1,6969,7.56201,1.57283,0.0129932,0.495729,7.04424,1,4765,6969,2783,0.242506
1,7028,7.67412,1.57283,0.013106,0.498123,7.15376,1,4790,7028,2804,0.243169
1,7087,7.78829,1.57283,0.0132119,0.501057,7.26482,1,4824,7087,2828,0.244069
1,7143,7.90214,1.57283,0.0133212,0.504585,7.37495,1,4864,7143,2851,0.245632
1,7197,8.01953,1.57283,0.0134248,0.507783,7.48896,1,4896,7197,2877,0.246564
1,7257,8.13039,1.57283,0.0135333,0.510103,7.59732,1,4919,7257,2897,0.247211
1,7318,8.24741,1.57283,0.0136534,0.512621,7.71161,1,4955,7318,2917,0.247973
1,7372,8.36118,1.57283,0.0137612,0.515157,7.82267,1,4983,7372,2939,0.248651
1,7425,8.4866,1.57283,0.0138505,0.551567,7.91152,1,5026,7425,2955,0.283611
1,7485,8.60388,1.57283,0.0140449,0.554065,8.02602,1,5085,7485,2974,0.284406
1,7543,8.72331,1.57283,0.0141523,0.565076,8.13426,1,5111,7543,2992,0.293813
1,7598,8.84272,1.57283,0.0142555,0.568285,8.25028,1,5163,7598,3017,0.294857
1,7650,8.95734,1.57283,0.0143644,0.571225,8.36176,1,5206,7650,3038,0.295969
1,7711,9.07721,1.57283,0.0144749,0.573782,8.47887,1,5249,7711,3058,0.296613
1,7775,9.19089,1.57283,0.0146054,0.575191,8.59092,1,5277,7775,3069,0.297011
1,7827,9.31077,1.57283,0.0147155,0.579532,8.70628,1,5317,7827,3091,0.299194
1,7885,9.42685,1.57283,0.014836,0.588329,8.81337,1,5346,7885,3104,0.306758
1,7940,9.54443,1.57283,0.0149476,0.59094,8.92814,1,5373,7940,3125,0.307468
1,7991,9.65961,1.57283,0.015055,0.593663,9.04042,1,5399,7991,3146,0.308286
1,8049,9.77744,1.57283,0.0151705,0.596212,9.15551,1,5433,8049,3165,0.309127
1,8078,9.89577,1.57283,0.015236,0.65516,9.21478,1,5461,8078,3174,0.367165
2,1,2.8871e-05,inf,4.619e-06,0,2.2327e-05,1,0,1,2,0
2,673,0.10067,inf,0.00107016,0.0212073,0.0776169,1,455,673,263,0.00565685
2,999,0.201108,inf,0.0016087,0.033622,0.164719,1,722,999,400,0.00875801
2,1252,0.301509,inf,0.00203946,0.0437219,0.254277,1,931,1252,504,0.0113703
2,1461,0.402753,inf,0.00239361,0.0550387,0.343606,1,1077,1461,591,0.0136538
2,1629,0.502971,inf,0.00268002,0.0641294,0.434222,1,1223,1629,680,0.0159312
2,1797,0.604521,inf,0.00296604,0.07146,0.527942,1,1350,1797,752,0.0176427
2,1956,0.706202,inf,0.00324744,0.0782547,0.622355,1,1460,1956,817,0.0192271
2,2099,0.806938,inf,0.00349381,0.0848185,0.716075,1,1550,2099,880,0.0207877
2,2239,0.909123,inf,0.00374018,0.0910074,0.811654,1,1644,2239,937,0.022358
2,2378,1.00975,inf,0.0039854,0.0963278,0.906556,1,1713,2378,986,0.0236406
2,2495,1.11185,inf,0.0041898,0.106804,0.997832,1,1791,2495,1039,0.0247916
2,2618,1.2133,inf,0.00440884,0.112159,1.09357,1,1879,2618,1087,0.0259688
2,2720,1.31627,1.60707,0.00458322,0.134328,1.17407,1,1958,2720,1126,0.0449954
2,2848,1.41669,1.60707,0.00478069,0.139357,1.26911,1,2086,2848,1169,0.0469921
2,2968,1.5197,1.60707,0.00497933,0.144049,1.3671,1,2177,2968,1212,0.0487286
2,3086,1.62221,1.60707,0.00517835,0.148962,1.46437,1,2275,3086,1251,0.0508089
2,3188,1.72572,1.60707,0.00534965,0.172265,1.54429,1,2382,3188,1279,0.0720055
2,3291,1.82778,1.60707,0.00552019,0.177838,1.64047,1,2498,3291,1322,0.0744849
2,3395,1.93229,1.60707,0.00569187,0.186012,1.73652,1,2627,3395,1361,0.079624
2,3502,2.03472,1.60707,0.00596172,0.190665,1.8339,1,2712,3502,1396,0.081722
2,3604,2.1385,1.60707,0.00613495,0.195244,1.93281,1,2806,3604,1432,0.0836683
2,3707,2.24204,1.60707,0.00630434,0.19952,2.03178,1,2900,3707,1467,0.085309
2,3813,2.34571,1.60707,0.00647603,0.203504,2.13117,1,2993,3813,1501,0.0867706
2,3919,2.44891,1.60707,0.00664925,0.207147,2.23043,1,3079,3919,1531,0.0881946
2,4022,2.55412,1.60707,0.00682132,0.210474,2.33202,1,3140,4022,1562,0.0893271
2,4124,2.65916,1.60707,0.0069907,0.21405,2.4332,1,3232,4124,1591,0.0907345
2,4211,2.76381,1.6061,0.00713967,0.224983,2.52666,1,3361,4211,1620,0.099317
2,4296,2.86818,1.58978,0.00727441,0.234136,2.62163,1,3449,4296,1655,0.105821
2,4387,2.97279,1.58978,0.007428,0.239679,2.72042,1,3539,4387,1687,0.108749
2,4473,3.07723,1.58978,0.00757582,0.244287,2.82,1,3644,4473,1719,0.11081
2,4564,3.18212,1.58978,0.00772596,0.247973,2.92095,1,3711,4564,1748,0.112302
2,4645,3.28879,1.58978,0.00786415,0.260022,3.01533,1,3774,4645,1775,0.122223
2,4730,3.39542,1.58978,0.00801505,0.263972,3.11775,1,3871,4730,1804,0.123856
2,4814,3.49955,1.58978,0.00817673,0.268186,3.21739,1,3944,4814,1830,0.12566
2,4895,3.60779,1.58978,0.00836882,0.272626,3.32089,1,4009,4895,1859,0.127541
2,4977,3.71338,1.58978,0.00851856,0.276748,3.4221,1,4075,4977,1887,0.129198
2,5050,3.81892,1.58978,0.00865445,0.281421,3.52272,1,4142,5050,1918,0.131095
2,5132,3.92734,1.58978,0.00880766,0.284661,3.62764,1,4201,5132,1945,0.132032
2,5203,4.03254,1.57317,0.00894355,0.294187,3.72308,1,4252,5203,1969,0.139308
2,5275,4.14102,1.57317,0.00907867,0.298329,3.82715,1,4307,5275,2001,0.14092
2,5323,4.25036,1.57317,0.00917491,0.331336,3.90331,1,4365,5323,2025,0.171834
2,5402,4.36901,1.57317,0.0093285,0.346521,4.00649,1,4424,5402,2049,0.173658
2,5488,4.4783,1.57317,0.00948556,0.349776,4.11226,1,4484,5488,2073,0.174869
2,5570,4.58421,1.57317,0.00963877,0.352409,4.21529,1,4533,5570,2093,0.175664
2,5648,4.69195,1.57317,0.00977505,0.355691,4.31951,1,4590,5648,2119,0.176708
2,5725,4.82166,1.57317,0.00991594,0.38126,4.4234,1,4635,5725,2141,0.200339
2,5796,4.93105,1.57317,0.0100395,0.384778,4.52907,1,4691,5796,2169,0.201606
2,5873,5.03819,1.57317,0.0101896,0.387506,4.63324,1,4748,5873,2190,0.202588
2,5925,5.1479,1.57002,0.0102851,0.421313,4.70898,1,4803,5925,2208,0.234717
2,6005,5.25714,1.57002,0.0104241,0.424045,4.81524,1,4861,6005,2229,0.235694
2,6072,5.36813,1.57002,0.0105534,0.427091,4.92268,1,4913,6072,2253,0.236637
2,6141,5.47772,1.57002,0.0106712,0.431821,5.02733,1,5000,6141,2281,0.238961
2,6214,5.59005,1.57002,0.0107959,0.435378,5.13588,1,5063,6214,2308,0.240258
2,6276,5.70054,1.57002,0.010913,0.439182,5.24236,1,5119,6276,2338,0.241552
2,6342,5.80925,1.57002,0.0110419,0.442126,5.34792,1,5172,6342,2360,0.242724
2,6412,5.91999,1.57002,0.011172,0.445426,5.45513,1,5227,6412,2382,0.244129
2,6483,6.03072,1.57002,0.0113083,0.448209,5.56285,1,5269,6483,2403,0.245034
2,6555,6.13985,1.57002,0.0114403,0.451415,5.66855,1,5315,6555,2423,0.246375
2,6625,6.25232,1.57002,0.0115785,0.453945,5.77827,1,5361,6625,2443,0.247169
2,6696,6.36566,1.57002,0.0117144,0.45691,5.88841,1,5396,6696,2463,0.248374
2,6765,6.47803,1.57002,0.0118449,0.460355,5.99711,1,5452,6765,2485,0.249811
2,6829,6.58897,1.57002,0.0119612,0.463532,6.10467,1,5500,6829,2510,0.250878
2,6887,6.70115,1.57002,0.0120736,0.467316,6.21287,1,5576,6887,2537,0.252294
2,6955,6.81506,1.57002,0.0121917,0.470781,6.3231,1,5647,6955,2561,0.253608
2,7025,6.92797,1.57002,0.0123234,0.474365,6.4322,1,5696,7025,2579,0.255682
2,7082,7.03994,1.57002,0.0124427,0.478083,6.54026,1,5749,7082,2603,0.257329
2,7149,7.15466,1.57002,0.0125621,0.48211,6.65073,1,5819,7149,2626,0.259246
2,7215,7.26865,1.57002,0.0126852,0.485329,6.76129,1,5876,7215,2648,0.260502
2,7272,7.38004,1.57002,0.0127984,0.488862,6.86895,1,5917,7272,2671,0.26199
2,7342,7.4954,1.57002,0.0129251,0.491191,6.98177,1,5953,7342,2690,0.262701
2,7411,7.61248,1.57002,0.0130421,0.494295,7.09554,1,6008,7411,2713,0.263809
2,7461,7.72503,1.57002,0.0131399,0.51378,7.18843,1,6048,7461,2733,0.281618
2,7515,7.83855,1.57002,0.0132503,0.518548,7.29699,1,6116,7515,2757,0.28425
2,7573,7.95471,1.57002,0.013362,0.522755,7.40875,1,6189,7573,2780,0.286413
2,7634,8.07122,1.57002,0.0134701,0.526148,7.52168,1,6261,7634,2803,0.287743
2,7689,8.184,1.57002,0.0135899,0.529375,7.63103,1,6314,7689,2825,0.288771
2,7759,8.30193,1.57002,0.0137119,0.533793,7.74433,1,6380,7759,2842,0.291535
2,7815,8.4144,1.57002,0.0138212,0.536977,7.85343,1,6441,7815,2863,0.292716
2,7870,8.53061,1.57002,0.0139252,0.540508,7.96592,1,6496,7870,2888,0.294049
2,7934,8.64749,1.57002,0.0140349,0.543418,8.07971,1,6549,7934,2910,0.29504
2,7991,8.76436,1.57002,0.014247,0.547341,8.19235,1,6611,7991,2934,0.296785
2,8039,8.9389,1.57002,0.0143451,0.637399,8.27667,1,6649,8039,2946,0.385574
2,8097,9.05403,1.57002,0.0144664,0.642726,8.38622,1,6706,8097,2964,0.389128
2,8154,9.17534,1.57002,0.0145838,0.647109,8.50295,1,6775,8154,2986,0.391331
2,8210,9.29133,1.57002,0.0146839,0.652219,8.61365,1,6843,8210,3007,0.394584
2,8265,9.4058,1.57002,0.0147978,0.656938,8.72321,1,6916,8265,3026,0.397384
2,8320,9.52438,1.56989,0.0149106,0.670907,8.82763,1,6978,8320,3044,0.409543
2,8379,9.64144,1.56989,0.0150207,0.673994,8.94142,1,7035,8379,3064,0.410769
2,8428,9.7609,1.56925,0.0151147,0.690324,9.04438,1,7138,8428,3084,0.425129
2,8483,9.87634,1.56925,0.0152271,0.693769,9.15619,1,7201,8483,3102,0.426814
2,8534,9.99431,1.56925,0.0153429,0.698576,9.26917,1,7260,8534,3121,0.429681
3,1,9.2388e-05,inf,6.545e-06,5.4663e-05,2.887e-05,1,1,1,3,1.6553e-05
3,703,0.101385,inf,0.00119679,0.0218518,0.0775191,1,446,703,258,0.0058347
3,1052,0.202269,inf,0.00180655,0.033746,0.165503,1,620,1052,392,0.00880883
3,1313,0.302687,inf,0.00226041,0.0439922,0.254913,1,764,1313,496,0.0113984
3,1523,0.40403,inf,0.00262958,0.0556058,0.344023,1,891,1523,587,0.0139718
3,1714,0.504853,inf,0.0030153,0.0638303,0.435979,1,987,1714,661,0.0160232
3,1879,0.607023,inf,0.00358119,0.0722214,0.528954,1,1082,1879,735,0.0180045
3,2037,0.708446,inf,0.0038599,0.0796364,0.622495,1,1195,2037,805,0.0197649
3,2189,0.809618,inf,0.00412936,0.0862236,0.71662,1,1301,2189,866,0.0212655
3,2328,0.911894,inf,0.00437342,0.092886,0.811749,1,1385,2328,928,0.0228083
3,2455,1.01296,inf,0.00460092,0.0992554,0.906053,1,1464,2455,988,0.0242261
3,2573,1.11476,inf,0.00482728,0.110274,0.996458,1,1539,2573,1039,0.0255788
3,2700,1.21736,inf,0.00505363,0.115649,1.09332,1,1607,2700,1086,0.0269119
3,2820,1.31982,inf,0.00527921,0.120705,1.19036,1,1701,2820,1132,0.0280098
