trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,2.0018e-05,inf,6.16e-06,0,1.2318e-05,0,1,0,0,1,2,0
0,593,0.100134,1.67812,0.000757601,0.0249272,0.0716188,0.00140161,1,299,264,593,312,0.0128212
0,910,0.200655,1.67784,0.00115525,0.0369069,0.158722,0.00149323,1,370,333,910,479,0.0172297
0,1150,0.301534,1.67539,0.00145283,0.0506832,0.244789,0.00165183,1,393,353,1150,607,0.023541
0,1337,0.402147,1.67482,0.00170227,0.0623646,0.332981,0.00182005,1,409,366,1337,722,0.0295828
0,1520,0.50247,1.663,0.00194363,0.0724915,0.422648,0.00189165,1,469,424,1520,811,0.0350288
0,1686,0.60367,1.663,0.0021592,0.079483,0.516269,0.00189165,1,535,490,1686,899,0.0373208
0,1848,0.70557,1.663,0.00238556,0.0849405,0.612257,0.00189165,1,591,546,1848,971,0.0387128
0,1996,0.807095,1.663,0.00258458,0.0936901,0.704335,0.00189165,1,623,578,1996,1039,0.0407522
0,2124,0.909338,1.6524,0.0027505,0.109318,0.790137,0.00220616,1,691,633,2124,1104,0.0531658
0,2246,1.01023,1.65221,0.00291487,0.118472,0.881506,0.00227738,1,738,679,2246,1170,0.0584266
0,2355,1.11253,1.65141,0.00306539,0.127994,0.973799,0.00245022,1,747,686,2355,1240,0.0641331
0,2477,1.21546,1.65141,0.00322977,0.133805,1.07043,0.00245022,1,773,712,2477,1300,0.0666003
0,2575,1.45221,1.65141,0.00336027,0.141696,1.14557,0.155847,1,871,767,2575,1341,0.225207
0,2687,1.55454,1.65141,0.00351618,0.146712,1.24261,0.155847,1,871,767,2687,1395,0.226891
0,2781,1.65697,1.65027,0.00365091,0.16347,1.32788,0.156026,1,891,783,2781,1445,0.240811
0,2888,1.76119,1.65027,0.00380297,0.167988,1.42732,0.156026,1,907,799,2888,1499,0.242158
0,2992,2.13141,1.65027,0.00394771,0.1807,1.52511,0.415489,1,1012,839,2992,1550,0.510789
0,3091,2.23617,1.65027,0.00408206,0.186088,1.62424,0.415489,1,1020,847,3091,1602,0.512725
0,3176,2.33827,1.65027,0.00420562,0.190758,1.72145,0.415489,1,1044,871,3176,1656,0.513934
0,3257,2.44265,1.64896,0.00431803,0.208735,1.80723,0.415854,1,1077,900,3257,1700,0.529534
0,3350,2.54587,1.64896,0.00444699,0.212618,1.90635,0.415854,1,1091,914,3350,1744,0.530668
0,3441,2.64992,1.64896,0.00457441,0.217152,2.00563,0.415854,1,1093,916,3441,1789,0.532321
0,3522,2.75567,1.64896,0.0047153,0.222398,2.1059,0.415854,1,1093,916,3522,1837,0.53439
0,3605,2.8587,1.64896,0.00483425,0.227363,2.20375,0.415854,1,1093,916,3605,1881,0.536602
0,3685,2.96393,1.64896,0.00495743,0.231005,2.30507,0.415854,1,1135,958,3685,1926,0.537414
0,3765,3.07028,1.6482,0.0050733,0.24131,2.4007,0.416073,1,1147,966,3765,1966,0.545346
0,3837,3.17446,1.6482,0.00518263,0.245468,2.50053,0.416073,1,1185,1004,3837,2012,0.546553
