trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,6.159e-06,inf,5.389e-06,0,0,0,1,0,0,1,2,0
0,763,0.143497,1.67962,0.0009897,0.0472768,0.0392286,0.0520875,1,136,93,763,388,0.086664
0,961,0.283331,1.67736,0.00124184,0.0697226,0.058895,0.140197,1,176,108,961,484,0.201937
0,1048,0.3845,1.67736,0.00135386,0.0904858,0.0695771,0.187562,1,197,119,1048,529,0.286313
0,1443,0.485328,1.67064,0.0018697,0.129933,0.129634,0.187777,1,230,148,1443,735,0.317066
0,1566,0.586044,1.67064,0.00203985,0.166606,0.155079,0.187777,1,241,159,1566,806,0.388713
0,1579,1.35239,1.67064,0.0020614,0.173371,0.157643,0.94476,1,376,171,1579,813,1.15087
0,1875,1.49746,1.67064,0.00245136,0.228244,0.220219,0.94476,1,395,190,1875,971,1.22518
0,2105,1.59815,1.66507,0.00275238,0.274466,0.273658,0.945332,1,417,196,2105,1087,1.25682
0,2271,1.82682,1.66337,0.00297643,0.350777,0.317624,0.945895,1,448,219,2271,1174,1.43641
0,2495,1.9327,1.66337,0.00327745,0.388077,0.381871,0.945895,1,453,224,2495,1293,1.47161
0,2567,2.93745,1.22269,0.003381,0.405938,0.402611,1.91189,1,538,234,2567,1329,2.45253
0,2892,3.03887,1.22269,0.00369974,0.442269,0.458335,1.91189,1,542,238,2892,1420,2.49274
0,2976,3.17284,1.22269,0.0037802,0.486275,0.47376,1.94176,1,550,244,2976,1444,2.60975
0,3193,3.27543,1.22134,0.00400463,0.53378,0.519365,1.94198,1,559,252,3193,1515,2.66255
0,3204,3.41074,1.19366,0.00401772,0.580939,0.521972,1.9422,1,570,262,3204,1519,2.7949
0,3616,3.60663,1.19349,0.00440112,0.637192,0.595444,1.94246,1,610,301,3616,1625,2.9106
0,3759,3.76807,1.19349,0.00454625,0.673112,0.627358,1.94246,1,617,308,3759,1667,3.03723
0,3914,3.87073,1.19349,0.00469638,0.727152,0.659346,1.94246,1,636,327,3914,1710,3.10512
0,4000,4.25617,1.19349,0.00478184,0.793991,0.677201,2.0374,1,653,341,4000,1733,3.47098
0,4309,4.43932,1.17964,0.00509788,0.848472,0.755308,2.08738,1,694,379,4309,1833,3.5696
0,4336,4.55567,1.17964,0.00512213,0.884014,0.75848,2.08738,1,701,386,4336,1837,3.68242
0,4488,4.77168,1.17964,0.0052457,0.974216,0.784703,2.08738,1,715,400,4488,1870,3.87
0,4743,5.06809,1.17964,0.00548745,1.07273,0.838755,2.08738,1,740,425,4743,1933,4.10808
0,5094,5.17259,1.17964,0.00580081,1.09689,0.918219,2.08738,1,750,435,5094,2023,4.12686
0,5102,5.33133,1.17964,0.00581351,1.16266,0.920057,2.08738,1,755,440,5102,2025,4.28354
0,5110,5.73633,1.17679,0.00582698,1.25134,0.922824,2.08769,1,769,452,5110,2028,4.68537
0,5297,5.92672,1.17611,0.00600175,1.31201,0.971388,2.16837,1,788,459,5297,2081,4.79978
0,5601,6.03206,1.17611,0.00630124,1.32689,1.06123,2.16837,1,791,462,5601,2179,4.80897
0,5606,6.15268,1.17611,0.00630971,1.41521,1.064,2.16837,1,794,465,5606,2182,4.92656
0,5795,6.26016,1.17454,0.00647909,1.48008,1.10574,2.1689,1,805,473,5795,2226,4.98923
0,6046,6.36682,1.17074,0.00671275,1.51988,1.17101,2.16922,1,827,494,6046,2293,5.02603
0,6390,6.47414,1.17074,0.00701456,1.54308,1.25454,2.16922,1,827,494,6390,2377,5.04425
0,6459,6.8228,1.17074,0.00708,1.64336,1.27636,2.16922,1,836,503,6459,2399,5.36956
0,6677,7.72846,1.17074,0.0072975,1.79108,1.34794,2.68315,1,849,509,6677,2467,6.1988
0,6984,7.83581,1.17074,0.0075635,1.81738,1.42831,2.68315,1,851,511,6984,2542,6.22066
0,7382,7.94453,1.17074,0.00787879,1.83924,1.51449,2.68315,1,857,517,7382,2622,6.23765
0,7709,8.05303,1.17074,0.0081625,1.86423,1.59733,2.68315,1,862,522,7709,2696,6.25806
0,7718,8.33198,1.17074,0.00817019,2.02831,1.6007,2.75564,1,876,529,7718,2699,6.53324
0,8087,8.44002,1.17074,0.00849201,2.04319,1.69315,2.75564,1,877,530,8087,2779,6.54312
0,8101,9.39439,1.17074,0.00850202,2.20954,1.69664,3.37286,1,889,536,8101,2782,7.49339
0,8287,9.63098,1.17074,0.00865946,2.26135,1.75531,3.49862,1,894,538,8287,2831,7.66766
0,8584,9.74064,1.17074,0.00892547,2.27806,1.84768,3.49862,1,897,541,8584,2907,7.67956
0,8840,9.85126,1.17074,0.00915259,2.30096,1.93494,3.49862,1,897,541,8840,2977,7.69799
1,1,9.239e-06,inf,7.699e-06,0,0,0,1,0,0,1,2,0
1,847,0.104357,1.67611,0.00108789,0.0463444,0.0505569,0.00303227,1,114,80,847,443,0.0342303
1,932,0.200971,1.67611,0.00120337,0.0578091,0.0599602,0.0483519,1,135,90,932,483,0.119406
1,1161,0.816292,1.65192,0.00150865,0.116198,0.0876502,0.558064,1,307,132,1161,592,0.69704
1,1431,0.917112,1.64544,0.00187398,0.170441,0.129176,0.558408,1,328,149,1431,724,0.749502
1,1681,1.5863,1.64544,0.00220888,0.20027,0.179603,1.14651,1,433,163,1681,864,1.36073
1,1797,1.83613,1.23305,0.00236517,0.213263,0.202808,1.35991,1,463,167,1797,923,1.58413
1,2240,2.07454,1.23305,0.00279016,0.262369,0.257204,1.40081,1,495,196,2240,1040,1.75082
1,2292,2.19797,1.23305,0.00283713,0.2841,0.262388,1.40081,1,506,207,2292,1051,1.86835
1,2477,2.33895,1.22619,0.00300458,0.338663,0.285234,1.40101,1,534,233,2477,1099,1.98359
1,2691,2.44041,1.20328,0.00320322,0.381335,0.312945,1.40166,1,567,261,2691,1155,2.05407
1,2726,2.57805,1.20328,0.00324133,0.431048,0.317531,1.43683,1,579,270,2726,1164,2.18654
1,2891,2.72439,1.20298,0.00338299,0.501063,0.342745,1.43729,1,596,285,2891,1212,2.30493
1,2905,2.83054,1.20298,0.0033957,0.529768,0.34431,1.43729,1,603,292,2905,1215,2.40929
1,3018,3.12548,1.20298,0.0035108,0.601835,0.356981,1.49614,1,623,309,3018,1237,2.69002
1,3213,3.29522,1.20298,0.00369635,0.672634,0.392981,1.5384,1,652,336,3213,1301,2.8201
1,3265,3.42695,1.20298,0.00374794,0.732192,0.40075,1.5384,1,661,345,3265,1314,2.94302
1,3406,3.56347,1.1996,0.00388421,0.795824,0.424419,1.53873,1,680,362,3406,1354,3.0535
1,3769,3.66675,1.19572,0.00419024,0.84539,0.477076,1.53904,1,722,402,3769,1440,3.09912
1,3988,3.90314,1.19095,0.00439119,0.915359,0.509883,1.53957,1,746,424,3988,1489,3.2996
1,4216,4.04197,1.18775,0.00458521,1.00121,0.543162,1.54017,1,770,444,4216,1540,3.40194
1,4385,4.14599,1.18775,0.00474458,1.05353,0.577706,1.54017,1,781,455,4385,1590,3.4684
1,4766,4.25081,1.18775,0.00510144,1.07031,0.664797,1.54017,1,783,457,4766,1706,3.47866
1,4925,4.35588,1.18775,0.0052508,1.1294,0.690694,1.54017,1,790,464,4925,1740,3.55554
1,5369,4.46114,1.18775,0.00565808,1.14617,0.778329,1.54017,1,803,477,5369,1852,3.56616
1,5535,4.67592,1.18688,0.00580975,1.21707,0.813427,1.54051,1,819,491,5535,1893,3.74294
1,5785,4.85453,1.18688,0.00605573,1.23329,0.880587,1.54051,1,829,501,5785,1973,3.84935
1,6068,4.96028,1.18688,0.00633327,1.2696,0.949497,1.54051,1,831,503,6068,2052,3.85672
1,6416,5.06601,1.18653,0.00664009,1.30891,1.01484,1.541,1,841,511,6416,2125,3.89226
1,6594,5.67451,1.18519,0.00680523,1.40987,1.05466,1.8026,1,871,529,6594,2169,4.45777
1,6792,6.09553,1.18513,0.00696191,1.53981,1.09493,1.89627,1,885,538,6792,2212,4.83546
1,6904,6.25407,1.18513,0.00706277,1.6367,1.12457,1.89627,1,891,544,6904,2243,4.96213
1,6960,7.18005,1.18513,0.00711243,1.77666,1.13487,2.63979,1,908,548,6960,2253,5.87646
1,7095,7.63468,1.18502,0.00723446,1.90378,1.16708,2.64051,1,928,563,7095,2286,6.2964
1,7394,8.50753,1.18502,0.00750777,2.05487,1.24311,3.25201,1,944,572,7394,2362,7.08786
1,7672,8.99116,1.1849,0.0077349,2.23433,1.30123,3.35709,1,957,579,7672,2419,7.50932
1,8027,9.09882,1.1849,0.00804863,2.25216,1.39043,3.35709,1,959,581,8027,2502,7.5223
1,8137,9.73225,1.18467,0.00813986,2.40779,1.41703,3.3576,1,981,600,8137,2527,8.12727
1,8399,9.84055,1.18443,0.0083539,2.43936,1.49275,3.35814,1,990,604,8399,2597,8.15513
1,8615,9.9488,1.17784,0.00854599,2.48835,1.55085,3.35892,1,1004,616,8615,2649,8.20156
2,1,7.4295e-05,inf,7.699e-06,4.6579e-05,1.8478e-05,0,1,0,0,1,3,1.0393e-05
2,626,0.100466,1.69516,0.000837645,0.0571639,0.0303285,0.00594944,1,166,117,626,334,0.0543125
2,969,0.200961,1.69135,0.00127611,0.101185,0.0636896,0.0060526,1,182,130,969,503,0.114049
2,1122,0.317261,1.67694,0.00147821,0.146891,0.0842303,0.00628588,1,221,161,1122,586,0.202102
2,1185,0.432557,1.67694,0.00156328,0.184235,0.0910493,0.00628588,1,233,173,1185,611,0.308864
2,1423,1.05311,1.67694,0.00188857,0.220021,0.130306,0.551314,1,338,193,1423,736,0.883277
2,1569,1.17523,1.67481,0.00209875,0.277244,0.156822,0.551779,1,360,205,1569,810,0.975084
2,1765,1.27695,1.67428,0.00235975,0.325747,0.199944,0.551912,1,365,209,1765,922,1.02822
2,1775,1.67525,1.22894,0.00237246,0.333583,0.202373,0.939926,1,451,229,1775,928,1.42319
2,1966,1.78458,1.2184,0.00274663,0.381265,0.224286,0.940125,1,483,260,1966,979,1.50733
2,2071,1.8995,1.2184,0.00285172,0.441781,0.235172,0.940125,1,501,278,2071,1002,1.60989
2,2198,2.00395,1.20547,0.00296683,0.479493,0.24956,0.940317,1,514,290,2198,1033,1.68804
2,2223,2.10884,1.20547,0.00299609,0.507173,0.254342,0.940317,1,529,305,2223,1043,1.7875
2,2533,2.21049,1.20245,0.00328017,0.560337,0.296142,0.940557,1,552,326,2533,1130,1.84231
