trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones,shortestPathsTime
0,1,1.6553e-05,inf,1.0009e-05,0,0,0,1,0,0,1,2,0
0,622,0.100261,1.67265,0.000818032,0.0199894,0.0320604,0.00260574,1,249,217,622,317,0.0112341
0,939,0.200539,1.66929,0.00122377,0.0307165,0.0692337,0.00284056,1,305,266,939,487,0.015596
0,1185,0.301304,1.6577,0.0015325,0.0404712,0.105424,0.00292025,1,391,350,1185,617,0.0192715
0,1389,0.402162,1.6577,0.00180273,0.0477376,0.140695,0.004656,1,429,375,1389,721,0.0241223
0,1584,0.503396,1.65645,0.00207411,0.0563359,0.171774,0.00860792,1,451,391,1584,804,0.0329227
0,1724,0.60437,1.64645,0.00225697,0.0718148,0.205874,0.0124948,1,488,418,1724,887,0.0486126
0,1871,0.705461,1.64645,0.00244714,0.0769989,0.236132,0.0250604,1,573,487,1871,956,0.0633351
0,2017,0.807959,1.64645,0.00264461,0.0841633,0.272271,0.0250604,1,599,513,2017,1030,0.064299
0,2169,0.909416,1.64587,0.00283171,0.0905704,0.306754,0.0252475,1,620,530,2169,1098,0.0677516
0,2309,1.01169,1.64587,0.00301378,0.094321,0.343135,0.0252475,1,636,546,2309,1166,0.0684372
0,2432,1.11271,1.64541,0.00317199,0.0998986,0.377188,0.0307569,1,665,570,2432,1228,0.0767345
0,2560,1.21572,1.64541,0.00335369,0.10326,0.411695,0.0307569,1,689,594,2560,1286,0.0773458
0,2675,1.31797,1.64541,0.00351344,0.107133,0.4495,0.0307569,1,690,595,2675,1347,0.0782985
0,2788,1.42183,1.64532,0.00367321,0.115804,0.482574,0.0310214,1,713,615,2788,1397,0.0847049
0,2897,1.52351,1.64532,0.00383412,0.119266,0.519775,0.0310214,1,713,615,2897,1454,0.0854448
0,3000,1.62645,1.6453,0.00397964,0.125372,0.556917,0.031175,1,716,617,3000,1508,0.0891072
0,3103,1.73029,1.6453,0.00412977,0.129733,0.594068,0.031175,1,736,637,3103,1560,0.0907964
0,3200,1.8335,1.6453,0.00426605,0.133561,0.633986,0.031175,1,736,637,3200,1616,0.0917569
0,3287,1.93662,1.64421,0.00439616,0.142769,0.668912,0.0314675,1,749,647,3287,1662,0.0989089
0,3386,2.04039,1.64421,0.00453359,0.145778,0.705058,0.0314675,1,749,647,3386,1709,0.0996422
0,3478,2.1447,1.64421,0.00466601,0.148662,0.742405,0.0314675,1,749,647,3478,1756,0.100233
0,3566,2.24865,1.64421,0.0047942,0.151642,0.781171,0.0314675,1,767,665,3566,1804,0.100873
0,3611,2.41098,1.64421,0.00486041,0.15559,0.801793,0.135893,1,862,695,3611,1829,0.207464
0,3696,2.51598,1.64421,0.00497782,0.160235,0.833362,0.14502,1,904,727,3696,1867,0.21926
0,3784,2.62006,1.64421,0.00510485,0.162794,0.868563,0.14502,1,934,757,3784,1908,0.219794
0,3862,2.72526,1.64421,0.00521841,0.166867,0.908819,0.14502,1,949,772,3862,1954,0.222678
0,3944,2.83039,1.64421,0.00534198,0.169613,0.947096,0.14502,1,969,792,3944,1997,0.223289
0,4030,2.93472,1.64421,0.00546632,0.172133,0.981734,0.14502,1,969,792,4030,2035,0.223845
0,4106,3.03954,1.64421,0.00557834,0.179907,1.0156,0.14502,1,999,822,4106,2071,0.224309
0,4191,3.14515,1.64421,0.00569151,0.182356,1.05323,0.14502,1,1007,830,4191,2112,0.224745
0,4267,3.24968,1.64421,0.00579853,0.185893,1.08902,0.14502,1,1008,831,4267,2149,0.226825
0,4342,3.3564,1.64421,0.00590477,0.189438,1.12882,0.14502,1,1008,831,4342,2190,0.228251
0,4421,3.46216,1.64421,0.00601949,0.191643,1.16223,0.14502,1,1034,857,4421,2224,0.228748
0,4502,3.56869,1.64421,0.00614036,0.193743,1.19534,0.14502,1,1034,857,4502,2257,0.229154
0,4576,3.67598,1.64421,0.00625392,0.196514,1.23127,0.14502,1,1064,887,4576,2292,0.230196
0,4651,3.78316,1.64421,0.0063617,0.198974,1.2682,0.14502,1,1064,887,4651,2328,0.2308
0,4724,3.89064,1.64421,0.00646717,0.201247,1.30695,0.14502,1,1064,887,4724,2365,0.231195
0,4793,3.99761,1.64421,0.00657226,0.203722,1.34798,0.14502,1,1066,889,4793,2403,0.231666
0,4869,4.10353,1.64421,0.00668313,0.206455,1.3798,0.14502,1,1116,939,4869,2432,0.232799
0,4935,4.21138,1.64421,0.00679052,0.208741,1.41659,0.14502,1,1116,939,4935,2464,0.233318
0,5003,4.32063,1.64421,0.00689369,0.211074,1.45489,0.14502,1,1116,939,5003,2498,0.233799
0,5070,4.42695,1.64421,0.00699609,0.214251,1.48973,0.14502,1,1116,939,5070,2529,0.235328
0,5126,4.53565,1.64421,0.00708386,0.218987,1.52371,0.157966,1,1151,963,5126,2559,0.251333
0,5198,4.64547,1.64421,0.00719242,0.221543,1.5586,0.157966,1,1151,963,5198,2590,0.25219
