trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones,shortestPathsTime
0,1,5.8513e-05,inf,7.699e-06,3.734e-05,1.1934e-05,1,1,1,3,1.1548e-05
0,578,0.10035,1.68537,0.000960079,0.0598191,0.0391272,1,5661,578,324,0.0269473
0,900,0.201292,1.67369,0.00147476,0.115576,0.0835521,1,9423,900,490,0.0646802
0,1182,0.314108,1.67288,0.00193247,0.177844,0.133416,1,12946,1182,634,0.101301
0,1476,0.448239,1.66386,0.00242097,0.242374,0.202284,1,17025,1476,794,0.145372
0,1875,0.614007,1.66386,0.00308963,0.3067,0.302717,1,21986,1875,980,0.183089
0,2184,0.826987,1.66215,0.00361778,0.427545,0.394067,1,26008,2184,1126,0.25649
0,2616,1.09659,1.66215,0.00439384,0.514724,0.575338,1,32695,2616,1362,0.307112
0,3035,1.43658,1.64465,0.00509984,0.672286,0.756709,1,38892,3035,1579,0.432615
0,3673,1.86743,1.63749,0.0061011,0.818902,1.0394,1,47554,3673,1870,0.534572
0,4181,2.40026,1.17734,0.00694144,1.05961,1.33023,1,55484,4181,2132,0.675401
0,5804,3.10241,1.17734,0.00870452,1.24774,1.84061,1,67764,5804,2531,0.798782
0,7029,3.85411,1.17641,0.0101658,1.50522,2.33201,1,78191,7029,2861,0.99776
0,8196,4.8325,1.17341,0.0117437,1.96846,2.84429,1,88074,8196,3172,1.40723
0,9518,5.95739,1.17015,0.013302,2.41844,3.51617,1,100085,9518,3542,1.7913
0,11124,7.27126,1.16573,0.0150108,2.92932,4.31561,1,112993,11124,3937,2.22898
0,12997,8.81114,1.16573,0.0170638,3.37694,5.40377,1,129365,12997,4427,2.45341
1,1,6.8137e-05,inf,8.469e-06,4.042e-05,1.7323e-05,1,1,1,3,3.465e-06
1,557,0.100275,1.67413,0.000912324,0.0604843,0.0384327,1,5436,557,316,0.02951
1,930,0.2011,1.66719,0.0015036,0.11119,0.0876506,1,9632,930,498,0.0606833
1,1202,0.313522,1.66501,0.00194591,0.171608,0.138985,1,13147,1202,640,0.094842
1,1557,0.448265,1.66501,0.00251949,0.220356,0.224115,1,18029,1557,828,0.120145
1,1888,0.613785,1.65918,0.00305958,0.287297,0.321843,1,22842,1888,1008,0.163052
1,2239,0.829021,1.65529,0.00362853,0.395935,0.427567,1,27427,2239,1175,0.226541
1,2741,1.10318,1.65529,0.00445348,0.476616,0.619764,1,34721,2741,1430,0.270598
1,3313,1.44803,1.65529,0.00539739,0.576715,0.86306,1,42734,3313,1704,0.329118
1,3757,1.88632,1.20331,0.00615189,0.765202,1.11169,1,49920,3757,1947,0.480123
1,4790,2.44333,1.20176,0.00731135,0.986689,1.44488,1,58649,4790,2236,0.596912
1,6112,3.10761,1.18258,0.00885463,1.18209,1.91075,1,69413,6112,2583,0.731479
1,7368,3.92261,1.18122,0.0102747,1.47698,2.42802,1,80215,7368,2924,0.966778
1,8826,4.86992,1.18115,0.0118961,1.78383,3.06516,1,92085,8826,3296,1.20617
1,10251,5.9943,1.17959,0.0135864,2.16265,3.80728,1,104855,10251,3685,1.51307
1,11732,7.32514,1.17875,0.0151928,2.70977,4.58776,1,117216,11732,4061,1.99284
1,13593,8.883,1.17875,0.0172384,3.07008,5.78116,1,134709,13593,4584,2.12388
2,1,9.239e-06,inf,7.699e-06,0,0,1,0,1,2,0
2,607,0.100634,1.69726,0.000984708,0.061258,0.0379123,1,5525,607,321,0.0304896
2,986,0.20965,1.68883,0.00159101,0.117472,0.0897929,1,10027,986,513,0.0573557
2,1319,0.314158,1.68883,0.00212186,0.157837,0.153137,1,14292,1319,682,0.0777512
2,1592,0.449357,1.20007,0.00255801,0.225837,0.219676,1,18096,1592,829,0.127807
2,2337,0.624667,1.20007,0.00337411,0.294572,0.324665,1,23293,2337,1025,0.151418
2,3055,0.829315,1.19852,0.00416173,0.381989,0.440372,1,28343,3055,1206,0.214411
2,3626,1.08147,1.17982,0.00482192,0.503813,0.569441,1,33314,3626,1381,0.311984
2,4500,1.38816,1.17858,0.0057897,0.60234,0.775723,1,40446,4500,1626,0.375473
2,5254,1.76159,1.17506,0.00662465,0.785963,0.963912,1,46238,5254,1822,0.529768
2,6092,2.23464,1.17159,0.00753699,1.01127,1.20984,1,53035,6092,2050,0.664742
2,7131,2.77897,1.16783,0.00861486,1.23988,1.52335,1,61107,7131,2313,0.852159
2,8399,3.43283,1.16551,0.00997181,1.47905,1.93533,1,70510,8399,2616,1.04203
2,9820,4.25528,1.16547,0.0114962,1.77295,2.46081,1,81442,9820,2960,1.27826
2,11352,5.18208,1.16547,0.0131157,1.98785,3.16937,1,94736,11352,3375,1.42282
2,12936,6.2803,1.16094,0.0148191,2.30024,3.95177,1,108015,12936,3782,1.66373
2,14172,7.68293,1.15945,0.0161441,3.02312,4.62875,1,118371,14172,4097,2.19266
2,16196,9.20805,1.15843,0.0183356,3.35051,5.82206,1,135836,16196,4615,2.42476
3,1,1.0009e-05,inf,8.469e-06,0,0,1,0,1,2,0
3,642,0.100413,1.68586,0.00104629,0.0556524,0.0432354,1,6014,642,344,0.0223333
3,982,0.207958,1.67432,0.00157944,0.115229,0.0903734,1,10036,982,514,0.0548174
3,1304,0.321191,1.67326,0.00208335,0.170711,0.147352,1,13946,1304,670,0.092016
3,1586,0.460329,1.64964,0.00253412,0.2433,0.213188,1,17766,1586,817,0.146456
3,1941,0.631458,1.64821,0.00311001,0.320329,0.306396,1,22307,1941,992,0.200866
3,2350,0.848386,1.64821,0.00376518,0.405294,0.437344,1,28010,2350,1199,0.235747
3,2848,1.12224,1.64821,0.00460052,0.485389,0.629835,1,35245,2848,1452,0.28021
3,3209,1.49666,1.17301,0.00520644,0.686397,0.802294,1,40940,3209,1648,0.451744
3,4222,1.94384,1.17169,0.00625311,0.859923,1.07369,1,49075,4222,1923,0.58524
3,5267,2.47766,1.17036,0.00741183,1.0979,1.36723,1,56957,5267,2184,0.724608
3,6813,3.11445,1.17036,0.0090213,1.22854,1.87006,1,68995,6813,2575,0.795603
3,8247,3.87395,1.16764,0.0105299,1.44157,2.41341,1,80457,8247,2937,0.949201
3,9585,4.92631,1.16387,0.0119485,1.96123,2.94314,1,90352,9585,3249,1.41539
3,11023,6.01016,1.16346,0.0134729,2.40137,3.58372,1,101729,11023,3596,1.79274
3,12958,7.29367,1.16346,0.0155586,2.69388,4.57055,1,117484,12958,4075,1.99913
3,14534,8.79037,1.15922,0.01724,3.32847,5.42905,1,130194,14534,4455,2.42851
4,1,1.0778e-05,inf,8.854e-06,0,0,1,0,1,2,0
4,576,0.100542,1.67446,0.000938518,0.0617361,0.0374061,1,5445,576,315,0.0309196
4,957,0.201431,1.65845,0.00154098,0.110112,0.0890068,1,9850,957,511,0.0590133
4,1221,0.313415,1.65087,0.00195866,0.1729,0.137566,1,13191,1221,646,0.0977813
4,1573,0.448782,1.65087,0.00251684,0.223774,0.221208,1,18011,1573,835,0.12622
4,1845,0.614462,1.63263,0.00295107,0.307485,0.302508,1,22057,1845,985,0.190317
4,2245,0.825121,1.63263,0.00359663,0.38903,0.430651,1,27695,2245,1189,0.223838
4,2701,1.09285,1.63252,0.00434497,0.481203,0.605096,1,34371,2701,1423,0.283198
4,3212,1.43151,1.63252,0.0051934,0.576989,0.846708,1,42373,3212,1699,0.339186
4,3776,1.86314,1.63252,0.00613191,0.69593,1.15797,1,51327,3776,2000,0.412436
4,4231,2.41153,1.18361,0.00687794,0.971242,1.42991,1,58539,4231,2234,0.593392
4,5494,3.10631,1.17773,0.00828418,1.2027,1.89049,1,69483,5494,2588,0.76999
4,6975,3.92587,1.17756,0.00989057,1.46267,2.44635,1,81112,6975,2958,0.969979
4,8506,4.90392,1.17454,0.0115747,1.74077,3.14282,1,93880,8506,3357,1.17829
4,9967,6.06263,1.17086,0.0132362,2.19407,3.8442,1,105733,9967,3718,1.56281
4,11802,7.43667,1.17084,0.0151636,2.61694,4.79116,1,120163,11802,4158,1.76606
4,13357,9.04436,1.16738,0.0168351,3.33365,5.67874,1,133136,13357,4542,2.40831
5,1,6.9676e-05,inf,8.854e-06,4.0805e-05,1.8477e-05,1,1,1,3,3.08e-06
5,600,0.100139,1.7158,0.000978932,0.0595792,0.0391098,1,5666,600,326,0.0277222
5,865,0.200519,1.66458,0.00156714,0.121657,0.0765883,1,8829,865,467,0.0742043
5,1190,0.315038,1.66458,0.00209182,0.173551,0.138396,1,13156,1190,643,0.0967805
5,1528,0.451297,1.65856,0.00265154,0.231637,0.215721,1,17601,1528,814,0.131464
5,1860,0.621642,1.65855,0.0032205,0.308961,0.307882,1,22084,1860,983,0.185658
5,2177,0.840425,1.65108,0.00376443,0.426527,0.408251,1,26466,2177,1140,0.250838
5,2641,1.12099,1.65108,0.00471372,0.519515,0.59446,1,33549,2641,1391,0.305987
5,3203,1.47449,1.65108,0.00576501,0.620148,0.845783,1,41848,3203,1676,0.363022
5,3805,1.96772,1.20366,0.00674818,0.8017,1.15591,1,50746,3805,1974,0.496344
5,4762,2.53369,1.18411,0.00782371,1.04683,1.47455,1,58909,4762,2241,0.635325
5,6151,3.30493,1.18383,0.00936813,1.31387,1.97564,1,70418,6151,2613,0.840581
5,7614,4.12397,1.17724,0.010963,1.58716,2.5181,1,81477,7614,2960,1.05146
5,9177,5.09964,1.17412,0.0127361,1.83594,3.24132,1,94692,9177,3374,1.22627
5,10734,6.27587,1.17222,0.014488,2.19819,4.05176,1,108297,10734,3788,1.51214
5,12480,7.66864,1.17219,0.0163815,2.68254,4.95638,1,122161,12480,4210,1.78581
5,13895,9.37241,1.16376,0.0178575,3.617,5.72261,1,133312,13895,4540,2.65836
6,1,9.623e-06,inf,8.084e-06,0,0,1,0,1,2,0
6,608,0.100658,1.70027,0.000992793,0.060328,0.038865,1,5598,608,327,0.0290134
6,918,0.206519,1.69457,0.00150555,0.115098,0.0891708,1,9897,918,514,0.0550615
6,1213,0.318641,1.68196,0.00197788,0.170379,0.145295,1,13752,1213,668,0.0925318
6,1550,0.452089,1.65883,0.00251951,0.227596,0.220711,1,18046,1550,834,0.129389
6,1926,0.633583,1.65883,0.00312619,0.303202,0.325671,1,23196,1926,1025,0.159317
6,2323,0.845417,1.21382,0.00377676,0.380659,0.459056,1,28844,2323,1229,0.209029
6,3237,1.11667,1.21082,0.00479149,0.474698,0.634328,1,35461,3237,1460,0.271508
6,4021,1.45086,1.20783,0.00566225,0.612282,0.829213,1,41920,4021,1682,0.377745
6,4910,1.90133,1.19436,0.00665889,0.820089,1.06988,1,49104,4910,1922,0.549043
6,5551,2.39681,1.18788,0.0074284,1.11164,1.27235,1,54563,5551,2105,0.754366
6,6884,2.99169,1.18788,0.00883886,1.26237,1.71364,1,65474,6884,2460,0.849462
6,8129,3.70438,1.1806,0.0101573,1.51512,2.17091,1,75487,8129,2781,1.05091
6,9413,4.55187,1.18045,0.0117749,1.79004,2.74041,1,86631,9413,3132,1.2649
6,10605,5.73316,1.17155,0.013093,2.40222,3.30689,1,96903,10605,3449,1.82112
6,12443,6.92838,1.17151,0.0150019,2.72181,4.17853,1,111348,12443,3888,2.05994
6,13869,8.32768,1.16934,0.0168305,3.2783,5.0179,1,124132,13869,4274,2.414
6,16050,9.95758,1.16934,0.0192141,3.54341,6.37789,1,143236,16050,4838,2.57558
7,1,9.238e-06,inf,7.699e-06,0,0,1,0,1,2,0
7,660,0.100652,1.67315,0.00107286,0.0586515,0.0404075,1,5658,660,330,0.026622
7,964,0.201145,1.66432,0.00156328,0.114126,0.0846634,1,9479,964,494,0.0638237
